block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
3	1	05. Aug	5	2	1593	0	2286	1861	EH	k_click_cut.wav	13066	14659	16963
3	2	07. Apr	4	1	1238	0	2872	2016	GD	g_sl_cut.wav	21893	23131	25952
3	3	02. Aug	2	2	1384	0	2301	1823	BH	k_asp_cut.wav	30306	31690	34161
3	4	08. Jan	1	1	1414	0	4089	2358	HA	p_cut.wav	40296	41710	44697
3	5	02. Jun	2	1	1146	1	2398	1933	BF	k_asp_cut.wav	49123	50269	53107
3	6	03. Mai	5	2	1522	1	2698	1421	CE	k_click_cut.wav	57841	59363	61296
3	7	06. Apr	4	1	1383	0	2720	2140	FD	g_sl_cut.wav	66048	67431	70216
3	8	03. Jan	1	2	1622	1	3162	2704	CA	p_cut.wav	75408	77030	80148
3	9	07. Mrz	3	1	1936	0	2685	2168	GC	b_sh_cut.wav	84882	86818	89080
3	10	02. Mrz	2	1	994	1	2608	1333	BC	k_asp_cut.wav	93723	94717	97080
3	11	03. Apr	4	2	1325	1	2863	2350	CD	g_sl_cut.wav	101979	103304	106382
3	12	03. Aug	3	2	1460	0	2316	1510	CH	b_sh_cut.wav	110734	112194	114276
3	13	07. Jan	1	2	1902	1	2097	1211	GA	p_cut.wav	118399	120301	121645
3	14	05. Jan	5	1	1983	1	3221	1600	EA	k_click_cut.wav	126908	128891	130535
3	15	02. Jul	2	1	1023	1	3052	2675	BG	k_asp_cut.wav	135623	136646	140328
3	16	01. Jul	1	1	1160	1	2990	1982	AG	p_cut.wav	145346	146506	149354
3	17	03. Jan	3	2	1944	0	2274	1850	CA	b_sh_cut.wav	153665	155609	157539
3	18	05. Jun	5	1	1395	1	1892	2304	EF	k_click_cut.wav	161467	162862	165811
3	19	04. Jul	4	1	1329	1	2443	2482	DG	g_sl_cut.wav	170286	171615	174824
3	20	03. Feb	2	1	889	0	2548	2253	CB	k_asp_cut.wav	179410	180299	183713
3	21	04. Aug	4	1	1386	1	3374	2260	DH	g_sl_cut.wav	189121	190507	193405
3	22	01. Jun	1	2	1254	0	3332	1733	AF	p_cut.wav	198763	200017	202529
3	23	04. Mai	5	1	1063	0	2516	2175	DE	k_click_cut.wav	207082	208145	211289
3	24	05. Jan	1	1	1531	0	2760	2563	EA	p_cut.wav	216077	217608	220679
3	25	05. Mrz	3	2	1518	1	3271	1857	EC	b_sh_cut.wav	225989	227507	229874
3	26	02. Jan	2	1	1523	1	3082	1588	BA	k_asp_cut.wav	234985	236508	238623
3	27	01. Apr	1	1	1630	1	3788	1124	AD	p_cut.wav	244443	246073	247594
3	28	08. Mrz	3	2	1384	1	2874	2549	HC	b_sh_cut.wav	252497	253881	257070
3	29	06. Mai	5	0	0	2	3440	1584	FE	k_click_cut.wav	262547	0	266157
3	30	01. Apr	4	1	1715	0	3164	1869	AD	g_sl_cut.wav	271356	273071	275276
3	31	08. Mai	5	2	1407	1	3057	1346	HE	k_click_cut.wav	280367	281774	283755
3	32	03. Feb	3	0	0	2	3929	2258	CB	b_sh_cut.wav	289724	0	294018
3	33	02. Apr	4	2	1510	1	2192	998	BD	g_sl_cut.wav	298238	299748	301276
3	34	07. Feb	2	2	1145	1	3569	2509	GB	k_asp_cut.wav	306883	308028	311438
3	35	04. Mrz	4	1	1007	1	3043	1426	DC	g_sl_cut.wav	316509	317516	319973
3	36	01. Feb	2	2	1178	1	1752	1642	AB	k_asp_cut.wav	323752	324930	327424
3	37	03. Jun	3	1	1750	1	2873	1968	CF	b_sh_cut.wav	340359	342109	344352
3	38	05. Mrz	5	1	1416	1	3050	2011	EC	k_click_cut.wav	349437	350853	353480
3	39	03. Mai	3	1	1048	1	3282	1989	CE	b_sh_cut.wav	358787	359835	362809
3	40	01. Mrz	1	2	1837	0	3015	1626	AC	p_cut.wav	367855	369692	371514
