block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	1-3	1	2	1239	0	3440	1733	02	t_sl_cut.wav	11963	13202	15751
1	2	7-3	3	1	1198	0	2316	1982	62	d_sh_retr_cut.wav	20120	21318	24151
1	3	4-2	2	1	1153	0	3374	2260	31	s_alv_cut.wav	29579	30732	33864
1	4	3-8	3	0	0	2	3332	1968	27	d_sh_retr_cut.wav	39223	0	43224
1	5	5-7	5	1	1372	1	2516	1823	46	s_palat_cut.wav	47791	49163	51680
1	6	6-2	2	2	1292	1	3052	1600	51	s_alv_cut.wav	56762	58054	60408
1	7	2-4	4	2	1401	1	1892	2358	13	s_dent_cut.wav	64353	65754	68734
1	8	2-6	2	1	1315	1	2863	2016	15	s_alv_cut.wav	73625	74940	77677
1	9	6-1	1	2	1114	1	2872	1333	50	t_sl_cut.wav	82585	83699	85945
1	10	5-8	5	1	941	1	2443	2304	47	s_palat_cut.wav	90424	91365	94767
1	11	6-4	4	2	1058	1	3043	1989	53	s_dent_cut.wav	99842	100900	103854
1	12	2-7	2	1	1101	1	2398	2253	16	s_alv_cut.wav	108282	109383	112569
1	13	8-3	3	2	1103	1	3929	1510	72	d_sh_retr_cut.wav	118531	119634	122078
1	14	1-7	1	1	1132	1	2274	2509	06	t_sl_cut.wav	126377	127509	130911
1	15	4-8	4	1	942	1	2097	2563	37	s_dent_cut.wav	135035	135977	139650
1	16	3-7	3	2	1554	0	3162	2350	26	d_sh_retr_cut.wav	144851	146405	149238
1	17	1-2	2	2	1571	1	3282	2168	01	s_alv_cut.wav	154556	156127	158758
1	18	8-1	1	1	1917	0	3271	1857	70	t_sl_cut.wav	164063	165980	167965
1	19	5-3	5	1	797	1	3569	1626	42	s_palat_cut.wav	173563	174360	177235
1	20	5-4	4	2	1732	1	2874	2704	43	s_dent_cut.wav	182136	183868	186865
1	21	4-1	1	2	948	1	3164	2140	30	t_sl_cut.wav	192061	193009	196235
1	22	2-3	2	2	984	0	3015	1124	12	s_alv_cut.wav	201280	202264	204437
1	23	3-4	3	1	1519	1	1752	1421	23	d_sh_retr_cut.wav	208218	209737	211686
1	24	6-5	5	2	892	1	2685	1869	54	s_palat_cut.wav	216402	217294	220301
1	25	8-4	4	2	913	1	3082	1211	73	s_dent_cut.wav	225417	226330	228661
1	26	3-2	3	1	1260	1	3221	2011	21	d_sh_retr_cut.wav	233907	235167	237946
1	27	4-5	5	1	1478	0	2608	1850	34	s_palat_cut.wav	242579	244057	246470
1	28	7-1	1	2	1490	1	2301	2482	60	t_sl_cut.wav	250807	252297	255320
1	29	2-8	2	1	1219	1	3788	2675	17	s_alv_cut.wav	261145	262364	265848
1	30	4-6	4	1	1174	1	2548	1584	35	s_dent_cut.wav	270423	271597	274041
1	31	3-2	2	2	1034	1	2192	1426	21	s_alv_cut.wav	278268	279302	281718
1	32	1-4	1	1	1094	1	2720	2175	03	t_sl_cut.wav	286464	287558	290668
1	33	1-5	5	2	1028	1	2990	1642	04	s_palat_cut.wav	295686	296714	299353
1	34	3-4	4	2	1282	1	2873	998	23	s_dent_cut.wav	304254	305536	307277
1	35	5-2	5	1	929	1	2698	1861	41	s_palat_cut.wav	312013	312942	315908
1	36	1-3	3	2	1152	1	3050	1588	02	d_sh_retr_cut.wav	320983	322135	324603
1	37	8-5	5	2	777	1	3057	2258	74	s_palat_cut.wav	329691	330468	333991
1	38	1-4	4	2	804	1	2760	1346	03	s_dent_cut.wav	338779	339583	342147
1	39	3-1	1	2	957	1	2286	2549	20	t_sl_cut.wav	346473	347430	351051
1	40	3-1	3	1	1334	1	4089	1933	20	d_sh_retr_cut.wav	357177	358511	361137
