"","LSB_C_corrStay_B1","LSB_C_corrStay_B2","LSB_C_corrStay_B3","LSB_C_corrStay_B4","LSB_C_corrShift_B1","LSB_C_corrShift_B2","LSB_C_corrShift_B3","LSB_C_corrShift_B4","LSB_C_incorrStay_B1","LSB_C_incorrStay_B2","LSB_C_incorrStay_B3","LSB_C_incorrStay_B4","LSB_C_incorrShift_B1","LSB_C_incorrShift_B2","LSB_C_incorrShift_B3","LSB_C_incorrShift_B4"
"s001",0.739583333333333,0.78125,0.78125,0.822916666666667,0.125,0.09375,0.09375,0.0729166666666667,0.0208333333333333,0.03125,0.0520833333333333,0.03125,0.114583333333333,0.09375,0.0729166666666667,0.0729166666666667
"s002",0.875,0.885416666666667,0.9375,0.989583333333333,0.0625,0.0416666666666667,0.03125,0.0104166666666667,0.0104166666666667,0.03125,0,0,0.0520833333333333,0.0416666666666667,0.03125,0
"s003",0.739583333333333,0.84375,0.770833333333333,0.875,0.114583333333333,0.0729166666666667,0.104166666666667,0.0625,0.0416666666666667,0.03125,0.03125,0,0.104166666666667,0.0520833333333333,0.09375,0.0625
"s004",0.791666666666667,0.78125,0.927083333333333,0.770833333333333,0.0833333333333333,0.0833333333333333,0.03125,0.0416666666666667,0.03125,0.0104166666666667,0,0.0520833333333333,0.0729166666666667,0.0833333333333333,0.03125,0.0729166666666667
"s005",0.604166666666667,0.875,0.885416666666667,0.864583333333333,0.145833333333333,0.0625,0.0625,0.0625,0.135416666666667,0.0104166666666667,0.03125,0.03125,0.114583333333333,0.0520833333333333,0.0208333333333333,0.0416666666666667
"s006",0.791666666666667,0.75,0.979166666666667,0.84375,0.104166666666667,0.125,0.0208333333333333,0.0729166666666667,0.0208333333333333,0.03125,0,0.0208333333333333,0.0833333333333333,0.09375,0,0.0520833333333333
"s007",0.760416666666667,0.958333333333333,0.927083333333333,0.96875,0.114583333333333,0.0104166666666667,0.03125,0.0208333333333333,0.03125,0,0,0,0.09375,0.0208333333333333,0.03125,0.0104166666666667
"s009",0.885416666666667,0.802083333333333,0.833333333333333,0.802083333333333,0.0729166666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0.03125,0,0.0208333333333333,0.0416666666666667,0.0833333333333333,0.0729166666666667,0.0833333333333333
"s010",0.989583333333333,0.677083333333333,0.791666666666667,0.8125,0.0104166666666667,0.104166666666667,0.0833333333333333,0.104166666666667,0,0.114583333333333,0.0104166666666667,0,0,0.104166666666667,0.09375,0.0833333333333333
"s011",0.729166666666667,0.864583333333333,0.739583333333333,0.697916666666667,0.104166666666667,0.0729166666666667,0.135416666666667,0.15625,0.0729166666666667,0.0104166666666667,0.0208333333333333,0.0104166666666667,0.09375,0.0520833333333333,0.104166666666667,0.135416666666667
"s012",0.708333333333333,0.34375,0.604166666666667,0.3125,0.114583333333333,0.197916666666667,0.104166666666667,0.229166666666667,0.0625,0.260416666666667,0.197916666666667,0.239583333333333,0.114583333333333,0.197916666666667,0.09375,0.21875
"s013",0.291666666666667,0.770833333333333,0.875,0.854166666666667,0.229166666666667,0.09375,0.0625,0.0729166666666667,0.25,0.0104166666666667,0.0104166666666667,0.0208333333333333,0.21875,0.104166666666667,0.0520833333333333,0.0520833333333333
"s014",0.375,0.1875,0.229166666666667,0.302083333333333,0.197916666666667,0.260416666666667,0.28125,0.229166666666667,0.229166666666667,0.3125,0.177083333333333,0.239583333333333,0.197916666666667,0.239583333333333,0.302083333333333,0.21875
"s015",0.572916666666667,0.71875,0.395833333333333,0.447916666666667,0.1875,0.114583333333333,0.197916666666667,0.1875,0.0625,0.0625,0.197916666666667,0.177083333333333,0.177083333333333,0.104166666666667,0.208333333333333,0.1875
"s016",0.552083333333333,0.291666666666667,0.604166666666667,0.697916666666667,0.15625,0.260416666666667,0.15625,0.0208333333333333,0.0729166666666667,0.166666666666667,0.09375,0.25,0.177083333333333,0.229166666666667,0.145833333333333,0.03125
"s017",0.90625,0.979166666666667,0.84375,0.739583333333333,0.0416666666666667,0.0104166666666667,0.0729166666666667,0.104166666666667,0,0,0.0104166666666667,0.0625,0.0520833333333333,0.0104166666666667,0.0729166666666667,0.09375
"s018",0.614583333333333,0.833333333333333,0.510416666666667,0.802083333333333,0.15625,0.0625,0.197916666666667,0.09375,0.0729166666666667,0.0416666666666667,0.114583333333333,0.03125,0.145833333333333,0.0625,0.177083333333333,0.0729166666666667
"s019",0.479166666666667,0.75,0.59375,0.604166666666667,0.208333333333333,0.104166666666667,0.1875,0.114583333333333,0.09375,0.0520833333333333,0.0416666666666667,0.15625,0.197916666666667,0.09375,0.145833333333333,0.114583333333333
"s020",0.916666666666667,0.947916666666667,0.927083333333333,0.791666666666667,0.03125,0.03125,0.0416666666666667,0.104166666666667,0.03125,0,0.0104166666666667,0,0.0104166666666667,0.0208333333333333,0.0208333333333333,0.09375
"s021",0.78125,0.635416666666667,0.729166666666667,0.635416666666667,0.0833333333333333,0.09375,0.114583333333333,0.114583333333333,0,0.0833333333333333,0.0208333333333333,0.0416666666666667,0.114583333333333,0.135416666666667,0.114583333333333,0.145833333333333
"s022",0.895833333333333,0.885416666666667,0.864583333333333,0.947916666666667,0.0625,0.0625,0.0729166666666667,0.03125,0,0,0.0104166666666667,0,0.0416666666666667,0.0520833333333333,0.0520833333333333,0.0208333333333333
