block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

0	1	2	3	1	C	0	0	0	0	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	2	2	4	0	C	1	1	613	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	3	1	2	0	C	2	0	789	0	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	4	1	1	1	C	1	0	847	0	poli_8sides 24_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	5	2	3	1	C	1	0	765	0	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	6	1	2	0	C	1	1	694	1	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	7	2	4	0	C	2	0	440	0	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	8	1	1	1	C	2	1	653	1	poli_8sides 24_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	9	2	3	1	C	1	0	563	0	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	10	1	2	0	C	1	1	389	1	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	11	2	4	0	C	2	0	383	0	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	12	1	1	1	C	2	1	620	1	poli_8sides 24_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	13	1	2	0	C	1	1	622	1	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	14	2	4	0	C	1	1	732	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	15	1	1	1	C	1	0	402	0	poli_8sides 24_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	16	2	3	1	C	2	1	781	1	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	17	1	1	1	C	2	1	969	1	poli_8sides 24_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	18	2	4	0	C	2	0	994	0	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	19	1	2	0	C	1	1	761	1	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	20	2	3	1	C	2	1	858	1	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	21	1	2	0	C	1	1	652	1	poli_8sides 24_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	22	2	4	0	C	1	1	616	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	23	2	3	1	C	2	1	738	1	poli_8sides 21_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	24	1	1	1	C	2	1	877	1	poli_8sides 24_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	25	2	4	0	C	2	0	1208	0	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	26	1	1	1	C	2	1	856	1	poli_8sides 24_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
