block	trial	Vstim	Astim	match	C/I	resp	.result	RT	fb	V-file	A-file
LR

0	1	2	3	1	C	2	1	1560	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	2	1	1	1	C	1	0	1052	0	Ⴢ	cut_g_stereo_44KHz.wav
0	3	2	4	0	C	2	0	953	0	Ⴞ	cut_oo_stereo_44KHz.wav
0	4	1	2	0	C	2	0	906	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	5	1	2	0	C	2	0	838	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	6	1	1	1	C	2	1	1204	1	Ⴢ	cut_g_stereo_44KHz.wav
0	7	2	4	0	C	1	1	1109	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	8	2	3	1	C	1	0	985	0	Ⴞ	cut_ee_stereo_44KHz.wav
0	9	2	3	1	C	2	1	941	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	10	1	1	1	C	1	0	867	0	Ⴢ	cut_g_stereo_44KHz.wav
0	11	1	2	0	C	2	0	741	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	12	2	4	0	C	1	1	1120	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	13	2	3	1	C	2	1	979	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	14	2	4	0	C	1	1	1417	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	15	1	1	1	C	1	0	851	0	Ⴢ	cut_g_stereo_44KHz.wav
0	16	1	2	0	C	1	1	1098	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	17	1	2	0	C	1	1	1085	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	18	2	3	1	C	2	1	1182	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	19	2	4	0	C	1	1	996	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	20	1	1	1	C	2	1	820	1	Ⴢ	cut_g_stereo_44KHz.wav
0	21	1	2	0	C	1	1	830	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	22	2	4	0	C	1	1	604	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	23	2	3	1	C	1	0	908	0	Ⴞ	cut_ee_stereo_44KHz.wav
0	24	1	1	1	C	2	1	976	1	Ⴢ	cut_g_stereo_44KHz.wav
0	25	2	4	0	C	1	1	986	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	26	1	2	0	C	1	1	1022	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	27	2	3	1	C	2	1	901	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	28	1	1	1	C	1	0	855	0	Ⴢ	cut_g_stereo_44KHz.wav
0	29	2	3	1	C	2	1	1280	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	30	1	1	1	C	2	1	1175	1	Ⴢ	cut_g_stereo_44KHz.wav
avg_resp = 1064
1	1	1	2	0	C	1	1	1370	1	Ⴒ	cut_f_stereo_44KHz.wav
1	2	3	3	2	I	2	0	1071	0	Ⴔ	cut_s_stereo_44KHz.wav
1	3	2	2	1	C	2	1	1082	1	Ⴉ	cut_f_stereo_44KHz.wav
1	4	4	3	2	I	2	0	1053	0	Ⴕ	cut_s_stereo_44KHz.wav
1	5	1	1	1	C	1	0	1028	0	Ⴒ	cut_oei_stereo_44KHz.wav
1	6	2	1	0	C	1	1	1015	1	Ⴉ	cut_oei_stereo_44KHz.wav
