block	trial	Vstim	Astim	match	C/I	resp	.result	RT	fb	V-file	A-file
RL

0	1	2	4	0	C	2	1	1226	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	2	1	2	0	C	1	0	928	0	Ⴉ	cut_g_stereo_44KHz.wav
0	3	1	1	1	C	1	1	883	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	4	2	3	1	C	1	1	700	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	5	2	4	0	C	2	1	755	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	6	1	1	1	C	2	0	590	0	Ⴉ	cut_ee_stereo_44KHz.wav
0	7	2	3	1	C	1	1	965	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	8	1	2	0	C	2	1	916	1	Ⴉ	cut_g_stereo_44KHz.wav
0	9	2	4	0	C	2	1	718	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	10	1	1	1	C	1	1	819	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	11	2	3	1	C	1	1	864	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	12	1	2	0	C	2	1	824	1	Ⴉ	cut_g_stereo_44KHz.wav
0	13	1	2	0	C	2	1	833	1	Ⴉ	cut_g_stereo_44KHz.wav
0	14	2	4	0	C	2	1	868	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	15	2	3	1	C	1	1	888	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	16	1	1	1	C	1	1	572	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	17	2	3	1	C	1	1	774	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	18	2	4	0	C	2	1	581	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	19	1	1	1	C	1	1	757	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	20	1	2	0	C	2	1	784	1	Ⴉ	cut_g_stereo_44KHz.wav
0	21	1	2	0	C	2	1	902	1	Ⴉ	cut_g_stereo_44KHz.wav
0	22	1	1	1	C	1	1	493	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	23	2	4	0	C	2	1	943	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	24	2	3	1	C	1	1	791	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	25	2	3	1	C	1	1	935	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	26	1	1	1	C	1	1	583	1	Ⴉ	cut_ee_stereo_44KHz.wav
0	27	1	2	0	C	2	1	860	1	Ⴉ	cut_g_stereo_44KHz.wav
0	28	2	4	0	C	2	1	846	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	29	1	2	0	C	2	1	645	1	Ⴉ	cut_g_stereo_44KHz.wav
0	30	1	1	1	C	1	1	740	1	Ⴉ	cut_ee_stereo_44KHz.wav
avg_resp = 802
1	1	3	4	2	I	2	0	1249	0	Ⴉ	cut_g_stereo_44KHz.wav
1	2	4	4	2	I	2	0	820	0	Ⴕ	cut_g_stereo_44KHz.wav
1	3	2	1	0	C	2	1	1174	1	Ⴏ	cut_w_stereo_44KHz.wav
1	4	1	1	1	C	1	1	710	1	Ⴔ	cut_w_stereo_44KHz.wav
1	5	4	3	2	I	2	0	1019	0	Ⴕ	cut_h_stereo_44KHz.wav
1	6	2	2	1	C	1	1	679	1	Ⴏ	cut_l_stereo_44KHz.wav
1	7	1	2	0	C	2	1	820	1	Ⴔ	cut_l_stereo_44KHz.wav
1	8	3	3	2	I	1	0	744	0	Ⴉ	cut_h_stereo_44KHz.wav
1	9	2	1	0	C	2	1	812	1	Ⴏ	cut_w_stereo_44KHz.wav
1	10	4	3	2	I	1	0	1145	1	Ⴕ	cut_h_stereo_44KHz.wav
1	11	3	3	2	I	2	0	710	1	Ⴉ	cut_h_stereo_44KHz.wav
1	12	1	1	1	C	1	1	1036	1	Ⴔ	cut_w_stereo_44KHz.wav
1	13	2	2	1	C	1	1	942	1	Ⴏ	cut_l_stereo_44KHz.wav
1	14	1	2	0	C	2	1	561	1	Ⴔ	cut_l_stereo_44KHz.wav
1	15	4	4	2	I	2	0	1081	0	Ⴕ	cut_g_stereo_44KHz.wav
1	16	3	4	2	I	1	0	784	0	Ⴉ	cut_g_stereo_44KHz.wav
1	17	2	1	0	C	2	1	852	1	Ⴏ	cut_w_stereo_44KHz.wav
1	18	3	3	2	I	2	0	819	1	Ⴉ	cut_h_stereo_44KHz.wav
1	19	4	4	2	I	1	0	1014	0	Ⴕ	cut_g_stereo_44KHz.wav
1	20	1	2	0	C	2	1	691	1	Ⴔ	cut_l_stereo_44KHz.wav
1	21	2	2	1	C	1	1	997	1	Ⴏ	cut_l_stereo_44KHz.wav
1	22	1	1	1	C	1	1	893	1	Ⴔ	cut_w_stereo_44KHz.wav
1	23	3	4	2	I	2	0	781	0	Ⴉ	cut_g_stereo_44KHz.wav
1	24	4	3	2	I	1	0	1047	0	Ⴕ	cut_h_stereo_44KHz.wav
1	25	2	2	1	C	1	1	990	1	Ⴏ	cut_l_stereo_44KHz.wav
1	26	4	4	2	I	2	0	710	1	Ⴕ	cut_g_stereo_44KHz.wav
1	27	3	4	2	I	1	0	926	1	Ⴉ	cut_g_stereo_44KHz.wav
1	28	1	1	1	C	1	1	1020	1	Ⴔ	cut_w_stereo_44KHz.wav
1	29	2	1	0	C	2	1	763	1	Ⴏ	cut_w_stereo_44KHz.wav
1	30	4	3	2	I	1	0	1124	1	Ⴕ	cut_h_stereo_44KHz.wav
1	31	3	3	2	I	2	0	926	1	Ⴉ	cut_h_stereo_44KHz.wav
1	32	1	2	0	C	2	1	921	1	Ⴔ	cut_l_stereo_44KHz.wav
1	33	4	3	2	I	1	0	826	0	Ⴕ	cut_h_stereo_44KHz.wav
1	34	3	3	2	I	2	0	983	0	Ⴉ	cut_h_stereo_44KHz.wav
1	35	2	1	0	C	2	1	741	1	Ⴏ	cut_w_stereo_44KHz.wav
1	36	1	2	0	C	2	1	639	1	Ⴔ	cut_l_stereo_44KHz.wav
1	37	3	4	2	I	1	0	965	0	Ⴉ	cut_g_stereo_44KHz.wav
1	38	4	4	2	I	2	0	1409	0	Ⴕ	cut_g_stereo_44KHz.wav
1	39	1	1	1	C	1	1	855	1	Ⴔ	cut_w_stereo_44KHz.wav
1	40	2	2	1	C	1	1	917	1	Ⴏ	cut_l_stereo_44KHz.wav
1	41	3	3	2	I	2	0	1067	1	Ⴉ	cut_h_stereo_44KHz.wav
1	42	2	1	0	C	2	1	812	1	Ⴏ	cut_w_stereo_44KHz.wav
1	43	1	1	1	C	1	1	742	1	Ⴔ	cut_w_stereo_44KHz.wav
1	44	4	3	2	I	2	0	585	1	Ⴕ	cut_h_stereo_44KHz.wav
1	45	2	2	1	C	1	1	1045	1	Ⴏ	cut_l_stereo_44KHz.wav
1	46	3	4	2	I	2	0	966	0	Ⴉ	cut_g_stereo_44KHz.wav
1	47	1	2	0	C	2	1	1111	1	Ⴔ	cut_l_stereo_44KHz.wav
1	48	4	4	2	I	2	0	892	1	Ⴕ	cut_g_stereo_44KHz.wav
1	49	3	3	2	I	2	0	733	1	Ⴉ	cut_h_stereo_44KHz.wav
1	50	1	2	0	C	2	1	702	1	Ⴔ	cut_l_stereo_44KHz.wav
1	51	2	1	0	C	2	1	693	1	Ⴏ	cut_w_stereo_44KHz.wav
1	52	4	3	2	I	2	0	836	0	Ⴕ	cut_h_stereo_44KHz.wav
1	53	1	1	1	C	1	1	872	1	Ⴔ	cut_w_stereo_44KHz.wav
1	54	3	4	2	I	2	0	1587	1	Ⴉ	cut_g_stereo_44KHz.wav
1	55	2	2	1	C	1	1	1130	1	Ⴏ	cut_l_stereo_44KHz.wav
1	56	4	4	2	I	2	0	714	1	Ⴕ	cut_g_stereo_44KHz.wav
1	57	3	4	2	I	2	0	639	0	Ⴉ	cut_g_stereo_44KHz.wav
1	58	4	3	2	I	1	0	1052	0	Ⴕ	cut_h_stereo_44KHz.wav
1	59	1	1	1	C	1	1	986	1	Ⴔ	cut_w_stereo_44KHz.wav
1	60	2	2	1	C	2	0	864	0	Ⴏ	cut_l_stereo_44KHz.wav
1	61	4	4	2	I	2	0	1220	1	Ⴕ	cut_g_stereo_44KHz.wav
1	62	1	2	0	C	2	1	867	1	Ⴔ	cut_l_stereo_44KHz.wav
1	63	2	1	0	C	2	1	694	1	Ⴏ	cut_w_stereo_44KHz.wav
1	64	3	3	2	I	2	0	1007	0	Ⴉ	cut_h_stereo_44KHz.wav
1	65	2	1	0	C	2	1	731	1	Ⴏ	cut_w_stereo_44KHz.wav
1	66	1	1	1	C	1	1	807	1	Ⴔ	cut_w_stereo_44KHz.wav
1	67	4	3	2	I	2	0	879	1	Ⴕ	cut_h_stereo_44KHz.wav
1	68	3	3	2	I	2	0	740	0	Ⴉ	cut_h_stereo_44KHz.wav
1	69	2	2	1	C	1	1	937	1	Ⴏ	cut_l_stereo_44KHz.wav
1	70	1	2	0	C	2	1	770	1	Ⴔ	cut_l_stereo_44KHz.wav
1	71	3	4	2	I	2	0	1096	0	Ⴉ	cut_g_stereo_44KHz.wav
1	72	4	4	2	I	2	0	663	1	Ⴕ	cut_g_stereo_44KHz.wav
1	73	3	4	2	I	1	0	894	0	Ⴉ	cut_g_stereo_44KHz.wav
1	74	4	4	2	I	2	0	1222	0	Ⴕ	cut_g_stereo_44KHz.wav
1	75	2	2	1	C	1	1	1690	1	Ⴏ	cut_l_stereo_44KHz.wav
1	76	1	1	1	C	1	1	868	1	Ⴔ	cut_w_stereo_44KHz.wav
1	77	2	1	0	C	2	1	802	1	Ⴏ	cut_w_stereo_44KHz.wav
1	78	3	3	2	I	2	0	657	1	Ⴉ	cut_h_stereo_44KHz.wav
1	79	4	3	2	I	1	0	458	0	Ⴕ	cut_h_stereo_44KHz.wav
1	80	1	2	0	C	2	1	800	1	Ⴔ	cut_l_stereo_44KHz.wav
1	81	4	3	2	I	1	0	1301	1	Ⴕ	cut_h_stereo_44KHz.wav
1	82	3	3	2	I	1	0	1166	0	Ⴉ	cut_h_stereo_44KHz.wav
1	83	2	2	1	C	1	1	899	1	Ⴏ	cut_l_stereo_44KHz.wav
1	84	1	1	1	C	1	1	782	1	Ⴔ	cut_w_stereo_44KHz.wav
1	85	3	4	2	I	0	0	0	0	Ⴉ	cut_g_stereo_44KHz.wav
1	86	2	1	0	C	2	1	760	1	Ⴏ	cut_w_stereo_44KHz.wav
1	87	4	4	2	I	2	0	1025	1	Ⴕ	cut_g_stereo_44KHz.wav
1	88	1	2	0	C	2	1	1084	1	Ⴔ	cut_l_stereo_44KHz.wav
1	89	4	4	2	I	2	0	708	1	Ⴕ	cut_g_stereo_44KHz.wav
1	90	1	2	0	C	2	1	1061	1	Ⴔ	cut_l_stereo_44KHz.wav
1	91	3	4	2	I	2	0	1267	1	Ⴉ	cut_g_stereo_44KHz.wav
1	92	2	1	0	C	2	1	1001	1	Ⴏ	cut_w_stereo_44KHz.wav
1	93	4	3	2	I	1	0	1046	0	Ⴕ	cut_h_stereo_44KHz.wav
1	94	1	1	1	C	1	1	990	1	Ⴔ	cut_w_stereo_44KHz.wav
1	95	3	3	2	I	2	0	763	0	Ⴉ	cut_h_stereo_44KHz.wav
1	96	2	2	1	C	1	1	929	1	Ⴏ	cut_l_stereo_44KHz.wav
1	97	4	3	2	I	1	0	1011	1	Ⴕ	cut_h_stereo_44KHz.wav
1	98	3	3	2	I	2	0	766	1	Ⴉ	cut_h_stereo_44KHz.wav
1	99	2	1	0	C	2	1	779	1	Ⴏ	cut_w_stereo_44KHz.wav
1	100	1	2	0	C	2	1	604	1	Ⴔ	cut_l_stereo_44KHz.wav
1	101	3	4	2	I	2	0	1194	0	Ⴉ	cut_g_stereo_44KHz.wav
1	102	4	4	2	I	2	0	667	1	Ⴕ	cut_g_stereo_44KHz.wav
1	103	1	1	1	C	1	1	834	1	Ⴔ	cut_w_stereo_44KHz.wav
1	104	2	2	1	C	1	1	1033	1	Ⴏ	cut_l_stereo_44KHz.wav
1	105	3	4	2	I	2	0	739	0	Ⴉ	cut_g_stereo_44KHz.wav
1	106	1	1	1	C	1	1	728	1	Ⴔ	cut_w_stereo_44KHz.wav
1	107	4	3	2	I	1	0	1387	0	Ⴕ	cut_h_stereo_44KHz.wav
1	108	2	2	1	C	1	1	924	1	Ⴏ	cut_l_stereo_44KHz.wav
1	109	3	3	2	I	2	0	961	1	Ⴉ	cut_h_stereo_44KHz.wav
1	110	2	1	0	C	2	1	1141	1	Ⴏ	cut_w_stereo_44KHz.wav
1	111	4	4	2	I	2	0	748	1	Ⴕ	cut_g_stereo_44KHz.wav
1	112	1	2	0	C	1	0	799	0	Ⴔ	cut_l_stereo_44KHz.wav
1	113	2	1	0	C	2	1	688	1	Ⴏ	cut_w_stereo_44KHz.wav
1	114	1	2	0	C	2	1	889	1	Ⴔ	cut_l_stereo_44KHz.wav
1	115	4	4	2	I	2	0	746	1	Ⴕ	cut_g_stereo_44KHz.wav
1	116	3	3	2	I	2	0	982	0	Ⴉ	cut_h_stereo_44KHz.wav
1	117	1	1	1	C	1	1	704	1	Ⴔ	cut_w_stereo_44KHz.wav
1	118	2	2	1	C	1	1	642	1	Ⴏ	cut_l_stereo_44KHz.wav
1	119	3	4	2	I	2	0	721	1	Ⴉ	cut_g_stereo_44KHz.wav
1	120	4	3	2	I	2	0	826	0	Ⴕ	cut_h_stereo_44KHz.wav
1	121	1	2	0	C	2	1	713	1	Ⴔ	cut_l_stereo_44KHz.wav
1	122	2	2	1	C	1	1	732	1	Ⴏ	cut_l_stereo_44KHz.wav
1	123	3	3	2	I	2	0	788	1	Ⴉ	cut_h_stereo_44KHz.wav
1	124	4	3	2	I	1	0	1003	1	Ⴕ	cut_h_stereo_44KHz.wav
1	125	2	1	0	C	2	1	663	1	Ⴏ	cut_w_stereo_44KHz.wav
1	126	1	1	1	C	1	1	721	1	Ⴔ	cut_w_stereo_44KHz.wav
1	127	3	4	2	I	2	0	1175	1	Ⴉ	cut_g_stereo_44KHz.wav
1	128	4	4	2	I	1	0	1251	1	Ⴕ	cut_g_stereo_44KHz.wav
1	129	3	3	2	I	2	0	1300	1	Ⴉ	cut_h_stereo_44KHz.wav
1	130	4	4	2	I	2	0	1389	0	Ⴕ	cut_g_stereo_44KHz.wav
1	131	2	1	0	C	2	1	726	1	Ⴏ	cut_w_stereo_44KHz.wav
1	132	1	2	0	C	2	1	881	1	Ⴔ	cut_l_stereo_44KHz.wav
1	133	4	3	2	I	2	0	778	1	Ⴕ	cut_h_stereo_44KHz.wav
1	134	2	2	1	C	1	1	897	1	Ⴏ	cut_l_stereo_44KHz.wav
1	135	1	1	1	C	1	1	762	1	Ⴔ	cut_w_stereo_44KHz.wav
1	136	3	4	2	I	2	0	849	0	Ⴉ	cut_g_stereo_44KHz.wav
1	137	2	1	0	C	2	1	761	1	Ⴏ	cut_w_stereo_44KHz.wav
1	138	1	1	1	C	1	1	655	1	Ⴔ	cut_w_stereo_44KHz.wav
1	139	4	3	2	I	2	0	1073	1	Ⴕ	cut_h_stereo_44KHz.wav
1	140	3	4	2	I	2	0	1041	1	Ⴉ	cut_g_stereo_44KHz.wav
1	141	2	2	1	C	1	1	886	1	Ⴏ	cut_l_stereo_44KHz.wav
1	142	3	3	2	I	2	0	939	1	Ⴉ	cut_h_stereo_44KHz.wav
1	143	1	2	0	C	2	1	828	1	Ⴔ	cut_l_stereo_44KHz.wav
1	144	4	4	2	I	1	0	1136	0	Ⴕ	cut_g_stereo_44KHz.wav
1	145	2	1	0	C	2	1	698	1	Ⴏ	cut_w_stereo_44KHz.wav
1	146	3	3	2	I	2	0	870	0	Ⴉ	cut_h_stereo_44KHz.wav
1	147	1	2	0	C	2	1	668	1	Ⴔ	cut_l_stereo_44KHz.wav
1	148	4	3	2	I	1	0	1029	0	Ⴕ	cut_h_stereo_44KHz.wav
1	149	2	2	1	C	1	1	892	1	Ⴏ	cut_l_stereo_44KHz.wav
1	150	4	4	2	I	2	0	768	0	Ⴕ	cut_g_stereo_44KHz.wav
1	151	1	1	1	C	1	1	818	1	Ⴔ	cut_w_stereo_44KHz.wav
1	152	3	4	2	I	2	0	894	0	Ⴉ	cut_g_stereo_44KHz.wav
1	153	4	3	2	I	1	0	854	1	Ⴕ	cut_h_stereo_44KHz.wav
1	154	3	3	2	I	1	0	950	0	Ⴉ	cut_h_stereo_44KHz.wav
1	155	1	1	1	C	1	1	910	1	Ⴔ	cut_w_stereo_44KHz.wav
1	156	2	1	0	C	2	1	666	1	Ⴏ	cut_w_stereo_44KHz.wav
1	157	1	2	0	C	2	1	1012	1	Ⴔ	cut_l_stereo_44KHz.wav
1	158	4	4	2	I	1	0	1036	0	Ⴕ	cut_g_stereo_44KHz.wav
1	159	3	4	2	I	2	0	1542	1	Ⴉ	cut_g_stereo_44KHz.wav
1	160	2	2	1	C	1	1	921	1	Ⴏ	cut_l_stereo_44KHz.wav
1	161	3	4	2	I	1	0	1326	1	Ⴉ	cut_g_stereo_44KHz.wav
1	162	4	3	2	I	2	0	1000	1	Ⴕ	cut_h_stereo_44KHz.wav
1	163	1	2	0	C	2	1	777	1	Ⴔ	cut_l_stereo_44KHz.wav
1	164	2	1	0	C	2	1	669	1	Ⴏ	cut_w_stereo_44KHz.wav
1	165	1	1	1	C	1	1	634	1	Ⴔ	cut_w_stereo_44KHz.wav
1	166	2	2	1	C	1	1	685	1	Ⴏ	cut_l_stereo_44KHz.wav
1	167	3	3	2	I	1	0	816	1	Ⴉ	cut_h_stereo_44KHz.wav
1	168	4	4	2	I	2	0	847	0	Ⴕ	cut_g_stereo_44KHz.wav
1	169	3	3	2	I	2	0	805	0	Ⴉ	cut_h_stereo_44KHz.wav
1	170	4	3	2	I	1	0	888	0	Ⴕ	cut_h_stereo_44KHz.wav
1	171	1	2	0	C	2	1	669	1	Ⴔ	cut_l_stereo_44KHz.wav
1	172	2	1	0	C	1	0	549	0	Ⴏ	cut_w_stereo_44KHz.wav
1	173	1	1	1	C	1	1	825	1	Ⴔ	cut_w_stereo_44KHz.wav
1	174	4	4	2	I	2	0	714	1	Ⴕ	cut_g_stereo_44KHz.wav
1	175	3	4	2	I	2	0	1017	1	Ⴉ	cut_g_stereo_44KHz.wav
1	176	2	2	1	C	1	1	860	1	Ⴏ	cut_l_stereo_44KHz.wav
1	177	3	4	2	I	1	0	1200	1	Ⴉ	cut_g_stereo_44KHz.wav
1	178	1	1	1	C	1	1	1032	1	Ⴔ	cut_w_stereo_44KHz.wav
1	179	2	2	1	C	1	1	784	1	Ⴏ	cut_l_stereo_44KHz.wav
1	180	4	4	2	I	1	0	1042	0	Ⴕ	cut_g_stereo_44KHz.wav
1	181	2	1	0	C	2	1	696	1	Ⴏ	cut_w_stereo_44KHz.wav
1	182	3	3	2	I	1	0	911	0	Ⴉ	cut_h_stereo_44KHz.wav
1	183	1	2	0	C	2	1	758	1	Ⴔ	cut_l_stereo_44KHz.wav
1	184	4	3	2	I	1	0	850	0	Ⴕ	cut_h_stereo_44KHz.wav
1	185	3	3	2	I	2	0	659	0	Ⴉ	cut_h_stereo_44KHz.wav
1	186	4	3	2	I	2	0	735	1	Ⴕ	cut_h_stereo_44KHz.wav
1	187	1	2	0	C	2	1	696	1	Ⴔ	cut_l_stereo_44KHz.wav
1	188	2	1	0	C	1	0	776	0	Ⴏ	cut_w_stereo_44KHz.wav
1	189	1	1	1	C	1	1	853	1	Ⴔ	cut_w_stereo_44KHz.wav
1	190	3	4	2	I	1	0	1245	1	Ⴉ	cut_g_stereo_44KHz.wav
1	191	4	4	2	I	1	0	1100	0	Ⴕ	cut_g_stereo_44KHz.wav
1	192	2	2	1	C	1	1	1449	1	Ⴏ	cut_l_stereo_44KHz.wav
1	193	1	1	1	C	2	0	697	0	Ⴔ	cut_w_stereo_44KHz.wav
1	194	2	1	0	C	2	1	638	1	Ⴏ	cut_w_stereo_44KHz.wav
1	195	3	4	2	I	1	0	1039	1	Ⴉ	cut_g_stereo_44KHz.wav
1	196	4	4	2	I	2	0	789	1	Ⴕ	cut_g_stereo_44KHz.wav
1	197	2	2	1	C	1	1	1093	1	Ⴏ	cut_l_stereo_44KHz.wav
1	198	4	3	2	I	2	0	810	0	Ⴕ	cut_h_stereo_44KHz.wav
1	199	1	2	0	C	2	1	860	1	Ⴔ	cut_l_stereo_44KHz.wav
1	200	3	3	2	I	2	0	811	0	Ⴉ	cut_h_stereo_44KHz.wav
2	1	2	1	0	C	2	1	1099	1	Ⴇ	cut_r_stereo_44KHz.wav
2	2	1	1	1	C	1	1	770	1	Ⴂ	cut_r_stereo_44KHz.wav
2	3	4	4	2	I	1	0	658	0	Ⴁ	cut_oei_stereo_44KHz.wav
2	4	3	4	2	I	1	0	685	0	Ⴃ	cut_oei_stereo_44KHz.wav
2	5	4	3	2	I	1	0	1143	1	Ⴁ	cut_ei_stereo_44KHz.wav
2	6	3	3	2	I	2	0	603	0	Ⴃ	cut_ei_stereo_44KHz.wav
2	7	2	2	1	C	1	1	729	1	Ⴇ	cut_j_stereo_44KHz.wav
2	8	1	2	0	C	2	1	651	1	Ⴂ	cut_j_stereo_44KHz.wav
2	9	4	3	2	I	1	0	1123	1	Ⴁ	cut_ei_stereo_44KHz.wav
2	10	3	3	2	I	1	0	735	0	Ⴃ	cut_ei_stereo_44KHz.wav
2	11	1	1	1	C	1	1	812	1	Ⴂ	cut_r_stereo_44KHz.wav
2	12	2	1	0	C	2	1	582	1	Ⴇ	cut_r_stereo_44KHz.wav
2	13	1	2	0	C	2	1	896	1	Ⴂ	cut_j_stereo_44KHz.wav
2	14	4	4	2	I	2	0	797	0	Ⴁ	cut_oei_stereo_44KHz.wav
2	15	2	2	1	C	1	1	843	1	Ⴇ	cut_j_stereo_44KHz.wav
2	16	3	4	2	I	2	0	683	1	Ⴃ	cut_oei_stereo_44KHz.wav
2	17	4	3	2	I	1	0	691	1	Ⴁ	cut_ei_stereo_44KHz.wav
2	18	2	1	0	C	2	1	718	1	Ⴇ	cut_r_stereo_44KHz.wav
2	19	3	4	2	I	2	0	838	1	Ⴃ	cut_oei_stereo_44KHz.wav
2	20	1	2	0	C	2	1	678	1	Ⴂ	cut_j_stereo_44KHz.wav
2	21	3	3	2	I	1	0	716	0	Ⴃ	cut_ei_stereo_44KHz.wav
2	22	2	2	1	C	1	1	1076	1	Ⴇ	cut_j_stereo_44KHz.wav
2	23	1	1	1	C	1	1	819	1	Ⴂ	cut_r_stereo_44KHz.wav
2	24	4	4	2	I	1	0	782	1	Ⴁ	cut_oei_stereo_44KHz.wav
2	25	3	4	2	I	2	0	592	1	Ⴃ	cut_oei_stereo_44KHz.wav
2	26	1	1	1	C	1	1	853	1	Ⴂ	cut_r_stereo_44KHz.wav
2	27	4	3	2	I	2	0	1019	0	Ⴁ	cut_ei_stereo_44KHz.wav
2	28	2	2	1	C	1	1	700	1	Ⴇ	cut_j_stereo_44KHz.wav
2	29	1	2	0	C	2	1	796	1	Ⴂ	cut_j_stereo_44KHz.wav
2	30	2	1	0	C	1	0	726	0	Ⴇ	cut_r_stereo_44KHz.wav
2	31	3	3	2	I	1	0	994	0	Ⴃ	cut_ei_stereo_44KHz.wav
2	32	4	4	2	I	1	0	966	1	Ⴁ	cut_oei_stereo_44KHz.wav
2	33	2	2	1	C	1	1	793	1	Ⴇ	cut_j_stereo_44KHz.wav
2	34	3	4	2	I	2	0	854	1	Ⴃ	cut_oei_stereo_44KHz.wav
2	35	1	2	0	C	2	1	682	1	Ⴂ	cut_j_stereo_44KHz.wav
2	36	4	4	2	I	1	0	737	0	Ⴁ	cut_oei_stereo_44KHz.wav
2	37	2	1	0	C	2	1	776	1	Ⴇ	cut_r_stereo_44KHz.wav
2	38	1	1	1	C	1	1	911	1	Ⴂ	cut_r_stereo_44KHz.wav
2	39	4	3	2	I	2	0	1139	0	Ⴁ	cut_ei_stereo_44KHz.wav
2	40	3	3	2	I	1	0	1138	0	Ⴃ	cut_ei_stereo_44KHz.wav
2	41	4	3	2	I	2	0	1083	1	Ⴁ	cut_ei_stereo_44KHz.wav
2	42	1	2	0	C	2	1	1600	1	Ⴂ	cut_j_stereo_44KHz.wav
2	43	2	2	1	C	1	1	797	1	Ⴇ	cut_j_stereo_44KHz.wav
2	44	3	3	2	I	1	0	998	1	Ⴃ	cut_ei_stereo_44KHz.wav
2	45	2	1	0	C	2	1	806	1	Ⴇ	cut_r_stereo_44KHz.wav
2	46	4	4	2	I	1	0	964	1	Ⴁ	cut_oei_stereo_44KHz.wav
2	47	1	1	1	C	1	1	828	1	Ⴂ	cut_r_stereo_44KHz.wav
2	48	3	4	2	I	2	0	658	1	Ⴃ	cut_oei_stereo_44KHz.wav
2	49	1	1	1	C	1	1	700	1	Ⴂ	cut_r_stereo_44KHz.wav
2	50	4	3	2	I	2	0	778	1	Ⴁ	cut_ei_stereo_44KHz.wav
2	51	3	3	2	I	2	0	559	0	Ⴃ	cut_ei_stereo_44KHz.wav
2	52	2	1	0	C	2	1	1005	1	Ⴇ	cut_r_stereo_44KHz.wav
2	53	4	4	2	I	1	0	856	0	Ⴁ	cut_oei_stereo_44KHz.wav
2	54	3	4	2	I	2	0	573	1	Ⴃ	cut_oei_stereo_44KHz.wav
2	55	1	2	0	C	2	1	812	1	Ⴂ	cut_j_stereo_44KHz.wav
2	56	2	2	1	C	1	1	687	1	Ⴇ	cut_j_stereo_44KHz.wav
2	57	4	4	2	I	2	0	847	0	Ⴁ	cut_oei_stereo_44KHz.wav
2	58	2	2	1	C	1	1	873	1	Ⴇ	cut_j_stereo_44KHz.wav
2	59	1	2	0	C	2	1	738	1	Ⴂ	cut_j_stereo_44KHz.wav
2	60	3	3	2	I	1	0	851	1	Ⴃ	cut_ei_stereo_44KHz.wav
2	61	1	1	1	C	1	1	886	1	Ⴂ	cut_r_stereo_44KHz.wav
2	62	4	3	2	I	2	0	586	0	Ⴁ	cut_ei_stereo_44KHz.wav
2	63	2	1	0	C	2	1	773	1	Ⴇ	cut_r_stereo_44KHz.wav
2	64	3	4	2	I	2	0	808	1	Ⴃ	cut_oei_stereo_44KHz.wav
2	65	1	2	0	C	2	1	725	1	Ⴂ	cut_j_stereo_44KHz.wav
2	66	3	3	2	I	2	0	995	1	Ⴃ	cut_ei_stereo_44KHz.wav
2	67	4	4	2	I	2	0	939	1	Ⴁ	cut_oei_stereo_44KHz.wav
2	68	2	2	1	C	1	1	740	1	Ⴇ	cut_j_stereo_44KHz.wav
2	69	4	3	2	I	1	0	1125	1	Ⴁ	cut_ei_stereo_44KHz.wav
2	70	3	4	2	I	2	0	746	0	Ⴃ	cut_oei_stereo_44KHz.wav
2	71	2	1	0	C	2	1	663	1	Ⴇ	cut_r_stereo_44KHz.wav
2	72	1	1	1	C	1	1	649	1	Ⴂ	cut_r_stereo_44KHz.wav
2	73	2	2	1	C	1	1	819	1	Ⴇ	cut_j_stereo_44KHz.wav
2	74	4	3	2	I	1	0	1308	0	Ⴁ	cut_ei_stereo_44KHz.wav
2	75	3	4	2	I	2	0	1010	0	Ⴃ	cut_oei_stereo_44KHz.wav
2	76	1	2	0	C	2	1	745	1	Ⴂ	cut_j_stereo_44KHz.wav
2	77	4	4	2	I	1	0	678	0	Ⴁ	cut_oei_stereo_44KHz.wav
2	78	1	1	1	C	1	1	827	1	Ⴂ	cut_r_stereo_44KHz.wav
2	79	2	1	0	C	2	1	680	1	Ⴇ	cut_r_stereo_44KHz.wav
2	80	3	3	2	I	1	0	678	1	Ⴃ	cut_ei_stereo_44KHz.wav
