block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

0	1	1	1	1	C	2	1	1386	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	2	2	4	0	C	1	1	944	1	Ⴢ	cut_g_stereo_44KHz.wav
0	3	2	3	1	C	2	1	1563	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	4	1	2	0	C	0	0	0	0	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	5	1	2	0	C	2	0	1089	0	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	6	2	4	0	C	1	1	928	1	Ⴢ	cut_g_stereo_44KHz.wav
0	7	2	3	1	C	2	1	1068	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	8	1	1	1	C	2	1	1270	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	9	2	3	1	C	2	1	1634	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	10	1	1	1	C	2	1	1054	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	11	1	2	0	C	1	1	951	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	12	2	4	0	C	1	1	1111	1	Ⴢ	cut_g_stereo_44KHz.wav
0	13	1	1	1	C	2	1	920	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	14	1	2	0	C	1	1	923	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	15	2	4	0	C	1	1	583	1	Ⴢ	cut_g_stereo_44KHz.wav
0	16	2	3	1	C	2	1	858	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	17	2	4	0	C	1	1	1141	1	Ⴢ	cut_g_stereo_44KHz.wav
0	18	1	1	1	C	2	1	787	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	19	1	2	0	C	1	1	941	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	20	2	3	1	C	2	1	818	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	21	1	1	1	C	2	1	994	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	22	2	4	0	C	1	1	798	1	Ⴢ	cut_g_stereo_44KHz.wav
0	23	1	2	0	C	1	1	926	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	24	2	3	1	C	2	1	1336	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	25	1	2	0	C	1	1	865	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	26	1	1	1	C	2	1	842	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	27	2	4	0	C	1	1	856	1	Ⴢ	cut_g_stereo_44KHz.wav
0	28	2	3	1	C	2	1	911	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	29	2	4	0	C	1	1	925	1	Ⴢ	cut_g_stereo_44KHz.wav
0	30	1	2	0	C	1	1	1347	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
avg_resp = 1024
1	1	2	1	0	C	1	1	1441	1	Ⴁ	cut_ei_stereo_44KHz.wav
1	2	4	3	2	I	2	0	1153	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	3	1	2	0	C	1	1	997	1	Ⴃ	cut_oei_stereo_44KHz.wav
1	4	3	4	2	I	2	0	1199	0	Ⴟ	cut_s_stereo_44KHz.wav
1	5	2	2	1	C	2	1	1402	1	Ⴁ	cut_oei_stereo_44KHz.wav
1	6	4	4	2	I	2	0	1013	1	Ⴇ	cut_s_stereo_44KHz.wav
