block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
RL

0	1	1	1	1	C	2	0	1065	0	poli_8sides 21_whiteLine3.jpg	Practice2_b27_cut2_mono_resampled.wav
0	2	2	4	0	C	2	1	845	1	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_mono_resampled.wav
0	3	2	3	1	C	1	1	741	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_mono_resampled.wav
0	4	1	2	0	C	2	1	1266	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_mono_resampled.wav
0	5	2	3	1	C	1	1	989	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_mono_resampled.wav
0	6	1	1	1	C	2	0	492	0	poli_8sides 21_whiteLine3.jpg	Practice2_b27_cut2_mono_resampled.wav
0	7	2	4	0	C	2	1	754	1	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_mono_resampled.wav
0	8	1	2	0	C	1	0	758	0	poli_8sides 21_whiteLine3.jpg	Practice4_b26_mono_resampled.wav
0	9	1	1	1	C	2	0	320	0	poli_8sides 21_whiteLine3.jpg	Practice2_b27_cut2_mono_resampled.wav
0	10	2	4	0	C	2	1	373	1	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_mono_resampled.wav
0	11	1	2	0	C	2	1	329	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_mono_resampled.wav
0	12	2	3	1	C	2	0	801	0	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_mono_resampled.wav
0	13	1	1	1	C	1	1	718	1	poli_8sides 21_whiteLine3.jpg	Practice2_b27_cut2_mono_resampled.wav
0	14	2	4	0	C	2	1	750	1	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_mono_resampled.wav
0	15	2	3	1	C	1	1	796	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_mono_resampled.wav
0	16	1	2	0	C	2	1	1498	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_mono_resampled.wav
0	17	1	2	0	C	2	1	719	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_mono_resampled.wav
0	18	2	4	0	C	1	0	870	0	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_mono_resampled.wav
0	19	1	1	1	C	2	0	610	0	poli_8sides 21_whiteLine3.jpg	Practice2_b27_cut2_mono_resampled.wav
0	20	2	3	1	C	2	0	559	0	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_mono_resampled.wav
0	21	1	2	0	C	2	1	1167	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_mono_resampled.wav
0	22	2	3	1	C	1	1	1032	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_mono_resampled.wav
0	23	2	4	0	C	2	1	1304	1	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_mono_resampled.wav
0	24	1	1	1	C	1	1	1443	1	poli_8sides 21_whiteLine3.jpg	Practice2_b27_cut2_mono_resampled.wav
0	25	1	1	1	C	1	1	1295	1	poli_8sides 21_whiteLine3.jpg	Practice2_b27_cut2_mono_resampled.wav
0	26	2	4	0	C	2	1	1015	1	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_mono_resampled.wav
0	27	1	2	0	C	2	1	1237	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_mono_resampled.wav
0	28	2	3	1	C	1	1	1486	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_mono_resampled.wav
0	29	1	1	1	C	1	1	1893	1	poli_8sides 21_whiteLine3.jpg	Practice2_b27_cut2_mono_resampled.wav
0	30	2	3	1	C	2	0	1815	0	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_mono_resampled.wav
avg_resp = 1031
1	1	4	3	2	I	2	0	1409	1	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	2	3	3	2	I	1	0	1137	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	3	2	1	0	C	2	1	1738	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	4	1	1	1	C	1	1	1273	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	5	2	2	1	C	2	0	1402	0	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	6	1	2	0	C	2	1	1400	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	7	4	4	2	I	1	0	941	1	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	8	3	4	2	I	2	0	1366	1	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	9	4	4	2	I	1	0	1075	0	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	10	2	2	1	C	2	0	1223	0	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	11	3	4	2	I	1	0	1484	0	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	12	1	2	0	C	1	0	1829	0	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	13	4	3	2	I	2	0	922	1	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	14	1	1	1	C	1	1	1301	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	15	3	3	2	I	1	0	1013	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	16	2	1	0	C	2	1	1626	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	17	4	4	2	I	1	0	994	0	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	18	2	1	0	C	2	1	864	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	19	1	1	1	C	1	1	803	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	20	3	3	2	I	1	0	1946	0	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	21	4	3	2	I	2	0	1400	0	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	22	2	2	1	C	1	1	1472	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	23	3	4	2	I	1	0	996	0	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	24	1	2	0	C	2	1	1775	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	25	4	4	2	I	2	0	1103	0	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	26	1	1	1	C	2	0	745	0	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	27	3	4	2	I	2	0	980	1	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	28	2	1	0	C	2	1	911	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	29	4	3	2	I	2	0	1082	1	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	30	3	3	2	I	1	0	952	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	31	2	2	1	C	1	1	957	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	32	1	2	0	C	1	0	1456	0	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	33	3	4	2	I	2	0	924	1	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	34	1	1	1	C	2	0	1629	0	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	35	2	1	0	C	2	1	639	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	36	4	4	2	I	1	0	1210	0	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	37	3	3	2	I	1	0	1550	0	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	38	1	2	0	C	2	1	954	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	39	2	2	1	C	2	0	1671	0	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	40	4	3	2	I	2	0	1129	1	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	41	3	4	2	I	2	0	1639	0	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	42	2	1	0	C	2	1	1075	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	43	1	1	1	C	1	1	1584	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	44	4	4	2	I	1	0	1325	1	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	45	2	2	1	C	2	0	1240	0	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	46	3	3	2	I	2	0	1865	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	47	1	2	0	C	2	1	1704	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	48	4	3	2	I	2	0	1823	1	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	49	2	1	0	C	2	1	1390	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	50	4	3	2	I	2	0	1828	1	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	51	1	2	0	C	2	1	1093	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	52	3	4	2	I	1	0	1682	1	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	53	2	2	1	C	0	0	0	0	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	54	1	1	1	C	2	0	862	0	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	55	4	4	2	I	1	0	1602	1	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	56	3	3	2	I	2	0	1945	0	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	57	2	1	0	C	2	1	1043	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	58	4	3	2	I	2	0	1346	1	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	59	3	3	2	I	1	0	938	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	60	1	1	1	C	2	0	1226	0	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	61	4	4	2	I	1	0	1067	1	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	62	2	2	1	C	0	0	0	0	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	63	3	4	2	I	2	0	1638	1	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	64	1	2	0	C	2	1	1131	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	65	2	2	1	C	1	1	882	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	66	3	4	2	I	2	0	1436	0	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	67	1	1	1	C	2	0	1848	0	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	68	4	4	2	I	1	0	1255	1	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	69	2	1	0	C	2	1	902	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	70	4	3	2	I	1	0	879	1	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	71	3	3	2	I	1	0	1705	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	72	1	2	0	C	2	1	1021	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	73	3	4	2	I	2	0	1274	0	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	74	4	3	2	I	1	0	1208	1	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	75	2	1	0	C	2	1	1416	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	76	1	1	1	C	1	1	941	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	77	4	4	2	I	1	0	1087	1	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	78	3	3	2	I	1	0	1378	0	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	79	2	2	1	C	2	0	1598	0	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	80	1	2	0	C	2	1	566	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	81	4	4	2	I	1	0	982	0	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	82	3	3	2	I	1	0	1179	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	83	1	1	1	C	2	0	1070	0	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	84	2	2	1	C	2	0	1697	0	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	85	4	3	2	I	2	0	1085	0	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	86	3	4	2	I	2	0	1366	0	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	87	1	2	0	C	2	1	1416	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	88	2	1	0	C	2	1	955	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	89	3	4	2	I	2	0	1293	0	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	90	1	1	1	C	1	1	1896	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	91	2	1	0	C	2	1	1170	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	92	4	3	2	I	2	0	1104	1	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	93	2	2	1	C	1	1	1548	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	94	1	2	0	C	2	1	773	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	95	3	3	2	I	1	0	1240	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	96	4	4	2	I	1	0	1293	0	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	97	2	2	1	C	1	1	1573	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	98	3	3	2	I	2	0	919	0	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	99	4	4	2	I	2	0	1177	1	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	100	1	2	0	C	2	1	853	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	101	2	1	0	C	2	1	884	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	102	3	4	2	I	2	0	1188	0	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	103	4	3	2	I	2	0	855	1	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	104	1	1	1	C	1	1	1382	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	105	4	4	2	I	1	0	1066	1	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	106	1	1	1	C	1	1	1183	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	107	3	4	2	I	2	0	1034	1	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	108	2	1	0	C	2	1	1439	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	109	4	3	2	I	2	0	957	0	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	110	3	3	2	I	1	0	1625	0	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	111	2	2	1	C	1	1	1319	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	112	1	2	0	C	2	1	729	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	113	4	3	2	I	2	0	994	0	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	114	2	1	0	C	2	1	1018	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	115	3	4	2	I	2	0	941	1	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	116	1	1	1	C	1	1	1404	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	117	4	4	2	I	1	0	1109	0	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	118	3	3	2	I	2	0	1223	0	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	119	2	2	1	C	1	1	1235	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	120	1	2	0	C	2	1	493	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	121	4	4	2	I	1	0	1089	1	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	122	3	4	2	I	2	0	1108	1	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	123	1	1	1	C	1	1	1137	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	124	2	2	1	C	1	1	1082	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	125	4	3	2	I	2	0	1122	0	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	126	3	3	2	I	2	0	1429	0	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	127	2	1	0	C	1	0	1403	0	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	128	1	2	0	C	2	1	617	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	129	3	3	2	I	1	0	1361	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	130	1	2	0	C	2	1	693	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	131	4	4	2	I	1	0	1038	0	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	132	2	1	0	C	2	1	959	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	133	3	4	2	I	2	0	1091	0	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	134	1	1	1	C	1	1	1003	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	135	4	3	2	I	2	0	923	1	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	136	2	2	1	C	1	1	1293	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	137	3	3	2	I	1	0	1176	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	138	2	2	1	C	1	1	1111	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	139	1	1	1	C	1	1	842	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	140	4	4	2	I	1	0	1200	1	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	141	1	2	0	C	2	1	768	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	142	2	1	0	C	2	1	847	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	143	4	3	2	I	2	0	849	0	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	144	3	4	2	I	2	0	1294	0	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	145	4	3	2	I	2	0	831	0	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	146	3	4	2	I	2	0	952	1	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	147	1	1	1	C	1	1	1143	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	148	2	1	0	C	2	1	1719	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	149	3	3	2	I	1	0	1085	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	150	2	2	1	C	1	1	1173	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	151	1	2	0	C	2	1	856	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	152	4	4	2	I	1	0	974	1	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	153	1	1	1	C	1	1	889	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	154	4	4	2	I	1	0	1150	1	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	155	3	4	2	I	2	0	876	0	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	156	2	2	1	C	1	1	1320	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	157	4	3	2	I	2	0	900	0	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	158	2	1	0	C	2	1	1115	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	159	3	3	2	I	1	0	1361	0	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	160	1	2	0	C	2	1	676	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	161	2	1	0	C	2	1	951	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	162	4	4	2	I	1	0	1276	0	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	163	1	1	1	C	1	1	1332	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	164	3	3	2	I	1	0	1270	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	165	1	2	0	C	2	1	661	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	166	2	2	1	C	1	1	1688	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	167	4	3	2	I	2	0	791	0	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	168	3	4	2	I	2	0	867	1	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	169	1	1	1	C	1	1	1093	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	170	4	4	2	I	1	0	1202	0	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	171	2	2	1	C	1	1	1205	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	172	3	3	2	I	1	0	1447	0	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	173	2	1	0	C	2	1	1493	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	174	4	3	2	I	2	0	837	0	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	175	1	2	0	C	2	1	814	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	176	3	4	2	I	2	0	1336	1	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	177	1	1	1	C	1	1	908	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	178	4	4	2	I	2	0	1348	0	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	179	2	2	1	C	1	1	1036	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	180	3	3	2	I	1	0	1310	0	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	181	4	3	2	I	2	0	768	0	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	182	1	2	0	C	2	1	825	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	183	3	4	2	I	2	0	1314	0	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	184	2	1	0	C	2	1	1033	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	185	1	1	1	C	1	1	1038	1	poli_8sides 3_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	186	3	3	2	I	1	0	1115	0	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	187	4	3	2	I	2	0	1057	0	poli_8sides 20_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
1	188	2	2	1	C	1	1	1204	1	poli_8sides 11_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	189	3	4	2	I	2	0	1106	1	poli_8sides 10_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	190	1	2	0	C	2	1	1325	1	poli_8sides 3_whiteLine3.jpg	Long_s10_cut2_l_mono_resampled.wav
1	191	4	4	2	I	1	0	987	0	poli_8sides 20_whiteLine3.jpg	Long_e17_cut2_mono_resampled.wav
1	192	2	1	0	C	2	1	1035	1	poli_8sides 11_whiteLine3.jpg	Long_e24_cut1_mono_resampled.wav
1	193	3	3	2	I	1	0	1380	1	poli_8sides 10_whiteLine3.jpg	Long_b01_cut2_L_mono_resampled.wav
