block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

0	1	2	4	0	C	0	0	0	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	2	1	1	1	C	2	1	1098	1	Ⴞ	cut_g_stereo_44KHz.wav
0	3	2	3	1	C	2	1	1229	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	4	1	2	0	C	2	0	748	0	Ⴞ	cut_ee_stereo_44KHz.wav
0	5	1	2	0	C	1	1	725	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	6	2	3	1	C	1	0	1034	0	Ⴢ	cut_oo_stereo_44KHz.wav
0	7	1	1	1	C	2	1	1116	1	Ⴞ	cut_g_stereo_44KHz.wav
0	8	2	4	0	C	2	0	1102	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	9	1	2	0	C	1	1	901	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	10	2	3	1	C	2	1	943	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	11	1	1	1	C	1	0	1286	0	Ⴞ	cut_g_stereo_44KHz.wav
0	12	2	4	0	C	2	0	686	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	13	1	2	0	C	1	1	757	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	14	1	1	1	C	1	0	1021	0	Ⴞ	cut_g_stereo_44KHz.wav
0	15	2	4	0	C	2	0	1032	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	16	2	3	1	C	2	1	916	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	17	1	2	0	C	1	1	915	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	18	2	4	0	C	2	0	631	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	19	1	1	1	C	2	1	1055	1	Ⴞ	cut_g_stereo_44KHz.wav
0	20	2	3	1	C	2	1	990	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	21	1	1	1	C	1	0	1080	0	Ⴞ	cut_g_stereo_44KHz.wav
0	22	2	3	1	C	2	1	860	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	23	2	4	0	C	2	0	950	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	24	1	2	0	C	1	1	840	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	25	2	4	0	C	1	1	1069	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	26	1	1	1	C	2	1	898	1	Ⴞ	cut_g_stereo_44KHz.wav
0	27	1	2	0	C	1	1	775	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	28	2	3	1	C	2	1	896	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	29	2	4	0	C	2	0	876	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	30	2	3	1	C	2	1	825	1	Ⴢ	cut_oo_stereo_44KHz.wav
avg_resp = 934
1	1	2	2	1	C	2	1	1703	1	Ⴕ	cut_j_stereo_44KHz.wav
1	2	4	4	2	I	2	0	1231	0	Ⴔ	cut_s_stereo_44KHz.wav
1	3	1	2	0	C	2	0	1042	0	Ⴖ	cut_j_stereo_44KHz.wav
1	4	3	3	2	I	1	0	1613	1	Ⴒ	cut_f_stereo_44KHz.wav
1	5	2	1	0	C	2	0	1046	0	Ⴕ	cut_n_stereo_44KHz.wav
1	6	1	1	1	C	1	0	1143	0	Ⴖ	cut_n_stereo_44KHz.wav
