block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

0	1	2	3	1	C	0	0	0	0	Ⴞ	cut_g_stereo_44KHz.wav
0	2	2	4	0	C	1	1	862	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	3	1	1	1	C	2	1	679	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	4	1	2	0	C	0	0	0	0	Ⴢ	cut_oo_stereo_44KHz.wav
0	5	1	1	1	C	2	1	1223	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	6	2	3	1	C	1	0	1098	0	Ⴞ	cut_g_stereo_44KHz.wav
0	7	1	2	0	C	1	1	1161	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	8	2	4	0	C	2	0	1246	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	9	1	1	1	C	2	1	1951	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	10	2	4	0	C	0	0	0	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	11	2	3	1	C	2	1	1894	1	Ⴞ	cut_g_stereo_44KHz.wav
0	12	1	2	0	C	0	0	0	0	Ⴢ	cut_oo_stereo_44KHz.wav
0	13	1	2	0	C	1	1	880	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	14	2	4	0	C	2	0	901	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	15	2	3	1	C	1	0	1054	0	Ⴞ	cut_g_stereo_44KHz.wav
0	16	1	1	1	C	2	1	1262	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	17	1	1	1	C	2	1	1314	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	18	2	3	1	C	1	0	1719	0	Ⴞ	cut_g_stereo_44KHz.wav
0	19	1	2	0	C	1	1	1043	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	20	2	4	0	C	2	0	892	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	21	1	2	0	C	1	1	1609	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	22	1	1	1	C	2	1	1214	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	23	2	3	1	C	2	1	1131	1	Ⴞ	cut_g_stereo_44KHz.wav
0	24	2	4	0	C	1	1	1280	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	25	2	3	1	C	2	1	1972	1	Ⴞ	cut_g_stereo_44KHz.wav
0	26	2	4	0	C	2	0	1341	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	27	1	1	1	C	2	1	1325	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	28	1	2	0	C	1	1	1030	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	29	1	2	0	C	1	1	1273	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	30	1	1	1	C	2	1	896	1	Ⴢ	cut_ee_stereo_44KHz.wav
avg_resp = 1263
1	1	2	2	1	C	0	0	0	0	Ⴌ	cut_oei_stereo_44KHz.wav
1	2	3	3	2	I	2	0	884	1	Ⴐ	cut_j_stereo_44KHz.wav
1	3	4	4	2	I	1	0	1237	1	Ⴔ	cut_f_stereo_44KHz.wav
1	4	1	1	1	C	2	1	946	1	Ⴏ	cut_n_stereo_44KHz.wav
1	5	4	3	2	I	2	0	1439	1	Ⴔ	cut_j_stereo_44KHz.wav
1	6	2	1	0	C	2	0	1283	0	Ⴌ	cut_n_stereo_44KHz.wav
