block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
RL

0	1	1	2	0	C	0	0	0	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	2	1	1	1	C	0	0	0	0	Ⴋ	cut_g_stereo_44KHz.wav
0	3	2	4	0	C	0	0	0	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	4	2	3	1	C	0	0	0	0	Ⴞ	cut_oo_stereo_44KHz.wav
0	5	1	2	0	C	0	0	0	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	6	1	1	1	C	0	0	0	0	Ⴋ	cut_g_stereo_44KHz.wav
0	7	2	3	1	C	0	0	0	0	Ⴞ	cut_oo_stereo_44KHz.wav
0	8	2	4	0	C	2	1	1593	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	9	1	1	1	C	2	0	650	0	Ⴋ	cut_g_stereo_44KHz.wav
0	10	2	3	1	C	1	1	821	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	11	2	4	0	C	1	0	1220	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	12	1	2	0	C	1	0	1244	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	13	2	3	1	C	1	1	694	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	14	2	4	0	C	2	1	652	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	15	1	2	0	C	1	0	769	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	16	1	1	1	C	2	0	652	0	Ⴋ	cut_g_stereo_44KHz.wav
0	17	2	4	0	C	1	0	717	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	18	1	1	1	C	2	0	1700	0	Ⴋ	cut_g_stereo_44KHz.wav
0	19	1	2	0	C	2	1	910	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	20	2	3	1	C	2	0	798	0	Ⴞ	cut_oo_stereo_44KHz.wav
0	21	1	2	0	C	2	1	585	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	22	2	3	1	C	1	1	593	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	23	2	4	0	C	2	1	618	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	24	1	1	1	C	0	0	0	0	Ⴋ	cut_g_stereo_44KHz.wav
0	25	1	1	1	C	2	0	378	0	Ⴋ	cut_g_stereo_44KHz.wav
0	26	2	3	1	C	2	0	852	0	Ⴞ	cut_oo_stereo_44KHz.wav
0	27	1	2	0	C	2	1	818	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	28	2	4	0	C	1	0	775	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	29	2	4	0	C	2	1	1026	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	30	1	1	1	C	1	1	540	1	Ⴋ	cut_g_stereo_44KHz.wav
avg_resp = 805
1	1	3	3	2	I	2	0	1040	1	Ⴂ	cut_j_stereo_44KHz.wav
1	2	1	2	0	C	2	1	685	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	3	4	4	2	I	2	0	800	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	4	2	1	0	C	2	1	553	1	Ⴇ	cut_n_stereo_44KHz.wav
1	5	3	4	2	I	1	0	802	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	6	4	3	2	I	2	0	469	0	Ⴟ	cut_j_stereo_44KHz.wav
1	7	2	2	1	C	1	1	446	1	Ⴇ	cut_ei_stereo_44KHz.wav
1	8	1	1	1	C	2	0	764	0	Ⴜ	cut_n_stereo_44KHz.wav
1	9	4	3	2	I	1	0	360	1	Ⴟ	cut_j_stereo_44KHz.wav
1	10	3	3	2	I	1	0	592	1	Ⴂ	cut_j_stereo_44KHz.wav
1	11	1	1	1	C	2	0	635	0	Ⴜ	cut_n_stereo_44KHz.wav
1	12	2	2	1	C	1	1	981	1	Ⴇ	cut_ei_stereo_44KHz.wav
1	13	4	4	2	I	2	0	576	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	14	3	4	2	I	1	0	517	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	15	2	1	0	C	2	1	471	1	Ⴇ	cut_n_stereo_44KHz.wav
1	16	1	2	0	C	1	0	686	0	Ⴜ	cut_ei_stereo_44KHz.wav
1	17	2	2	1	C	2	0	323	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	18	3	3	2	I	1	0	712	1	Ⴂ	cut_j_stereo_44KHz.wav
1	19	1	2	0	C	2	1	410	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	20	4	4	2	I	1	0	549	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	21	2	1	0	C	2	1	538	1	Ⴇ	cut_n_stereo_44KHz.wav
1	22	1	1	1	C	1	1	359	1	Ⴜ	cut_n_stereo_44KHz.wav
1	23	3	4	2	I	2	0	440	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	24	4	3	2	I	1	0	904	0	Ⴟ	cut_j_stereo_44KHz.wav
1	25	2	2	1	C	2	0	535	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	26	3	4	2	I	2	0	570	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	27	1	2	0	C	1	0	654	0	Ⴜ	cut_ei_stereo_44KHz.wav
1	28	4	3	2	I	2	0	762	1	Ⴟ	cut_j_stereo_44KHz.wav
1	29	2	1	0	C	1	0	868	0	Ⴇ	cut_n_stereo_44KHz.wav
1	30	1	1	1	C	1	1	646	1	Ⴜ	cut_n_stereo_44KHz.wav
1	31	3	3	2	I	2	0	795	1	Ⴂ	cut_j_stereo_44KHz.wav
1	32	4	4	2	I	1	0	542	0	Ⴟ	cut_oei_stereo_44KHz.wav
1	33	3	3	2	I	2	0	585	1	Ⴂ	cut_j_stereo_44KHz.wav
1	34	2	2	1	C	1	1	942	1	Ⴇ	cut_ei_stereo_44KHz.wav
1	35	1	2	0	C	2	1	364	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	36	4	4	2	I	1	0	913	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	37	2	1	0	C	2	1	559	1	Ⴇ	cut_n_stereo_44KHz.wav
1	38	1	1	1	C	1	1	559	1	Ⴜ	cut_n_stereo_44KHz.wav
1	39	3	4	2	I	2	0	470	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	40	4	3	2	I	1	0	399	1	Ⴟ	cut_j_stereo_44KHz.wav
1	41	1	2	0	C	1	0	493	0	Ⴜ	cut_ei_stereo_44KHz.wav
1	42	4	3	2	I	2	0	334	0	Ⴟ	cut_j_stereo_44KHz.wav
1	43	3	4	2	I	1	0	440	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	44	2	1	0	C	2	1	421	1	Ⴇ	cut_n_stereo_44KHz.wav
1	45	1	1	1	C	2	0	509	0	Ⴜ	cut_n_stereo_44KHz.wav
1	46	4	4	2	I	1	0	427	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	47	2	2	1	C	2	0	283	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	48	3	3	2	I	2	0	849	1	Ⴂ	cut_j_stereo_44KHz.wav
1	49	4	4	2	I	1	0	517	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	50	3	4	2	I	2	0	548	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	51	1	2	0	C	1	0	564	0	Ⴜ	cut_ei_stereo_44KHz.wav
1	52	2	2	1	C	2	0	543	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	53	3	3	2	I	1	0	734	1	Ⴂ	cut_j_stereo_44KHz.wav
1	54	2	1	0	C	2	1	825	1	Ⴇ	cut_n_stereo_44KHz.wav
1	55	4	3	2	I	2	0	724	1	Ⴟ	cut_j_stereo_44KHz.wav
1	56	1	1	1	C	2	0	643	0	Ⴜ	cut_n_stereo_44KHz.wav
1	57	4	3	2	I	1	0	592	1	Ⴟ	cut_j_stereo_44KHz.wav
1	58	3	4	2	I	2	0	364	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	59	2	2	1	C	1	1	353	1	Ⴇ	cut_ei_stereo_44KHz.wav
1	60	1	1	1	C	2	0	450	0	Ⴜ	cut_n_stereo_44KHz.wav
1	61	4	4	2	I	1	0	902	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	62	3	3	2	I	1	0	587	1	Ⴂ	cut_j_stereo_44KHz.wav
1	63	2	1	0	C	1	0	850	0	Ⴇ	cut_n_stereo_44KHz.wav
1	64	1	2	0	C	2	1	470	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	65	2	1	0	C	2	1	445	1	Ⴇ	cut_n_stereo_44KHz.wav
1	66	1	2	0	C	1	0	431	0	Ⴜ	cut_ei_stereo_44KHz.wav
1	67	3	3	2	I	2	0	366	1	Ⴂ	cut_j_stereo_44KHz.wav
1	68	4	4	2	I	1	0	313	0	Ⴟ	cut_oei_stereo_44KHz.wav
1	69	3	4	2	I	2	0	473	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	70	2	2	1	C	1	1	665	1	Ⴇ	cut_ei_stereo_44KHz.wav
1	71	4	3	2	I	2	0	445	1	Ⴟ	cut_j_stereo_44KHz.wav
1	72	1	1	1	C	1	1	807	1	Ⴜ	cut_n_stereo_44KHz.wav
1	73	3	3	2	I	2	0	517	0	Ⴂ	cut_j_stereo_44KHz.wav
1	74	1	2	0	C	1	0	133	0	Ⴜ	cut_ei_stereo_44KHz.wav
1	75	2	1	0	C	2	1	553	1	Ⴇ	cut_n_stereo_44KHz.wav
1	76	4	3	2	I	2	0	769	1	Ⴟ	cut_j_stereo_44KHz.wav
1	77	1	1	1	C	2	0	615	0	Ⴜ	cut_n_stereo_44KHz.wav
1	78	3	4	2	I	1	0	702	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	79	4	4	2	I	2	0	1295	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	80	2	2	1	C	1	1	378	1	Ⴇ	cut_ei_stereo_44KHz.wav
1	81	1	2	0	C	2	1	325	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	82	3	3	2	I	1	0	392	1	Ⴂ	cut_j_stereo_44KHz.wav
1	83	4	4	2	I	2	0	411	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	84	2	2	1	C	1	1	380	1	Ⴇ	cut_ei_stereo_44KHz.wav
1	85	3	4	2	I	2	0	606	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	86	4	3	2	I	1	0	548	1	Ⴟ	cut_j_stereo_44KHz.wav
1	87	1	1	1	C	2	0	334	0	Ⴜ	cut_n_stereo_44KHz.wav
1	88	2	1	0	C	2	1	452	1	Ⴇ	cut_n_stereo_44KHz.wav
1	89	1	2	0	C	2	1	376	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	90	4	4	2	I	2	0	142	0	Ⴟ	cut_oei_stereo_44KHz.wav
1	91	2	1	0	C	1	0	1945	0	Ⴇ	cut_n_stereo_44KHz.wav
1	92	3	3	2	I	2	0	644	1	Ⴂ	cut_j_stereo_44KHz.wav
1	93	2	2	1	C	2	0	679	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	94	3	4	2	I	1	0	626	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	95	4	3	2	I	1	0	498	1	Ⴟ	cut_j_stereo_44KHz.wav
1	96	1	1	1	C	2	0	653	0	Ⴜ	cut_n_stereo_44KHz.wav
1	97	4	4	2	I	1	0	417	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	98	1	1	1	C	2	0	640	0	Ⴜ	cut_n_stereo_44KHz.wav
1	99	2	1	0	C	2	1	550	1	Ⴇ	cut_n_stereo_44KHz.wav
1	100	3	3	2	I	1	0	585	1	Ⴂ	cut_j_stereo_44KHz.wav
1	101	4	3	2	I	2	0	306	1	Ⴟ	cut_j_stereo_44KHz.wav
1	102	1	2	0	C	1	0	374	0	Ⴜ	cut_ei_stereo_44KHz.wav
1	103	3	4	2	I	2	0	295	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	104	2	2	1	C	2	0	314	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	105	1	1	1	C	1	1	666	1	Ⴜ	cut_n_stereo_44KHz.wav
1	106	3	4	2	I	2	0	1429	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	107	2	2	1	C	2	0	972	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	108	4	4	2	I	0	0	0	0	Ⴟ	cut_oei_stereo_44KHz.wav
1	109	2	1	0	C	2	1	581	1	Ⴇ	cut_n_stereo_44KHz.wav
1	110	4	3	2	I	2	0	851	0	Ⴟ	cut_j_stereo_44KHz.wav
1	111	3	3	2	I	1	0	719	0	Ⴂ	cut_j_stereo_44KHz.wav
1	112	1	2	0	C	2	1	554	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	113	3	3	2	I	2	0	473	1	Ⴂ	cut_j_stereo_44KHz.wav
1	114	4	3	2	I	2	0	633	0	Ⴟ	cut_j_stereo_44KHz.wav
1	115	2	1	0	C	2	1	872	1	Ⴇ	cut_n_stereo_44KHz.wav
1	116	1	2	0	C	1	0	525	0	Ⴜ	cut_ei_stereo_44KHz.wav
1	117	4	4	2	I	2	0	738	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	118	2	2	1	C	2	0	693	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	119	1	1	1	C	2	0	853	0	Ⴜ	cut_n_stereo_44KHz.wav
1	120	3	4	2	I	1	0	686	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	121	2	2	1	C	2	0	716	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	122	3	3	2	I	1	0	961	0	Ⴂ	cut_j_stereo_44KHz.wav
1	123	4	3	2	I	2	0	761	1	Ⴟ	cut_j_stereo_44KHz.wav
1	124	1	2	0	C	1	0	778	0	Ⴜ	cut_ei_stereo_44KHz.wav
1	125	4	4	2	I	2	0	459	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	126	2	1	0	C	1	0	598	0	Ⴇ	cut_n_stereo_44KHz.wav
1	127	1	1	1	C	2	0	586	0	Ⴜ	cut_n_stereo_44KHz.wav
1	128	3	4	2	I	1	0	433	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	129	1	1	1	C	2	0	515	0	Ⴜ	cut_n_stereo_44KHz.wav
1	130	4	4	2	I	2	0	770	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	131	3	4	2	I	1	0	521	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	132	2	1	0	C	2	1	588	1	Ⴇ	cut_n_stereo_44KHz.wav
1	133	3	3	2	I	2	0	703	0	Ⴂ	cut_j_stereo_44KHz.wav
1	134	1	2	0	C	2	1	1576	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	135	2	2	1	C	2	0	651	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	136	4	3	2	I	1	0	705	1	Ⴟ	cut_j_stereo_44KHz.wav
1	137	1	2	0	C	2	1	629	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	138	2	1	0	C	2	1	728	1	Ⴇ	cut_n_stereo_44KHz.wav
1	139	3	4	2	I	1	0	778	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	140	4	4	2	I	2	0	498	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	141	1	1	1	C	2	0	708	0	Ⴜ	cut_n_stereo_44KHz.wav
1	142	2	2	1	C	2	0	634	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	143	4	3	2	I	2	0	661	1	Ⴟ	cut_j_stereo_44KHz.wav
1	144	3	3	2	I	1	0	1261	1	Ⴂ	cut_j_stereo_44KHz.wav
1	145	4	3	2	I	1	0	717	0	Ⴟ	cut_j_stereo_44KHz.wav
1	146	3	4	2	I	2	0	676	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	147	2	2	1	C	2	0	1511	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	148	1	1	1	C	1	1	962	1	Ⴜ	cut_n_stereo_44KHz.wav
1	149	3	3	2	I	1	0	1437	1	Ⴂ	cut_j_stereo_44KHz.wav
1	150	1	2	0	C	1	0	1195	0	Ⴜ	cut_ei_stereo_44KHz.wav
1	151	4	4	2	I	2	0	793	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	152	2	1	0	C	2	1	865	1	Ⴇ	cut_n_stereo_44KHz.wav
1	153	3	3	2	I	2	0	1045	1	Ⴂ	cut_j_stereo_44KHz.wav
1	154	2	2	1	C	2	0	607	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	155	1	2	0	C	1	0	1085	0	Ⴜ	cut_ei_stereo_44KHz.wav
1	156	4	3	2	I	2	0	638	1	Ⴟ	cut_j_stereo_44KHz.wav
1	157	1	1	1	C	1	1	859	1	Ⴜ	cut_n_stereo_44KHz.wav
1	158	2	1	0	C	2	1	659	1	Ⴇ	cut_n_stereo_44KHz.wav
1	159	3	4	2	I	1	0	1001	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	160	4	4	2	I	2	0	649	0	Ⴟ	cut_oei_stereo_44KHz.wav
1	161	3	3	2	I	1	0	776	1	Ⴂ	cut_j_stereo_44KHz.wav
1	162	1	2	0	C	2	1	512	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	163	4	3	2	I	2	0	747	1	Ⴟ	cut_j_stereo_44KHz.wav
1	164	2	1	0	C	2	1	683	1	Ⴇ	cut_n_stereo_44KHz.wav
1	165	3	4	2	I	2	0	706	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	166	2	2	1	C	2	0	563	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	167	4	4	2	I	2	0	614	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	168	1	1	1	C	1	1	799	1	Ⴜ	cut_n_stereo_44KHz.wav
1	169	4	3	2	I	2	0	644	1	Ⴟ	cut_j_stereo_44KHz.wav
1	170	1	1	1	C	2	0	713	0	Ⴜ	cut_n_stereo_44KHz.wav
1	171	3	4	2	I	1	0	1033	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	172	2	1	0	C	2	1	767	1	Ⴇ	cut_n_stereo_44KHz.wav
1	173	1	2	0	C	1	0	976	0	Ⴜ	cut_ei_stereo_44KHz.wav
1	174	3	3	2	I	1	0	1351	1	Ⴂ	cut_j_stereo_44KHz.wav
1	175	4	4	2	I	2	0	769	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	176	2	2	1	C	2	0	919	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	177	4	3	2	I	2	0	721	1	Ⴟ	cut_j_stereo_44KHz.wav
1	178	2	2	1	C	2	0	744	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	179	3	3	2	I	2	0	1782	1	Ⴂ	cut_j_stereo_44KHz.wav
1	180	1	1	1	C	1	1	732	1	Ⴜ	cut_n_stereo_44KHz.wav
1	181	4	4	2	I	2	0	534	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	182	2	1	0	C	2	1	764	1	Ⴇ	cut_n_stereo_44KHz.wav
1	183	1	2	0	C	2	1	584	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	184	3	4	2	I	2	0	519	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	185	4	4	2	I	2	0	533	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	186	3	4	2	I	2	0	553	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	187	2	1	0	C	2	1	771	1	Ⴇ	cut_n_stereo_44KHz.wav
1	188	1	1	1	C	2	0	700	0	Ⴜ	cut_n_stereo_44KHz.wav
1	189	2	2	1	C	1	1	963	1	Ⴇ	cut_ei_stereo_44KHz.wav
1	190	1	2	0	C	2	1	883	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	191	4	3	2	I	2	0	840	1	Ⴟ	cut_j_stereo_44KHz.wav
1	192	3	3	2	I	2	0	1005	1	Ⴂ	cut_j_stereo_44KHz.wav
1	193	2	1	0	C	2	1	618	1	Ⴇ	cut_n_stereo_44KHz.wav
1	194	3	4	2	I	2	0	722	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	195	1	1	1	C	1	1	1066	1	Ⴜ	cut_n_stereo_44KHz.wav
1	196	4	4	2	I	2	0	766	1	Ⴟ	cut_oei_stereo_44KHz.wav
1	197	2	2	1	C	2	0	638	0	Ⴇ	cut_ei_stereo_44KHz.wav
1	198	1	2	0	C	2	1	1586	1	Ⴜ	cut_ei_stereo_44KHz.wav
1	199	4	3	2	I	1	0	1463	1	Ⴟ	cut_j_stereo_44KHz.wav
1	200	3	3	2	I	2	0	995	1	Ⴂ	cut_j_stereo_44KHz.wav
2	1	3	4	2	I	2	0	703	0	Ⴒ	cut_ui_stereo_44KHz.wav
2	2	1	2	0	C	1	0	1317	0	Ⴕ	cut_r_stereo_44KHz.wav
2	3	4	4	2	I	1	0	39	0	Ⴏ	cut_ui_stereo_44KHz.wav
2	4	2	2	1	C	1	1	329	1	Ⴔ	cut_r_stereo_44KHz.wav
2	5	4	3	2	I	2	0	710	1	Ⴏ	cut_f_stereo_44KHz.wav
2	6	1	1	1	C	1	1	961	1	Ⴕ	cut_s_stereo_44KHz.wav
2	7	3	3	2	I	2	0	746	1	Ⴒ	cut_f_stereo_44KHz.wav
2	8	2	1	0	C	1	0	906	0	Ⴔ	cut_s_stereo_44KHz.wav
2	9	3	4	2	I	2	0	653	1	Ⴒ	cut_ui_stereo_44KHz.wav
2	10	4	3	2	I	1	0	953	0	Ⴏ	cut_f_stereo_44KHz.wav
2	11	1	1	1	C	1	1	1277	1	Ⴕ	cut_s_stereo_44KHz.wav
2	12	2	1	0	C	2	1	1193	1	Ⴔ	cut_s_stereo_44KHz.wav
2	13	3	3	2	I	1	0	1272	1	Ⴒ	cut_f_stereo_44KHz.wav
2	14	4	4	2	I	1	0	1395	1	Ⴏ	cut_ui_stereo_44KHz.wav
2	15	2	2	1	C	1	1	1116	1	Ⴔ	cut_r_stereo_44KHz.wav
2	16	1	2	0	C	2	1	1082	1	Ⴕ	cut_r_stereo_44KHz.wav
2	17	4	4	2	I	1	0	994	1	Ⴏ	cut_ui_stereo_44KHz.wav
2	18	3	3	2	I	2	0	1155	1	Ⴒ	cut_f_stereo_44KHz.wav
2	19	2	1	0	C	1	0	1060	0	Ⴔ	cut_s_stereo_44KHz.wav
2	20	1	1	1	C	2	0	846	0	Ⴕ	cut_s_stereo_44KHz.wav
2	21	4	3	2	I	1	0	902	1	Ⴏ	cut_f_stereo_44KHz.wav
2	22	2	2	1	C	2	0	975	0	Ⴔ	cut_r_stereo_44KHz.wav
2	23	1	2	0	C	1	0	973	0	Ⴕ	cut_r_stereo_44KHz.wav
2	24	3	4	2	I	2	0	1138	1	Ⴒ	cut_ui_stereo_44KHz.wav
2	25	4	4	2	I	1	0	1250	1	Ⴏ	cut_ui_stereo_44KHz.wav
2	26	2	2	1	C	2	0	1314	0	Ⴔ	cut_r_stereo_44KHz.wav
2	27	1	2	0	C	1	0	1003	0	Ⴕ	cut_r_stereo_44KHz.wav
2	28	3	4	2	I	2	0	1147	1	Ⴒ	cut_ui_stereo_44KHz.wav
2	29	2	1	0	C	1	0	1036	0	Ⴔ	cut_s_stereo_44KHz.wav
2	30	3	3	2	I	2	0	848	1	Ⴒ	cut_f_stereo_44KHz.wav
2	31	4	3	2	I	2	0	749	1	Ⴏ	cut_f_stereo_44KHz.wav
2	32	1	1	1	C	2	0	948	0	Ⴕ	cut_s_stereo_44KHz.wav
2	33	3	3	2	I	2	0	975	0	Ⴒ	cut_f_stereo_44KHz.wav
2	34	1	2	0	C	1	0	797	0	Ⴕ	cut_r_stereo_44KHz.wav
2	35	4	3	2	I	2	0	600	1	Ⴏ	cut_f_stereo_44KHz.wav
2	36	2	2	1	C	2	0	851	0	Ⴔ	cut_r_stereo_44KHz.wav
2	37	4	4	2	I	2	0	966	1	Ⴏ	cut_ui_stereo_44KHz.wav
2	38	1	1	1	C	2	0	662	0	Ⴕ	cut_s_stereo_44KHz.wav
2	39	3	4	2	I	2	0	628	1	Ⴒ	cut_ui_stereo_44KHz.wav
2	40	2	1	0	C	1	0	892	0	Ⴔ	cut_s_stereo_44KHz.wav
2	41	3	4	2	I	2	0	594	1	Ⴒ	cut_ui_stereo_44KHz.wav
2	42	2	2	1	C	2	0	773	0	Ⴔ	cut_r_stereo_44KHz.wav
2	43	4	4	2	I	1	0	488	0	Ⴏ	cut_ui_stereo_44KHz.wav
2	44	1	1	1	C	2	0	523	0	Ⴕ	cut_s_stereo_44KHz.wav
2	45	3	3	2	I	2	0	1070	1	Ⴒ	cut_f_stereo_44KHz.wav
2	46	1	2	0	C	2	1	962	1	Ⴕ	cut_r_stereo_44KHz.wav
2	47	4	3	2	I	2	0	689	1	Ⴏ	cut_f_stereo_44KHz.wav
2	48	2	1	0	C	2	1	1099	1	Ⴔ	cut_s_stereo_44KHz.wav
2	49	4	3	2	I	2	0	736	0	Ⴏ	cut_f_stereo_44KHz.wav
2	50	2	1	0	C	2	1	764	1	Ⴔ	cut_s_stereo_44KHz.wav
2	51	1	2	0	C	2	1	752	1	Ⴕ	cut_r_stereo_44KHz.wav
2	52	3	4	2	I	2	0	789	1	Ⴒ	cut_ui_stereo_44KHz.wav
2	53	1	1	1	C	2	0	760	0	Ⴕ	cut_s_stereo_44KHz.wav
2	54	3	3	2	I	1	0	865	1	Ⴒ	cut_f_stereo_44KHz.wav
2	55	4	4	2	I	2	0	653	1	Ⴏ	cut_ui_stereo_44KHz.wav
2	56	2	2	1	C	1	1	546	1	Ⴔ	cut_r_stereo_44KHz.wav
2	57	1	2	0	C	2	1	687	1	Ⴕ	cut_r_stereo_44KHz.wav
2	58	4	4	2	I	1	0	744	1	Ⴏ	cut_ui_stereo_44KHz.wav
2	59	3	4	2	I	2	0	923	0	Ⴒ	cut_ui_stereo_44KHz.wav
2	60	2	2	1	C	1	1	897	1	Ⴔ	cut_r_stereo_44KHz.wav
2	61	1	1	1	C	1	1	1057	1	Ⴕ	cut_s_stereo_44KHz.wav
2	62	3	3	2	I	2	0	486	1	Ⴒ	cut_f_stereo_44KHz.wav
2	63	4	3	2	I	1	0	438	1	Ⴏ	cut_f_stereo_44KHz.wav
2	64	2	1	0	C	2	1	650	1	Ⴔ	cut_s_stereo_44KHz.wav
2	65	3	4	2	I	2	0	671	1	Ⴒ	cut_ui_stereo_44KHz.wav
2	66	2	2	1	C	2	0	653	0	Ⴔ	cut_r_stereo_44KHz.wav
2	67	4	3	2	I	1	0	526	1	Ⴏ	cut_f_stereo_44KHz.wav
2	68	1	1	1	C	2	0	501	0	Ⴕ	cut_s_stereo_44KHz.wav
2	69	2	1	0	C	1	0	752	0	Ⴔ	cut_s_stereo_44KHz.wav
2	70	4	4	2	I	2	0	797	0	Ⴏ	cut_ui_stereo_44KHz.wav
2	71	1	2	0	C	1	0	504	0	Ⴕ	cut_r_stereo_44KHz.wav
2	72	3	3	2	I	2	0	97	1	Ⴒ	cut_f_stereo_44KHz.wav
2	73	4	3	2	I	2	0	541	0	Ⴏ	cut_f_stereo_44KHz.wav
2	74	3	4	2	I	1	0	654	1	Ⴒ	cut_ui_stereo_44KHz.wav
2	75	2	1	0	C	2	1	639	1	Ⴔ	cut_s_stereo_44KHz.wav
2	76	1	2	0	C	1	0	595	0	Ⴕ	cut_r_stereo_44KHz.wav
2	77	2	2	1	C	2	0	673	0	Ⴔ	cut_r_stereo_44KHz.wav
2	78	1	1	1	C	1	1	246	1	Ⴕ	cut_s_stereo_44KHz.wav
2	79	3	3	2	I	2	0	404	1	Ⴒ	cut_f_stereo_44KHz.wav
