block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
s120

0	1	1	2	0	C	0	0	0	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	2	2	3	1	C	1	1	896	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	3	2	4	0	C	1	0	824	0	Ⴋ	cut_g_stereo_44KHz.wav
0	4	1	1	1	C	2	0	1248	0	Ⴢ	cut_oo_stereo_44KHz.wav
0	5	2	3	1	C	1	1	1287	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	6	2	4	0	C	2	1	996	1	Ⴋ	cut_g_stereo_44KHz.wav
0	7	1	1	1	C	2	0	1328	0	Ⴢ	cut_oo_stereo_44KHz.wav
0	8	1	2	0	C	2	1	1387	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	9	1	1	1	C	1	1	1342	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	10	2	3	1	C	0	0	0	0	Ⴋ	cut_ee_stereo_44KHz.wav
0	11	2	4	0	C	1	0	1285	0	Ⴋ	cut_g_stereo_44KHz.wav
0	12	1	2	0	C	2	1	1576	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	13	2	3	1	C	1	1	1328	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	14	2	4	0	C	1	0	1076	0	Ⴋ	cut_g_stereo_44KHz.wav
0	15	1	1	1	C	1	1	877	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	16	1	2	0	C	2	1	671	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	17	2	3	1	C	1	1	967	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	18	2	4	0	C	2	1	1161	1	Ⴋ	cut_g_stereo_44KHz.wav
0	19	1	1	1	C	1	1	848	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	20	1	2	0	C	1	0	1066	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	21	1	1	1	C	2	0	1071	0	Ⴢ	cut_oo_stereo_44KHz.wav
0	22	2	4	0	C	2	1	977	1	Ⴋ	cut_g_stereo_44KHz.wav
0	23	1	2	0	C	2	1	731	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	24	2	3	1	C	1	1	1065	1	Ⴋ	cut_ee_stereo_44KHz.wav
0	25	2	4	0	C	2	1	939	1	Ⴋ	cut_g_stereo_44KHz.wav
