"","BIRD_C_corrStay_B1","BIRD_C_corrStay_B2","BIRD_C_corrStay_B3","BIRD_C_corrStay_B4","BIRD_C_corrShift_B1","BIRD_C_corrShift_B2","BIRD_C_corrShift_B3","BIRD_C_corrShift_B4","BIRD_C_incorrStay_B1","BIRD_C_incorrStay_B2","BIRD_C_incorrStay_B3","BIRD_C_incorrStay_B4","BIRD_C_incorrShift_B1","BIRD_C_incorrShift_B2","BIRD_C_incorrShift_B3","BIRD_C_incorrShift_B4"
"s001",0.645833333333333,0.75,0.541666666666667,0.635416666666667,0.135416666666667,0.104166666666667,0.1875,0.15625,0.09375,0.0520833333333333,0.114583333333333,0.0520833333333333,0.125,0.09375,0.15625,0.15625
"s002",0.927083333333333,0.645833333333333,0.875,0.9375,0.03125,0.114583333333333,0.0416666666666667,0.0416666666666667,0.0104166666666667,0.114583333333333,0.0520833333333333,0,0.0208333333333333,0.114583333333333,0.03125,0.0208333333333333
"s003",0.791666666666667,0.760416666666667,0.71875,0.875,0.104166666666667,0.09375,0.114583333333333,0.0520833333333333,0.0208333333333333,0.0625,0.0520833333333333,0.0208333333333333,0.0833333333333333,0.0833333333333333,0.114583333333333,0.0416666666666667
"s004",0.833333333333333,0.739583333333333,0.21875,0.5,0.0833333333333333,0.114583333333333,0.229166666666667,0.21875,0.0104166666666667,0,0.239583333333333,0.09375,0.0625,0.135416666666667,0.260416666666667,0.177083333333333
"s005",0.395833333333333,0.3125,0.666666666666667,0.760416666666667,0.145833333333333,0.229166666666667,0.09375,0.114583333333333,0.3125,0.21875,0.177083333333333,0.0520833333333333,0.145833333333333,0.239583333333333,0.0625,0.0729166666666667
"s006",0.666666666666667,0.604166666666667,0.895833333333333,0.864583333333333,0.15625,0.15625,0.0625,0.0729166666666667,0.0520833333333333,0.09375,0.0104166666666667,0,0.125,0.145833333333333,0.03125,0.0520833333333333
"s007",0.802083333333333,0.916666666666667,0.854166666666667,NA,0.0833333333333333,0.0416666666666667,0.0520833333333333,NA,0.0416666666666667,0.0208333333333333,0,NA,0.0729166666666667,0.0208333333333333,0.0729166666666667,NA
"s009",0.416666666666667,0.552083333333333,0.333333333333333,0.729166666666667,0.0729166666666667,0.166666666666667,0.177083333333333,0.125,0.4375,0.125,0.3125,0.0416666666666667,0.0729166666666667,0.145833333333333,0.177083333333333,0.104166666666667
"s010",0.489583333333333,0.614583333333333,0.760416666666667,0.479166666666667,0.1875,0.145833333333333,0.104166666666667,0.135416666666667,0.125,0.0625,0.0208333333333333,0.239583333333333,0.177083333333333,0.135416666666667,0.09375,0.145833333333333
"s011",0.760416666666667,0.552083333333333,0.885416666666667,0.84375,0.104166666666667,0.135416666666667,0.0625,0.0729166666666667,0.0416666666666667,0.177083333333333,0,0.03125,0.09375,0.135416666666667,0.0520833333333333,0.0520833333333333
"s012",0.447916666666667,0.25,0.3125,0.572916666666667,0.229166666666667,0.260416666666667,0.229166666666667,0.135416666666667,0.09375,0.229166666666667,0.229166666666667,0.177083333333333,0.229166666666667,0.260416666666667,0.229166666666667,0.114583333333333
"s013",0.4375,0.677083333333333,0.302083333333333,0.395833333333333,0.208333333333333,0.15625,0.270833333333333,0.1875,0.145833333333333,0.0416666666666667,0.15625,0.21875,0.208333333333333,0.125,0.270833333333333,0.1875
"s014",0.177083333333333,0.25,0.239583333333333,0.208333333333333,0.28125,0.229166666666667,0.270833333333333,0.229166666666667,0.270833333333333,0.291666666666667,0.208333333333333,0.34375,0.270833333333333,0.21875,0.28125,0.21875
