,LSB_C_corrStay_B1,LSB_C_corrStay_B2,LSB_C_corrStay_B3,LSB_C_corrStay_B4,LSB_C_corrShift_B1,LSB_C_corrShift_B2,LSB_C_corrShift_B3,LSB_C_corrShift_B4,LSB_C_incorrStay_B1,LSB_C_incorrStay_B2,LSB_C_incorrStay_B3,LSB_C_incorrStay_B4,LSB_C_incorrShift_B1,LSB_C_incorrShift_B2,LSB_C_incorrShift_B3,LSB_C_incorrShift_B4,LSB_I_corrStay_B1,LSB_I_corrStay_B2,LSB_I_corrStay_B3,LSB_I_corrStay_B4,LSB_I_corrShift_B1,LSB_I_corrShift_B2,LSB_I_corrShift_B3,LSB_I_corrShift_B4,LSB_I_incorrStay_B1,LSB_I_incorrStay_B2,LSB_I_incorrStay_B3,LSB_I_incorrStay_B4,LSB_I_incorrShift_B1,LSB_I_incorrShift_B2,LSB_I_incorrShift_B3,LSB_I_incorrShift_B4,,BIRD_C_corrStay_B1,BIRD_C_corrStay_B2,BIRD_C_corrStay_B3,BIRD_C_corrStay_B4,BIRD_C_corrShift_B1,BIRD_C_corrShift_B2,BIRD_C_corrShift_B3,BIRD_C_corrShift_B4,BIRD_C_incorrStay_B1,BIRD_C_incorrStay_B2,BIRD_C_incorrStay_B3,BIRD_C_incorrStay_B4,BIRD_C_incorrShift_B1,BIRD_C_incorrShift_B2,BIRD_C_incorrShift_B3,BIRD_C_incorrShift_B4,BIRD_I_corrStay_B1,BIRD_I_corrStay_B2,BIRD_I_corrStay_B3,BIRD_I_corrStay_B4,BIRD_I_corrShift_B1,BIRD_I_corrShift_B2,BIRD_I_corrShift_B3,BIRD_I_corrShift_B4,BIRD_I_incorrStay_B1,BIRD_I_incorrStay_B2,BIRD_I_incorrStay_B3,BIRD_I_incorrStay_B4,BIRD_I_incorrShift_B1,BIRD_I_incorrShift_B2,BIRD_I_incorrShift_B3,BIRD_I_incorrShift_B4
s001,0.739583333,0.78125,0.78125,0.822916667,0.125,0.09375,0.09375,0.072916667,0.020833333,0.03125,0.052083333,0.03125,0.114583333,0.09375,0.072916667,0.072916667,0.4375,0.302083333,0.322916667,0.46875,0.1875,0.208333333,0.260416667,0.09375,0.302083333,0.28125,0.260416667,0.40625,0.072916667,0.208333333,0.15625,0.03125,s001,0.645833333,0.75,0.541666667,0.635416667,0.135416667,0.104166667,0.1875,0.15625,0.09375,0.052083333,0.114583333,0.052083333,0.125,0.09375,0.15625,0.15625,0.364583333,0.395833333,0.4375,0.447916667,0.1875,0.135416667,0.072916667,0.09375,0.3125,0.364583333,0.4375,0.416666667,0.135416667,0.104166667,0.052083333,0.041666667
s002,0.875,0.885416667,0.9375,0.989583333,0.0625,0.041666667,0.03125,0.010416667,0.010416667,0.03125,0,0,0.052083333,0.041666667,0.03125,0,0.40625,0.416666667,0.375,0.427083333,0.177083333,0.125,0.197916667,0.166666667,0.333333333,0.375,0.322916667,0.322916667,0.083333333,0.083333333,0.104166667,0.083333333,s002,0.927083333,0.645833333,0.875,0.9375,0.03125,0.114583333,0.041666667,0.041666667,0.010416667,0.114583333,0.052083333,0,0.020833333,0.114583333,0.03125,0.020833333,0.21875,0.375,0.375,0.322916667,0.21875,0.114583333,0.135416667,0.239583333,0.291666667,0.364583333,0.354166667,0.28125,0.270833333,0.145833333,0.135416667,0.15625
s003,0.739583333,0.84375,0.770833333,0.875,0.114583333,0.072916667,0.104166667,0.0625,0.041666667,0.03125,0.03125,0,0.104166667,0.052083333,0.09375,0.0625,0.28125,0.333333333,0.40625,0.3125,0.208333333,0.1875,0.197916667,0.208333333,0.28125,0.3125,0.291666667,0.28125,0.229166667,0.15625,0.104166667,0.197916667,s003,0.791666667,0.760416667,0.71875,0.875,0.104166667,0.09375,0.114583333,0.052083333,0.020833333,0.0625,0.052083333,0.020833333,0.083333333,0.083333333,0.114583333,0.041666667,0.40625,0.427083333,0.427083333,0.46875,0.21875,0.104166667,0.135416667,0.083333333,0.270833333,0.40625,0.375,0.40625,0.104166667,0.0625,0.0625,0.041666667
s004,0.791666667,0.78125,0.927083333,0.770833333,0.083333333,0.083333333,0.03125,0.041666667,0.03125,0.010416667,0,0.052083333,0.072916667,0.083333333,0.03125,0.072916667,0.34375,0.385416667,0.28125,0.322916667,0.25,0.260416667,0.239583333,0.25,0.239583333,0.239583333,0.25,0.239583333,0.145833333,0.083333333,0.229166667,0.166666667,s004,0.833333333,0.739583333,0.21875,0.5,0.083333333,0.114583333,0.229166667,0.21875,0.010416667,0,0.239583333,0.09375,0.0625,0.135416667,0.260416667,0.177083333,0.322916667,0.28125,0.270833333,0.354166667,0.229166667,0.229166667,0.239583333,0.135416667,0.239583333,0.239583333,0.25,0.333333333,0.166666667,0.197916667,0.21875,0.125
s005,0.604166667,0.875,0.885416667,0.864583333,0.145833333,0.0625,0.0625,0.0625,0.135416667,0.010416667,0.03125,0.03125,0.114583333,0.052083333,0.020833333,0.041666667,0.427083333,0.364583333,0.333333333,0.375,0.15625,0.135416667,0.09375,0.166666667,0.34375,0.364583333,0.416666667,0.322916667,0.072916667,0.135416667,0.15625,0.135416667,s005,0.395833333,0.3125,0.666666667,0.760416667,0.145833333,0.229166667,0.09375,0.114583333,0.3125,0.21875,0.177083333,0.052083333,0.145833333,0.239583333,0.0625,0.072916667,0.364583333,0.364583333,0.458333333,0.34375,0.177083333,0.1875,0.166666667,0.1875,0.3125,0.322916667,0.333333333,0.322916667,0.145833333,0.125,0.041666667,0.145833333
s006,0.791666667,0.75,0.979166667,0.84375,0.104166667,0.125,0.020833333,0.072916667,0.020833333,0.03125,0,0.020833333,0.083333333,0.09375,0,0.052083333,0.322916667,0.375,0.28125,0.354166667,0.25,0.229166667,0.25,0.166666667,0.25,0.260416667,0.25,0.3125,0.177083333,0.135416667,0.21875,0.15625,s006,0.666666667,0.604166667,0.895833333,0.864583333,0.15625,0.15625,0.0625,0.072916667,0.052083333,0.09375,0.010416667,0,0.125,0.145833333,0.03125,0.052083333,0.395833333,0.385416667,0.364583333,0.291666667,0.15625,0.270833333,0.239583333,0.28125,0.34375,0.229166667,0.260416667,0.229166667,0.104166667,0.114583333,0.135416667,0.197916667
s007,0.760416667,0.958333333,0.927083333,0.96875,0.114583333,0.010416667,0.03125,0.020833333,0.03125,0,0,0,0.09375,0.020833333,0.03125,0.010416667,0.375,0.447916667,0.375,0.302083333,0.166666667,0.1875,0.177083333,0.145833333,0.34375,0.322916667,0.3125,0.364583333,0.114583333,0.041666667,0.135416667,0.177083333,s007,0.802083333,0.916666667,0.854166667,NA,0.083333333,0.041666667,0.052083333,NA,0.041666667,0.020833333,0,NA,0.072916667,0.020833333,0.072916667,NA,0.395833333,0.364583333,0.395833333,NA,0.166666667,0.177083333,0.1875,NA,0.3125,0.322916667,0.302083333,NA,0.125,0.114583333,0.09375,NA
s009,0.885416667,0.802083333,0.833333333,0.802083333,0.072916667,0.083333333,0.083333333,0.083333333,0,0.03125,0,0.020833333,0.041666667,0.083333333,0.072916667,0.083333333,0.40625,0.333333333,0.354166667,0.40625,0.229166667,0.25,0.145833333,0.114583333,0.270833333,0.260416667,0.333333333,0.375,0.083333333,0.145833333,0.15625,0.104166667,s009,0.416666667,0.552083333,0.333333333,0.729166667,0.072916667,0.166666667,0.177083333,0.125,0.4375,0.125,0.3125,0.041666667,0.072916667,0.145833333,0.177083333,0.104166667,0.4375,0.28125,0.302083333,0.458333333,0.09375,0.21875,0.1875,0.0625,0.395833333,0.28125,0.322916667,0.447916667,0.072916667,0.21875,0.1875,0.03125
s010,0.989583333,0.677083333,0.791666667,0.8125,0.010416667,0.104166667,0.083333333,0.104166667,0,0.114583333,0.010416667,0,0,0.104166667,0.09375,0.083333333,0.395833333,0.416666667,0.34375,0.385416667,0.15625,0.177083333,0.177083333,0.135416667,0.333333333,0.3125,0.3125,0.354166667,0.114583333,0.072916667,0.15625,0.114583333,s010,0.489583333,0.614583333,0.760416667,0.479166667,0.1875,0.145833333,0.104166667,0.135416667,0.125,0.0625,0.020833333,0.239583333,0.177083333,0.135416667,0.09375,0.145833333,0.291666667,0.395833333,0.416666667,0.40625,0.197916667,0.09375,0.083333333,0.135416667,0.322916667,0.385416667,0.395833333,0.364583333,0.1875,0.114583333,0.072916667,0.09375
s011,0.729166667,0.864583333,0.739583333,0.697916667,0.104166667,0.072916667,0.135416667,0.15625,0.072916667,0.010416667,0.020833333,0.010416667,0.09375,0.052083333,0.104166667,0.135416667,0.291666667,0.302083333,0.34375,0.385416667,0.1875,0.1875,0.166666667,0.25,0.322916667,0.322916667,0.354166667,0.239583333,0.197916667,0.1875,0.135416667,0.125,s011,0.760416667,0.552083333,0.885416667,0.84375,0.104166667,0.135416667,0.0625,0.072916667,0.041666667,0.177083333,0,0.03125,0.09375,0.135416667,0.052083333,0.052083333,0.333333333,0.3125,0.447916667,0.375,0.21875,0.229166667,0.145833333,0.177083333,0.302083333,0.270833333,0.364583333,0.34375,0.145833333,0.1875,0.041666667,0.104166667
s012,0.708333333,0.34375,0.604166667,0.3125,0.114583333,0.197916667,0.104166667,0.229166667,0.0625,0.260416667,0.197916667,0.239583333,0.114583333,0.197916667,0.09375,0.21875,0.34375,0.40625,0.322916667,0.395833333,0.239583333,0.145833333,0.197916667,0.166666667,0.270833333,0.354166667,0.291666667,0.34375,0.145833333,0.09375,0.1875,0.09375,s012,0.447916667,0.25,0.3125,0.572916667,0.229166667,0.260416667,0.229166667,0.135416667,0.09375,0.229166667,0.229166667,0.177083333,0.229166667,0.260416667,0.229166667,0.114583333,0.416666667,0.322916667,0.28125,0.34375,0.166666667,0.260416667,0.229166667,0.229166667,0.322916667,0.239583333,0.28125,0.260416667,0.09375,0.177083333,0.208333333,0.166666667
