block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
RL

0	1	2	4	0	C	0	0	0	0	Ⴞ	cut_oo.wav
0	2	1	2	0	C	2	1	505	1	Ⴢ	cut_g.wav
0	3	1	1	1	C	2	0	731	0	Ⴢ	cut_eeuw.wav
0	4	2	3	1	C	1	1	676	1	Ⴞ	cut_ee.wav
0	5	1	2	0	C	2	1	558	1	Ⴢ	cut_g.wav
0	6	1	1	1	C	1	1	401	1	Ⴢ	cut_eeuw.wav
0	7	2	4	0	C	2	1	498	1	Ⴞ	cut_oo.wav
0	8	2	3	1	C	1	1	472	1	Ⴞ	cut_ee.wav
0	9	2	3	1	C	2	0	252	0	Ⴞ	cut_ee.wav
0	10	1	2	0	C	2	1	1126	1	Ⴢ	cut_g.wav
0	11	2	4	0	C	1	0	506	0	Ⴞ	cut_oo.wav
0	12	1	1	1	C	2	0	498	0	Ⴢ	cut_eeuw.wav
0	13	1	1	1	C	1	1	354	1	Ⴢ	cut_eeuw.wav
0	14	2	3	1	C	2	0	541	0	Ⴞ	cut_ee.wav
0	15	1	2	0	C	1	0	661	0	Ⴢ	cut_g.wav
0	16	2	4	0	C	2	1	606	1	Ⴞ	cut_oo.wav
0	17	1	1	1	C	2	0	527	0	Ⴢ	cut_eeuw.wav
0	18	1	2	0	C	1	0	472	0	Ⴢ	cut_g.wav
0	19	2	3	1	C	2	0	275	0	Ⴞ	cut_ee.wav
0	20	2	4	0	C	1	0	379	0	Ⴞ	cut_oo.wav
0	21	1	1	1	C	2	0	33	0	Ⴢ	cut_eeuw.wav
0	22	1	2	0	C	1	0	621	0	Ⴢ	cut_g.wav
0	23	2	4	0	C	2	1	806	1	Ⴞ	cut_oo.wav
0	24	2	3	1	C	1	1	367	1	Ⴞ	cut_ee.wav
0	25	1	2	0	C	1	0	687	0	Ⴢ	cut_g.wav
0	26	1	1	1	C	2	0	392	0	Ⴢ	cut_eeuw.wav
0	27	2	3	1	C	1	1	738	1	Ⴞ	cut_ee.wav
0	28	2	4	0	C	2	1	457	1	Ⴞ	cut_oo.wav
0	29	2	4	0	C	1	0	642	0	Ⴞ	cut_oo.wav
0	30	2	3	1	C	1	1	727	1	Ⴞ	cut_ee.wav
avg_resp = 592
1	1	2	1	0	C	1	0	921	0	Ⴞ	cut_u.wav
1	2	3	4	2	I	2	0	663	0	Ⴜ	cut_k.wav
1	3	4	3	2	I	1	0	512	1	Ⴇ	cut_o.wav
1	4	1	2	0	C	2	1	558	1	Ⴟ	cut_a.wav
1	5	2	2	1	C	1	1	802	1	Ⴞ	cut_a.wav
1	6	4	4	2	I	2	0	797	0	Ⴇ	cut_k.wav
1	7	1	1	1	C	1	1	890	1	Ⴟ	cut_u.wav
1	8	3	3	2	I	2	0	908	1	Ⴜ	cut_o.wav
1	9	1	1	1	C	1	1	774	1	Ⴟ	cut_u.wav
1	10	4	3	2	I	1	0	1001	1	Ⴇ	cut_o.wav
1	11	2	1	0	C	1	0	678	0	Ⴞ	cut_u.wav
1	12	3	4	2	I	1	0	880	1	Ⴜ	cut_k.wav
1	13	4	4	2	I	1	0	573	0	Ⴇ	cut_k.wav
1	14	2	2	1	C	1	1	1146	1	Ⴞ	cut_a.wav
1	15	3	3	2	I	2	0	783	1	Ⴜ	cut_o.wav
1	16	1	2	0	C	2	1	651	1	Ⴟ	cut_a.wav
1	17	3	4	2	I	1	0	971	1	Ⴜ	cut_k.wav
1	18	4	4	2	I	2	0	772	0	Ⴇ	cut_k.wav
1	19	1	1	1	C	1	1	646	1	Ⴟ	cut_u.wav
1	20	2	1	0	C	2	1	966	1	Ⴞ	cut_u.wav
1	21	3	3	2	I	2	0	671	0	Ⴜ	cut_o.wav
1	22	1	2	0	C	2	1	601	1	Ⴟ	cut_a.wav
1	23	2	2	1	C	1	1	643	1	Ⴞ	cut_a.wav
1	24	4	3	2	I	2	0	989	0	Ⴇ	cut_o.wav
1	25	1	2	0	C	2	1	490	1	Ⴟ	cut_a.wav
1	26	3	3	2	I	2	0	569	0	Ⴜ	cut_o.wav
1	27	4	4	2	I	2	0	672	0	Ⴇ	cut_k.wav
1	28	2	1	0	C	1	0	667	0	Ⴞ	cut_u.wav
1	29	3	4	2	I	2	0	1028	1	Ⴜ	cut_k.wav
1	30	1	1	1	C	1	1	661	1	Ⴟ	cut_u.wav
1	31	2	2	1	C	1	1	859	1	Ⴞ	cut_a.wav
1	32	4	3	2	I	2	0	718	1	Ⴇ	cut_o.wav
1	33	1	2	0	C	2	1	526	1	Ⴟ	cut_a.wav
1	34	2	1	0	C	1	0	519	0	Ⴞ	cut_u.wav
1	35	3	4	2	I	2	0	686	1	Ⴜ	cut_k.wav
1	36	4	4	2	I	2	0	948	1	Ⴇ	cut_k.wav
1	37	3	3	2	I	2	0	630	0	Ⴜ	cut_o.wav
1	38	2	2	1	C	1	1	807	1	Ⴞ	cut_a.wav
1	39	4	3	2	I	2	0	698	0	Ⴇ	cut_o.wav
1	40	1	1	1	C	1	1	717	1	Ⴟ	cut_u.wav
1	41	3	4	2	I	2	0	759	0	Ⴜ	cut_k.wav
1	42	2	1	0	C	2	1	789	1	Ⴞ	cut_u.wav
1	43	4	3	2	I	2	0	917	0	Ⴇ	cut_o.wav
1	44	1	2	0	C	2	1	553	1	Ⴟ	cut_a.wav
1	45	4	4	2	I	2	0	846	0	Ⴇ	cut_k.wav
1	46	2	2	1	C	1	1	1206	1	Ⴞ	cut_a.wav
1	47	1	1	1	C	1	1	694	1	Ⴟ	cut_u.wav
1	48	3	3	2	I	1	0	948	0	Ⴜ	cut_o.wav
1	49	1	2	0	C	2	1	530	1	Ⴟ	cut_a.wav
1	50	4	3	2	I	1	0	1473	1	Ⴇ	cut_o.wav
1	51	2	2	1	C	1	1	753	1	Ⴞ	cut_a.wav
1	52	3	4	2	I	2	0	630	0	Ⴜ	cut_k.wav
1	53	1	1	1	C	1	1	919	1	Ⴟ	cut_u.wav
1	54	3	3	2	I	2	0	641	1	Ⴜ	cut_o.wav
1	55	4	4	2	I	2	0	953	1	Ⴇ	cut_k.wav
1	56	2	1	0	C	2	1	692	1	Ⴞ	cut_u.wav
1	57	3	3	2	I	2	0	536	1	Ⴜ	cut_o.wav
1	58	1	1	1	C	1	1	696	1	Ⴟ	cut_u.wav
1	59	2	2	1	C	1	1	943	1	Ⴞ	cut_a.wav
1	60	4	4	2	I	2	0	657	0	Ⴇ	cut_k.wav
1	61	1	2	0	C	2	1	588	1	Ⴟ	cut_a.wav
1	62	3	4	2	I	2	0	493	1	Ⴜ	cut_k.wav
1	63	2	1	0	C	2	1	608	1	Ⴞ	cut_u.wav
1	64	4	3	2	I	2	0	644	0	Ⴇ	cut_o.wav
1	65	1	1	1	C	2	0	534	0	Ⴟ	cut_u.wav
1	66	2	1	0	C	2	1	667	1	Ⴞ	cut_u.wav
1	67	3	3	2	I	2	0	533	0	Ⴜ	cut_o.wav
1	68	4	4	2	I	1	0	933	0	Ⴇ	cut_k.wav
1	69	2	2	1	C	1	1	879	1	Ⴞ	cut_a.wav
1	70	3	4	2	I	2	0	676	0	Ⴜ	cut_k.wav
1	71	1	2	0	C	2	1	487	1	Ⴟ	cut_a.wav
1	72	4	3	2	I	2	0	661	1	Ⴇ	cut_o.wav
1	73	1	2	0	C	2	1	478	1	Ⴟ	cut_a.wav
1	74	2	2	1	C	1	1	672	1	Ⴞ	cut_a.wav
1	75	4	3	2	I	2	0	648	1	Ⴇ	cut_o.wav
1	76	3	3	2	I	1	0	856	0	Ⴜ	cut_o.wav
1	77	1	1	1	C	1	1	758	1	Ⴟ	cut_u.wav
1	78	3	4	2	I	2	0	621	0	Ⴜ	cut_k.wav
1	79	4	4	2	I	1	0	980	0	Ⴇ	cut_k.wav
1	80	2	1	0	C	2	1	685	1	Ⴞ	cut_u.wav
1	81	1	1	1	C	2	0	964	0	Ⴟ	cut_u.wav
1	82	2	2	1	C	1	1	580	1	Ⴞ	cut_a.wav
1	83	4	4	2	I	2	0	805	1	Ⴇ	cut_k.wav
1	84	3	4	2	I	1	0	744	1	Ⴜ	cut_k.wav
1	85	4	3	2	I	2	0	860	1	Ⴇ	cut_o.wav
1	86	3	3	2	I	1	0	667	1	Ⴜ	cut_o.wav
1	87	2	1	0	C	2	1	1060	1	Ⴞ	cut_u.wav
1	88	1	2	0	C	2	1	609	1	Ⴟ	cut_a.wav
1	89	2	2	1	C	1	1	652	1	Ⴞ	cut_a.wav
1	90	3	3	2	I	1	0	897	1	Ⴜ	cut_o.wav
1	91	4	4	2	I	2	0	720	0	Ⴇ	cut_k.wav
1	92	1	1	1	C	1	1	747	1	Ⴟ	cut_u.wav
1	93	3	4	2	I	2	0	890	1	Ⴜ	cut_k.wav
1	94	4	3	2	I	2	0	528	1	Ⴇ	cut_o.wav
1	95	2	1	0	C	2	1	662	1	Ⴞ	cut_u.wav
1	96	1	2	0	C	2	1	550	1	Ⴟ	cut_a.wav
1	97	4	4	2	I	1	0	876	0	Ⴇ	cut_k.wav
1	98	2	1	0	C	2	1	598	1	Ⴞ	cut_u.wav
1	99	1	1	1	C	2	0	977	0	Ⴟ	cut_u.wav
1	100	3	3	2	I	2	0	743	1	Ⴜ	cut_o.wav
1	101	4	3	2	I	2	0	704	1	Ⴇ	cut_o.wav
1	102	1	2	0	C	2	1	692	1	Ⴟ	cut_a.wav
1	103	3	4	2	I	2	0	568	1	Ⴜ	cut_k.wav
1	104	2	2	1	C	1	1	897	1	Ⴞ	cut_a.wav
1	105	1	1	1	C	1	1	696	1	Ⴟ	cut_u.wav
1	106	4	3	2	I	2	0	1039	0	Ⴇ	cut_o.wav
1	107	3	3	2	I	2	0	794	1	Ⴜ	cut_o.wav
1	108	2	1	0	C	2	1	723	1	Ⴞ	cut_u.wav
1	109	3	4	2	I	2	0	724	0	Ⴜ	cut_k.wav
1	110	1	2	0	C	2	1	582	1	Ⴟ	cut_a.wav
1	111	4	4	2	I	2	0	402	0	Ⴇ	cut_k.wav
1	112	2	2	1	C	1	1	852	1	Ⴞ	cut_a.wav
1	113	3	4	2	I	2	0	642	0	Ⴜ	cut_k.wav
1	114	2	2	1	C	1	1	952	1	Ⴞ	cut_a.wav
1	115	4	3	2	I	2	0	652	1	Ⴇ	cut_o.wav
1	116	1	2	0	C	2	1	587	1	Ⴟ	cut_a.wav
1	117	3	3	2	I	2	0	565	0	Ⴜ	cut_o.wav
1	118	2	1	0	C	2	1	630	1	Ⴞ	cut_u.wav
1	119	1	1	1	C	1	1	754	1	Ⴟ	cut_u.wav
1	120	4	4	2	I	1	0	871	0	Ⴇ	cut_k.wav
1	121	3	4	2	I	2	0	714	1	Ⴜ	cut_k.wav
1	122	2	2	1	C	1	1	770	1	Ⴞ	cut_a.wav
1	123	4	3	2	I	2	0	658	1	Ⴇ	cut_o.wav
1	124	1	1	1	C	2	0	826	0	Ⴟ	cut_u.wav
1	125	4	4	2	I	1	0	952	0	Ⴇ	cut_k.wav
1	126	1	2	0	C	2	1	844	1	Ⴟ	cut_a.wav
1	127	3	3	2	I	2	0	597	1	Ⴜ	cut_o.wav
1	128	2	1	0	C	2	1	639	1	Ⴞ	cut_u.wav
1	129	1	1	1	C	1	1	795	1	Ⴟ	cut_u.wav
1	130	4	4	2	I	2	0	1508	0	Ⴇ	cut_k.wav
1	131	2	2	1	C	1	1	877	1	Ⴞ	cut_a.wav
1	132	3	3	2	I	1	0	1338	0	Ⴜ	cut_o.wav
1	133	1	2	0	C	2	1	649	1	Ⴟ	cut_a.wav
1	134	4	3	2	I	2	0	658	0	Ⴇ	cut_o.wav
1	135	2	1	0	C	2	1	709	1	Ⴞ	cut_u.wav
1	136	3	4	2	I	2	0	657	1	Ⴜ	cut_k.wav
1	137	1	2	0	C	2	1	716	1	Ⴟ	cut_a.wav
1	138	3	3	2	I	1	0	899	0	Ⴜ	cut_o.wav
1	139	4	4	2	I	2	0	731	1	Ⴇ	cut_k.wav
1	140	2	1	0	C	2	1	745	1	Ⴞ	cut_u.wav
1	141	1	1	1	C	1	1	832	1	Ⴟ	cut_u.wav
1	142	2	2	1	C	1	1	1163	1	Ⴞ	cut_a.wav
1	143	3	4	2	I	2	0	666	0	Ⴜ	cut_k.wav
1	144	4	3	2	I	2	0	558	0	Ⴇ	cut_o.wav
1	145	2	1	0	C	2	1	652	1	Ⴞ	cut_u.wav
1	146	4	3	2	I	2	0	506	1	Ⴇ	cut_o.wav
1	147	1	2	0	C	2	1	562	1	Ⴟ	cut_a.wav
1	148	3	4	2	I	1	0	456	1	Ⴜ	cut_k.wav
1	149	1	1	1	C	2	0	615	0	Ⴟ	cut_u.wav
1	150	3	3	2	I	2	0	661	0	Ⴜ	cut_o.wav
1	151	2	2	1	C	1	1	851	1	Ⴞ	cut_a.wav
1	152	4	4	2	I	2	0	646	1	Ⴇ	cut_k.wav
1	153	1	1	1	C	1	1	869	1	Ⴟ	cut_u.wav
1	154	4	3	2	I	2	0	218	1	Ⴇ	cut_o.wav
1	155	3	3	2	I	2	0	390	0	Ⴜ	cut_o.wav
1	156	2	1	0	C	2	1	596	1	Ⴞ	cut_u.wav
1	157	3	4	2	I	1	0	477	0	Ⴜ	cut_k.wav
1	158	2	2	1	C	1	1	751	1	Ⴞ	cut_a.wav
1	159	4	4	2	I	2	0	591	1	Ⴇ	cut_k.wav
1	160	1	2	0	C	2	1	517	1	Ⴟ	cut_a.wav
1	161	3	3	2	I	2	0	449	1	Ⴜ	cut_o.wav
1	162	1	1	1	C	1	1	666	1	Ⴟ	cut_u.wav
1	163	2	2	1	C	2	0	651	0	Ⴞ	cut_a.wav
1	164	4	4	2	I	2	0	428	1	Ⴇ	cut_k.wav
1	165	2	1	0	C	2	1	642	1	Ⴞ	cut_u.wav
1	166	1	2	0	C	2	1	561	1	Ⴟ	cut_a.wav
1	167	4	3	2	I	2	0	470	1	Ⴇ	cut_o.wav
1	168	3	4	2	I	2	0	544	0	Ⴜ	cut_k.wav
1	169	1	2	0	C	2	1	512	1	Ⴟ	cut_a.wav
1	170	3	4	2	I	2	0	488	1	Ⴜ	cut_k.wav
1	171	2	2	1	C	1	1	923	1	Ⴞ	cut_a.wav
1	172	4	4	2	I	2	0	573	1	Ⴇ	cut_k.wav
1	173	2	1	0	C	1	0	726	0	Ⴞ	cut_u.wav
1	174	4	3	2	I	2	0	409	1	Ⴇ	cut_o.wav
1	175	3	3	2	I	2	0	417	1	Ⴜ	cut_o.wav
1	176	1	1	1	C	2	0	1085	0	Ⴟ	cut_u.wav
1	177	4	3	2	I	2	0	456	1	Ⴇ	cut_o.wav
1	178	1	1	1	C	1	1	771	1	Ⴟ	cut_u.wav
1	179	2	2	1	C	1	1	1241	1	Ⴞ	cut_a.wav
1	180	3	4	2	I	2	0	469	0	Ⴜ	cut_k.wav
1	181	2	1	0	C	2	1	586	1	Ⴞ	cut_u.wav
1	182	3	3	2	I	2	0	499	0	Ⴜ	cut_o.wav
1	183	4	4	2	I	1	0	545	0	Ⴇ	cut_k.wav
1	184	1	2	0	C	2	1	567	1	Ⴟ	cut_a.wav
1	185	4	3	2	I	2	0	583	1	Ⴇ	cut_o.wav
1	186	3	3	2	I	2	0	590	0	Ⴜ	cut_o.wav
1	187	2	2	1	C	2	0	448	0	Ⴞ	cut_a.wav
1	188	1	2	0	C	2	1	489	1	Ⴟ	cut_a.wav
1	189	3	4	2	I	2	0	615	1	Ⴜ	cut_k.wav
1	190	2	1	0	C	2	1	615	1	Ⴞ	cut_u.wav
1	191	4	4	2	I	2	0	579	0	Ⴇ	cut_k.wav
1	192	1	1	1	C	2	0	495	0	Ⴟ	cut_u.wav
1	193	4	4	2	I	2	0	536	0	Ⴇ	cut_k.wav
1	194	3	3	2	I	2	0	592	0	Ⴜ	cut_o.wav
1	195	1	2	0	C	2	1	416	1	Ⴟ	cut_a.wav
1	196	2	1	0	C	2	1	381	1	Ⴞ	cut_u.wav
1	197	3	4	2	I	2	0	539	1	Ⴜ	cut_k.wav
1	198	1	1	1	C	1	1	696	1	Ⴟ	cut_u.wav
1	199	2	2	1	C	1	1	927	1	Ⴞ	cut_a.wav
1	200	4	3	2	I	2	0	563	0	Ⴇ	cut_o.wav
2	1	4	3	2	I	2	0	782	1	Ⴃ	cut_f.wav
2	2	2	1	0	C	2	1	644	1	Ⴁ	cut_ei.wav
2	3	1	1	1	C	1	1	619	1	Ⴂ	cut_ei.wav
2	4	3	3	2	I	1	0	612	1	Ⴡ	cut_f.wav
2	5	4	4	2	I	1	0	714	0	Ⴃ	cut_j.wav
2	6	1	2	0	C	1	0	623	0	Ⴂ	cut_n.wav
2	7	3	4	2	I	2	0	787	1	Ⴡ	cut_j.wav
2	8	2	2	1	C	1	1	649	1	Ⴁ	cut_n.wav
2	9	4	4	2	I	2	0	664	0	Ⴃ	cut_j.wav
2	10	2	2	1	C	1	1	697	1	Ⴁ	cut_n.wav
2	11	3	4	2	I	2	0	645	0	Ⴡ	cut_j.wav
2	12	1	2	0	C	2	1	617	1	Ⴂ	cut_n.wav
2	13	2	1	0	C	2	1	714	1	Ⴁ	cut_ei.wav
2	14	1	1	1	C	1	1	813	1	Ⴂ	cut_ei.wav
2	15	4	3	2	I	1	0	897	1	Ⴃ	cut_f.wav
2	16	3	3	2	I	1	0	843	1	Ⴡ	cut_f.wav
2	17	4	4	2	I	1	0	1071	0	Ⴃ	cut_j.wav
2	18	3	3	2	I	1	0	974	0	Ⴡ	cut_f.wav
2	19	2	2	1	C	1	1	727	1	Ⴁ	cut_n.wav
2	20	1	1	1	C	1	1	742	1	Ⴂ	cut_ei.wav
2	21	3	4	2	I	1	0	739	0	Ⴡ	cut_j.wav
2	22	2	1	0	C	1	0	926	0	Ⴁ	cut_ei.wav
2	23	4	3	2	I	2	0	620	1	Ⴃ	cut_f.wav
2	24	1	2	0	C	2	1	536	1	Ⴂ	cut_n.wav
2	25	2	2	1	C	1	1	592	1	Ⴁ	cut_n.wav
2	26	1	1	1	C	1	1	678	1	Ⴂ	cut_ei.wav
2	27	4	3	2	I	2	0	587	1	Ⴃ	cut_f.wav
2	28	3	4	2	I	1	0	594	1	Ⴡ	cut_j.wav
2	29	1	2	0	C	2	1	498	1	Ⴂ	cut_n.wav
2	30	4	4	2	I	1	0	615	1	Ⴃ	cut_j.wav
2	31	2	1	0	C	2	1	565	1	Ⴁ	cut_ei.wav
2	32	3	3	2	I	2	0	561	1	Ⴡ	cut_f.wav
2	33	2	2	1	C	1	1	580	1	Ⴁ	cut_n.wav
2	34	4	4	2	I	2	0	646	0	Ⴃ	cut_j.wav
2	35	3	3	2	I	2	0	546	1	Ⴡ	cut_f.wav
2	36	1	1	1	C	1	1	572	1	Ⴂ	cut_ei.wav
2	37	2	1	0	C	2	1	541	1	Ⴁ	cut_ei.wav
2	38	4	3	2	I	2	0	534	1	Ⴃ	cut_f.wav
2	39	1	2	0	C	2	1	541	1	Ⴂ	cut_n.wav
2	40	3	4	2	I	2	0	611	1	Ⴡ	cut_j.wav
2	41	4	3	2	I	2	0	543	0	Ⴃ	cut_f.wav
2	42	3	4	2	I	2	0	520	0	Ⴡ	cut_j.wav
2	43	1	1	1	C	2	0	506	0	Ⴂ	cut_ei.wav
2	44	2	2	1	C	1	1	780	1	Ⴁ	cut_n.wav
2	45	1	2	0	C	2	1	548	1	Ⴂ	cut_n.wav
2	46	4	4	2	I	2	0	653	0	Ⴃ	cut_j.wav
2	47	3	3	2	I	2	0	542	1	Ⴡ	cut_f.wav
2	48	2	1	0	C	2	1	628	1	Ⴁ	cut_ei.wav
2	49	4	3	2	I	2	0	455	1	Ⴃ	cut_f.wav
2	50	2	1	0	C	2	1	450	1	Ⴁ	cut_ei.wav
2	51	3	4	2	I	2	0	598	1	Ⴡ	cut_j.wav
2	52	1	1	1	C	2	0	435	0	Ⴂ	cut_ei.wav
2	53	2	2	1	C	1	1	900	1	Ⴁ	cut_n.wav
2	54	1	2	0	C	2	1	607	1	Ⴂ	cut_n.wav
2	55	4	4	2	I	2	0	608	1	Ⴃ	cut_j.wav
2	56	3	3	2	I	2	0	500	0	Ⴡ	cut_f.wav
2	57	4	3	2	I	2	0	459	0	Ⴃ	cut_f.wav
2	58	2	2	1	C	1	1	594	1	Ⴁ	cut_n.wav
2	59	3	3	2	I	2	0	516	1	Ⴡ	cut_f.wav
2	60	1	2	0	C	2	1	511	1	Ⴂ	cut_n.wav
2	61	4	4	2	I	1	0	763	0	Ⴃ	cut_j.wav
2	62	2	1	0	C	1	0	770	0	Ⴁ	cut_ei.wav
2	63	3	4	2	I	2	0	535	1	Ⴡ	cut_j.wav
2	64	1	1	1	C	1	1	650	1	Ⴂ	cut_ei.wav
2	65	2	2	1	C	1	1	777	1	Ⴁ	cut_n.wav
2	66	3	4	2	I	1	0	571	0	Ⴡ	cut_j.wav
2	67	4	3	2	I	1	0	464	1	Ⴃ	cut_f.wav
2	68	1	1	1	C	2	0	416	0	Ⴂ	cut_ei.wav
2	69	4	4	2	I	1	0	631	0	Ⴃ	cut_j.wav
2	70	3	3	2	I	2	0	582	0	Ⴡ	cut_f.wav
2	71	1	2	0	C	2	1	408	1	Ⴂ	cut_n.wav
2	72	2	1	0	C	2	1	457	1	Ⴁ	cut_ei.wav
2	73	4	3	2	I	1	0	539	1	Ⴃ	cut_f.wav
2	74	1	2	0	C	2	1	485	1	Ⴂ	cut_n.wav
2	75	2	1	0	C	2	1	553	1	Ⴁ	cut_ei.wav
2	76	3	3	2	I	2	0	512	1	Ⴡ	cut_f.wav
2	77	1	1	1	C	2	0	385	0	Ⴂ	cut_ei.wav
2	78	4	4	2	I	2	0	453	1	Ⴃ	cut_j.wav
2	79	2	2	1	C	1	1	655	1	Ⴁ	cut_n.wav
2	80	3	4	2	I	1	0	575	1	Ⴡ	cut_j.wav
2	81	1	1	1	C	1	1	744	1	Ⴂ	cut_ei.wav
2	82	2	1	0	C	2	1	638	1	Ⴁ	cut_ei.wav
2	83	4	3	2	I	1	0	578	0	Ⴃ	cut_f.wav
2	84	3	3	2	I	1	0	512	0	Ⴡ	cut_f.wav
2	85	1	2	0	C	2	1	432	1	Ⴂ	cut_n.wav
2	86	3	4	2	I	2	0	533	1	Ⴡ	cut_j.wav
2	87	2	2	1	C	1	1	522	1	Ⴁ	cut_n.wav
2	88	4	4	2	I	2	0	458	0	Ⴃ	cut_j.wav
2	89	1	2	0	C	2	1	511	1	Ⴂ	cut_n.wav
2	90	3	4	2	I	1	0	501	0	Ⴡ	cut_j.wav
2	91	4	3	2	I	1	0	485	1	Ⴃ	cut_f.wav
2	92	2	2	1	C	1	1	508	1	Ⴁ	cut_n.wav
2	93	1	1	1	C	1	1	694	1	Ⴂ	cut_ei.wav
2	94	4	4	2	I	1	0	488	0	Ⴃ	cut_j.wav
2	95	2	1	0	C	1	0	509	0	Ⴁ	cut_ei.wav
2	96	3	3	2	I	1	0	519	1	Ⴡ	cut_f.wav
2	97	4	4	2	I	1	0	510	0	Ⴃ	cut_j.wav
2	98	1	1	1	C	1	1	636	1	Ⴂ	cut_ei.wav
2	99	3	4	2	I	1	0	571	0	Ⴡ	cut_j.wav
2	100	2	2	1	C	1	1	671	1	Ⴁ	cut_n.wav
2	101	1	2	0	C	2	1	521	1	Ⴂ	cut_n.wav
2	102	4	3	2	I	1	0	514	1	Ⴃ	cut_f.wav
2	103	3	3	2	I	1	0	547	1	Ⴡ	cut_f.wav
2	104	2	1	0	C	2	1	627	1	Ⴁ	cut_ei.wav
2	105	4	3	2	I	1	0	530	0	Ⴃ	cut_f.wav
2	106	1	2	0	C	2	1	450	1	Ⴂ	cut_n.wav
2	107	2	2	1	C	1	1	887	1	Ⴁ	cut_n.wav
2	108	3	3	2	I	1	0	474	1	Ⴡ	cut_f.wav
2	109	2	1	0	C	1	0	495	0	Ⴁ	cut_ei.wav
2	110	4	4	2	I	2	0	530	1	Ⴃ	cut_j.wav
2	111	3	4	2	I	2	0	477	1	Ⴡ	cut_j.wav
2	112	1	1	1	C	1	1	541	1	Ⴂ	cut_ei.wav
2	113	2	1	0	C	2	1	500	1	Ⴁ	cut_ei.wav
2	114	4	4	2	I	2	0	526	0	Ⴃ	cut_j.wav
2	115	1	1	1	C	1	1	649	1	Ⴂ	cut_ei.wav
2	116	3	4	2	I	2	0	547	0	Ⴡ	cut_j.wav
2	117	1	2	0	C	2	1	502	1	Ⴂ	cut_n.wav
2	118	2	2	1	C	1	1	522	1	Ⴁ	cut_n.wav
2	119	3	3	2	I	1	0	471	0	Ⴡ	cut_f.wav
2	120	4	3	2	I	2	0	538	1	Ⴃ	cut_f.wav
2	121	3	3	2	I	1	0	536	0	Ⴡ	cut_f.wav
2	122	4	3	2	I	1	0	473	1	Ⴃ	cut_f.wav
2	123	2	1	0	C	2	1	655	1	Ⴁ	cut_ei.wav
2	124	1	2	0	C	2	1	510	1	Ⴂ	cut_n.wav
2	125	2	2	1	C	1	1	679	1	Ⴁ	cut_n.wav
2	126	1	1	1	C	1	1	649	1	Ⴂ	cut_ei.wav
2	127	4	4	2	I	1	0	456	0	Ⴃ	cut_j.wav
2	128	3	4	2	I	1	0	442	0	Ⴡ	cut_j.wav
2	129	1	1	1	C	1	1	629	1	Ⴂ	cut_ei.wav
2	130	3	4	2	I	1	0	490	0	Ⴡ	cut_j.wav
2	131	4	3	2	I	1	0	475	1	Ⴃ	cut_f.wav
2	132	2	2	1	C	1	1	627	1	Ⴁ	cut_n.wav
2	133	4	4	2	I	2	0	557	1	Ⴃ	cut_j.wav
2	134	1	2	0	C	2	1	586	1	Ⴂ	cut_n.wav
2	135	3	3	2	I	1	0	489	0	Ⴡ	cut_f.wav
2	136	2	1	0	C	2	1	760	1	Ⴁ	cut_ei.wav
2	137	4	4	2	I	1	0	482	0	Ⴃ	cut_j.wav
2	138	2	2	1	C	1	1	814	1	Ⴁ	cut_n.wav
2	139	1	2	0	C	2	1	551	1	Ⴂ	cut_n.wav
2	140	3	4	2	I	1	0	644	1	Ⴡ	cut_j.wav
2	141	1	1	1	C	1	1	569	1	Ⴂ	cut_ei.wav
2	142	2	1	0	C	2	1	522	1	Ⴁ	cut_ei.wav
2	143	3	3	2	I	1	0	453	0	Ⴡ	cut_f.wav
2	144	4	3	2	I	1	0	448	0	Ⴃ	cut_f.wav
2	145	2	2	1	C	1	1	675	1	Ⴁ	cut_n.wav
2	146	1	1	1	C	1	1	704	1	Ⴂ	cut_ei.wav
2	147	3	3	2	I	1	0	550	0	Ⴡ	cut_f.wav
2	148	4	3	2	I	1	0	509	0	Ⴃ	cut_f.wav
2	149	1	2	0	C	2	1	469	1	Ⴂ	cut_n.wav
2	150	2	1	0	C	2	1	610	1	Ⴁ	cut_ei.wav
2	151	3	4	2	I	2	0	570	1	Ⴡ	cut_j.wav
2	152	4	4	2	I	2	0	559	1	Ⴃ	cut_j.wav
2	153	2	1	0	C	2	1	553	1	Ⴁ	cut_ei.wav
2	154	4	4	2	I	2	0	518	1	Ⴃ	cut_j.wav
2	155	1	1	1	C	1	1	695	1	Ⴂ	cut_ei.wav
2	156	3	4	2	I	1	0	505	0	Ⴡ	cut_j.wav
2	157	4	3	2	I	2	0	561	0	Ⴃ	cut_f.wav
2	158	3	3	2	I	2	0	519	0	Ⴡ	cut_f.wav
2	159	1	2	0	C	2	1	430	1	Ⴂ	cut_n.wav
2	160	2	2	1	C	1	1	888	1	Ⴁ	cut_n.wav
2	161	3	3	2	I	1	0	495	1	Ⴡ	cut_f.wav
