block	trial	Vstim	Astim	match	C/I	resp	.result	RT	fb	V-file	A-file
LR

0	1	1	2	0	C	0	0	0	0	Ⴢ	cut_g_stereo_44KHz.wav
0	2	2	4	0	C	2	0	893	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	3	1	1	1	C	1	0	1263	0	Ⴢ	cut_oo_stereo_44KHz.wav
0	4	2	3	1	C	1	0	1154	0	Ⴞ	cut_ee_stereo_44KHz.wav
0	5	1	2	0	C	0	0	0	0	Ⴢ	cut_g_stereo_44KHz.wav
0	6	2	3	1	C	2	1	1126	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	7	2	4	0	C	1	1	891	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	8	1	1	1	C	2	1	815	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	9	1	1	1	C	2	1	674	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	10	2	4	0	C	2	0	733	0	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	11	1	2	0	C	1	1	1528	1	Ⴢ	cut_g_stereo_44KHz.wav
0	12	2	3	1	C	2	1	829	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	13	2	3	1	C	2	1	936	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	14	2	4	0	C	1	1	669	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	15	1	1	1	C	2	1	658	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	16	1	2	0	C	1	1	827	1	Ⴢ	cut_g_stereo_44KHz.wav
0	17	2	4	0	C	1	1	955	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	18	2	3	1	C	2	1	670	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	19	1	1	1	C	2	1	660	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	20	1	2	0	C	1	1	664	1	Ⴢ	cut_g_stereo_44KHz.wav
0	21	2	3	1	C	2	1	868	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	22	1	1	1	C	2	1	876	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	23	1	2	0	C	1	1	760	1	Ⴢ	cut_g_stereo_44KHz.wav
0	24	2	4	0	C	1	1	808	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	25	2	4	0	C	1	1	1094	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	26	1	2	0	C	1	1	768	1	Ⴢ	cut_g_stereo_44KHz.wav
0	27	2	3	1	C	2	1	841	1	Ⴞ	cut_ee_stereo_44KHz.wav
0	28	1	1	1	C	2	1	893	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	29	2	4	0	C	1	1	761	1	Ⴞ	cut_eeuw_stereo_44KHz.wav
0	30	2	3	1	C	2	1	896	1	Ⴞ	cut_ee_stereo_44KHz.wav
avg_resp = 853
1	1	4	3	2	I	2	0	1561	1	Ⴁ	cut_s_stereo_44KHz.wav
1	2	1	2	0	C	2	0	1573	0	Ⴃ	cut_f_stereo_44KHz.wav
1	3	2	2	1	C	2	1	1023	1	Ⴜ	cut_f_stereo_44KHz.wav
1	4	3	4	2	I	2	0	1252	1	Ⴇ	cut_j_stereo_44KHz.wav
1	5	2	1	0	C	2	0	1285	0	Ⴜ	cut_n_stereo_44KHz.wav
1	6	1	1	1	C	2	1	1357	1	Ⴃ	cut_n_stereo_44KHz.wav
