block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
RL

0	1	2	4	0	C	2	1	732	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	2	1	1	1	C	2	0	440	0	poli_8sides 23_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	3	1	2	0	C	2	1	1126	1	poli_8sides 23_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	4	2	3	1	C	1	1	657	1	poli_8sides 22_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	5	1	1	1	C	1	1	822	1	poli_8sides 23_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	6	1	2	0	C	2	1	832	1	poli_8sides 23_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	7	2	4	0	C	2	1	903	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	8	2	3	1	C	1	1	685	1	poli_8sides 22_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	9	1	1	1	C	2	0	1368	0	poli_8sides 23_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	10	2	4	0	C	2	1	1121	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	11	1	2	0	C	2	1	865	1	poli_8sides 23_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	12	2	3	1	C	2	0	775	0	poli_8sides 22_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	13	1	2	0	C	2	1	631	1	poli_8sides 23_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	14	2	4	0	C	2	1	936	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	15	2	3	1	C	1	1	568	1	poli_8sides 22_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	16	1	1	1	C	2	0	876	0	poli_8sides 23_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	17	1	2	0	C	2	1	580	1	poli_8sides 23_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	18	1	1	1	C	1	1	707	1	poli_8sides 23_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	19	2	4	0	C	2	1	488	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	20	2	3	1	C	1	1	642	1	poli_8sides 22_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	21	2	3	1	C	1	1	725	1	poli_8sides 22_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	22	1	2	0	C	2	1	597	1	poli_8sides 23_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	23	1	1	1	C	1	1	659	1	poli_8sides 23_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	24	2	4	0	C	2	1	726	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	25	1	2	0	C	1	0	770	0	poli_8sides 23_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	26	2	3	1	C	2	0	523	0	poli_8sides 22_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	27	1	1	1	C	2	0	580	0	poli_8sides 23_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	28	2	4	0	C	2	1	481	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	29	2	4	0	C	2	1	848	1	poli_8sides 22_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	30	1	2	0	C	2	1	821	1	poli_8sides 23_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
avg_resp = 746
1	1	2	2	1	C	2	0	1064	0	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	2	4	4	2	I	2	0	719	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	3	3	4	2	I	1	0	754	0	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	4	1	1	1	C	2	0	870	0	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	5	2	1	0	C	2	1	614	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	6	1	2	0	C	1	0	892	0	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	7	3	3	2	I	2	0	554	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	8	4	3	2	I	2	0	770	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	9	3	4	2	I	1	0	513	0	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	10	4	3	2	I	2	0	559	1	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	11	2	1	0	C	1	0	710	0	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	12	1	2	0	C	2	1	673	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	13	3	3	2	I	2	0	639	1	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	14	1	1	1	C	1	1	738	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	15	2	2	1	C	1	1	827	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	16	4	4	2	I	2	0	910	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	17	3	4	2	I	1	0	630	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	18	1	1	1	C	1	1	741	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	19	4	3	2	I	1	0	760	1	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	20	2	1	0	C	2	1	1004	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	21	3	3	2	I	1	0	898	1	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	22	1	2	0	C	2	1	768	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	23	4	4	2	I	2	0	795	0	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	24	2	2	1	C	1	1	730	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	25	3	3	2	I	2	0	806	1	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	26	2	2	1	C	1	1	719	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	27	1	1	1	C	1	1	844	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	28	4	4	2	I	2	0	989	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	29	1	2	0	C	2	1	696	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	30	4	3	2	I	1	0	713	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	31	2	1	0	C	2	1	735	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	32	3	4	2	I	2	0	934	0	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	33	2	2	1	C	1	1	779	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	34	1	2	0	C	2	1	620	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	35	3	3	2	I	2	0	724	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	36	4	4	2	I	2	0	820	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	37	2	1	0	C	2	1	1002	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	38	1	1	1	C	1	1	674	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	39	4	3	2	I	1	0	935	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	40	3	4	2	I	2	0	780	0	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	41	2	1	0	C	1	0	753	0	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	42	1	2	0	C	2	1	540	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	43	3	4	2	I	1	0	1352	0	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	44	4	4	2	I	2	0	710	0	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	45	1	1	1	C	1	1	660	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	46	2	2	1	C	1	1	914	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	47	3	3	2	I	1	0	831	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	48	4	3	2	I	1	0	770	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	49	1	2	0	C	2	1	627	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	50	4	3	2	I	1	0	816	1	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	51	2	1	0	C	2	1	1177	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	52	3	3	2	I	2	0	1075	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	53	1	1	1	C	1	1	1155	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	54	2	2	1	C	1	1	1078	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	55	3	4	2	I	1	0	848	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	56	4	4	2	I	2	0	796	0	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	57	3	4	2	I	1	0	801	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	58	1	2	0	C	2	1	633	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	59	4	4	2	I	2	0	1235	0	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	60	2	1	0	C	1	0	1374	0	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	61	4	3	2	I	2	0	800	1	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	62	1	1	1	C	1	1	819	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	63	2	2	1	C	1	1	969	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	64	3	3	2	I	1	0	1508	1	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	65	4	4	2	I	2	0	958	0	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	66	3	4	2	I	2	0	783	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	67	1	1	1	C	1	1	730	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	68	2	1	0	C	1	0	795	0	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	69	3	3	2	I	2	0	952	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	70	1	2	0	C	2	1	617	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	71	2	2	1	C	1	1	814	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	72	4	3	2	I	1	0	1173	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	73	3	4	2	I	1	0	1010	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	74	4	4	2	I	2	0	890	0	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	75	2	1	0	C	1	0	864	0	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	76	1	2	0	C	2	1	727	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	77	4	3	2	I	1	0	722	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	78	3	3	2	I	2	0	834	1	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	79	2	2	1	C	1	1	918	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	80	1	1	1	C	1	1	803	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	81	2	1	0	C	2	1	992	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	82	4	4	2	I	1	0	998	0	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	83	1	2	0	C	2	1	760	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	84	3	4	2	I	1	0	1455	0	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	85	1	1	1	C	1	1	881	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	86	2	2	1	C	1	1	868	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	87	3	3	2	I	2	0	1295	1	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	88	4	3	2	I	1	0	829	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	89	3	4	2	I	1	0	1530	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	90	1	2	0	C	2	1	746	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	91	2	2	1	C	1	1	976	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	92	4	4	2	I	1	0	1454	0	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	93	1	1	1	C	1	1	821	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	94	4	3	2	I	2	0	876	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	95	3	3	2	I	2	0	1118	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	96	2	1	0	C	2	1	902	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	97	4	4	2	I	2	0	880	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	98	1	2	0	C	2	1	640	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	99	3	3	2	I	2	0	857	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	100	2	1	0	C	1	0	857	0	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	101	3	4	2	I	1	0	1419	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	102	1	1	1	C	1	1	825	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	103	2	2	1	C	1	1	786	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	104	4	3	2	I	1	0	835	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	105	1	1	1	C	1	1	756	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	106	2	2	1	C	1	1	741	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	107	3	3	2	I	1	0	1190	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	108	4	4	2	I	2	0	1441	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	109	3	4	2	I	2	0	1134	0	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	110	1	2	0	C	2	1	688	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	111	4	3	2	I	2	0	1352	1	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	112	2	1	0	C	2	1	924	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	113	1	2	0	C	2	1	751	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	114	2	1	0	C	2	1	830	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	115	3	4	2	I	1	0	982	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	116	4	4	2	I	2	0	911	0	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	117	1	1	1	C	1	1	748	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	118	3	3	2	I	2	0	1083	1	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	119	2	2	1	C	1	1	781	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	120	4	3	2	I	1	0	928	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	121	1	2	0	C	2	1	787	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	122	2	1	0	C	1	0	922	0	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	123	3	4	2	I	2	0	1580	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	124	4	3	2	I	1	0	582	1	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	125	1	1	1	C	2	0	647	0	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	126	3	3	2	I	1	0	663	1	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	127	4	4	2	I	1	0	819	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	128	2	2	1	C	1	1	734	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	129	3	4	2	I	1	0	951	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	130	4	3	2	I	1	0	1211	1	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	131	2	1	0	C	2	1	973	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	132	1	2	0	C	2	1	729	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	133	3	3	2	I	1	0	1102	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	134	2	2	1	C	1	1	828	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	135	4	4	2	I	1	0	676	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	136	1	1	1	C	1	1	666	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	137	4	4	2	I	1	0	768	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	138	2	1	0	C	2	1	1162	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	139	3	3	2	I	1	0	861	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	140	1	2	0	C	2	1	677	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	141	2	2	1	C	1	1	717	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	142	4	3	2	I	1	0	738	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	143	1	1	1	C	1	1	740	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	144	3	4	2	I	2	0	914	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	145	4	4	2	I	1	0	684	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	146	2	1	0	C	1	0	1065	0	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	147	3	4	2	I	2	0	919	0	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	148	1	2	0	C	2	1	658	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	149	3	3	2	I	1	0	984	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	150	1	1	1	C	1	1	744	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	151	4	3	2	I	1	0	860	1	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	152	2	2	1	C	1	1	855	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	153	3	4	2	I	1	0	791	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	154	4	4	2	I	1	0	718	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	155	2	1	0	C	2	1	1035	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	156	1	1	1	C	1	1	721	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	157	3	3	2	I	2	0	912	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	158	1	2	0	C	2	1	669	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	159	2	2	1	C	1	1	817	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	160	4	3	2	I	1	0	708	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	161	2	1	0	C	2	1	898	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	162	4	4	2	I	1	0	615	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	163	1	2	0	C	2	1	694	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	164	3	4	2	I	1	0	699	0	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	165	1	1	1	C	1	1	768	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	166	2	2	1	C	1	1	1099	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	167	4	3	2	I	2	0	1308	1	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	168	3	3	2	I	1	0	1152	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	169	1	2	0	C	2	1	763	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	170	2	1	0	C	2	1	1506	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	171	3	4	2	I	1	0	859	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	172	4	3	2	I	2	0	1035	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	173	1	1	1	C	1	1	774	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	174	3	3	2	I	1	0	1025	0	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	175	4	4	2	I	1	0	1437	0	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	176	2	2	1	C	1	1	825	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	177	4	4	2	I	0	0	0	0	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	178	1	2	0	C	2	1	530	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	179	2	1	0	C	1	0	688	0	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	180	3	3	2	I	1	0	784	1	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	181	4	3	2	I	2	0	721	1	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	182	1	1	1	C	1	1	856	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	183	2	2	1	C	1	1	881	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	184	3	4	2	I	1	0	665	1	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	185	4	4	2	I	1	0	745	1	poli_8sides 7_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
1	186	1	1	1	C	1	1	757	1	poli_8sides 18_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	187	3	3	2	I	1	0	926	1	poli_8sides 16_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	188	2	1	0	C	2	1	690	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e19_stereo_44KHz.wav
1	189	4	3	2	I	2	0	903	0	poli_8sides 7_whiteLine3.jpg	Medium_e21_stereo_44KHz.wav
1	190	2	2	1	C	1	1	758	1	poli_8sides 12_whiteLine3.jpg	MediumLong_e04_stereo_44KHz.wav
1	191	3	4	2	I	1	0	660	0	poli_8sides 16_whiteLine3.jpg	MediumLong_b10_cut2_L_stereo_44KHz.wav
