block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

0	1	2	4	0	C	0	0	0	0	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	2	1	2	0	C	2	0	817	0	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	3	1	1	1	C	1	0	578	0	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	4	2	3	1	C	2	1	748	1	poli_8sides 22_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	5	1	1	1	C	2	1	737	1	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	6	2	4	0	C	2	0	849	0	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	7	2	3	1	C	2	1	920	1	poli_8sides 22_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	8	1	2	0	C	1	1	701	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	9	1	1	1	C	2	1	904	1	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	10	2	4	0	C	1	1	671	1	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	11	1	2	0	C	1	1	782	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	12	2	3	1	C	1	0	746	0	poli_8sides 22_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	13	1	1	1	C	2	1	632	1	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	14	2	3	1	C	1	0	644	0	poli_8sides 22_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	15	2	4	0	C	2	0	624	0	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	16	1	2	0	C	2	0	829	0	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	17	1	2	0	C	1	1	739	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	18	2	4	0	C	1	1	459	1	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	19	1	1	1	C	2	1	728	1	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	20	2	3	1	C	2	1	531	1	poli_8sides 22_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	21	2	3	1	C	2	1	800	1	poli_8sides 22_whiteLine3.jpg	Practice2_b27_cut2_stereo_44KHz.wav
0	22	1	1	1	C	2	1	832	1	poli_8sides 21_whiteLine3.jpg	Practice3_b26_cut1_stereo_44KHz.wav
0	23	2	4	0	C	1	1	1160	1	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	24	1	2	0	C	1	1	698	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
0	25	2	4	0	C	1	1	767	1	poli_8sides 22_whiteLine3.jpg	Practice1_b27_cut1_stereo_44KHz.wav
0	26	1	2	0	C	1	1	504	1	poli_8sides 21_whiteLine3.jpg	Practice4_b26_stereo_44KHz.wav
