block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

0	1	1	2	0	C	0	0	0	0	Ⴋ	cut_oo_stereo_44KHz.wav
0	2	2	4	0	C	1	1	858	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	3	1	1	1	C	1	0	898	0	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	4	2	3	1	C	2	1	1270	1	Ⴢ	cut_g_stereo_44KHz.wav
0	5	2	3	1	C	2	1	910	1	Ⴢ	cut_g_stereo_44KHz.wav
0	6	1	2	0	C	1	1	1058	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	7	1	1	1	C	1	0	1515	0	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	8	2	4	0	C	1	1	643	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	9	2	4	0	C	1	1	1084	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	10	2	3	1	C	2	1	1175	1	Ⴢ	cut_g_stereo_44KHz.wav
0	11	1	1	1	C	2	1	1538	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	12	1	2	0	C	1	1	1013	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	13	1	2	0	C	1	1	862	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	14	2	4	0	C	1	1	823	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	15	1	1	1	C	2	1	1197	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	16	2	3	1	C	2	1	1477	1	Ⴢ	cut_g_stereo_44KHz.wav
0	17	2	4	0	C	1	1	958	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	18	2	3	1	C	2	1	1064	1	Ⴢ	cut_g_stereo_44KHz.wav
0	19	1	2	0	C	1	1	1231	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	20	1	1	1	C	2	1	1286	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	21	1	1	1	C	2	1	1070	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	22	2	4	0	C	1	1	876	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	23	1	2	0	C	1	1	845	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	24	2	3	1	C	2	1	1203	1	Ⴢ	cut_g_stereo_44KHz.wav
0	25	2	4	0	C	1	1	1129	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	26	2	3	1	C	2	1	1034	1	Ⴢ	cut_g_stereo_44KHz.wav
0	27	1	1	1	C	2	1	1331	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	28	1	2	0	C	1	1	1042	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	29	1	2	0	C	1	1	999	1	Ⴋ	cut_oo_stereo_44KHz.wav
0	30	2	3	1	C	2	1	850	1	Ⴢ	cut_g_stereo_44KHz.wav
avg_resp = 1068
1	1	2	2	1	C	1	0	1134	0	Ⴕ	cut_u_stereo_44KHz.wav
1	2	4	4	2	I	1	0	717	0	Ⴒ	cut_a_stereo_44KHz.wav
1	3	3	4	2	I	1	0	523	0	Ⴐ	cut_a_stereo_44KHz.wav
1	4	1	1	1	C	1	0	937	0	Ⴖ	cut_k_stereo_44KHz.wav
1	5	3	3	2	I	1	0	370	1	Ⴐ	cut_o_stereo_44KHz.wav
1	6	1	2	0	C	1	1	873	1	Ⴖ	cut_u_stereo_44KHz.wav
