block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
RL

0	1	1	2	0	C	2	1	681	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	2	1	1	1	C	2	0	313	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	3	2	3	1	C	1	1	307	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	4	2	4	0	C	2	1	302	1	Ⴋ	cut_g_stereo_44KHz.wav
0	5	2	3	1	C	1	1	1762	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	6	2	4	0	C	1	0	1256	0	Ⴋ	cut_g_stereo_44KHz.wav
0	7	1	2	0	C	2	1	656	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	8	1	1	1	C	2	0	547	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	9	1	1	1	C	1	1	536	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	10	2	4	0	C	2	1	465	1	Ⴋ	cut_g_stereo_44KHz.wav
0	11	2	3	1	C	1	1	309	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	12	1	2	0	C	2	1	307	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	13	2	4	0	C	1	0	1396	0	Ⴋ	cut_g_stereo_44KHz.wav
0	14	1	1	1	C	2	0	565	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	15	2	3	1	C	1	1	213	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	16	1	2	0	C	2	1	1341	1	Ⴢ	cut_oo_stereo_44KHz.wav
0	17	2	3	1	C	1	1	700	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	18	1	2	0	C	1	0	750	0	Ⴢ	cut_oo_stereo_44KHz.wav
0	19	1	1	1	C	2	0	353	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	20	2	4	0	C	1	0	645	0	Ⴋ	cut_g_stereo_44KHz.wav
0	21	1	2	0	C	1	0	725	0	Ⴢ	cut_oo_stereo_44KHz.wav
0	22	2	4	0	C	1	0	393	0	Ⴋ	cut_g_stereo_44KHz.wav
0	23	1	1	1	C	1	1	542	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	24	2	3	1	C	1	1	789	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	25	1	2	0	C	1	0	973	0	Ⴢ	cut_oo_stereo_44KHz.wav
0	26	1	1	1	C	2	0	581	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	27	2	3	1	C	1	1	176	1	Ⴋ	cut_eeuw_stereo_44KHz.wav
0	28	2	4	0	C	1	0	1261	0	Ⴋ	cut_g_stereo_44KHz.wav
0	29	1	2	0	C	1	0	490	0	Ⴢ	cut_oo_stereo_44KHz.wav
0	30	2	3	1	C	0	0	0	0	Ⴋ	cut_eeuw_stereo_44KHz.wav
avg_resp = 606
1	1	2	1	0	C	1	0	1543	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	2	1	1	1	C	1	1	171	1	Ⴡ	cut_oei_stereo_44KHz.wav
1	3	3	4	2	I	1	0	1416	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	4	4	3	2	I	0	0	0	0	Ⴊ	cut_j_stereo_44KHz.wav
1	5	1	2	0	C	0	0	0	0	Ⴡ	cut_r_stereo_44KHz.wav
1	6	4	4	2	I	2	0	490	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	7	3	3	2	I	0	0	0	0	Ⴇ	cut_j_stereo_44KHz.wav
1	8	2	2	1	C	2	0	270	0	Ⴂ	cut_r_stereo_44KHz.wav
1	9	4	4	2	I	1	0	658	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	10	3	4	2	I	1	0	614	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	11	1	2	0	C	2	1	381	1	Ⴡ	cut_r_stereo_44KHz.wav
1	12	2	1	0	C	1	0	707	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	13	3	3	2	I	2	0	535	0	Ⴇ	cut_j_stereo_44KHz.wav
1	14	1	1	1	C	1	1	347	1	Ⴡ	cut_oei_stereo_44KHz.wav
1	15	4	3	2	I	2	0	793	1	Ⴊ	cut_j_stereo_44KHz.wav
1	16	2	2	1	C	1	1	914	1	Ⴂ	cut_r_stereo_44KHz.wav
1	17	1	2	0	C	1	0	969	0	Ⴡ	cut_r_stereo_44KHz.wav
1	18	4	4	2	I	2	0	637	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	19	2	2	1	C	1	1	974	1	Ⴂ	cut_r_stereo_44KHz.wav
1	20	3	3	2	I	2	0	1002	1	Ⴇ	cut_j_stereo_44KHz.wav
1	21	1	1	1	C	2	0	1733	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	22	4	3	2	I	0	0	0	0	Ⴊ	cut_j_stereo_44KHz.wav
1	23	2	1	0	C	1	0	561	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	24	3	4	2	I	1	0	387	0	Ⴇ	cut_ui_stereo_44KHz.wav
1	25	1	1	1	C	2	0	613	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	26	3	4	2	I	2	0	716	0	Ⴇ	cut_ui_stereo_44KHz.wav
1	27	2	2	1	C	1	1	664	1	Ⴂ	cut_r_stereo_44KHz.wav
1	28	4	3	2	I	1	0	320	0	Ⴊ	cut_j_stereo_44KHz.wav
1	29	2	1	0	C	2	1	356	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	30	1	2	0	C	1	0	437	0	Ⴡ	cut_r_stereo_44KHz.wav
1	31	4	4	2	I	2	0	576	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	32	3	3	2	I	1	0	993	0	Ⴇ	cut_j_stereo_44KHz.wav
1	33	4	4	2	I	2	0	683	0	Ⴊ	cut_ui_stereo_44KHz.wav
1	34	1	2	0	C	1	0	738	0	Ⴡ	cut_r_stereo_44KHz.wav
1	35	3	4	2	I	1	0	552	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	36	2	1	0	C	2	1	480	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	37	3	3	2	I	2	0	579	1	Ⴇ	cut_j_stereo_44KHz.wav
1	38	2	2	1	C	1	1	409	1	Ⴂ	cut_r_stereo_44KHz.wav
1	39	1	1	1	C	1	1	3	1	Ⴡ	cut_oei_stereo_44KHz.wav
1	40	4	3	2	I	1	0	480	0	Ⴊ	cut_j_stereo_44KHz.wav
1	41	2	1	0	C	1	0	304	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	42	4	3	2	I	2	0	395	0	Ⴊ	cut_j_stereo_44KHz.wav
1	43	3	3	2	I	1	0	658	1	Ⴇ	cut_j_stereo_44KHz.wav
1	44	1	1	1	C	1	1	283	1	Ⴡ	cut_oei_stereo_44KHz.wav
1	45	3	4	2	I	2	0	532	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	46	1	2	0	C	1	0	792	0	Ⴡ	cut_r_stereo_44KHz.wav
1	47	4	4	2	I	2	0	574	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	48	2	2	1	C	1	1	329	1	Ⴂ	cut_r_stereo_44KHz.wav
1	49	1	2	0	C	2	1	565	1	Ⴡ	cut_r_stereo_44KHz.wav
1	50	4	3	2	I	0	0	0	0	Ⴊ	cut_j_stereo_44KHz.wav
1	51	2	2	1	C	2	0	328	0	Ⴂ	cut_r_stereo_44KHz.wav
1	52	3	4	2	I	1	0	447	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	53	2	1	0	C	2	1	105	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	54	3	3	2	I	1	0	395	1	Ⴇ	cut_j_stereo_44KHz.wav
1	55	1	1	1	C	2	0	832	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	56	4	4	2	I	1	0	330	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	57	2	2	1	C	2	0	297	0	Ⴂ	cut_r_stereo_44KHz.wav
1	58	3	3	2	I	1	0	587	1	Ⴇ	cut_j_stereo_44KHz.wav
1	59	1	2	0	C	1	0	431	0	Ⴡ	cut_r_stereo_44KHz.wav
1	60	4	3	2	I	2	0	276	1	Ⴊ	cut_j_stereo_44KHz.wav
1	61	3	4	2	I	2	0	902	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	62	1	1	1	C	1	1	978	1	Ⴡ	cut_oei_stereo_44KHz.wav
1	63	4	4	2	I	2	0	1543	0	Ⴊ	cut_ui_stereo_44KHz.wav
1	64	2	1	0	C	1	0	353	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	65	4	3	2	I	2	0	486	1	Ⴊ	cut_j_stereo_44KHz.wav
1	66	2	1	0	C	1	0	382	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	67	3	3	2	I	2	0	565	1	Ⴇ	cut_j_stereo_44KHz.wav
1	68	1	1	1	C	1	1	672	1	Ⴡ	cut_oei_stereo_44KHz.wav
1	69	2	2	1	C	2	0	1959	0	Ⴂ	cut_r_stereo_44KHz.wav
1	70	3	4	2	I	1	0	793	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	71	4	4	2	I	1	0	628	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	72	1	2	0	C	1	0	769	0	Ⴡ	cut_r_stereo_44KHz.wav
1	73	2	1	0	C	2	1	850	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	74	3	3	2	I	2	0	422	1	Ⴇ	cut_j_stereo_44KHz.wav
1	75	1	1	1	C	2	0	1234	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	76	4	4	2	I	1	0	608	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	77	2	2	1	C	2	0	460	0	Ⴂ	cut_r_stereo_44KHz.wav
1	78	4	3	2	I	1	0	1027	1	Ⴊ	cut_j_stereo_44KHz.wav
1	79	3	4	2	I	2	0	989	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	80	1	2	0	C	2	1	1505	1	Ⴡ	cut_r_stereo_44KHz.wav
1	81	3	3	2	I	2	0	452	1	Ⴇ	cut_j_stereo_44KHz.wav
1	82	2	2	1	C	0	0	0	0	Ⴂ	cut_r_stereo_44KHz.wav
1	83	1	1	1	C	2	0	612	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	84	4	3	2	I	0	0	0	0	Ⴊ	cut_j_stereo_44KHz.wav
1	85	2	1	0	C	1	0	357	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	86	4	4	2	I	2	0	385	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	87	3	4	2	I	1	0	553	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	88	1	2	0	C	2	1	40	1	Ⴡ	cut_r_stereo_44KHz.wav
1	89	3	3	2	I	2	0	418	1	Ⴇ	cut_j_stereo_44KHz.wav
1	90	2	2	1	C	1	1	299	1	Ⴂ	cut_r_stereo_44KHz.wav
1	91	4	4	2	I	1	0	283	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	92	1	2	0	C	2	1	599	1	Ⴡ	cut_r_stereo_44KHz.wav
1	93	3	4	2	I	1	0	299	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	94	1	1	1	C	1	1	343	1	Ⴡ	cut_oei_stereo_44KHz.wav
1	95	2	1	0	C	2	1	325	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	96	4	3	2	I	1	0	18	1	Ⴊ	cut_j_stereo_44KHz.wav
1	97	2	1	0	C	2	1	503	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	98	1	1	1	C	2	0	850	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	99	3	3	2	I	1	0	124	1	Ⴇ	cut_j_stereo_44KHz.wav
1	100	4	4	2	I	1	0	303	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	101	1	2	0	C	2	1	487	1	Ⴡ	cut_r_stereo_44KHz.wav
1	102	2	2	1	C	2	0	509	0	Ⴂ	cut_r_stereo_44KHz.wav
1	103	3	4	2	I	1	0	238	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	104	4	3	2	I	1	0	169	1	Ⴊ	cut_j_stereo_44KHz.wav
1	105	3	4	2	I	1	0	408	0	Ⴇ	cut_ui_stereo_44KHz.wav
1	106	2	2	1	C	1	1	287	1	Ⴂ	cut_r_stereo_44KHz.wav
1	107	1	2	0	C	1	0	428	0	Ⴡ	cut_r_stereo_44KHz.wav
1	108	4	4	2	I	2	0	326	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	109	3	3	2	I	1	0	403	1	Ⴇ	cut_j_stereo_44KHz.wav
1	110	2	1	0	C	0	0	0	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	111	1	1	1	C	2	0	336	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	112	4	3	2	I	0	0	0	0	Ⴊ	cut_j_stereo_44KHz.wav
1	113	1	2	0	C	2	1	388	1	Ⴡ	cut_r_stereo_44KHz.wav
1	114	4	3	2	I	0	0	0	0	Ⴊ	cut_j_stereo_44KHz.wav
1	115	2	2	1	C	1	1	1070	1	Ⴂ	cut_r_stereo_44KHz.wav
1	116	3	3	2	I	2	0	319	1	Ⴇ	cut_j_stereo_44KHz.wav
1	117	2	1	0	C	1	0	397	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	118	1	1	1	C	2	0	103	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	119	3	4	2	I	1	0	470	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	120	4	4	2	I	1	0	689	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	121	1	2	0	C	2	1	280	1	Ⴡ	cut_r_stereo_44KHz.wav
1	122	2	2	1	C	2	0	438	0	Ⴂ	cut_r_stereo_44KHz.wav
1	123	4	3	2	I	1	0	311	1	Ⴊ	cut_j_stereo_44KHz.wav
1	124	3	3	2	I	1	0	857	1	Ⴇ	cut_j_stereo_44KHz.wav
1	125	2	1	0	C	2	1	394	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	126	3	4	2	I	2	0	1886	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	127	1	1	1	C	1	1	870	1	Ⴡ	cut_oei_stereo_44KHz.wav
1	128	4	4	2	I	1	0	95	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	129	1	1	1	C	1	1	621	1	Ⴡ	cut_oei_stereo_44KHz.wav
1	130	3	3	2	I	1	0	1488	1	Ⴇ	cut_j_stereo_44KHz.wav
1	131	2	1	0	C	1	0	379	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	132	4	4	2	I	2	0	151	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	133	2	2	1	C	2	0	44	0	Ⴂ	cut_r_stereo_44KHz.wav
1	134	3	4	2	I	2	0	757	0	Ⴇ	cut_ui_stereo_44KHz.wav
1	135	1	2	0	C	1	0	513	0	Ⴡ	cut_r_stereo_44KHz.wav
1	136	4	3	2	I	2	0	323	1	Ⴊ	cut_j_stereo_44KHz.wav
1	137	2	1	0	C	1	0	820	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	138	4	4	2	I	2	0	351	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	139	3	3	2	I	1	0	127	1	Ⴇ	cut_j_stereo_44KHz.wav
1	140	1	2	0	C	1	0	358	0	Ⴡ	cut_r_stereo_44KHz.wav
1	141	2	2	1	C	1	1	472	1	Ⴂ	cut_r_stereo_44KHz.wav
1	142	4	3	2	I	2	0	1169	0	Ⴊ	cut_j_stereo_44KHz.wav
1	143	1	1	1	C	1	1	579	1	Ⴡ	cut_oei_stereo_44KHz.wav
1	144	3	4	2	I	1	0	434	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	145	2	1	0	C	2	1	379	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	146	1	1	1	C	2	0	443	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	147	3	3	2	I	1	0	1619	0	Ⴇ	cut_j_stereo_44KHz.wav
1	148	4	4	2	I	2	0	523	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	149	2	2	1	C	1	1	559	1	Ⴂ	cut_r_stereo_44KHz.wav
1	150	3	4	2	I	2	0	371	0	Ⴇ	cut_ui_stereo_44KHz.wav
1	151	1	2	0	C	1	0	182	0	Ⴡ	cut_r_stereo_44KHz.wav
1	152	4	3	2	I	0	0	0	0	Ⴊ	cut_j_stereo_44KHz.wav
1	153	2	1	0	C	2	1	1469	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	154	4	3	2	I	1	0	750	1	Ⴊ	cut_j_stereo_44KHz.wav
1	155	3	4	2	I	2	0	652	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	156	1	2	0	C	2	1	566	1	Ⴡ	cut_r_stereo_44KHz.wav
1	157	3	3	2	I	2	0	343	0	Ⴇ	cut_j_stereo_44KHz.wav
1	158	2	2	1	C	2	0	534	0	Ⴂ	cut_r_stereo_44KHz.wav
1	159	1	1	1	C	2	0	430	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	160	4	4	2	I	1	0	355	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	161	3	4	2	I	1	0	567	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	162	2	2	1	C	1	1	655	1	Ⴂ	cut_r_stereo_44KHz.wav
1	163	1	1	1	C	2	0	595	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	164	4	3	2	I	1	0	687	1	Ⴊ	cut_j_stereo_44KHz.wav
1	165	3	3	2	I	1	0	792	1	Ⴇ	cut_j_stereo_44KHz.wav
1	166	2	1	0	C	2	1	146	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	167	1	2	0	C	1	0	706	0	Ⴡ	cut_r_stereo_44KHz.wav
1	168	4	4	2	I	2	0	288	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	169	1	2	0	C	1	0	1650	0	Ⴡ	cut_r_stereo_44KHz.wav
1	170	4	3	2	I	2	0	431	0	Ⴊ	cut_j_stereo_44KHz.wav
1	171	2	2	1	C	1	1	182	1	Ⴂ	cut_r_stereo_44KHz.wav
1	172	3	4	2	I	2	0	267	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	173	1	1	1	C	1	1	481	1	Ⴡ	cut_oei_stereo_44KHz.wav
1	174	2	1	0	C	1	0	255	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	175	3	3	2	I	2	0	1113	1	Ⴇ	cut_j_stereo_44KHz.wav
1	176	4	4	2	I	1	0	235	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	177	1	2	0	C	2	1	614	1	Ⴡ	cut_r_stereo_44KHz.wav
1	178	2	2	1	C	2	0	140	0	Ⴂ	cut_r_stereo_44KHz.wav
1	179	4	4	2	I	0	0	0	0	Ⴊ	cut_ui_stereo_44KHz.wav
1	180	3	4	2	I	1	0	916	1	Ⴇ	cut_ui_stereo_44KHz.wav
1	181	4	3	2	I	2	0	753	1	Ⴊ	cut_j_stereo_44KHz.wav
1	182	3	3	2	I	1	0	727	1	Ⴇ	cut_j_stereo_44KHz.wav
1	183	2	1	0	C	2	1	28	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	184	1	1	1	C	2	0	1494	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	185	2	1	0	C	1	0	218	0	Ⴂ	cut_oei_stereo_44KHz.wav
1	186	1	1	1	C	2	0	310	0	Ⴡ	cut_oei_stereo_44KHz.wav
1	187	4	3	2	I	1	0	352	0	Ⴊ	cut_j_stereo_44KHz.wav
1	188	3	4	2	I	1	0	378	0	Ⴇ	cut_ui_stereo_44KHz.wav
1	189	2	2	1	C	2	0	848	0	Ⴂ	cut_r_stereo_44KHz.wav
1	190	1	2	0	C	0	0	0	0	Ⴡ	cut_r_stereo_44KHz.wav
1	191	4	4	2	I	1	0	1286	0	Ⴊ	cut_ui_stereo_44KHz.wav
1	192	3	3	2	I	2	0	1500	1	Ⴇ	cut_j_stereo_44KHz.wav
1	193	2	2	1	C	1	1	647	1	Ⴂ	cut_r_stereo_44KHz.wav
1	194	1	2	0	C	2	1	605	1	Ⴡ	cut_r_stereo_44KHz.wav
1	195	3	3	2	I	1	0	337	1	Ⴇ	cut_j_stereo_44KHz.wav
1	196	4	4	2	I	2	0	788	1	Ⴊ	cut_ui_stereo_44KHz.wav
1	197	1	1	1	C	1	1	387	1	Ⴡ	cut_oei_stereo_44KHz.wav
1	198	2	1	0	C	2	1	335	1	Ⴂ	cut_oei_stereo_44KHz.wav
1	199	4	3	2	I	1	0	157	1	Ⴊ	cut_j_stereo_44KHz.wav
1	200	3	4	2	I	2	0	1075	1	Ⴇ	cut_ui_stereo_44KHz.wav
2	1	3	4	2	I	2	0	1264	1	Ⴌ	cut_s_stereo_44KHz.wav
2	2	1	2	0	C	1	0	264	0	Ⴏ	cut_ei_stereo_44KHz.wav
2	3	4	3	2	I	2	0	333	1	Ⴉ	cut_f_stereo_44KHz.wav
2	4	2	2	1	C	2	0	746	0	Ⴒ	cut_ei_stereo_44KHz.wav
2	5	1	1	1	C	1	1	1564	1	Ⴏ	cut_n_stereo_44KHz.wav
2	6	4	4	2	I	1	0	1029	1	Ⴉ	cut_s_stereo_44KHz.wav
2	7	2	1	0	C	1	0	505	0	Ⴒ	cut_n_stereo_44KHz.wav
2	8	3	3	2	I	2	0	432	1	Ⴌ	cut_f_stereo_44KHz.wav
2	9	1	2	0	C	2	1	571	1	Ⴏ	cut_ei_stereo_44KHz.wav
2	10	4	3	2	I	0	0	0	0	Ⴉ	cut_f_stereo_44KHz.wav
2	11	2	1	0	C	1	0	557	0	Ⴒ	cut_n_stereo_44KHz.wav
2	12	3	3	2	I	2	0	799	1	Ⴌ	cut_f_stereo_44KHz.wav
2	13	2	2	1	C	1	1	534	1	Ⴒ	cut_ei_stereo_44KHz.wav
2	14	3	4	2	I	2	0	489	1	Ⴌ	cut_s_stereo_44KHz.wav
2	15	1	1	1	C	1	1	310	1	Ⴏ	cut_n_stereo_44KHz.wav
2	16	4	4	2	I	0	0	0	0	Ⴉ	cut_s_stereo_44KHz.wav
2	17	2	2	1	C	1	1	1064	1	Ⴒ	cut_ei_stereo_44KHz.wav
2	18	3	4	2	I	0	0	0	0	Ⴌ	cut_s_stereo_44KHz.wav
2	19	4	4	2	I	2	0	601	1	Ⴉ	cut_s_stereo_44KHz.wav
2	20	1	1	1	C	2	0	92	0	Ⴏ	cut_n_stereo_44KHz.wav
2	21	3	3	2	I	1	0	295	1	Ⴌ	cut_f_stereo_44KHz.wav
2	22	4	3	2	I	1	0	358	0	Ⴉ	cut_f_stereo_44KHz.wav
2	23	1	2	0	C	2	1	702	1	Ⴏ	cut_ei_stereo_44KHz.wav
2	24	2	1	0	C	1	0	768	0	Ⴒ	cut_n_stereo_44KHz.wav
2	25	1	1	1	C	2	0	381	0	Ⴏ	cut_n_stereo_44KHz.wav
2	26	3	4	2	I	1	0	519	1	Ⴌ	cut_s_stereo_44KHz.wav
2	27	4	4	2	I	1	0	391	1	Ⴉ	cut_s_stereo_44KHz.wav
2	28	2	2	1	C	0	0	0	0	Ⴒ	cut_ei_stereo_44KHz.wav
2	29	3	3	2	I	0	0	0	0	Ⴌ	cut_f_stereo_44KHz.wav
2	30	2	1	0	C	2	1	439	1	Ⴒ	cut_n_stereo_44KHz.wav
2	31	4	3	2	I	2	0	509	1	Ⴉ	cut_f_stereo_44KHz.wav
2	32	1	2	0	C	1	0	1120	0	Ⴏ	cut_ei_stereo_44KHz.wav
2	33	4	4	2	I	2	0	296	0	Ⴉ	cut_s_stereo_44KHz.wav
2	34	3	4	2	I	0	0	0	0	Ⴌ	cut_s_stereo_44KHz.wav
2	35	2	2	1	C	1	1	376	1	Ⴒ	cut_ei_stereo_44KHz.wav
2	36	1	1	1	C	0	0	0	0	Ⴏ	cut_n_stereo_44KHz.wav
2	37	2	1	0	C	2	1	301	1	Ⴒ	cut_n_stereo_44KHz.wav
2	38	3	3	2	I	1	0	47	1	Ⴌ	cut_f_stereo_44KHz.wav
2	39	4	3	2	I	1	0	528	1	Ⴉ	cut_f_stereo_44KHz.wav
2	40	1	2	0	C	2	1	481	1	Ⴏ	cut_ei_stereo_44KHz.wav
2	41	3	3	2	I	2	0	211	1	Ⴌ	cut_f_stereo_44KHz.wav
2	42	1	2	0	C	1	0	1331	0	Ⴏ	cut_ei_stereo_44KHz.wav
2	43	2	1	0	C	2	1	573	1	Ⴒ	cut_n_stereo_44KHz.wav
2	44	4	3	2	I	1	0	498	1	Ⴉ	cut_f_stereo_44KHz.wav
2	45	1	1	1	C	2	0	996	0	Ⴏ	cut_n_stereo_44KHz.wav
2	46	4	4	2	I	1	0	287	1	Ⴉ	cut_s_stereo_44KHz.wav
2	47	2	2	1	C	1	1	567	1	Ⴒ	cut_ei_stereo_44KHz.wav
2	48	3	4	2	I	1	0	457	1	Ⴌ	cut_s_stereo_44KHz.wav
2	49	1	2	0	C	1	0	382	0	Ⴏ	cut_ei_stereo_44KHz.wav
2	50	4	3	2	I	2	0	218	1	Ⴉ	cut_f_stereo_44KHz.wav
2	51	2	1	0	C	1	0	255	0	Ⴒ	cut_n_stereo_44KHz.wav
2	52	3	3	2	I	2	0	535	1	Ⴌ	cut_f_stereo_44KHz.wav
2	53	1	1	1	C	1	1	599	1	Ⴏ	cut_n_stereo_44KHz.wav
2	54	2	2	1	C	2	0	517	0	Ⴒ	cut_ei_stereo_44KHz.wav
2	55	3	4	2	I	0	0	0	0	Ⴌ	cut_s_stereo_44KHz.wav
2	56	4	4	2	I	1	0	48	1	Ⴉ	cut_s_stereo_44KHz.wav
2	57	1	2	0	C	2	1	258	1	Ⴏ	cut_ei_stereo_44KHz.wav
2	58	4	3	2	I	1	0	223	1	Ⴉ	cut_f_stereo_44KHz.wav
2	59	3	4	2	I	2	0	418	1	Ⴌ	cut_s_stereo_44KHz.wav
2	60	2	2	1	C	1	1	500	1	Ⴒ	cut_ei_stereo_44KHz.wav
2	61	3	3	2	I	2	0	643	1	Ⴌ	cut_f_stereo_44KHz.wav
2	62	2	1	0	C	1	0	338	0	Ⴒ	cut_n_stereo_44KHz.wav
2	63	4	4	2	I	2	0	1445	1	Ⴉ	cut_s_stereo_44KHz.wav
2	64	1	1	1	C	1	1	700	1	Ⴏ	cut_n_stereo_44KHz.wav
2	65	4	4	2	I	2	0	289	1	Ⴉ	cut_s_stereo_44KHz.wav
2	66	3	4	2	I	2	0	260	0	Ⴌ	cut_s_stereo_44KHz.wav
2	67	1	2	0	C	1	0	398	0	Ⴏ	cut_ei_stereo_44KHz.wav
2	68	2	2	1	C	1	1	445	1	Ⴒ	cut_ei_stereo_44KHz.wav
2	69	3	3	2	I	2	0	400	1	Ⴌ	cut_f_stereo_44KHz.wav
2	70	4	3	2	I	1	0	815	1	Ⴉ	cut_f_stereo_44KHz.wav
2	71	2	1	0	C	2	1	1481	1	Ⴒ	cut_n_stereo_44KHz.wav
2	72	1	1	1	C	2	0	1782	0	Ⴏ	cut_n_stereo_44KHz.wav
2	73	3	3	2	I	2	0	950	1	Ⴌ	cut_f_stereo_44KHz.wav
2	74	4	3	2	I	1	0	617	1	Ⴉ	cut_f_stereo_44KHz.wav
2	75	1	1	1	C	1	1	1027	1	Ⴏ	cut_n_stereo_44KHz.wav
2	76	2	2	1	C	1	1	667	1	Ⴒ	cut_ei_stereo_44KHz.wav
2	77	3	4	2	I	0	0	0	0	Ⴌ	cut_s_stereo_44KHz.wav
2	78	2	1	0	C	2	1	594	1	Ⴒ	cut_n_stereo_44KHz.wav
2	79	1	2	0	C	2	1	422	1	Ⴏ	cut_ei_stereo_44KHz.wav
