block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file
LR

0	1	2	4	0	C	0	0	0	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	2	1	1	1	C	2	1	187	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	3	2	3	1	C	1	0	916	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	4	1	2	0	C	2	0	724	0	Ⴞ	cut_g_stereo_44KHz.wav
0	5	1	1	1	C	1	0	967	0	Ⴞ	cut_oo_stereo_44KHz.wav
0	6	2	4	0	C	2	0	1179	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	7	2	3	1	C	2	1	1477	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	8	1	2	0	C	2	0	1894	0	Ⴞ	cut_g_stereo_44KHz.wav
0	9	2	4	0	C	2	0	1268	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	10	1	1	1	C	2	1	1106	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	11	1	2	0	C	1	1	1078	1	Ⴞ	cut_g_stereo_44KHz.wav
0	12	2	3	1	C	1	0	888	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	13	2	3	1	C	2	1	987	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	14	1	1	1	C	2	1	1681	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	15	2	4	0	C	2	0	1020	0	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	16	1	2	0	C	2	0	1002	0	Ⴞ	cut_g_stereo_44KHz.wav
0	17	2	3	1	C	2	1	1347	1	Ⴢ	cut_ee_stereo_44KHz.wav
0	18	2	4	0	C	1	1	771	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	19	1	2	0	C	2	0	1032	0	Ⴞ	cut_g_stereo_44KHz.wav
0	20	1	1	1	C	2	1	1372	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	21	2	3	1	C	1	0	749	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	22	2	4	0	C	1	1	1626	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	23	1	1	1	C	2	1	967	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	24	1	2	0	C	2	0	694	0	Ⴞ	cut_g_stereo_44KHz.wav
0	25	1	2	0	C	1	1	1071	1	Ⴞ	cut_g_stereo_44KHz.wav
0	26	1	1	1	C	1	0	1119	0	Ⴞ	cut_oo_stereo_44KHz.wav
0	27	2	3	1	C	1	0	1847	0	Ⴢ	cut_ee_stereo_44KHz.wav
0	28	2	4	0	C	1	1	1546	1	Ⴢ	cut_eeuw_stereo_44KHz.wav
0	29	1	1	1	C	2	1	1235	1	Ⴞ	cut_oo_stereo_44KHz.wav
0	30	1	2	0	C	1	1	1507	1	Ⴞ	cut_g_stereo_44KHz.wav
avg_resp = 1197
1	1	4	4	2	I	0	0	0	0	Ⴟ	cut_w_stereo_44KHz.wav
1	2	3	3	2	I	1	0	814	1	Ⴃ	cut_h_stereo_44KHz.wav
1	3	1	1	1	C	1	0	1147	0	Ⴡ	cut_g_stereo_44KHz.wav
1	4	2	1	0	C	1	1	985	1	Ⴁ	cut_g_stereo_44KHz.wav
1	5	4	3	2	I	0	0	0	0	Ⴟ	cut_h_stereo_44KHz.wav
1	6	1	2	0	C	0	0	0	0	Ⴡ	cut_l_stereo_44KHz.wav
