subjID	choice	RT
s001_LR	2	1.873
s001_LR	2	0.902
s001_LR	2	0.513
s001_LR	1	1.078
s001_LR	1	1.236
s001_LR	2	1.032
s001_LR	1	1.139
s001_LR	2	0.911
s001_LR	2	1.094
s001_LR	2	1.115
s001_LR	1	0.945
s001_LR	2	1.372
s001_LR	1	0.769
s001_LR	2	0.698
s001_LR	2	0.618
s001_LR	2	0.72
s001_LR	1	0.977
s001_LR	2	1.059
s001_LR	1	0.696
s001_LR	1	0.78
s001_LR	1	0.737
s001_LR	2	0.59
s001_LR	1	1.022
s001_LR	2	0.653
s001_LR	2	1.698
s001_LR	2	0.829
s001_LR	1	0.832
s001_LR	1	0.692
s001_LR	2	0.362
s001_LR	1	0.759
s001_LR	1	0.974
s001_LR	2	0.547
s001_LR	2	0.434
s001_LR	2	0.776
s001_LR	1	0.794
s001_LR	1	1.114
s001_LR	1	0.641
s001_LR	2	1.781
s001_LR	2	1.44
s001_LR	2	1.726
s001_LR	2	0.831
s001_LR	2	0.898
s001_LR	1	0.782
s001_LR	1	0.853
s001_LR	2	0.533
s001_LR	2	0.399
s001_LR	2	0.458
s001_LR	1	1.201
s001_LR	1	0.48
s001_LR	2	0.886
s001_LR	2	0.699
s001_LR	2	0.628
s001_LR	2	0.34
s001_LR	2	1.913
s001_LR	2	0.89
s001_LR	1	0.867
s001_LR	2	0.293
s001_LR	1	1.216
s001_LR	1	1.017
s001_LR	2	0.814
s001_LR	2	0.688
s001_LR	2	0.655
s001_LR	1	0.806
s001_LR	1	0.709
s001_LR	2	0.459
s001_LR	1	0.749
s001_LR	2	0.464
s001_LR	1	0.841
s001_LR	1	0.393
s001_LR	1	1.154
s001_LR	2	0.616
s001_LR	2	1.344
s001_LR	1	0.841
s001_LR	2	0.374
s001_LR	2	1.069
s001_LR	2	0.773
s001_LR	2	0.826
s001_LR	2	0.728
s001_LR	1	0.721
s001_LR	1	1.26
s001_LR	1	0.953
s001_LR	1	0.31
s001_LR	2	0.903
s001_LR	1	1.153
s001_LR	2	0.656
s001_LR	1	0.909
s001_LR	2	0.887
s001_LR	1	0.911
s001_LR	2	0.566
s001_LR	2	0.771
s001_LR	2	0.797
s001_LR	1	0.455
s001_LR	2	0.931
s001_LR	2	0.564
s001_LR	1	1.408
s001_LR	2	0.375
s001_LR	1	0.717
s001_LR	2	0.995
s001_LR	1	0.756
s001_LR	1	0.757
s001_LR	2	0.858
s001_LR	2	0.944
s001_LR	1	1.183
s001_LR	1	0.46
s001_LR	2	0.673
s001_LR	2	1.245
s001_LR	2	0.557
s001_LR	2	0.713
s001_LR	1	1.045
s001_LR	2	0.713
s001_LR	2	0.224
s001_LR	2	0.497
s001_LR	2	0.385
s001_LR	1	0.489
s001_LR	1	1.029
s001_LR	1	0.914
s001_LR	2	0.579
s001_LR	2	0.584
s001_LR	2	0.844
s001_LR	2	0.957
s001_LR	1	0.537
s001_LR	2	0.308
s001_LR	1	1.002
s001_LR	2	0.617
s001_LR	2	0.6
s001_LR	1	0.714
s001_LR	1	1.665
s001_LR	1	1.128
s001_LR	2	0.456
s001_LR	2	0.212
s001_LR	2	0.972
s001_LR	2	1.145
s001_LR	1	1.216
s001_LR	2	1.126
s001_LR	2	0.765
s001_LR	2	0.441
s001_LR	2	0.991
s001_LR	2	0.583
s001_LR	1	0.676
s001_LR	2	0.366
s001_LR	2	0.955
s001_LR	1	0.967
s001_LR	1	0.564
s001_LR	2	1.603
s001_LR	2	0.823
s001_LR	2	0.899
s001_LR	1	0.816
s001_LR	1	0.625
s001_LR	2	0.438
s001_LR	2	1.048
s001_LR	2	0.771
s001_LR	2	1.045
s001_LR	1	1.115
s001_LR	2	1.166
s001_LR	2	0.534
s001_LR	2	0.802
s001_LR	2	1.57
s001_LR	2	1.128
s001_LR	1	1.509
s001_LR	2	1.728
s001_LR	2	0.979
s001_LR	2	0.635
s001_LR	2	0.848
s001_LR	2	0.356
s001_LR	1	0.358
s001_LR	2	0.983
s001_LR	2	1.389
s001_LR	2	1.223
s001_LR	2	0.339
s001_LR	2	0.598
s001_LR	2	1.223
s001_LR	2	0.778
s001_LR	1	0.66
s001_LR	2	1.089
s001_LR	1	1.02
s001_LR	1	0.485
s001_LR	2	0.925
s001_LR	2	1.421
s001_LR	1	1.031
s001_LR	1	0.574
s001_LR	2	0.788
s001_LR	1	1.425
s001_LR	2	1.061
s001_LR	2	1.3
s001_LR	1	0.639
s001_LR	1	0.59
s001_LR	1	0.647
s001_LR	2	1.316
s001_LR	1	0.657
s001_LR	2	0.831
s001_LR	2	0.941
s001_LR	2	1.18
s001_LR	1	0.931
s001_LR	1	0.592
s001_LR	2	1.12
s001_LR	1	0.292
s001_LR	2	0.778
s001_LR	2	0.831
s001_LR	1	1.424
s001_LR	2	0.589
s001_LR	1	0.664
s001_LR	2	0.617
s001_LR	2	0.554
s001_LR	1	0.714
s001_LR	1	0.508
s001_LR	1	0.35
s001_LR	2	0.335
s001_LR	2	0.531
s001_LR	1	0.588
s001_LR	2	0.52
s001_LR	2	1.817
s001_LR	2	0.916
s001_LR	1	1.225
s001_LR	2	0.861
s001_LR	1	0.769
s001_LR	1	0.687
s001_LR	2	1.357
s001_LR	2	1.115
s001_LR	2	1.023
s001_LR	1	0.959
s001_LR	1	0.582
s001_LR	2	0.72
s001_LR	1	0.675
s001_LR	2	1.01
s001_LR	2	0.806
s001_LR	2	0.609
s001_LR	2	1.035
s001_LR	2	0.768
s001_LR	1	0.968
s001_LR	1	0.773
s001_LR	2	0.955
s001_LR	2	0.672
s001_LR	1	0.777
s001_LR	1	1.069
s001_LR	2	0.617
s001_LR	2	0.703
s001_LR	1	0.663
s001_LR	1	0.295
s001_LR	2	0.986
s001_LR	2	1.436
s001_LR	2	1.046
s001_LR	2	1.023
s001_LR	2	0.815
s001_LR	1	0.897
s001_LR	2	0.506
s001_LR	1	1.21
s001_LR	1	0.647
s001_LR	2	0.345
s001_LR	1	1.58
s001_LR	1	0.546
s001_LR	2	0.46
s001_LR	2	0.828
s001_LR	2	0.797
s001_LR	2	1.07
s001_LR	2	0.969
s001_LR	2	0.794
s001_LR	2	0.541
s001_LR	1	0.385
s001_LR	1	0.335
s001_LR	2	0.868
s001_LR	2	0.356
s001_LR	1	1.105
s001_LR	1	0.574
s001_LR	1	0.77
s001_LR	2	0.696
s001_LR	2	0.255
s001_LR	2	0.488
s001_LR	2	0.72
s001_LR	1	0.852
s001_LR	2	1.205
s001_LR	2	0.831
s001_LR	2	1.409
s001_LR	1	0.93
s001_LR	1	1.113
s001_LR	1	1.476
s001_LR	2	1.251
s001_LR	2	1.143
s001_LR	1	1.15
s001_LR	2	0.843
s001_LR	1	1.234
s001_LR	2	0.726
s001_LR	2	0.761
s001_LR	2	0.706
s001_LR	2	0.847
s001_LR	2	0.501
s001_LR	2	0.262
s001_LR	1	0.626
s001_LR	1	0.733
s001_LR	1	1.076
s001_LR	2	1.056
s001_LR	1	0.82
s001_LR	2	1.135
s001_LR	2	0.622
s001_LR	2	1.236
s001_LR	1	0.608
s001_LR	1	0.505
s001_LR	2	0.417
s001_LR	2	1.001
s001_LR	2	0.307
s001_LR	2	0.323
s001_LR	2	0.275
s001_LR	2	0.524
s001_LR	2	0.675
s001_LR	2	0.654
s001_LR	1	1.808
s001_LR	2	0.697
s001_LR	1	0.579
s001_LR	1	0.595
s001_LR	2	0.936
s001_LR	1	0.674
s001_LR	2	0.34
s001_LR	2	0.716
s001_LR	2	0.873
s001_LR	1	0.646
s001_LR	1	0.581
s001_LR	1	0.323
s001_LR	2	0.837
s001_LR	2	0.56
s001_LR	2	0.67
s001_LR	1	1.193
s001_LR	2	1.057
s001_LR	2	0.438
s001_LR	2	0.419
s001_LR	1	0.526
s001_LR	2	0.552
s001_LR	1	0.595
s001_LR	1	1.246
s001_LR	2	0.535
s001_LR	1	0.811
s001_LR	2	0.558
s001_LR	2	1.164
s001_LR	1	0.697
s001_LR	1	0.306
s001_LR	2	0.403
s001_LR	1	0.963
s001_LR	2	1.147
s001_LR	2	0.862
s001_LR	2	1.011
s001_LR	1	1.53
s001_LR	2	0.799
s001_LR	1	0.958
s001_LR	2	0.749
s001_LR	1	0.994
s001_LR	2	0.676
s001_LR	2	0.984
s001_LR	1	0.649
s001_LR	2	0.916
s001_LR	2	0.917
s001_LR	2	0.633
s001_LR	2	0.724
s001_LR	2	0.578
s001_LR	1	1.13
s001_LR	2	0.878
s001_LR	2	1.09
s001_LR	2	0.638
s001_LR	1	0.72
s001_LR	2	1.172
s001_LR	1	1.048
s001_LR	1	0.586
s001_LR	2	0.536
s001_LR	1	0.781
s001_LR	2	0.536
s001_LR	1	0.829
s001_LR	2	0.772
s001_LR	1	0.931
s001_LR	2	0.478
s001_LR	2	1.076
s001_LR	2	0.604
s001_LR	1	0.632
s001_LR	1	0.589
s001_LR	1	0.56
s001_LR	2	0.693
s001_LR	2	0.741
s001_LR	2	0.847
s001_LR	2	0.853
s001_LR	1	0.528
s001_LR	1	0.602
s001_LR	2	0.401
s001_LR	2	0.732
s001_LR	1	0.615
s001_LR	1	0.254
s001_LR	2	0.314
s001_LR	2	0.665
s001_LR	1	0.522
s001_LR	2	0.307
s001_LR	2	0.572
s001_LR	1	0.292
s001_LR	2	0.312
s001_LR	1	0.741
s001_LR	2	0.858
s001_LR	2	0.541
s001_LR	1	0.402
s001_LR	2	0.527
s001_LR	1	0.404
s001_LR	2	0.319
s001_LR	1	0.425
s001_LR	2	0.411
s001_LR	2	0.61
s001_LR	2	0.502
s001_LR	2	0.416
s001_LR	1	0.414
s001_LR	1	0.366
s001_LR	2	0.311
s001_LR	2	0.593
s001_LR	2	0.526
s001_LR	2	0.664
s001_LR	2	0.524
s001_LR	2	0.415
s001_LR	1	0.72
s001_LR	1	0.306
s001_LR	2	0.493
s001_LR	1	0.687
s001_LR	2	0.28
s001_LR	2	1.7
s001_LR	2	0.372
s001_LR	1	0.62
s001_LR	2	1.035
s001_LR	1	0.534
s001_LR	1	0.492
s001_LR	2	0.258
s001_LR	2	0.623
s001_LR	1	0.372
s001_LR	2	0.504
s001_LR	1	0.37
s001_LR	2	1.337
s001_LR	2	0.814
s001_LR	2	0.215
s001_LR	1	0.551
s001_LR	2	0.847
s001_LR	2	0.705
s001_LR	2	0.667
s001_LR	1	0.473
s001_LR	2	0.775
s001_LR	2	0.324
s001_LR	1	0.334
s001_LR	1	0.449
s001_LR	2	0.353
s001_LR	2	0.256
s001_LR	1	0.491
s001_LR	2	1.543
s001_LR	1	0.485
s001_LR	2	0.317
s001_LR	1	0.493
s001_LR	2	0.544
s001_LR	1	0.399
s001_LR	2	1.658
s001_LR	1	0.869
s001_LR	1	0.71
s001_LR	2	0.447
s001_LR	2	0.857
s001_LR	2	0.687
s001_LR	1	0.893
s001_LR	2	0.801
s001_LR	2	0.407
s001_LR	2	0.806
s001_LR	2	0.506
s001_LR	2	0.795
s001_LR	2	0.291
s001_LR	2	1.974
s001_LR	2	0.434
s001_LR	2	0.678
s001_LR	1	0.377
s001_LR	1	0.868
s001_LR	2	0.298
s001_LR	1	0.408
s001_LR	1	0.96
s001_LR	2	0.305
