block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block2	LR

2	1	3	3	1	1	1027	1	3043	1931	ჺ	norm_i.wav	14751	15778	18726
2	2	1	3	0	2	888	1	2863	2328	Ⴉ	norm_i.wav	23645	24533	28063
2	3	3	2	0	2	755	1	3440	940	ჺ	norm_g.wav	33579	34334	36583
2	4	2	1	0	1	916	0	4089	1205	Ⴐ	norm_r.wav	42784	43700	46055
2	5	1	1	1	1	777	1	3788	1076	Ⴉ	norm_r.wav	51907	52684	55033
2	6	3	3	1	1	1001	1	2398	2009	ჺ	norm_i.wav	59541	60542	63772
2	7	2	2	1	1	1151	1	3374	1388	Ⴐ	norm_g.wav	69224	70375	72659
2	8	3	2	0	2	806	1	3082	1592	ჺ	norm_g.wav	77822	78628	81453
2	9	2	1	0	2	1270	1	2760	1654	Ⴐ	norm_r.wav	86324	87594	90072
2	10	1	3	0	2	869	1	2608	1262	Ⴉ	norm_i.wav	94812	95681	98136
2	11	2	2	1	1	1455	1	2720	1412	Ⴐ	norm_g.wav	102947	104402	106459
2	12	3	2	0	2	818	1	3057	1101	ჺ	norm_g.wav	111573	112391	114721
2	13	2	1	0	2	798	1	1752	834	Ⴐ	norm_r.wav	118525	119323	121410
2	14	1	1	1	1	959	1	3282	1896	Ⴉ	norm_r.wav	126760	127719	130712
2	15	3	3	1	1	788	1	2872	2163	ჺ	norm_i.wav	135657	136445	139869
2	16	2	1	0	2	1194	1	3221	1433	Ⴐ	norm_r.wav	145147	146341	148630
2	17	1	1	1	1	784	1	3332	1667	Ⴉ	norm_r.wav	154015	154799	157737
2	18	3	3	1	1	749	1	2685	2176	ჺ	norm_i.wav	162541	163290	166769
2	19	1	3	0	2	772	1	3162	535	Ⴉ	norm_i.wav	171974	172746	174569
2	20	2	1	0	2	1098	1	2873	1726	Ⴐ	norm_r.wav	179509	180607	183266
2	21	1	1	1	1	787	1	2990	775	Ⴉ	norm_r.wav	188316	189103	191138
2	22	3	2	0	2	782	1	2286	1435	ჺ	norm_g.wav	195502	196284	198987
2	23	1	1	1	1	628	1	3929	1067	Ⴉ	norm_r.wav	204967	205595	208093
2	24	2	2	1	2	1147	0	2301	871	Ⴐ	norm_g.wav	212463	213610	215387
2	25	1	3	0	2	758	1	3569	1490	Ⴉ	norm_i.wav	221020	221778	224579
2	26	2	2	1	1	1047	1	3164	1696	Ⴐ	norm_g.wav	229822	230869	233608
2	27	3	2	0	2	754	1	2698	1483	ჺ	norm_g.wav	238397	239151	241952
2	28	2	2	1	1	944	1	2097	1760	Ⴐ	norm_g.wav	246102	247046	249918
2	29	3	3	1	1	840	1	3052	1353	ჺ	norm_i.wav	255097	255937	258552
2	30	1	3	0	2	728	1	2548	1143	Ⴉ	norm_i.wav	263166	263894	266381
