block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block1	LR

1	1	1	3	0	0	0	2	2050	1483	Խ	norm_b.wav	47234	0	50770
1	2	3	3	1	2	852	0	2245	2328	Դ	norm_b.wav	55068	55920	59454
1	3	1	1	1	2	974	0	1728	1143	Խ	norm_h.wav	63275	64249	66476
1	4	2	1	0	2	947	1	2052	1353	Ⴔ	norm_h.wav	70621	71568	74025
1	5	3	3	1	1	947	1	2361	1896	Դ	norm_b.wav	78452	79399	82441
1	6	2	1	0	2	833	1	1103	2163	Ⴔ	norm_h.wav	85617	86450	89847
1	7	1	1	1	2	794	0	2677	1101	Խ	norm_h.wav	94580	95374	97742
1	8	2	1	0	1	1113	0	1901	1412	Ⴔ	norm_h.wav	101694	102807	105175
1	9	3	3	1	2	971	0	2480	2176	Դ	norm_b.wav	109695	110666	113928
1	10	1	1	1	2	931	0	2152	1931	Խ	norm_h.wav	118141	119072	122123
1	11	3	2	0	2	916	1	1959	1654	Դ	norm_a.wav	126154	127070	129852
1	12	2	2	1	2	1145	0	1580	1696	Ⴔ	norm_a.wav	133481	134626	137233
1	13	3	2	0	2	788	1	3293	775	Դ	norm_a.wav	142583	143371	145503
1	14	1	3	0	1	1085	0	931	2009	Խ	norm_b.wav	148511	149596	152575
1	15	3	3	1	1	775	1	2420	1435	Դ	norm_b.wav	157106	157881	160607
1	16	1	3	0	2	1023	1	1667	1388	Խ	norm_b.wav	164359	165382	167799
1	17	2	1	0	1	1103	0	2370	834	Ⴔ	norm_h.wav	172234	173337	175118
1	18	1	1	1	1	1240	1	1700	1433	Խ	norm_h.wav	178870	180110	182422
1	19	3	2	0	1	1221	0	2718	1760	Դ	norm_a.wav	187210	188431	191023
1	20	2	1	0	1	1005	0	1556	1205	Ⴔ	norm_h.wav	194655	195660	197940
1	21	1	1	1	1	1238	1	2094	535	Խ	norm_h.wav	202082	203320	204692
1	22	2	2	1	1	1112	1	2062	1592	Ⴔ	norm_a.wav	208905	210017	212555
1	23	3	3	1	1	1205	1	1033	1076	Դ	norm_b.wav	215665	216870	218827
1	24	2	2	1	1	1071	1	1020	1667	Ⴔ	norm_a.wav	221907	222978	225657
1	25	1	3	0	2	1110	1	2856	1490	Խ	norm_b.wav	230582	231692	234136
1	26	2	2	1	1	791	1	1396	1726	Ⴔ	norm_a.wav	237595	238386	241394
1	27	3	2	0	2	1038	1	1426	871	Դ	norm_a.wav	244881	245919	247812
1	28	2	2	1	1	860	1	1903	940	Ⴔ	norm_a.wav	251813	252673	254803
1	29	1	3	0	2	1002	1	1464	1067	Խ	norm_b.wav	258346	259348	261468
1	30	3	2	0	1	1150	0	1781	1262	Դ	norm_a.wav	265318	266468	268635
