block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block2	LR

2	1	1	1	1	1	1441	1	2094	535	Ⴉ	norm_g.wav	24076	25517	26671
2	2	2	1	0	1	758	0	2062	1067	Ⴐ	norm_g.wav	30800	31558	33941
2	3	3	3	1	1	1354	1	1556	775	ჺ	norm_i.wav	37583	38937	40405
2	4	1	1	1	1	1942	1	1426	1654	Ⴉ	norm_g.wav	43941	45883	47689
2	5	2	2	1	1	1103	1	1020	1076	Ⴐ	norm_r.wav	50824	51927	53949
2	6	3	2	0	2	918	1	931	1205	ჺ	norm_r.wav	56940	57858	60233
2	7	2	2	1	1	1431	1	2480	1435	Ⴐ	norm_r.wav	64760	66191	68269
2	8	1	1	1	1	1732	1	1728	1896	Ⴉ	norm_g.wav	72081	73813	76036
2	9	2	1	0	2	1343	1	1781	1388	Ⴐ	norm_g.wav	79874	81217	83334
2	10	3	2	0	2	1281	1	2050	1667	ჺ	norm_r.wav	87482	88763	91202
2	11	1	3	0	2	995	1	1580	1931	Ⴉ	norm_i.wav	94885	95880	98872
2	12	3	2	0	2	999	1	1103	1262	ჺ	norm_r.wav	102064	103063	105425
2	13	1	1	1	2	1351	0	1033	1143	Ⴉ	norm_g.wav	108532	109883	111728
2	14	2	2	1	1	1290	1	2856	2163	Ⴐ	norm_r.wav	116660	117950	120921
2	15	3	2	0	2	1095	1	2052	1490	ჺ	norm_r.wav	125030	126125	128604
2	16	2	1	0	2	993	1	2361	2328	Ⴐ	norm_g.wav	133028	134021	137432
2	17	1	3	0	2	1300	1	2245	1101	Ⴉ	norm_i.wav	141786	143086	144945
2	18	3	3	1	1	1243	1	1667	1483	ჺ	norm_i.wav	148697	149940	152232
2	19	2	2	1	1	1057	1	3293	2176	Ⴐ	norm_r.wav	157595	158652	161832
2	20	1	3	0	2	1223	1	2370	1726	Ⴉ	norm_i.wav	166279	167502	170106
2	21	3	3	1	1	1064	1	2718	834	ჺ	norm_i.wav	174884	175948	177787
2	22	2	2	1	1	1086	1	2152	1412	Ⴐ	norm_r.wav	182007	183093	185465
2	23	3	3	1	1	1199	1	1700	1696	ჺ	norm_i.wav	189244	190443	192993
2	24	1	1	1	1	1183	1	2420	1353	Ⴉ	norm_g.wav	197487	198670	200890
2	25	3	2	0	2	1275	1	1901	871	ჺ	norm_r.wav	204858	206133	207781
2	26	1	3	0	2	1070	1	1396	1433	Ⴉ	norm_i.wav	211241	212311	214731
2	27	2	1	0	2	1119	1	1903	1592	Ⴐ	norm_g.wav	218704	219823	222379
2	28	1	3	0	2	1177	1	1464	2009	Ⴉ	norm_i.wav	225904	227081	229968
2	29	3	3	1	1	1081	1	1959	940	ჺ	norm_i.wav	233971	235052	236939
2	30	2	1	0	2	1142	1	2677	1760	Ⴐ	norm_g.wav	241711	242853	245515
