block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block1	LR

1	1	3	3	1	2	1712	0	2856	871	Դ	norm_h.wav	41585	43297	44554
1	2	1	3	0	2	1537	1	1020	1143	Ⴔ	norm_h.wav	47638	49175	50897
1	3	2	2	1	1	1399	1	1959	1067	Խ	norm_b.wav	55016	56415	58177
1	4	1	1	1	1	1556	1	931	2009	Ⴔ	norm_a.wav	61177	62733	65240
1	5	3	2	0	2	1310	1	2420	1101	Դ	norm_b.wav	69754	71064	72939
1	6	1	3	0	2	1738	1	1901	1490	Ⴔ	norm_h.wav	76908	78646	80467
1	7	2	1	0	2	1278	1	1728	1076	Խ	norm_a.wav	84274	85552	87400
1	8	3	2	0	2	1096	1	1033	1667	Դ	norm_b.wav	90518	91614	94238
1	9	1	1	1	1	890	1	2050	1353	Ⴔ	norm_a.wav	98340	99230	101780
1	10	3	2	0	2	1108	1	2677	1388	Դ	norm_b.wav	106523	107631	109971
1	11	2	1	0	2	1181	1	2718	1896	Խ	norm_a.wav	114754	115935	118702
1	12	3	3	1	1	1202	1	2480	1760	Դ	norm_h.wav	123273	124475	127073
1	13	2	2	1	1	1270	1	1667	1483	Խ	norm_b.wav	130816	132086	134352
1	14	1	1	1	1	900	1	2094	1592	Ⴔ	norm_a.wav	138515	139415	142167
1	15	3	3	1	1	840	1	2245	775	Դ	norm_h.wav	146473	147313	149306
1	16	2	1	0	2	1047	1	1556	1262	Խ	norm_a.wav	152989	154036	156298
1	17	1	3	0	2	978	1	1580	1931	Ⴔ	norm_h.wav	159985	160963	164022
1	18	3	3	1	1	1125	1	1103	1726	Դ	norm_h.wav	167181	168306	171006
1	19	2	2	1	1	956	1	1781	2328	Խ	norm_b.wav	174848	175804	179281
1	20	3	2	0	2	957	1	1700	834	Դ	norm_b.wav	183056	184013	185960
1	21	1	1	1	1	814	1	2062	1433	Ⴔ	norm_a.wav	190107	190921	193715
1	22	2	2	1	1	803	1	2052	1435	Խ	norm_b.wav	197853	198656	201356
1	23	1	1	1	1	713	1	3293	1205	Ⴔ	norm_a.wav	206733	207446	210016
1	24	2	1	0	2	889	1	1903	2176	Խ	norm_a.wav	213967	214856	218243
1	25	3	3	1	1	1022	1	1396	2163	Դ	norm_h.wav	221733	222755	225969
1	26	1	3	0	2	913	1	1464	1696	Ⴔ	norm_h.wav	229490	230403	233275
1	27	2	2	1	1	1203	1	2370	1412	Խ	norm_b.wav	237718	238921	241214
1	28	3	2	0	2	992	1	2361	535	Դ	norm_b.wav	245632	246624	248226
1	29	1	3	0	2	1462	1	1426	940	Ⴔ	norm_h.wav	251753	253215	254753
1	30	2	1	0	2	863	1	2152	1654	Խ	norm_a.wav	258967	259830	262739
