block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block2	LR

2	1	2	2	1	0	0	2	2873	2563	ƺ	norm_e.wav	32426	0	37020
2	2	3	1	0	2	1713	1	3043	998	Ⴐ	norm_au.wav	42084	43797	45107
2	3	1	2	0	2	1538	1	3271	1124	ծ	norm_e.wav	50397	51935	53568
2	4	3	2	0	2	1446	1	2874	1933	Ⴐ	norm_e.wav	58469	59915	62429
2	5	1	1	1	2	1538	0	3569	2260	ծ	norm_au.wav	68032	69570	72341
2	6	3	2	0	2	1780	1	2398	1426	Ⴐ	norm_e.wav	76764	78544	80209
2	7	1	1	1	2	1796	0	2548	2549	ծ	norm_au.wav	84782	86578	89350
2	8	2	3	0	0	0	2	2863	1982	ƺ	norm_b.wav	94249	0	98252
2	9	1	1	1	2	1911	0	2608	1588	ծ	norm_au.wav	102879	104790	106493
2	10	2	1	0	2	753	1	3162	1584	ƺ	norm_au.wav	111685	112438	115291
2	11	1	3	0	1	1408	0	3374	1421	ծ	norm_b.wav	120699	122107	124164
2	12	3	2	0	2	1820	1	2698	1857	Ⴐ	norm_e.wav	128892	130712	132768
2	13	2	3	0	1	1539	0	3332	1333	ƺ	norm_b.wav	138127	139666	141496
2	14	1	1	1	2	1822	0	3050	2016	ծ	norm_au.wav	146581	148403	150648
2	15	3	3	1	2	1598	0	3221	2140	Ⴐ	norm_b.wav	155904	157502	160074
2	16	2	2	1	1	1267	1	3929	2509	ƺ	norm_e.wav	166030	167297	170561
2	17	1	3	0	2	1222	1	2192	1861	ծ	norm_b.wav	174779	176001	178665
2	18	3	3	1	2	1990	0	2516	1850	Ⴐ	norm_b.wav	183205	185195	187090
2	19	2	2	1	1	1234	1	1752	2675	ƺ	norm_e.wav	190876	192110	195583
2	20	3	3	1	1	1085	1	3057	2253	Ⴐ	norm_b.wav	200666	201751	204963
2	21	1	3	0	2	1455	1	4089	1211	ծ	norm_b.wav	211083	212538	214323
2	22	2	1	0	2	1398	1	2990	1989	ƺ	norm_au.wav	219336	220734	223353
2	23	3	3	1	1	1081	1	3440	1642	Ⴐ	norm_b.wav	228822	229903	232491
2	24	2	3	0	1	1593	0	2685	1968	ƺ	norm_b.wav	237202	238795	241203
2	25	3	3	1	1	1400	1	3282	1510	Ⴐ	norm_b.wav	246518	247918	250047
2	26	2	2	1	2	1930	0	2872	2175	ƺ	norm_e.wav	254943	256873	259147
2	27	1	1	1	2	1171	0	2760	1869	ծ	norm_au.wav	263933	265104	267826
2	28	3	3	1	1	1004	1	2301	2358	Ⴐ	norm_b.wav	272159	273163	276550
2	29	2	1	0	1	1231	0	2443	2011	ƺ	norm_au.wav	281020	282251	285055
2	30	1	2	0	2	1814	1	3082	1733	ծ	norm_e.wav	290160	291974	293912
2	31	3	1	0	2	1320	1	3788	1346	Ⴐ	norm_au.wav	299735	301055	303111
2	32	1	2	0	0	0	2	3164	1600	ծ	norm_e.wav	308296	0	311917
2	33	2	2	1	0	0	2	2720	2350	ƺ	norm_e.wav	316671	0	321052
2	34	3	1	0	2	1118	1	2286	2704	Ⴐ	norm_au.wav	325372	326490	330108
2	35	1	1	1	2	1721	0	3052	2482	ծ	norm_au.wav	335190	336911	339721
2	36	2	2	1	1	1066	1	2097	1823	ƺ	norm_e.wav	343837	344903	347697
