block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block2	LR

2	1	3	3	1	2	1449	0	2443	1346	ծ	norm_e.wav	17570	19019	20948
2	2	1	1	1	0	0	2	2873	1861	ƺ	norm_b.wav	25878	0	29765
2	3	2	2	1	1	1908	1	3440	1869	Ⴐ	norm_au.wav	35246	37154	39157
2	4	1	1	1	1	1728	1	2608	2675	ƺ	norm_b.wav	43799	45527	48498
2	5	3	1	0	2	1377	1	2874	2260	ծ	norm_b.wav	53400	54777	57684
2	6	1	1	1	2	1249	0	3162	2016	ƺ	norm_b.wav	62872	64121	66925
2	7	2	1	0	2	1936	1	3569	1968	Ⴐ	norm_b.wav	72531	74467	76529
2	8	1	1	1	2	1397	0	3282	1989	ƺ	norm_b.wav	81845	83242	85868
2	9	2	2	1	1	1136	1	2516	1982	Ⴐ	norm_au.wav	90414	91550	94445
2	10	3	3	1	2	1258	0	2548	1857	ծ	norm_e.wav	99031	100289	102922
2	11	2	2	1	1	884	1	3271	2358	Ⴐ	norm_au.wav	108222	109106	112607
2	12	1	2	0	1	985	0	3082	2350	ƺ	norm_au.wav	117717	118702	122101
2	13	2	1	0	2	1728	1	2301	2011	Ⴐ	norm_b.wav	126438	128166	130480
2	14	3	3	1	1	1220	1	2872	1823	ծ	norm_e.wav	135377	136597	139227
2	15	2	2	1	2	824	0	2863	1733	Ⴐ	norm_au.wav	144119	144943	147888
2	16	1	3	0	1	751	0	3052	2482	ƺ	norm_e.wav	152989	153740	157553
2	17	3	2	0	2	1169	1	3221	2253	ծ	norm_au.wav	162814	163983	167129
2	18	1	1	1	2	1272	0	2685	1642	ƺ	norm_b.wav	171870	173142	175551
2	19	3	3	1	1	1104	1	3332	1333	ծ	norm_e.wav	180911	182015	184286
2	20	2	3	0	2	1227	1	1752	998	Ⴐ	norm_e.wav	188086	189313	191120
2	21	1	3	0	1	996	0	3788	1588	ƺ	norm_e.wav	196925	197921	200551
2	22	2	1	0	2	1402	1	2398	1850	Ⴐ	norm_b.wav	205006	206408	208867
2	23	3	1	0	2	1466	1	3929	1426	ծ	norm_b.wav	214828	216294	218325
2	24	2	3	0	1	974	0	2192	2704	Ⴐ	norm_e.wav	222546	223520	227304
2	25	1	1	1	2	991	0	3043	1510	ƺ	norm_b.wav	232380	233371	235962
2	26	3	3	1	1	1250	1	2760	1124	ծ	norm_e.wav	240747	241997	243894
2	27	1	3	0	1	658	0	2698	2509	ƺ	norm_e.wav	248620	249278	253163
2	28	2	2	1	2	705	0	2097	1933	Ⴐ	norm_au.wav	257287	257992	261255
2	29	3	1	0	1	1095	0	2720	2175	ծ	norm_b.wav	266011	267106	270215
2	30	2	3	0	1	976	0	2990	2563	Ⴐ	norm_e.wav	275233	276209	279821
2	31	1	2	0	2	1229	1	4089	1600	ƺ	norm_au.wav	285950	287179	289577
2	32	3	2	0	2	1793	1	2286	1584	ծ	norm_au.wav	293898	295691	297528
2	33	2	2	1	2	999	0	3057	1211	Ⴐ	norm_au.wav	302620	303619	305857
2	34	3	3	1	1	693	1	3050	2549	ծ	norm_e.wav	310931	311624	315513
2	35	1	2	0	1	945	0	3164	1421	ƺ	norm_au.wav	320714	321659	324170
2	36	3	2	0	1	378	0	3374	2140	ծ	norm_au.wav	329575	329953	333740
