block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block1	LR

1	1	3	2	0	2	1621	1	2443	1421	ቐ	norm_h.wav	14040	15661	17490
1	2	1	3	0	1	1695	0	2874	2253	խ	norm_i.wav	22394	24089	26674
1	3	3	1	0	2	49	1	3221	1211	ቐ	norm_a.wav	31927	31976	35184
1	4	2	1	0	2	1754	1	2685	2482	წ	norm_a.wav	39893	41647	44407
1	5	1	1	1	2	1429	0	3082	1346	խ	norm_a.wav	49508	50937	52873
1	6	3	1	0	2	1088	1	2608	2704	ቐ	norm_a.wav	57503	58591	62250
1	7	1	2	0	0	0	2	3052	2563	խ	norm_h.wav	67332	0	71927
1	8	2	2	1	2	1625	0	2990	998	წ	norm_h.wav	76939	78564	79981
1	9	3	2	0	2	1331	1	2192	1642	ቐ	norm_h.wav	84193	85524	87860
1	10	2	3	0	2	1451	1	3282	1861	წ	norm_i.wav	93168	94619	97064
1	11	3	3	1	2	1537	0	3057	1933	ቐ	norm_i.wav	102145	103682	106105
1	12	1	1	1	2	1630	0	2872	1124	խ	norm_a.wav	111012	112642	114181
1	13	3	2	0	2	1892	1	2760	1510	ቐ	norm_h.wav	118968	120860	122502
1	14	2	2	1	2	1402	0	2097	2011	წ	norm_h.wav	126624	128026	130672
1	15	1	1	1	2	1409	0	3050	2016	խ	norm_a.wav	135745	137154	139795
