block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block1	LR

1	1	2	3	0	2	1607	1	3440	1968	წ	norm_i.wav	37275	38882	41273
1	2	3	1	0	1	1917	0	2872	2175	խ	norm_h.wav	46197	48114	50398
1	3	1	3	0	2	1297	1	3082	1211	ቐ	norm_i.wav	55541	56838	58786
1	4	3	1	0	1	1761	0	1752	1588	խ	norm_h.wav	62580	64341	66197
1	5	2	2	1	2	1152	0	2192	1421	წ	norm_a.wav	70437	71589	73881
1	6	1	1	1	1	1416	1	2760	1124	ቐ	norm_h.wav	78673	80089	81836
1	7	3	3	1	1	793	1	3052	1642	խ	norm_i.wav	86916	87709	90605
1	8	2	2	1	1	1032	1	2548	1989	წ	norm_a.wav	95180	96212	99203
1	9	3	3	1	2	780	0	2286	2549	խ	norm_i.wav	103519	104299	108114
1	10	1	2	0	1	914	0	3282	1869	ቐ	norm_a.wav	113433	114347	117336
1	11	3	2	0	2	883	1	3271	1861	խ	norm_a.wav	122641	123524	126529
1	12	1	1	1	2	1335	0	2398	2675	ቐ	norm_h.wav	130969	132304	135678
1	13	2	2	1	1	1057	1	3788	1426	წ	norm_a.wav	141494	142551	144947
1	14	1	1	1	2	914	0	3569	2509	ቐ	norm_h.wav	150543	151457	155082
1	15	3	2	0	1	795	0	3050	2016	խ	norm_a.wav	160159	160954	164207
1	16	2	1	0	1	1144	0	2698	2350	წ	norm_h.wav	168941	170085	173325
1	17	1	1	1	2	1264	0	2990	998	ቐ	norm_h.wav	178352	179616	181392
1	18	2	3	0	1	1062	0	3043	2563	წ	norm_i.wav	186472	187534	191074
1	19	3	3	1	2	1305	0	2720	2140	խ	norm_i.wav	195834	197139	200003
1	20	1	2	0	2	1696	1	2873	1823	ቐ	norm_a.wav	204905	206601	208754
1	21	3	3	1	1	1726	1	3221	1346	խ	norm_i.wav	214005	215731	217378
1	22	2	2	1	2	1851	0	2301	1510	წ	norm_a.wav	221720	223571	225260
1	23	1	1	1	2	1593	0	3332	1857	ቐ	norm_h.wav	230618	232211	234509
1	24	2	2	1	1	1146	1	2685	2260	წ	norm_a.wav	239223	240369	243513
1	25	1	3	0	1	1272	0	3162	1982	ቐ	norm_i.wav	248701	249973	252720
1	26	3	3	1	2	902	0	2443	2011	խ	norm_i.wav	257200	258102	261267
1	27	2	1	0	0	0	2	3057	1333	წ	norm_h.wav	266349	0	269707
1	28	3	1	0	1	1637	0	2863	1733	խ	norm_h.wav	274606	276243	278391
1	29	2	2	1	1	1457	1	3164	1850	წ	norm_a.wav	283591	285048	287476
1	30	1	3	0	2	1499	1	2097	1933	ቐ	norm_i.wav	291609	293108	295577
1	31	2	1	0	2	1514	1	2874	2704	წ	norm_h.wav	300487	302001	305216
1	32	1	1	1	0	0	2	4089	1584	ቐ	norm_h.wav	311337	0	314948
1	33	3	2	0	2	1343	1	3929	2482	խ	norm_a.wav	320912	322255	325431
1	34	2	3	0	1	1196	0	3374	1600	წ	norm_i.wav	330842	332038	334467
1	35	1	2	0	2	1677	1	2608	2358	ቐ	norm_a.wav	339110	340787	343493
1	36	3	3	1	1	1585	1	2516	2253	խ	norm_i.wav	348037	349622	352322
