block	trial	Vstim	Astim	match	resp	result	RT	fb	V-file	A-file
LR

1	1	1	1	1	1	0	1549	0	Ⴁ	DEU_f.wav
1	2	1	3	0	1	1	1068	1	Ⴁ	DEU_u_short_1.wav
1	3	2	2	1	1	0	1117	0	Ⴜ	DEU_p.wav
1	4	2	1	0	2	0	946	0	Ⴜ	DEU_f.wav
1	5	3	3	1	1	0	1039	0	Ⴂ	DEU_u_short_1.wav
1	6	3	2	0	1	1	1063	1	Ⴂ	DEU_p.wav
1	7	1	1	1	1	0	1176	0	Ⴁ	DEU_f.wav
1	8	1	3	0	1	1	1758	1	Ⴁ	DEU_u_short_1.wav
1	9	2	2	1	2	1	1344	1	Ⴜ	DEU_p.wav
1	10	2	1	0	1	1	1014	1	Ⴜ	DEU_f.wav
1	11	3	3	1	1	0	1127	0	Ⴂ	DEU_u_short_1.wav
1	12	3	2	0	1	1	779	1	Ⴂ	DEU_p.wav
1	13	1	1	1	2	1	1102	1	Ⴁ	DEU_f.wav
1	14	1	3	0	1	1	855	1	Ⴁ	DEU_u_short_1.wav
1	15	2	2	1	2	1	833	1	Ⴜ	DEU_p.wav
1	16	2	1	0	1	1	1278	1	Ⴜ	DEU_f.wav
1	17	3	3	1	1	0	1258	0	Ⴂ	DEU_u_short_1.wav
1	18	3	2	0	1	1	1130	1	Ⴂ	DEU_p.wav
1	19	1	1	1	0	0	0	0	Ⴁ	DEU_f.wav
1	20	1	3	0	2	0	1144	0	Ⴁ	DEU_u_short_1.wav
1	21	2	2	1	2	1	907	1	Ⴜ	DEU_p.wav
1	22	2	1	0	1	1	1096	1	Ⴜ	DEU_f.wav
1	23	3	3	1	1	0	939	0	Ⴂ	DEU_u_short_1.wav
1	24	3	2	0	1	1	923	1	Ⴂ	DEU_p.wav
1	25	1	1	1	1	0	1227	0	Ⴁ	DEU_f.wav
1	26	1	3	0	1	1	1174	1	Ⴁ	DEU_u_short_1.wav
1	27	2	2	1	2	1	780	1	Ⴜ	DEU_p.wav
1	28	2	1	0	1	1	1115	1	Ⴜ	DEU_f.wav
1	29	3	3	1	2	1	1375	1	Ⴂ	DEU_u_short_1.wav
1	30	3	2	0	2	0	1264	0	Ⴂ	DEU_p.wav
1	31	1	1	1	0	0	0	0	Ⴁ	DEU_f.wav
1	32	1	3	0	1	1	1249	1	Ⴁ	DEU_u_short_1.wav
1	33	2	2	1	2	1	730	1	Ⴜ	DEU_p.wav
1	34	2	1	0	1	1	1367	1	Ⴜ	DEU_f.wav
1	35	3	3	1	1	0	1489	0	Ⴂ	DEU_u_short_1.wav
1	36	3	2	0	1	1	1063	1	Ⴂ	DEU_p.wav
1	37	1	1	1	1	0	1595	0	Ⴁ	DEU_f.wav
1	38	1	3	0	1	1	1521	1	Ⴁ	DEU_u_short_1.wav
1	39	2	2	1	2	1	947	1	Ⴜ	DEU_p.wav
1	40	2	1	0	1	1	1402	1	Ⴜ	DEU_f.wav
1	41	3	3	1	2	1	1833	1	Ⴂ	DEU_u_short_1.wav
1	42	3	2	0	1	1	816	1	Ⴂ	DEU_p.wav
1	43	1	1	1	1	0	1784	0	Ⴁ	DEU_f.wav
1	44	1	3	0	1	1	1940	1	Ⴁ	DEU_u_short_1.wav
1	45	2	2	1	2	1	768	1	Ⴜ	DEU_p.wav
1	46	2	1	0	1	1	1552	1	Ⴜ	DEU_f.wav
