block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block6	LR

6	1	1	1	1	0	0	2	1903	1931	Թ	norm_ch.wav	28239	0	32252
6	2	3	2	0	2	765	1	1901	1490	წ	norm_u.wav	36260	37025	39819
6	3	2	2	1	0	0	2	3293	1483	Ⴏ	norm_u.wav	45147	0	48684
6	4	3	2	0	0	0	2	1396	1262	წ	norm_u.wav	52117	0	55470
6	5	1	3	0	1	846	0	2052	2328	Թ	norm_ä.wav	59560	60406	64008
6	6	2	1	0	1	981	0	1700	1654	Ⴏ	norm_ch.wav	67767	68748	71489
6	7	3	3	1	1	771	1	1426	1696	წ	norm_ä.wav	74965	75736	78738
6	8	2	2	1	1	926	1	2718	2009	Ⴏ	norm_u.wav	83546	84472	87608
6	9	3	2	0	1	892	0	1781	1388	წ	norm_u.wav	91449	92341	94893
6	10	1	1	1	2	1150	0	2856	1435	Թ	norm_ch.wav	99847	100997	103346
6	11	2	2	1	1	1884	1	931	2176	Ⴏ	norm_u.wav	106362	108246	110642
6	12	1	1	1	2	1439	0	1033	940	Թ	norm_ch.wav	113769	115208	116762
6	13	3	2	0	2	1384	1	2361	1067	წ	norm_u.wav	121185	122569	124428
6	14	1	3	0	2	1184	1	1580	1726	Թ	norm_ä.wav	128077	129261	131859
6	15	2	1	0	1	1024	0	1959	535	Ⴏ	norm_ch.wav	135912	136936	138508
6	16	1	3	0	2	1102	1	2062	1412	Թ	norm_ä.wav	142637	143739	146173
6	17	3	3	1	1	1157	1	1020	1592	წ	norm_ä.wav	149301	150458	152992
6	18	1	1	1	1	888	1	1464	1101	Թ	norm_ch.wav	156550	157438	159723
6	19	2	1	0	2	1013	1	2480	1896	Ⴏ	norm_ch.wav	164271	165284	168241
6	20	3	3	1	1	702	1	1728	1760	წ	norm_ä.wav	172092	172794	175911
6	21	2	1	0	2	1944	1	2245	1143	Ⴏ	norm_ch.wav	180282	182226	183483
6	22	1	3	0	2	880	1	2370	2163	Թ	norm_ä.wav	187963	188843	192176
6	23	2	2	1	1	1258	1	1103	1205	Ⴏ	norm_u.wav	195353	196611	198641
6	24	3	3	1	1	738	1	2677	871	წ	norm_ä.wav	203382	204120	206363
6	25	2	2	1	1	1509	1	2094	1353	Ⴏ	norm_u.wav	210605	212114	214017
6	26	3	2	0	2	818	1	2420	1076	წ	norm_u.wav	218537	219355	221680
6	27	1	1	1	1	1030	1	1556	775	Թ	norm_ch.wav	225312	226342	228150
6	28	3	3	1	1	610	1	1667	1667	წ	norm_ä.wav	231895	232505	235614
6	29	2	1	0	2	994	1	2152	1433	Ⴏ	norm_ch.wav	239852	240846	243537
6	30	1	3	0	2	806	1	2050	834	Թ	norm_ä.wav	247690	248496	250577
