block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block1	LR

1	1	2	1	0	1	1721	0	2872	1388	Խ	norm_n.wav	16565	18286	20035
1	2	3	3	1	2	1272	0	3043	834	𐩬	norm_b.wav	25242	26514	28121
1	3	4	4	1	1	1459	1	2608	1433	Փ	norm_h.wav	32830	34289	36326
1	4	2	1	0	1	1818	0	3269	1931	Խ	norm_n.wav	41664	43482	45647
1	5	3	3	1	1	1156	1	3788	1896	𐩬	norm_b.wav	52608	53764	56604
1	6	2	2	1	1	924	1	2097	1760	Խ	norm_a.wav	60858	61782	64674
1	7	4	3	0	2	1038	1	2301	871	Փ	norm_b.wav	69068	70106	71992
1	8	2	1	0	1	1397	0	2685	1696	Խ	norm_n.wav	76741	78138	80489
1	9	1	2	0	1	1080	0	2548	2328	Թ	norm_a.wav	85111	86191	89528
1	10	3	3	1	2	1096	0	3332	1483	𐩬	norm_b.wav	94935	96031	98474
1	11	2	2	1	1	1061	1	4089	1435	Խ	norm_a.wav	104633	105694	108117
1	12	1	2	0	2	958	1	3440	1143	Թ	norm_a.wav	113641	114599	116832
1	13	2	1	0	1	1724	0	3221	1262	Խ	norm_n.wav	122129	123853	125474
1	14	1	1	1	1	1189	1	3162	1667	Թ	norm_n.wav	130677	131866	134386
1	15	2	2	1	1	1375	1	2869	775	Խ	norm_a.wav	139324	140699	142167
1	16	3	4	0	2	1394	1	2990	2176	𐩬	norm_h.wav	147301	148695	151558
1	17	4	4	1	2	896	0	2398	1067	Փ	norm_h.wav	155983	156879	159172
1	18	3	4	0	2	1586	1	3164	1205	𐩬	norm_h.wav	164388	165974	167650
1	19	1	1	1	2	1756	0	2863	535	Թ	norm_n.wav	172594	174350	175286
1	20	4	3	0	1	1628	0	3282	1490	Փ	norm_b.wav	180635	182263	184181
1	21	1	2	0	2	1015	1	1752	1412	Թ	norm_a.wav	188012	189027	191509
1	22	4	4	1	2	1925	0	2286	1101	Փ	norm_h.wav	195902	197827	199070
1	23	3	4	0	1	1548	0	2873	1769	𐩬	norm_h.wav	204012	205560	207828
1	24	1	1	1	1	1674	1	2698	1726	Թ	norm_n.wav	212693	214367	216475
1	25	4	3	0	2	1337	1	3929	1353	Փ	norm_b.wav	222531	223868	225943
1	26	1	2	0	2	1356	1	3052	1076	Թ	norm_a.wav	231078	232434	234239
1	27	3	3	1	1	1485	1	2760	1369	𐩬	norm_b.wav	239126	240611	242639
1	28	2	2	1	1	1316	1	3057	1592	Խ	norm_a.wav	247763	249079	251502
1	29	3	4	0	2	1567	1	2720	2163	𐩬	norm_h.wav	256349	257916	260563
1	30	4	4	1	1	2018	1	3374	940	Փ	norm_h.wav	266110	268128	269131
1	31	1	1	1	1	1627	1	3082	2009	Թ	norm_n.wav	274308	275935	278373
1	32	4	3	0	2	1152	1	3569	1654	Փ	norm_b.wav	284003	285155	287709
