block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block1	LR

1	1	3	2	0	1	1414	0	931	2328	Խ	norm_b.wav	21796	23210	26195
1	2	2	1	0	0	0	2	2677	1760	Դ	norm_h.wav	30981	0	34801
1	3	3	2	0	0	0	2	2856	940	Խ	norm_b.wav	39750	0	42788
1	4	2	2	1	2	1203	0	1580	1696	Դ	norm_b.wav	46414	47617	50216
1	5	3	3	1	1	1189	1	1700	775	Խ	norm_a.wav	54023	55212	56851
1	6	2	2	1	0	0	2	1426	2163	Դ	norm_b.wav	60371	0	64610
1	7	1	3	0	2	1321	1	1959	1143	Ⴔ	norm_a.wav	68660	69981	71847
1	8	3	3	1	2	1333	0	1464	1388	Խ	norm_a.wav	75404	76737	79064
1	9	2	2	1	1	971	1	1728	834	Դ	norm_b.wav	82923	83894	85849
1	10	1	3	0	2	1358	1	1781	1490	Ⴔ	norm_a.wav	89715	91073	93260
1	11	2	1	0	2	1461	1	1103	1667	Դ	norm_h.wav	96426	97887	100142
1	12	3	2	0	1	1635	0	3293	1353	Խ	norm_b.wav	105505	107140	108919
1	13	2	1	0	2	1491	1	1901	1262	Դ	norm_h.wav	112969	114460	116284
1	14	1	1	1	2	1180	0	2420	2176	Ⴔ	norm_h.wav	120794	121974	125070
1	15	3	2	0	1	1599	0	1903	1067	Խ	norm_b.wav	129151	130750	132301
1	16	1	1	1	1	1698	1	2152	535	Ⴔ	norm_h.wav	136555	138253	139158
1	17	2	1	0	2	1399	1	2050	1896	Դ	norm_h.wav	143292	144691	147291
1	18	1	1	1	2	1135	0	2718	2009	Ⴔ	norm_h.wav	152133	153268	156194
1	19	3	3	1	2	1285	0	2370	1726	Խ	norm_a.wav	160642	161927	164418
1	20	1	3	0	1	934	0	1396	1592	Ⴔ	norm_a.wav	167874	168808	171556
1	21	2	1	0	1	1161	0	2052	1435	Դ	norm_h.wav	175669	176830	179139
1	22	1	1	1	2	1699	0	1667	1483	Ⴔ	norm_h.wav	182873	184572	186409
1	23	2	2	1	2	1446	0	1020	871	Դ	norm_b.wav	189499	190945	192435
1	24	3	3	1	2	1779	0	1033	1433	Խ	norm_a.wav	195550	197329	199035
1	25	1	1	1	1	1511	1	2245	1654	Ⴔ	norm_h.wav	203383	204894	207129
1	26	3	3	1	1	1564	1	2062	1931	Խ	norm_a.wav	211223	212787	215229
1	27	1	3	0	0	0	2	2480	1412	Ⴔ	norm_a.wav	219814	0	223282
1	28	3	2	0	1	1681	0	1556	1205	Խ	norm_b.wav	226912	228593	230161
1	29	1	3	0	1	1161	0	2094	1076	Ⴔ	norm_a.wav	234323	235484	237559
1	30	2	2	1	1	1112	1	2361	1101	Դ	norm_b.wav	242029	243141	245306
