block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block2	LR

2	1	3	3	1	1	1000	1	1781	1353	Ⴉ	norm_i.wav	10670	11670	14078
2	2	1	1	1	1	1171	1	1103	1262	Ⴐ	norm_r.wav	17248	18419	20592
2	3	2	2	1	1	838	1	1959	940	ჺ	norm_g.wav	24825	25663	27876
2	4	1	1	1	1	1447	1	1556	1931	Ⴐ	norm_r.wav	31495	32942	35489
2	5	2	1	0	2	1093	1	1020	2009	ჺ	norm_r.wav	38631	39724	42706
2	6	1	3	0	0	0	2	2856	1696	Ⴐ	norm_i.wav	47623	0	51367
2	7	2	1	0	0	0	2	2152	1205	ჺ	norm_r.wav	55592	0	58849
2	8	3	3	1	1	1181	1	2052	1143	Ⴉ	norm_i.wav	62965	64146	66192
2	9	2	2	1	1	961	1	1667	1667	ჺ	norm_g.wav	69935	70896	73672
2	10	1	1	1	1	1202	1	2420	1388	Ⴐ	norm_r.wav	78158	79360	81599
2	11	3	2	0	2	899	1	3293	2176	Ⴉ	norm_g.wav	86989	87888	91211
2	12	2	2	1	1	1166	1	1901	2328	ჺ	norm_g.wav	95156	96322	99552
2	13	1	1	1	1	930	1	931	1760	Ⴐ	norm_r.wav	102534	103464	106356
2	14	3	2	0	2	1021	1	2062	1726	Ⴉ	norm_g.wav	110495	111516	114279
2	15	2	1	0	2	1425	1	1033	834	ჺ	norm_r.wav	117389	118814	120276
2	16	1	3	0	2	1757	1	1728	535	Ⴐ	norm_i.wav	124040	125797	126665
2	17	3	2	0	2	1679	1	2480	1433	Ⴉ	norm_g.wav	131208	132887	134699
2	18	2	2	1	1	949	1	2050	1654	ჺ	norm_g.wav	138772	139721	142479
2	19	3	2	0	2	1153	1	1903	1067	Ⴉ	norm_g.wav	146531	147684	149698
2	20	2	1	0	2	974	1	2718	871	ჺ	norm_r.wav	154635	155609	157675
2	21	3	2	0	2	1047	1	2094	1896	Ⴉ	norm_g.wav	161867	162914	165839
2	22	1	1	1	1	1093	1	2245	1101	Ⴐ	norm_r.wav	170174	171267	173350
2	23	3	3	1	1	1245	1	1396	1412	Ⴉ	norm_i.wav	176865	178110	180433
2	24	1	3	0	2	853	1	1700	2163	Ⴐ	norm_i.wav	184307	185160	188557
2	25	2	2	1	1	803	1	2361	1076	ჺ	norm_g.wav	192991	193794	196143
2	26	3	3	1	1	1032	1	2677	1435	Ⴉ	norm_i.wav	200930	201962	204442
2	27	1	3	0	2	1108	1	2370	775	Ⴐ	norm_i.wav	208896	210004	211721
2	28	3	3	1	1	799	1	1464	1490	Ⴉ	norm_i.wav	215262	216061	218841
2	29	2	1	0	2	953	1	1580	1483	ჺ	norm_r.wav	222517	223470	226056
2	30	1	3	0	2	794	1	1426	1592	Ⴐ	norm_i.wav	229552	230346	233221
