block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block3	LR

3	1	2	1	0	1	1345	0	2769	1592	ტ	norm_r.wav	7833	9178	11456
3	2	2	1	0	2	1033	1	3082	1076	ტ	norm_r.wav	16573	17606	19687
3	3	2	1	0	2	692	1	2873	834	ტ	norm_r.wav	24595	25287	27463
3	4	3	3	1	1	883	1	2286	1067	Ⴇ	norm_ü.wav	31777	32660	34878
3	5	3	3	0	0	0	2	2548	871	Ⴇ	norm_ü.wav	39470	0	42380
3	6	1	1	1	1	953	1	3788	775	ჺ	norm_r.wav	48213	49166	51031
3	7	2	2	1	2	770	0	2608	1667	ტ	norm_g.wav	55673	56443	59372
3	8	3	2	0	2	1543	1	2369	1435	Ⴇ	norm_g.wav	63772	65315	67246
3	9	3	2	0	2	1065	1	2863	1101	Ⴇ	norm_g.wav	72141	73206	75286
3	10	1	3	0	2	1633	1	3057	1726	ჺ	norm_ü.wav	80371	82004	84142
3	11	3	2	0	2	897	1	3374	1760	Ⴇ	norm_g.wav	89559	90456	93349
3	12	3	2	0	2	1044	1	3162	1262	Ⴇ	norm_g.wav	98556	99600	101847
3	13	1	3	0	2	1165	1	2301	1696	ჺ	norm_ü.wav	106193	107358	109926
3	14	3	3	1	1	729	1	1752	1205	Ⴇ	norm_ü.wav	113715	114444	116955
3	15	2	2	1	1	1139	1	3929	1412	ტ	norm_g.wav	122914	124053	126371
3	16	2	2	0	1	647	1	2698	2163	ტ	norm_g.wav	131106	131753	135299
3	17	3	3	1	1	819	1	4089	535	Ⴇ	norm_ü.wav	141421	142240	144000
3	18	2	2	1	1	1776	1	2760	1433	ტ	norm_g.wav	148803	150579	152276
3	19	3	3	1	1	980	1	2685	1388	Ⴇ	norm_ü.wav	156995	157975	160427
3	20	1	1	1	1	831	1	3164	1896	ჺ	norm_r.wav	165634	166465	169575
3	21	1	1	0	1	980	1	3569	940	ჺ	norm_r.wav	175177	176157	178148
3	22	3	2	0	2	866	1	3221	1490	Ⴇ	norm_g.wav	183398	184264	186929
3	23	2	1	0	2	1215	1	3282	2009	ტ	norm_r.wav	192241	193456	196284
3	24	2	1	0	2	827	1	2872	1654	ტ	norm_r.wav	201200	202027	204889
3	25	1	1	1	1	1216	1	3043	2176	ჺ	norm_r.wav	209976	211192	214193
3	26	1	1	0	1	905	1	2398	1143	ჺ	norm_r.wav	218629	219534	221800
3	27	2	1	0	2	901	1	2720	1931	ტ	norm_r.wav	226560	227461	230535
3	28	1	3	0	2	868	1	3440	1483	ჺ	norm_ü.wav	236009	236877	239527
3	29	2	2	1	1	1143	1	2990	2328	ტ	norm_g.wav	244554	245697	248923
3	30	3	2	0	2	799	1	3052	1353	Ⴇ	norm_g.wav	254021	254820	257406
