block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block4	RL

4	1	4	3	0	1	1264	1	2286	2163	ቐ	norm_l.wav	7336	8600	11533
4	2	2	2	1	1	1271	0	3162	1433	Ⴏ	norm_ei.wav	16746	18017	20208
4	3	4	4	1	2	1287	1	3374	1654	ቐ	norm_o.wav	25615	26902	29300
4	4	2	1	0	2	1342	0	3164	940	Ⴏ	norm_ü.wav	34508	35850	37493
4	5	4	3	0	1	1596	1	3282	1931	ቐ	norm_l.wav	42804	44400	46768
4	6	2	1	0	1	1336	1	3057	1076	Ⴏ	norm_ü.wav	51859	53195	54980
4	7	4	4	1	2	794	1	3788	1143	ቐ	norm_o.wav	60803	61597	63989
4	8	1	1	1	2	1382	1	2608	1490	ზ	norm_ü.wav	68637	70019	72159
4	9	2	2	1	2	967	1	4089	1726	Ⴏ	norm_ei.wav	78278	79245	82048
4	10	3	4	0	1	1780	1	3043	1769	Ⴕ	norm_o.wav	87134	88914	90944
4	11	1	2	0	1	1506	1	1752	1262	ზ	norm_ei.wav	94732	96238	98029
4	12	3	4	0	0	0	2	2685	1696	Ⴕ	norm_o.wav	102758	0	106498
4	13	1	2	0	1	1462	1	3269	1205	ზ	norm_ei.wav	111805	113267	115038
4	14	2	2	1	2	978	1	2872	535	Ⴏ	norm_ei.wav	119941	120919	122511
4	15	3	3	1	2	1377	1	3929	1592	Ⴕ	norm_l.wav	128482	129859	132119
4	16	1	1	1	2	1134	1	2990	871	ზ	norm_ü.wav	137144	138278	140056
4	17	3	4	0	1	1004	1	2863	2328	Ⴕ	norm_o.wav	144963	145967	149335
4	18	2	2	1	2	1036	1	3569	2176	Ⴏ	norm_ei.wav	154949	155985	159156
4	19	1	2	0	1	1019	1	3221	1667	ზ	norm_ei.wav	164415	165434	168123
4	20	4	4	1	2	960	1	2869	1896	ቐ	norm_o.wav	173023	173983	176957
4	21	3	3	1	2	1170	1	2097	1353	Ⴕ	norm_l.wav	181087	182257	184485
4	22	1	1	1	2	1434	1	2720	1760	ზ	norm_ü.wav	189247	190681	193052
4	23	2	1	0	1	1392	1	3082	775	Ⴏ	norm_ü.wav	198178	199570	200991
4	24	4	4	1	2	878	1	2760	1483	ቐ	norm_o.wav	205785	206663	209308
4	25	3	4	0	1	1065	1	3440	1101	Ⴕ	norm_o.wav	214785	215850	217922
4	26	1	2	0	1	1336	1	2548	1369	ზ	norm_ei.wav	222498	223834	225906
4	27	2	1	0	0	0	2	3332	2009	Ⴏ	norm_ü.wav	231282	0	235328
4	28	4	3	0	1	1194	1	3052	834	ቐ	norm_l.wav	240424	241618	243291
4	29	3	3	1	2	1218	1	2873	1388	Ⴕ	norm_l.wav	248192	249410	251614
4	30	1	1	1	2	1150	1	2698	1435	ზ	norm_ü.wav	256355	257505	259821
4	31	4	3	0	1	1060	1	2301	1412	ቐ	norm_l.wav	264154	265214	267602
4	32	3	3	1	2	1361	1	2398	1067	Ⴕ	norm_l.wav	272037	273398	275133
