block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block2	LR

2	1	1	1	1	1	849	1	3374	2328	Դ	norm_h.wav	8438	9287	12796
2	2	2	1	0	2	816	1	2286	775	ჺ	norm_h.wav	17128	17944	19937
2	3	2	1	0	2	1162	1	2685	1490	ჺ	norm_h.wav	24656	25818	28189
2	4	1	1	1	1	981	1	2873	1433	Դ	norm_h.wav	33092	34073	36559
2	5	2	2	1	1	1226	1	2301	1592	ჺ	norm_e.wav	40912	42138	44540
2	6	3	3	1	1	876	1	3332	1760	ტ	norm_u.wav	49925	50801	53722
2	7	1	1	1	1	1036	1	3788	535	Դ	norm_h.wav	59554	60590	62133
2	8	1	1	0	1	951	1	1752	1353	Դ	norm_h.wav	65927	66878	69315
2	9	2	1	0	2	886	1	3569	1143	ჺ	norm_h.wav	74927	75813	78101
2	10	3	2	0	2	1220	1	2990	1435	ტ	norm_e.wav	83130	84350	86606
2	11	1	3	0	2	1287	1	2097	834	Դ	norm_u.wav	90735	92022	93614
2	12	3	3	1	1	755	1	3440	2176	ტ	norm_u.wav	99082	99837	103294
2	13	1	3	0	2	857	1	2698	1076	Դ	norm_u.wav	108029	108886	111136
2	14	1	3	0	2	873	1	2863	1667	Դ	norm_u.wav	116034	116907	119745
2	15	2	2	1	1	1047	1	3043	1931	ჺ	norm_e.wav	124819	125866	128791
2	16	3	3	1	1	962	1	3162	1412	ტ	norm_u.wav	133987	134949	137428
2	17	2	1	0	2	907	1	3057	1726	ჺ	norm_h.wav	142522	143429	146293
2	18	2	1	0	2	852	1	2760	1654	ჺ	norm_h.wav	151096	151948	154790
2	19	3	2	0	2	839	1	3052	2009	ტ	norm_e.wav	159886	160725	163927
2	20	2	2	1	1	1119	1	3082	871	ჺ	norm_e.wav	169054	170173	171963
2	21	2	2	0	1	791	1	4089	2163	ჺ	norm_e.wav	178096	178887	182304
2	22	1	3	0	2	1006	1	3929	1205	Դ	norm_u.wav	188265	189271	191515
2	23	3	2	0	2	768	1	2548	1388	ტ	norm_e.wav	196093	196861	199520
2	24	2	1	0	2	920	1	3164	1696	ჺ	norm_h.wav	204727	205647	208468
2	25	2	1	0	2	867	1	2608	1101	ჺ	norm_h.wav	213114	213981	216247
2	26	1	3	0	2	1144	1	2398	1067	Դ	norm_u.wav	220673	221817	223768
2	27	2	2	1	1	681	1	2720	1483	ჺ	norm_e.wav	228532	229213	232060
2	28	1	1	1	1	840	1	3282	1896	Դ	norm_h.wav	237379	238219	241309
2	29	3	3	1	1	1035	1	2769	940	ტ	norm_u.wav	246110	247145	249082
2	30	3	3	0	1	667	1	3221	1262	ტ	norm_u.wav	254331	254998	257635
