block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block4	LR

4	1	3	4	0	1	1162	0	3082	834	ቐ	norm_o.wav	8093	9255	10957
4	2	1	2	0	1	1083	0	3282	1726	Ⴕ	norm_l.wav	16285	17368	20044
4	3	2	1	0	1	1332	0	2720	1412	Ⴏ	norm_ei.wav	24807	26139	28264
4	4	4	4	1	1	1078	1	3440	1490	ზ	norm_o.wav	33741	34819	37266
4	5	1	1	1	1	1224	1	3569	1076	Ⴕ	norm_ei.wav	42865	44089	45972
4	6	3	4	0	1	1101	0	2286	1654	ቐ	norm_o.wav	50294	51395	53982
4	7	4	3	0	2	881	1	3374	1143	ზ	norm_ü.wav	59399	60280	62573
4	8	1	1	1	1	1230	1	2097	1388	Ⴕ	norm_ei.wav	66709	67939	70142
4	9	2	2	1	1	1213	1	3043	1369	Ⴏ	norm_l.wav	75229	76442	78639
4	10	1	2	0	2	903	1	3332	2009	Ⴕ	norm_l.wav	84015	84918	88061
4	11	3	3	1	1	1213	1	3057	1435	ቐ	norm_ü.wav	93163	94376	96643
4	12	2	2	1	2	1680	0	2698	2176	Ⴏ	norm_l.wav	101373	103053	105580
4	13	3	4	0	2	1331	1	2872	940	ቐ	norm_o.wav	110489	111820	113464
4	14	2	1	0	2	1612	1	2608	2328	Ⴏ	norm_ei.wav	118101	119713	122461
4	15	3	4	0	2	1228	1	2685	1696	ቐ	norm_o.wav	127191	128419	130931
4	16	4	4	1	1	1085	1	3221	535	ზ	norm_o.wav	136189	137274	138766
4	17	1	1	1	1	1019	1	2990	1896	Ⴕ	norm_ei.wav	143798	144817	147736
4	18	4	4	1	1	1016	1	3164	871	ზ	norm_o.wav	152933	153949	155849
4	19	3	3	1	1	774	1	3052	1262	ቐ	norm_ü.wav	160945	161719	164240
4	20	2	1	0	2	1288	1	2863	1760	Ⴏ	norm_ei.wav	169147	170435	172951
4	21	3	3	1	1	1145	1	2760	1769	ቐ	norm_ü.wav	177755	178900	181565
4	22	4	3	0	2	1170	1	2869	1931	ზ	norm_ü.wav	186469	187639	190438
4	23	1	1	1	1	1901	1	2398	1205	Ⴕ	norm_ei.wav	194869	196770	198103
4	24	4	3	0	2	1070	1	4089	1067	ზ	norm_ü.wav	204222	205292	207334
4	25	1	2	0	2	1045	1	2301	1101	Ⴕ	norm_l.wav	211679	212724	214817
4	26	2	1	0	2	1166	1	1752	1667	Ⴏ	norm_ei.wav	218597	219763	222298
4	27	4	4	1	1	1190	1	3269	2163	ზ	norm_o.wav	227598	228788	231790
4	28	3	3	1	1	1442	1	3162	775	ቐ	norm_ü.wav	236985	238427	239789
4	29	2	2	1	0	0	2	2548	1592	Ⴏ	norm_l.wav	244371	0	248001
4	30	4	3	0	2	909	1	3929	1433	ზ	norm_ü.wav	253965	254874	257443
4	31	2	2	1	1	949	1	2873	1353	Ⴏ	norm_l.wav	262349	263298	265736
4	32	1	2	0	2	990	1	3788	1483	Ⴕ	norm_l.wav	271567	272557	275093
