block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
2	1	08. Mrz	3	2	764	1	2720	1211	hc	i.wav	13332	14096	16596
2	2	01. Feb	2	1	1197	0	2548	2350	ab	o.wav	21185	22382	25620
2	3	07. Jan	1	1	1499	0	2097	1989	ga	a_uml.wav	29769	31268	33793
2	4	04. Mai	5	2	1673	1	2873	1510	de	a_low.wav	38713	40386	42249
2	5	03. Feb	2	2	1487	1	2760	1626	cb	o.wav	47035	48522	50716
2	6	01. Jun	1	2	1084	0	3082	998	af	a_uml.wav	55825	56909	58856
2	7	04. Mrz	4	2	1394	0	3052	2258	dc	u.wav	63963	65357	68267
2	8	07. Feb	2	2	1902	1	2685	2253	gb	o.wav	72980	74882	77264
2	9	05. Aug	5	2	1879	0	1752	2260	eh	a_low.wav	81049	82928	85339
2	10	06. Mrz	3	2	1221	1	2443	1333	fc	i.wav	89808	91029	93180
2	11	06. Feb	2	1	1181	0	2698	1861	fb	o.wav	97914	99095	101809
2	12	03. Mai	3	1	1291	1	2608	1600	ce	i.wav	106458	107749	110082
2	13	01. Aug	1	1	1987	1	3271	1588	ah	a_uml.wav	115389	117376	119005
2	14	03. Apr	3	1	1277	1	2398	1857	cd	i.wav	123435	124712	127325
2	15	04. Jun	4	1	1397	1	3162	2482	df	u.wav	132516	133913	137035
2	16	04. Feb	2	2	1748	1	3221	2304	db	o.wav	142293	144041	146625
2	17	05. Apr	4	1	1526	0	2286	1426	ed	u.wav	150943	152469	154398
2	18	02. Mai	5	1	1758	0	2874	2016	be	a_low.wav	159299	161057	163340
2	19	05. Mrz	3	2	899	1	3043	1933	ec	i.wav	168419	169318	172391
2	20	03. Mai	5	2	1071	1	3015	2675	ce	a_low.wav	177443	178514	182151
2	21	06. Jan	1	1	1826	0	3929	1421	fa	a_uml.wav	188108	189934	191566
2	22	04. Jul	4	1	1312	1	2274	1642	dg	u.wav	195871	197183	199555
2	23	03. Aug	3	1	1233	1	3164	2563	ch	i.wav	204746	205979	209344
2	24	01. Mai	1	1	1369	1	1892	1982	ae	a_uml.wav	213275	214644	217297
2	25	02. Mrz	2	0	0	2	2863	2358	bc	o.wav	222197	0	226591
2	26	05. Feb	5	0	0	2	2301	1968	eb	a_low.wav	230920	0	234919
2	27	08. Feb	2	1	1841	0	3440	2140	hb	o.wav	240394	242235	244559
2	28	03. Jan	1	2	1305	1	2316	2011	ca	a_uml.wav	248905	250210	252948
2	29	06. Mai	5	1	1877	0	2516	1869	fe	a_low.wav	257506	259383	261424
2	30	01. Mrz	1	1	1036	1	2990	1823	ac	a_uml.wav	266448	267484	270296
2	31	04. Feb	4	1	1601	1	2872	1850	db	u.wav	275198	276799	279075
2	32	05. Jul	5	2	1390	0	3282	2175	eg	a_low.wav	284393	285783	288601
2	33	06. Apr	4	1	1239	0	2192	1584	fd	u.wav	292821	294060	296428
2	34	02. Aug	2	1	1399	1	3332	2509	bh	o.wav	301795	303194	306338
2	35	08. Apr	4	2	1163	1	3050	2704	hd	u.wav	311415	312578	316151
2	36	05. Jun	5	1	1810	1	3788	2549	ef	a_low.wav	321971	323781	326564
2	37	01. Mrz	3	2	967	1	3374	2168	ac	i.wav	340010	340977	344202
2	38	01. Feb	1	2	1151	0	4089	1124	ab	a_uml.wav	350326	351477	353477
2	39	03. Jun	3	1	1090	1	3057	1346	cf	i.wav	358562	359652	361950
2	40	02. Apr	4	2	1424	1	3569	1733	bd	u.wav	367559	368983	371321
