block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
3	1	05. Aug	5	1	1449	1	3052	2016	EH	g_sl_cut.wav	9975	11424	14016
3	2	07. Apr	4	2	1395	1	3043	1933	GD	k_asp_cut.wav	19111	20506	23084
3	3	02. Aug	2	1	1161	1	3440	2011	BH	p_cut.wav	28559	29720	32613
3	4	08. Jan	1	1	1252	0	2863	2253	HA	b_sh_cut.wav	37499	38751	41789
3	5	02. Jun	2	2	1399	0	3221	2358	BF	p_cut.wav	47041	48440	51428
3	6	03. Mai	5	1	1724	0	2874	2175	CE	g_sl_cut.wav	56329	58053	60546
3	7	06. Apr	4	1	1700	0	2097	1510	FD	k_asp_cut.wav	64702	66402	68265
3	8	03. Jan	1	0	0	2	2698	998	CA	b_sh_cut.wav	73004	0	76037
3	9	07. Mrz	3	1	1207	0	1752	1124	GC	k_click_cut.wav	79858	81065	83014
3	10	02. Mrz	2	1	1722	1	2548	2260	BC	p_cut.wav	87588	89310	91917
3	11	03. Apr	4	0	0	2	2872	2482	CD	k_asp_cut.wav	96813	0	101323
3	12	03. Aug	3	1	1166	1	2516	1850	CH	k_click_cut.wav	105908	107074	109825
3	13	07. Jan	1	2	1111	1	3374	1346	GA	b_sh_cut.wav	115300	116411	118672
3	14	05. Jan	5	2	1284	0	3057	1989	EA	g_sl_cut.wav	123784	125068	127799
3	15	02. Jul	2	1	1211	1	2192	2140	BG	p_cut.wav	132020	133231	136184
3	16	01. Jul	1	1	1189	1	3929	2549	AG	b_sh_cut.wav	142157	143346	146744
3	17	03. Jan	3	1	1553	1	3082	2675	CA	k_click_cut.wav	151861	153414	156571
3	18	05. Jun	5	2	1681	0	3788	1823	EF	g_sl_cut.wav	162388	164069	166256
3	19	04. Jul	4	2	1406	0	3162	1426	DG	k_asp_cut.wav	171446	172852	174927
3	20	03. Feb	2	1	1711	0	2301	1333	CB	p_cut.wav	179253	180964	182618
3	21	04. Aug	4	1	1825	1	3164	2563	DH	k_asp_cut.wav	187816	189641	192415
3	22	01. Jun	1	2	1387	0	3282	2350	AF	b_sh_cut.wav	197769	199156	202153
3	23	04. Mai	5	2	1399	1	2685	1733	DE	g_sl_cut.wav	206872	208271	210637
3	24	05. Jan	1	2	1511	1	2398	1211	EA	b_sh_cut.wav	215069	216580	218316
3	25	05. Mrz	3	1	1372	0	2990	1600	EC	k_click_cut.wav	223345	224717	226972
3	26	02. Jan	2	1	1383	1	2286	1861	BA	p_cut.wav	231292	232675	235200
3	27	01. Apr	1	2	1250	0	2608	1968	AD	b_sh_cut.wav	239832	241082	243825
3	28	08. Mrz	3	2	1418	1	3569	1642	HC	k_click_cut.wav	249427	250845	253100
3	29	06. Mai	5	2	1765	1	2443	1857	FE	g_sl_cut.wav	257568	259333	261449
3	30	01. Apr	4	2	1358	1	2873	1588	AD	k_asp_cut.wav	266349	267707	269964
3	31	08. Mai	5	1	1567	0	2720	1584	HE	g_sl_cut.wav	274713	276280	278327
3	32	03. Feb	3	2	1682	0	4089	2704	CB	k_click_cut.wav	284450	286132	289182
3	33	02. Apr	4	2	1244	1	2760	1869	BD	k_asp_cut.wav	294005	295249	297897
3	34	07. Feb	2	1	1716	0	3050	1982	GB	p_cut.wav	303013	304729	307028
3	35	04. Mrz	4	1	1678	1	3271	2509	DC	k_asp_cut.wav	312368	314046	316906
3	36	01. Feb	2	2	1298	1	3332	1421	AB	p_cut.wav	322263	323561	325719
