block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
3	1	5-8	5	2	1212	0	2398	2482	EH	g_sl_cut.wav	11464	12676	16017
3	2	7-4	4	1	1741	0	3052	1588	GD	p_cut.wav	21123	22864	24741
3	3	2-8	2	1	1925	1	3050	1426	BH	k_click_cut.wav	29839	31764	33347
3	4	8-1	1	1	1774	0	3332	1600	HA	k_asp_cut.wav	38722	40496	42356
3	5	2-6	2	2	1449	0	3162	1869	BF	k_click_cut.wav	47554	49003	51459
3	6	3-5	5	1	1779	0	2516	1510	CE	g_sl_cut.wav	56009	57788	59568
3	7	6-4	4	2	1792	1	2990	998	FD	p_cut.wav	64584	66376	67607
3	8	3-1	1	2	1903	1	2874	1968	CA	k_asp_cut.wav	72519	74422	76512
3	9	7-3	3	0	0	2	3374	1850	GC	b_sh_cut.wav	81937	0	85812
3	10	2-3	2	1	1319	1	4089	2358	BC	k_click_cut.wav	91937	93256	96338
3	11	3-4	4	2	1250	1	2192	1733	CD	p_cut.wav	100558	101808	104315
3	12	3-8	3	2	1140	0	2872	1421	CH	b_sh_cut.wav	109223	110363	112671
3	13	7-1	1	1	1402	0	3057	1584	GA	k_asp_cut.wav	117759	119161	121368
3	14	5-1	5	1	1448	1	2286	1333	EA	g_sl_cut.wav	125689	127137	129052
3	15	2-7	2	2	1785	0	3271	2563	BG	k_click_cut.wav	134359	136144	138950
3	16	1-7	1	1	1367	1	3929	2304	AG	k_asp_cut.wav	144918	146285	149259
3	17	3-1	3	1	1628	1	3015	2011	CA	b_sh_cut.wav	154306	155934	158351
3	18	5-6	5	2	1243	0	2443	2260	EF	g_sl_cut.wav	162819	164062	167118
3	19	4-7	4	1	1674	1	3043	1626	DG	p_cut.wav	172187	173861	175852
3	20	3-2	2	2	1534	1	2698	1346	CB	k_click_cut.wav	180576	182110	183956
3	21	4-8	4	1	1583	1	2274	1933	DH	p_cut.wav	188270	189853	192228
3	22	1-6	1	2	1597	0	2760	1989	AF	k_asp_cut.wav	197024	198621	201052
3	23	4-5	5	1	1373	0	2873	2549	DE	g_sl_cut.wav	205955	207328	210547
3	24	5-1	1	1	1765	0	2097	1642	EA	k_asp_cut.wav	214680	216445	218358
3	25	5-3	3	2	1757	1	2608	1823	EC	b_sh_cut.wav	222993	224750	226840
3	26	2-1	2	2	1567	0	1752	2016	BA	k_click_cut.wav	230621	232188	234667
3	27	1-4	1	1	1288	1	3440	2175	AD	k_asp_cut.wav	240144	241432	244344
3	28	8-3	3	2	1367	1	2301	1982	HC	b_sh_cut.wav	248673	250040	252686
3	29	6-5	5	2	1966	1	2685	1857	FE	g_sl_cut.wav	257408	259374	261312
3	30	1-4	4	1	1079	0	3569	2258	AD	p_cut.wav	266910	267989	271198
3	31	8-5	5	1	1468	0	3282	2704	HE	g_sl_cut.wav	276508	277976	281246
3	32	3-2	3	1	1479	1	2863	2509	CB	b_sh_cut.wav	286141	287620	290685
3	33	2-4	4	1	1225	0	1892	2675	BD	p_cut.wav	294605	295830	299303
3	34	7-2	2	0	0	2	3788	2140	GB	k_click_cut.wav	305118	0	309286
3	35	4-3	4	2	862	0	2548	2350	DC	p_cut.wav	313863	314725	318247
3	36	1-2	2	1	1381	0	2316	2168	AB	k_click_cut.wav	322599	323980	326817
3	37	3-6	3	1	1366	1	3221	1861	CF	b_sh_cut.wav	332072	333438	335978
3	38	5-3	5	2	1411	0	3082	1211	EC	g_sl_cut.wav	341085	342496	344329
3	39	3-5	3	2	1624	0	2720	2253	CE	b_sh_cut.wav	349074	350698	353372
3	40	1-3	1	2	1231	0	3164	1124	AC	k_asp_cut.wav	358569	359800	361728
