block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
2	1	1_3	3	2	1654	1	3185	2412	df	norm_k.wav	15107	16761	19565
2	2	3_1	3	1	1189	1	2542	2549	fd	norm_k.wav	24129	25318	28704
2	3	2_3	3	2	1309	1	2538	1861	ef	norm_k.wav	33277	34586	37168
2	4	3_2	2	2	1347	1	2484	3454	fe	norm_f.wav	41675	43022	47163
2	5	2_1	2	0	0	2	1644	1699	ed	norm_f.wav	50838	0	54576
2	6	3_2	2	1	927	0	3272	1463	fe	norm_f.wav	59884	60811	63376
2	7	2_3	2	2	1281	0	1955	1396	ef	norm_f.wav	67369	68650	70810
2	8	1_3	1	1	1398	1	2656	1863	df	norm_e.wav	75505	76903	79396
2	9	3_2	3	1	1583	1	2662	1211	fe	norm_k.wav	84096	85679	87346
2	10	2_3	2	1	1234	1	3266	2016	ef	norm_f.wav	92635	93869	96686
2	11	1_2	1	1	1555	1	2379	2244	de	norm_e.wav	101100	102655	105366
2	12	2_1	2	2	1756	0	2776	1901	ed	norm_f.wav	110166	111922	114092
2	13	1_3	3	2	1667	1	2068	974	df	norm_k.wav	118193	119860	121200
2	14	3_1	1	2	1278	1	3050	2677	fd	norm_e.wav	126277	127555	130988
2	15	1_2	1	1	1069	1	2659	2350	de	norm_e.wav	135671	136740	140046
2	16	2_1	1	2	1062	1	1892	2062	ed	norm_e.wav	143973	145035	148060
2	17	1_3	1	1	929	1	2067	2718	df	norm_e.wav	152150	153079	156901
2	18	1_2	2	2	1304	1	2448	1823	de	norm_f.wav	161383	162687	165242
2	19	3_1	3	2	1342	0	3046	1580	fd	norm_k.wav	170316	171658	173934
2	20	1_2	2	1	1834	0	2122	2140	de	norm_f.wav	178094	179928	182279
2	21	3_1	1	2	1207	1	1943	1470	fd	norm_e.wav	186250	187457	189761
2	22	3_2	3	1	1518	1	2387	2480	fe	norm_k.wav	194179	195697	198690
2	23	2_3	3	2	1185	1	2516	2151	ef	norm_k.wav	203244	204429	207429
2	24	2_1	1	2	823	1	3054	2689	ed	norm_e.wav	212517	213340	217253
2	25	1_3	1	1	981	1	2115	1902	df	norm_e.wav	221397	222378	225351
2	26	2_3	3	2	1371	1	2813	930	ef	norm_k.wav	230197	231568	233164
2	27	2_1	1	2	1194	1	3058	2253	ed	norm_e.wav	238260	239454	242539
2	28	2_1	1	2	873	1	2417	1765	ed	norm_e.wav	246988	247861	250786
2	29	1_3	3	2	1060	1	2128	2855	df	norm_k.wav	254951	256011	259845
2	30	3_1	3	1	1146	1	2496	1588	fd	norm_k.wav	264371	265517	267980
2	31	2_3	2	1	1673	1	1754	2369	ef	norm_f.wav	271764	273437	276163
2	32	2_3	2	1	1213	1	2685	1019	ef	norm_f.wav	280880	282093	283931
