block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
2	1	3_4	3	1	1802	1	1644	2016	gh	norm_f.wav	13862	15664	17936
2	2	2_1	1	1	1628	0	2484	2151	fe	norm_e.wav	22465	24093	26652
2	3	1_4	4	1	1602	0	2448	1211	eh	norm_k.wav	31129	32731	34373
2	4	3_1	1	1	1267	0	3050	1580	ge	norm_e.wav	39452	40719	43062
2	5	1_3	1	1	1107	1	2542	1463	eg	norm_e.wav	47645	48752	51146
2	6	1_2	2	2	1196	1	2068	3454	ef	norm_au.wav	55251	56447	60737
2	7	4_1	4	1	1892	1	3272	2350	he	norm_k.wav	66056	67948	70434
2	8	4_1	1	2	1412	1	2662	1823	he	norm_e.wav	75126	76538	78988
2	9	1_2	1	1	1354	1	2067	2412	ef	norm_e.wav	83092	84446	87537
2	10	4_3	4	1	1852	1	3058	2244	hg	norm_k.wav	92623	94475	96910
2	11	1_3	3	2	1380	1	2659	1470	eg	norm_f.wav	101605	102985	105116
2	12	4_2	4	0	0	2	2516	1699	hf	norm_k.wav	109663	0	113406
2	13	3_2	3	1	1559	1	2685	930	gf	norm_f.wav	118132	119691	121097
2	14	2_4	4	0	0	2	2538	1902	fh	norm_k.wav	125666	0	129610
2	15	1_4	1	1	1155	1	3046	2855	eh	norm_e.wav	134694	135849	139583
2	16	3_4	4	2	1989	1	2776	1588	gh	norm_k.wav	144405	146394	148037
2	17	2_4	2	1	1801	1	3054	1765	fh	norm_au.wav	153124	154925	156955
2	18	2_1	2	1	1219	1	1943	2253	fe	norm_au.wav	160933	162152	165223
2	19	2_3	2	1	1007	1	2656	2480	fg	norm_au.wav	169907	170914	174431
2	20	4_3	3	2	1444	1	2813	1863	hg	norm_f.wav	179284	180728	183174
2	21	3_1	3	0	0	2	2128	2062	ge	norm_f.wav	187340	0	191434
2	22	3_2	2	2	1435	1	2387	1861	gf	norm_au.wav	195859	197294	199754
2	23	4_2	2	0	0	2	1754	2689	hf	norm_au.wav	203547	0	208282
2	24	2_3	3	2	1703	1	1892	2369	fg	norm_f.wav	212205	213908	216603
2	25	3_1	1	2	1519	1	3266	2718	ge	norm_e.wav	221900	223419	226652
2	26	2_4	2	0	0	2	3185	2677	fh	norm_au.wav	231880	0	236592
2	27	1_3	1	1	1564	1	2379	1901	eg	norm_e.wav	241014	242578	244957
2	28	1_4	1	1	1134	1	2122	1019	eh	norm_e.wav	249118	250252	252175
2	29	1_3	3	2	1502	1	1955	974	eg	norm_f.wav	256171	257673	259191
2	30	2_1	1	2	1190	1	2115	2549	fe	norm_e.wav	263352	264542	267946
2	31	4_2	4	0	0	2	2496	2140	hf	norm_k.wav	272473	0	276658
2	32	2_4	4	1	1507	0	2417	1396	fh	norm_k.wav	281115	282622	284554
