block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	1_3	1	1	1349	1	2301	1869	ac	norm_s.wav	17533	18882	21450
1	2	2_3	3	2	874	1	2720	1510	bc	norm_d.wav	26243	27117	29791
1	3	2_1	1	1	953	0	2685	1584	ba	norm_s.wav	34508	35461	38146
1	4	2_1	1	2	1029	1	2286	1823	ba	norm_s.wav	42470	43499	46325
1	5	1_3	3	1	762	0	2760	2016	ac	norm_d.wav	51124	51886	55199
1	6	3_1	3	1	1103	1	2872	998	ca	norm_d.wav	60117	61220	63162
1	7	2_3	2	1	798	1	3043	2140	bc	norm_a.wav	68268	69066	72444
1	8	2_3	2	1	635	1	2863	2549	bc	norm_a.wav	77349	77984	81954
1	9	1_2	2	1	873	0	3374	1421	ab	norm_a.wav	87361	88234	90826
1	10	1_3	1	1	1298	1	3788	1861	ac	norm_s.wav	96655	97953	100547
1	11	3_2	2	2	800	1	3332	1211	cb	norm_a.wav	105920	106720	109178
1	12	1_2	1	2	789	0	3162	2011	ab	norm_s.wav	114370	115159	118438
1	13	3_1	3	2	1908	0	2398	2350	ca	norm_d.wav	122867	124775	127258
1	14	2_1	2	1	1408	1	1752	1124	ba	norm_a.wav	131042	132450	134212
1	15	3_2	2	2	1094	1	2873	1346	cb	norm_a.wav	139123	140217	142515
1	16	3_2	3	1	742	1	2990	2253	cb	norm_d.wav	147541	148283	151842
1	17	2_3	3	1	922	0	3164	2482	bc	norm_d.wav	157035	157957	161552
1	18	1_2	2	1	1456	0	4089	1733	ab	norm_a.wav	167681	169137	171444
1	19	1_3	3	2	1157	1	2097	1588	ac	norm_d.wav	175570	176727	179199
1	20	3_2	3	2	788	0	3569	2563	cb	norm_d.wav	184802	185590	189395
1	21	3_1	1	1	1385	0	3440	1333	ca	norm_s.wav	194874	196259	198245
1	22	3_1	1	2	649	1	3082	1850	ca	norm_s.wav	203356	204005	207243
1	23	2_1	2	1	1230	1	2608	2175	ba	norm_a.wav	211883	213113	216089
1	24	1_2	1	1	1502	1	3221	1857	ab	norm_s.wav	221357	222859	225251
