block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	4_2	4	1	1143	1	3050	1588	db	norm_o.wav	21947	23090	25570
1	2	2_3	2	2	1823	0	3058	2369	bc	norm_d.wav	30657	32480	35051
1	3	2_1	1	1	1781	0	2387	2151	ba	norm_s.wav	39470	41251	43650
1	4	4_1	1	2	1422	1	2776	1901	da	norm_s.wav	48458	49880	52383
1	5	1_2	1	0	0	2	2484	1863	ab	norm_s.wav	56899	0	60794
1	6	3_2	2	2	1713	1	2128	1580	cb	norm_d.wav	64960	66673	68578
1	7	1_4	4	1	1547	0	2067	1019	ad	norm_o.wav	72682	74229	75750
1	8	3_4	4	2	1053	1	2068	1463	cd	norm_o.wav	79850	80903	83344
1	9	2_4	2	1	1756	1	3054	2412	bd	norm_d.wav	88435	90191	92876
1	10	4_2	2	1	1078	0	3266	3454	db	norm_d.wav	98180	99258	103668
1	11	1_4	1	1	1499	1	2516	1765	ad	norm_s.wav	108214	109713	112012
1	12	4_3	4	1	1172	1	1892	2062	dc	norm_o.wav	115939	117111	120025
1	13	3_1	1	2	1544	1	2542	2718	ca	norm_s.wav	124606	126150	129348
1	14	3_4	3	1	1776	1	2662	2480	cd	norm_a.wav	134042	135818	138560
1	15	1_3	3	1	1165	0	2685	2689	ac	norm_a.wav	143282	144447	148002
1	16	1_3	1	2	1533	0	1754	1902	ac	norm_s.wav	151784	153317	155715
1	17	2_3	3	2	1593	1	2417	1396	bc	norm_a.wav	160163	161756	163592
1	18	4_3	3	2	1823	1	1644	974	dc	norm_a.wav	167274	169097	170286
1	19	1_2	2	1	1298	0	2813	930	ab	norm_d.wav	175126	176424	178092
1	20	3_1	3	1	1512	1	1943	2244	ca	norm_a.wav	182072	183584	186339
1	21	3_2	3	1	1299	1	2379	2253	cb	norm_a.wav	190758	192057	195048
1	22	2_1	2	1	1237	1	2115	1470	ba	norm_d.wav	199194	200431	202715
1	23	4_1	4	1	1258	1	3272	2549	da	norm_o.wav	208017	209275	212594
1	24	2_4	4	2	1723	1	2656	2140	bd	norm_o.wav	217284	219007	221451
1	25	4_1	4	1	1191	1	3046	1823	da	norm_o.wav	226524	227715	230384
1	26	1_4	1	1	1300	1	2659	1211	ad	norm_s.wav	235070	236370	238305
1	27	3_1	1	2	1450	1	1955	2016	ca	norm_s.wav	242299	243749	246360
1	28	1_4	4	2	1254	1	2122	1699	ad	norm_o.wav	250516	251770	254243
1	29	4_2	4	1	1086	1	3185	1861	db	norm_o.wav	259462	260548	263354
1	30	2_4	4	2	1202	1	2448	2855	bd	norm_o.wav	267842	269044	272732
1	31	3_1	3	1	1152	1	2496	2677	ca	norm_a.wav	277256	278408	281970
1	32	1_2	2	2	1436	1	2538	2350	ab	norm_d.wav	286531	287967	290926
