subj_idx,block,trial,vStims,aStim,resp,rt,fb,iti,feedJitter,vSymbols,aFile,stimOnset,respOnset,feedbackOnset
2x3-01,1,1,1_3,1,0,0,2,3043,1861,ac,norm_a.wav,25314,0,29231
2x3-01,1,2,2_3,3,2,0.539,1,2301,2350,bc,norm_s.wav,33589,34128,37988
2x3-01,1,3,2_1,1,2,1.428,1,2097,1857,ba,norm_a.wav,42120,43548,46030
2x3-01,1,4,2_1,1,0,0,2,3332,2011,ba,norm_a.wav,51389,0,55435
2x3-01,1,5,1_3,3,1,1.022,0,2872,1333,ac,norm_s.wav,60347,61369,63742
2x3-01,1,6,3_1,3,0,0,2,2863,1823,ca,norm_s.wav,68640,0,72516
2x3-01,1,7,2_3,2,0,0,2,2286,1733,bc,norm_d.wav,76847,0,80611
2x3-01,1,8,2_3,2,1,0.499,1,2760,1869,bc,norm_d.wav,85406,85905,89298
2x3-01,1,9,1_2,2,1,1.846,0,3440,1584,ab,norm_d.wav,94770,96616,98381
2x3-01,1,10,1_3,1,2,1.513,0,3221,1211,ac,norm_a.wav,103636,105149,106876
2x3-01,1,11,3_2,2,2,1.297,1,3162,2563,cb,norm_d.wav,112062,113359,116663
2x3-01,1,12,1_2,1,1,1.495,1,3788,2175,ab,norm_a.wav,122489,123984,126693
2x3-01,1,13,3_1,3,2,1.015,0,1752,2549,ca,norm_s.wav,130471,131486,135052
2x3-01,1,14,2_1,2,1,1.388,1,4089,1588,ba,norm_d.wav,141176,142564,144792
2x3-01,1,15,3_2,2,2,0.972,1,3164,998,cb,norm_d.wav,149986,150958,153020
2x3-01,1,16,3_2,3,1,1.663,1,2685,1510,cb,norm_s.wav,157742,159405,161300
2x3-01,1,17,2_3,3,2,1.34,1,2873,1850,bc,norm_s.wav,166198,167538,170075
2x3-01,1,18,1_2,2,2,1.312,1,3374,1346,ab,norm_d.wav,175483,176795,178856
2x3-01,1,19,1_3,3,2,1.465,1,3569,2482,ac,norm_s.wav,184463,185928,188976
2x3-01,1,20,3_2,3,1,0.983,1,3082,2140,cb,norm_s.wav,194094,195077,198269
2x3-01,1,21,3_1,1,2,1.579,1,2990,2016,ca,norm_a.wav,203287,204866,207330
2x3-01,1,22,3_1,1,2,1.159,1,2720,1421,ca,norm_a.wav,212085,213244,215536
2x3-01,1,23,2_1,2,1,1.651,1,2608,2253,ba,norm_d.wav,220174,221825,224469
2x3-01,1,24,1_2,1,1,1.436,1,2398,1124,ab,norm_a.wav,228899,230335,232058
2x3-01,2,1,1_3,3,0,0,2,3440,2140,df,norm_k.wav,22975,0,27142
2x3-01,2,2,3_1,3,2,0.891,0,3221,1823,fd,norm_k.wav,32391,33282,36244
2x3-01,2,3,2_3,3,0,0,2,2608,1869,ef,norm_k.wav,40880,0,44774
2x3-01,2,4,3_2,2,1,1.868,0,3043,1510,fe,norm_e.wav,49866,51734,53400
2x3-01,2,5,2_1,2,1,0.505,1,2720,2563,ed,norm_e.wav,58144,58649,62737
2x3-01,2,6,3_2,2,1,1.743,0,3082,1861,fe,norm_e.wav,67858,69601,71754
2x3-01,2,7,2_3,2,1,1.266,1,2286,2350,ef,norm_e.wav,76080,77346,80461
2x3-01,2,8,1_3,1,1,0.857,1,1752,2482,df,norm_f.wav,84280,85137,88794
2x3-01,2,9,3_2,3,2,1.77,0,3164,2253,fe,norm_k.wav,93994,95764,98283
2x3-01,2,10,2_3,2,1,0.66,1,2398,1733,ef,norm_e.wav,102712,103372,106481
2x3-01,2,11,1_2,1,1,1.702,1,2873,1857,de,norm_f.wav,111389,113091,115273
2x3-01,2,12,2_1,2,1,0.911,1,2863,1850,ed,norm_e.wav,120163,121074,124067
