block	trial	vStim1	vStim2	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
2	1	2	1	1	0	0	2	3054	1901	fe	norm_k.wav	8105	0	12025
2	2	1	3	1	1	1104	1	1788	1463	eg	norm_k.wav	15824	16928	19303
2	3	4	1	1	2	934	1	2115	1958	he	norm_k.wav	23440	24374	27443
2	4	4	2	2	2	1460	1	1943	1033	hf	norm_f.wav	31428	32888	34482
2	5	4	2	4	1	1056	1	2068	2709	hf	norm_e.wav	38593	39649	43340
2	6	2	3	2	2	1077	0	1754	2369	fg	norm_f.wav	47115	48192	51498
2	7	4	3	3	1	1082	0	2659	2151	hg	norm_au.wav	56198	57280	60365
2	8	2	4	4	1	1427	0	3272	1019	fh	norm_e.wav	65664	67091	68708
2	9	3	2	3	1	1339	1	1969	2718	gf	norm_au.wav	72699	74038	77430
2	10	2	3	3	2	1179	1	2411	1727	fg	norm_au.wav	81852	83031	85612
2	11	3	2	2	2	1764	1	2516	1666	gf	norm_f.wav	90153	91917	93836
2	12	2	4	2	1	1347	1	2403	1902	fh	norm_f.wav	98253	99600	102196
2	13	2	1	2	1	1075	1	2067	1699	fe	norm_f.wav	106290	107365	110011
2	14	2	4	4	0	0	2	2117	2420	fh	norm_e.wav	114145	0	118590
2	15	3	2	3	1	1424	1	2685	2361	gf	norm_au.wav	123300	124724	127686
2	16	4	3	4	1	1612	1	2874	2793	hg	norm_e.wav	132573	134185	137398
2	17	4	3	3	1	1743	0	3058	1780	hg	norm_au.wav	142482	144225	146306
2	18	4	1	1	2	1486	1	2542	1396	he	norm_k.wav	150872	152358	154295
2	19	2	3	2	1	1293	1	2656	1580	fg	norm_f.wav	158969	160262	162568
2	20	1	4	1	1	1092	1	1955	1102	eh	norm_k.wav	166535	167627	169663
2	21	3	4	4	0	0	2	2417	2107	gh	norm_e.wav	174108	0	178242
2	22	4	1	4	1	1174	1	2379	2244	he	norm_e.wav	182639	183813	186894
2	23	4	3	4	1	968	1	2484	2093	hg	norm_e.wav	191402	192370	195508
2	24	1	3	3	2	1182	1	3675	930	eg	norm_au.wav	201197	202379	204141
2	25	1	2	1	1	1165	1	2448	1426	ef	norm_k.wav	208611	209776	212050
2	26	1	3	1	1	858	1	2401	2480	eg	norm_k.wav	216474	217332	220980
2	27	2	3	2	1	1103	1	1798	1417	fg	norm_f.wav	224796	225899	228237
2	28	3	2	2	2	1063	1	2944	1597	gf	norm_f.wav	233195	234258	236808
2	29	3	1	1	2	1285	1	3050	1555	ge	norm_k.wav	241870	243155	245441
2	30	3	4	3	1	1215	1	2813	2062	gh	norm_au.wav	250273	251488	254357
2	31	1	2	1	0	0	2	2496	1878	ef	norm_k.wav	258881	0	262778
2	32	4	1	1	0	0	2	1892	2050	he	norm_k.wav	266686	0	270772
2	33	4	2	4	1	1189	1	2128	2417	hf	norm_e.wav	274922	276111	279353
2	34	3	4	4	2	1356	1	2192	2145	gh	norm_e.wav	283573	284929	287756
2	35	2	4	4	2	1084	1	3046	2855	fh	norm_e.wav	292818	293902	297693
2	36	1	2	2	2	1274	1	3266	2348	ef	norm_f.wav	302976	304250	307337
2	37	4	2	2	2	909	1	2538	3292	hf	norm_f.wav	311901	312810	317206
2	38	3	1	3	1	1321	1	2387	2677	ge	norm_au.wav	321617	322938	326315
2	39	3	4	3	0	0	2	2744	2052	gh	norm_au.wav	331076	0	335166
2	40	2	3	3	2	851	1	2776	2098	fg	norm_au.wav	339962	340813	344083
