"subjID","block","trial","vStim1","vStim2","aStim","resp","RT","fb","iti","feedJitter","vSymbols","aFile","stimOnset","respOnset","feedbackOnset","response","vStimNassoc","assoc_active","assoc_inactive","deltas","drift"
"biokurs19-08",1,1,1,3,1,1,0.843,1,3043,1733,"02","s_palat_cut.wav",8100,8943,11847,2,3,0.5,0.5,0.415673527564831,"0.34556896303638"
"biokurs19-08",1,2,7,3,3,2,0.915,1,3332,1333,"62","s_dent_cut.wav",17197,18112,20549,2,7,0.535,0.5,0.4302221010296,"0.357663876742653"
"biokurs19-08",1,3,4,2,2,1,1.29,0,1752,2258,"31","s_alv_cut.wav",24329,25619,28621,1,4,0.5,0.5,0.415673527564831,"0.34556896303638"
"biokurs19-08",1,4,3,8,3,2,1.283,0,3440,1642,"27","s_dent_cut.wav",34088,35371,37747,1,8,0.56755,0.5,0.443752274351835,"0.368912146489487"
"biokurs19-08",1,5,5,7,5,1,1.046,1,3271,1850,"46","t_sl_cut.wav",43039,44085,46915,2,7,0.5,0.535,0.4302221010296,"0.357663876742653"
"biokurs19-08",1,6,6,2,2,2,1.2,1,2698,1588,"51","s_alv_cut.wav",51639,52839,55240,2,6,0.535,0.5,0.4302221010296,"0.357663876742653"
"biokurs19-08",1,7,2,4,4,2,1.336,1,2608,1989,"13","d_sh_retr_cut.wav",59869,61205,63890,2,2,0.535,0.56755,0.458300847816604,"0.381007060195761"
"biokurs19-08",1,8,2,6,2,2,1.369,0,2874,2482,"15","s_alv_cut.wav",68775,70144,73272,1,6,0.6072785,0.535,0.474814933556463,"0.394735996743751"
"biokurs19-08",1,9,6,1,1,1,1.265,0,2872,1823,"50","s_palat_cut.wav",78160,79425,82017,1,6,0.535,0.56755,0.458300847816604,"0.381007060195761"
"biokurs19-08",1,10,5,8,5,2,1.762,0,3788,1968,"47","t_sl_cut.wav",87823,89585,91816,1,8,0.535,0.535,0.444770674494369,"0.369758790448927"
"biokurs19-08",1,11,6,4,4,2,1.16,1,3221,1346,"53","d_sh_retr_cut.wav",97052,98212,100421,2,6,0.56755,0.5978215,0.484414082328518,"0.402716220807151"
"biokurs19-08",1,12,2,7,2,1,1.184,1,2516,1426,"16","s_alv_cut.wav",104951,106135,108412,2,7,0.649787995,0.57245,0.508051978905416,"0.422367516515814"
"biokurs19-08",1,13,8,3,3,1,1.165,0,2192,2509,"72","s_dent_cut.wav",112627,113792,117157,1,8,0.6072785,0.56755,0.488345106878699,"0.405984266490586"
"biokurs19-08",1,14,1,7,1,2,1.495,0,2398,1857,"06","s_palat_cut.wav",121580,123075,125447,1,7,0.57245,0.6125215,0.492561283468789,"0.409489372482664"
"biokurs19-08",1,15,4,8,4,1,0.806,1,3057,2168,"37","d_sh_retr_cut.wav",130524,131330,134719,2,8,0.5978215,0.5978215,0.496997143518197,"0.413177111671707"
