block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
4	1	4_3	4	2	1245	0	3569	1733	LK	n_alv_cut.wav	8661	9906	12429
4	2	3_8	3	2	1076	0	3282	998	KP	r_dent_trill_cut.wav	17748	18824	20761
4	3	1_5	1	2	1074	0	1892	1124	IM	n_palat_cut.wav	24696	25770	27838
4	4	2_7	2	1	1341	1	3929	1333	JO	r_dent_cut.wav	33808	35149	37185
4	5	6_1	1	2	1274	1	2874	1850	NI	n_palat_cut.wav	42087	43361	45969
4	6	4_7	4	1	1194	1	1752	1989	LO	n_alv_cut.wav	49747	50941	53753
4	7	7_2	2	2	1027	1	2698	1600	OJ	r_dent_cut.wav	58462	59489	62075
4	8	8_1	1	2	992	1	2608	2258	PI	n_palat_cut.wav	66710	67702	71000
4	9	3_4	3	1	920	1	2286	1584	KL	r_dent_trill_cut.wav	75313	76233	78912
4	10	3_5	5	2	1056	1	3440	2675	KM	n_velar_cut.wav	84413	85469	89106
4	11	8_2	2	2	833	1	2443	2260	PJ	r_dent_cut.wav	93568	94401	97846
4	12	5_3	3	2	1396	1	2301	1510	MK	r_dent_trill_cut.wav	102172	103568	105701
4	13	1_2	2	1	1414	0	2398	2011	IJ	r_dent_cut.wav	110127	111541	114149
4	14	5_1	5	1	1134	1	3332	1426	MI	n_velar_cut.wav	119506	120640	122968
4	15	4_3	3	2	1572	1	2872	2358	LK	r_dent_trill_cut.wav	127864	129436	132256
4	16	6_5	5	1	1154	0	3050	2253	NM	n_velar_cut.wav	137322	138476	141591
4	17	8_4	4	2	1386	1	2192	1626	PL	n_alv_cut.wav	145797	147183	149444
4	18	6_2	2	1	981	0	3164	1588	NJ	r_dent_cut.wav	154627	155608	158242
4	19	3_1	3	2	1249	0	2316	1346	KI	r_dent_trill_cut.wav	162579	163828	165964
4	20	5_2	2	1	1119	0	2516	2175	MJ	r_dent_cut.wav	170495	171614	174704
4	21	6_3	3	2	1564	1	2274	2549	NK	r_dent_trill_cut.wav	178999	180563	183576
4	22	4_8	4	1	1762	1	2863	2140	LP	n_alv_cut.wav	188460	190222	192625
4	23	7_5	5	2	1350	1	4089	2563	OM	n_velar_cut.wav	198735	200085	203342
4	24	1_6	1	1	1532	1	2548	1968	IN	n_palat_cut.wav	207914	209446	211902
4	25	2_4	4	1	1329	0	2685	1211	JL	n_alv_cut.wav	216602	217931	219839
4	26	1_5	5	2	1533	1	2760	1869	IM	n_velar_cut.wav	224624	226157	228515
4	27	5_4	4	1	1133	0	2097	2304	ML	n_alv_cut.wav	232636	233769	236967
4	28	1_2	1	2	1020	0	3374	2168	IJ	n_palat_cut.wav	242358	243378	246538
4	29	5_8	5	1	1946	1	3015	2704	MP	n_velar_cut.wav	251581	253527	256301
4	30	3_6	3	1	1483	1	3788	1933	KN	r_dent_trill_cut.wav	262114	263597	266072
4	31	2_5	5	2	1089	1	2990	1857	JM	n_velar_cut.wav	271076	272165	274956
4	32	4_5	4	1	1308	1	3082	2350	LM	n_alv_cut.wav	280057	281365	284445
4	33	3_1	1	2	1040	1	3271	1421	KI	n_palat_cut.wav	289740	290780	293205
4	34	8_3	3	2	1382	1	2873	2482	PK	r_dent_trill_cut.wav	298089	299471	302604
4	35	6_4	4	2	1612	1	3057	2509	NL	n_alv_cut.wav	307677	309289	312213
4	36	7_1	1	2	1645	1	3052	1982	OI	n_palat_cut.wav	317290	318935	321286
4	37	2_4	2	1	1348	1	3221	1823	JL	r_dent_cut.wav	326526	327874	330372
4	38	4_1	1	2	1375	1	3043	1861	LI	n_palat_cut.wav	335432	336807	339317
4	39	2_3	2	1	1073	1	3162	2016	JK	r_dent_cut.wav	344494	345567	348521
4	40	8_5	5	2	1466	1	2720	1642	PM	n_velar_cut.wav	353261	354727	356929
