subjID,block,trial,vStim1,vStim2,aStim,resp,RT,fb,vStimNassoc,stimOnset,respOnset,feedbackOnset,pe,delta,drift,assoc_active,assoc_inactive
biokurs19-13,1,1,1,3,1,1,1.464,1,3,9171,10635,13563,0.5,0.478229789376699,0.457407462894564,0.5,0.5
biokurs19-13,1,2,7,3,3,1,1.251,0,7,19668,20919,23998,-0.535,0.494967832004883,0.473416724095873,0.535,0.5
biokurs19-13,1,3,4,2,2,2,1.238,1,4,28775,30013,32653,0.5,0.478229789376699,0.457407462894564,0.5,0.5
biokurs19-13,1,4,3,8,3,1,1.414,1,8,37116,38530,40722,0.42755,0.512877537617041,0.490546633581275,0.57245,0.5
biokurs19-13,1,5,5,7,5,1,1.501,1,7,44841,46342,48294,0.5,0.494967832004883,0.473416724095873,0.5,0.535
biokurs19-13,1,6,6,2,2,1,1.446,0,6,52618,54064,56279,-0.535,0.494967832004883,0.473416724095873,0.535,0.5
biokurs19-13,1,7,2,4,4,2,1.406,1,2,62087,63493,65696,0.465,0.529615580245225,0.506555894782584,0.535,0.57245
biokurs19-13,1,8,2,6,2,1,1.029,1,6,70008,71037,73369,0.3874785,0.548778965250234,0.524884897931964,0.6125215,0.535
biokurs19-13,1,9,6,1,1,1,1.288,0,6,78548,79836,81908,-0.535,0.529615580245225,0.506555894782584,0.535,0.57245
biokurs19-13,1,10,5,8,5,2,1.078,0,8,86798,87876,90245,-0.535,0.511705874633068,0.489425985297183,0.535,0.535
biokurs19-13,1,11,6,4,4,2,1.886,1,6,94953,96839,98789,0.43245,0.559494660140797,0.535134026953042,0.56755,0.6023785
biokurs19-13,1,12,2,7,2,1,1.372,1,7,103491,104863,107770,0.360355005,0.579659934163401,0.554421296450149,0.639644995,0.57245
biokurs19-13,1,13,8,3,3,2,0.614,1,8,112058,112672,116761,0.3976215,0.559494660140797,0.535134026953042,0.6023785,0.56755
biokurs19-13,1,14,1,7,1,1,0.764,1,7,121653,122417,124879,0.42755,0.566688670862391,0.542014807417366,0.57245,0.6125215
biokurs19-13,1,15,4,8,4,1,1.334,1,8,129625,130959,133277,0.4021785,0.57631471917786,0.551221733534239,0.5978215,0.6072785
biokurs19-13,1,16,3,7,3,1,1.046,1,7,138378,139424,142130,0.369787995,0.614817004302876,0.588047612945955,0.630212005,0.655398005
biokurs19-13,1,17,1,2,2,2,1.732,1,1,147023,148755,150162,0.33513015465,0.606035909284701,0.579648850503878,0.66486984535,0.6023785
biokurs19-13,1,18,8,1,1,2,1.344,1,8,155347,156691,159374,0.355455005,0.618988593191013,0.592037569096635,0.644544995,0.649787995
biokurs19-13,1,19,5,3,5,1,1.326,1,3,163910,165236,167813,0.42755,0.58752785178991,0.561946641628866,0.57245,0.65609716465
biokurs19-13,1,20,5,4,4,2,1.527,1,5,173059,174586,177645,0.374026005,0.587434754964193,0.561857598278158,0.625973995,0.6023785
