"subjID","block","trial","vStim1","vStim2","aStim","resp","RT","fb","iti","feedJitter","vSymbols","aFile","stimOnset","respOnset","feedbackOnset","response","vStimNassoc","assoc_active","assoc_inactive","deltas","drift"
"biokurs19-05",1,1,1,3,1,1,1.186,1,2097,2675,"02","d_sh_retr_cut.wav",7146,8332,11835,2,3,0.5,0.5,0.72642162587788,"1.05537675708613"
"biokurs19-05",1,2,7,3,3,1,0.944,0,3929,2704,"62","t_sl_cut.wav",17783,18727,22513,1,7,0.535,0.5,0.751846382783606,"1.09231494358414"
"biokurs19-05",1,3,4,2,2,2,1.217,1,2398,2253,"31","s_dent_cut.wav",26937,28154,31200,2,4,0.5,0.5,0.72642162587788,"1.05537675708613"
"biokurs19-05",1,4,3,8,3,1,1.222,1,2316,1869,"27","t_sl_cut.wav",35530,36752,39421,2,8,0.57245,0.5,0.779050872672733,"1.13183880313702"
"biokurs19-05",1,5,5,7,5,1,1.248,1,3043,1600,"46","s_palat_cut.wav",44489,45737,48130,2,7,0.5,0.535,0.751846382783606,"1.09231494358414"
"biokurs19-05",1,6,6,2,2,2,1.203,1,2760,1861,"51","s_dent_cut.wav",52917,54120,56817,2,6,0.535,0.5,0.751846382783606,"1.09231494358414"
"biokurs19-05",1,7,2,4,4,2,1.435,1,2872,2509,"13","s_alv_cut.wav",61704,63139,66248,2,2,0.535,0.56755,0.800916163611657,"1.16360564352531"
"biokurs19-05",1,8,2,6,2,1,1.148,1,2873,1933,"15","s_dent_cut.wav",71146,72294,75112,2,6,0.6072785,0.535,0.829775805175346,"1.2055341790192"
"biokurs19-05",1,9,6,1,1,1,1.461,0,3050,1642,"50","d_sh_retr_cut.wav",80176,81637,83834,1,6,0.535,0.57245,0.804475629578459,"1.16877698963503"
"biokurs19-05",1,10,5,8,5,2,1.772,0,2286,2549,"47","s_palat_cut.wav",88141,89913,92724,1,8,0.535,0.535,0.777271139689332,"1.12925313008215"
"biokurs19-05",1,11,6,4,4,2,1.227,1,1752,2258,"53","s_alv_cut.wav",96496,97723,100770,2,6,0.56755,0.6023785,0.84986136313087,"1.23471534635264"
"biokurs19-05",1,12,2,7,2,1,0.827,1,3221,1588,"16","s_dent_cut.wav",106018,106845,109647,2,7,0.634769005,0.57245,0.876949992402777,"1.27407087858964"
"biokurs19-05",1,13,8,3,3,1,1.29,0,2874,1346,"72","t_sl_cut.wav",114543,115833,117903,1,8,0.6023785,0.56755,0.84986136313087,"1.23471534635264"
"biokurs19-05",1,14,1,7,1,1,1.565,1,3374,1982,"06","d_sh_retr_cut.wav",123292,124857,127286,2,7,0.57245,0.6125215,0.860788923648951,"1.25059137890948"
"biokurs19-05",1,15,4,8,4,1,1.565,1,3162,1421,"37","s_alv_cut.wav",132466,134031,135898,2,8,0.5978215,0.5978215,0.868540932029506,"1.26185383197273"
"biokurs19-05",1,16,3,7,3,2,1.253,0,3788,1850,"26","t_sl_cut.wav",141697,142950,145572,1,7,0.644544995,0.655398005,0.944306707608569,"1.37192962773681"
"biokurs19-05",1,17,1,2,2,2,1.017,1,2685,1510,"01","s_dent_cut.wav",150283,151300,153836,2,1,0.66033517465,0.6023785,0.917262520557486,"1.33263866308042"
"biokurs19-05",1,18,8,1,1,2,0.999,1,3015,2175,"70","d_sh_retr_cut.wav",158880,159879,163070,2,8,0.644544995,0.639669005,0.932880821855136,"1.3553296067246"
"biokurs19-05",1,19,5,3,5,1,1.56,1,2698,1333,"42","s_palat_cut.wav",167789,169349,171135,2,3,0.57245,0.68966314465,0.916826282578497,"1.33200487767649"
"biokurs19-05",1,20,5,4,4,2,0.824,1,2516,1857,"43","s_alv_cut.wav",175679,176503,179552,2,5,0.625973995,0.6023785,0.892301816569051,"1.29637467273175"
"biokurs19-05",1,21,4,1,1,2,0.984,1,3569,1968,"30","d_sh_retr_cut.wav",185141,186125,189139,2,4,0.66942684535,0.65215581535,0.960026225117709,"1.39476762267082"
"biokurs19-05",1,22,2,3,2,2,1.02,0,3282,2260,"12","s_dent_cut.wav",194436,195456,198711,1,3,0.6841117124245,0.7379395647755,1.03300880086534,"1.50079986534152"
"biokurs19-05",1,23,3,4,3,1,1.374,1,3332,1584,"23","t_sl_cut.wav",204068,205442,207671,2,4,0.756283795241215,0.6978067224245,1.05628279801634,"1.53461333504373"
"biokurs19-05",1,24,6,5,5,1,1.663,0,3057,1426,"54","s_palat_cut.wav",212753,214416,216206,1,6,0.644544995,0.644544995,0.936422846438701,"1.36047561323839"
"biokurs19-05",1,25,8,4,4,2,1.128,1,3052,2482,"73","s_alv_cut.wav",221282,222410,225778,2,8,0.746653192994215,0.68444583535,1.03958128296206,"1.51034865160302"
"biokurs19-05",1,26,3,2,3,1,1.729,1,4089,2140,"21","t_sl_cut.wav",231883,233612,236049,2,2,0.77334392957433,0.731999532294215,1.09351404507519,"1.58870450108763"
"biokurs19-05",1,27,4,5,5,2,1.848,1,3271,2016,"34","s_palat_cut.wav",241341,243189,245383,2,4,0.68966314465,0.76438746948462,1.0562538112284,"1.53457122178448"
"biokurs19-05",1,28,7,1,1,2,0.922,1,2192,998,"60","d_sh_retr_cut.wav",249595,250517,252614,2,7,0.6925669661755,0.67952014465,0.996713749891943,"1.44806884546269"
"biokurs19-05",1,29,2,8,2,1,1.135,1,2720,2011,"17","s_dent_cut.wav",257359,258494,261414,2,8,0.78323949955481,0.7323570438245,1.10096210521649,"1.59952536500259"
"biokurs19-05",1,30,4,6,4,1,1.102,1,1892,2358,"35","s_alv_cut.wav",265331,266433,269726,2,6,0.817894592348544,0.66942684535,1.080422456976,"1.56968447566296"
"biokurs19-05",1,31,3,2,2,2,1.103,1,3164,1823,"21","s_dent_cut.wav",274905,276008,278773,2,3,0.798412734585974,0.789209854504127,1.15328338244728,"1.67553997955059"
"biokurs19-05",1,32,1,4,1,1,1.003,1,2990,2350,"03","d_sh_retr_cut.wav",283780,284783,288153,2,4,0.714087278543215,0.830641970884145,1.12212473291014,"1.63027134583673"
"biokurs19-05",1,33,1,5,5,2,1.254,1,2443,2168,"04","s_palat_cut.wav",292620,293874,296807,2,1,0.7113867245245,0.73410116904519,1.05003366583369,"1.52553432552284"
