subjID,block,trial,vStim1,vStim2,aStim,resp,RT,fb,vStimNassoc,stimOnset,respOnset,feedbackOnset,pe,delta,drift,assoc_active,assoc_inactive
biokurs19-03,1,1,1,3,1,1,1.034,1,3,8340,9374,11785,0.5,0.620967270524053,0.771200702124187,0.5,0.5
biokurs19-03,1,2,7,3,3,2,0.884,1,7,15688,16572,19581,0.465,0.642701124992395,0.798192726698534,0.535,0.5
biokurs19-03,1,3,4,2,2,2,1.146,1,4,23874,25020,27113,0.5,0.620967270524053,0.771200702124187,0.5,0.5
biokurs19-03,1,4,3,8,3,1,1.292,1,8,32220,33512,35604,0.43245,0.662913609647952,0.823295309552675,0.56755,0.5
biokurs19-03,1,5,5,7,5,2,1.262,0,7,40492,41754,44107,-0.5,0.642701124992395,0.798192726698534,0.5,0.535
biokurs19-03,1,6,6,2,2,2,1.307,1,6,49405,50712,52764,0.465,0.642701124992395,0.798192726698534,0.535,0.5
biokurs19-03,1,7,2,4,4,2,1.245,1,2,58721,59966,63105,0.465,0.684647464116294,0.850287334127022,0.535,0.56755
biokurs19-03,1,8,2,6,2,1,0.838,1,6,67437,68275,72007,0.3927215,0.709317562323309,0.880925981221363,0.6072785,0.535
biokurs19-03,1,9,6,1,1,2,1.248,1,6,76787,78035,81513,0.465,0.687690203741862,0.854066217567431,0.535,0.57245
biokurs19-03,1,10,5,8,5,1,0.838,1,8,86412,87250,90306,0.465,0.664434979460736,0.82518475127288,0.535,0.535
biokurs19-03,1,11,6,4,4,2,1.655,1,6,96410,98065,101129,0.43245,0.732785778378224,0.910071969356742,0.56755,0.6125215
biokurs19-03,1,12,2,7,2,1,0.668,1,7,106011,106679,110340,0.365230995,0.746600750834045,0.927229260833254,0.634769005,0.56755
biokurs19-03,1,13,8,3,3,1,1.287,0,8,115519,116806,119155,-0.5978215,0.726700299127089,0.902514202475926,0.5978215,0.57245
biokurs19-03,1,14,1,7,1,1,1.208,1,7,123722,124930,127331,0.43245,0.729530046978867,0.906028564075505,0.56755,0.6072785
biokurs19-03,1,15,4,8,4,1,1.517,1,8,131960,133477,135418,0.4021785,0.745284918082968,0.925595082689449,0.5978215,0.6023785
