subjID,block,trial,vStim1,vStim2,aStim,resp,RT,fb,vStimNassoc,stimOnset,respOnset,feedbackOnset,pe,delta,drift,assoc_active,assoc_inactive
biokurs19-01,1,1,1,3,1,1,1.271,1,3,6969,8240,9994,0.5,0.880010736233473,1.54883779177236,0.5,0.5
biokurs19-01,1,2,7,3,3,1,1.802,0,7,14627,16429,18898,-0.500502738570819,0.880451565370258,1.54961366051879,0.500502738570819,0.5
biokurs19-01,1,3,4,2,2,1,1.92,0,4,23703,25623,28274,-0.5,0.880010736233473,1.54883779177236,0.5,0.5
biokurs19-01,1,4,6,2,2,1,1.011,0,6,51930,52941,56631,-0.500454376385499,0.880410973996155,1.54954221882877,0.500454376385499,0.5
biokurs19-01,1,5,2,6,2,2,1.811,0,6,70179,71990,74900,-0.500909469458429,0.881212081763247,1.55095218570062,0.500909469458429,0.500454376385499
biokurs19-01,1,6,6,1,1,2,1.7,1,6,79242,80942,83124,0.499497261429181,0.881251408653893,1.5510214018726,0.500502738570819,0.500908036083568
biokurs19-01,1,7,6,4,4,1,1.242,0,6,97258,98500,100396,-0.500454376385499,0.881652453803526,1.55172724994738,0.500454376385499,0.501411694806674
biokurs19-01,1,8,2,7,2,2,1.212,0,7,106508,107720,110140,-0.501365280794183,0.881613585404619,1.5516588407307,0.501365280794183,0.500454376385499
biokurs19-01,1,9,8,3,3,1,0.941,0,8,115433,116374,119719,-0.500957575398709,0.880852207147617,1.55031879864971,0.500957575398709,0.5
biokurs19-01,1,10,1,7,1,1,0.956,1,7,124618,125574,128807,0.498995426064497,0.881691445965904,1.55179587699042,0.501004573935503,0.500908036083568
biokurs19-01,1,11,3,7,3,1,0.955,1,7,141122,142077,145524,0.498586870353476,0.882494961616477,1.5532100817889,0.501413129646524,0.501411694806674
biokurs19-01,1,12,1,2,2,2,1.23,1,1,150238,151468,154091,0.498178188027399,0.882935600406217,1.55398561552044,0.501821811972601,0.501505508531967
biokurs19-01,1,13,8,1,1,2,1.024,1,8,159391,160415,163281,0.497989050583201,0.88217428625024,1.55264568625863,0.502010949416799,0.500454376385499
biokurs19-01,1,14,5,3,5,1,1.371,1,3,168869,170240,173204,0.5,0.881692708972704,1.55179809990951,0.5,0.501914041707141
biokurs19-01,1,15,5,4,4,2,1.328,1,5,177317,178645,181351,0.499090530541571,0.881252673137351,1.55102362739064,0.500909469458429,0.500502738570819
biokurs19-01,1,16,4,1,1,2,0.899,1,4,185805,186704,189840,0.497489924818263,0.883452838574072,1.55489596580224,0.502510075181737,0.501411286411972
biokurs19-01,1,17,2,3,2,1,1.413,1,3,194850,196263,198723,0.49767729562762,0.88417988757992,1.55617558766407,0.50232270437238,0.502419505864905
biokurs19-01,1,18,3,4,3,1,1.172,1,4,204678,205850,209054,0.497074120217947,0.884263501562469,1.55632275006876,0.502925879782053,0.501915848119412
biokurs19-01,1,19,8,4,4,2,1.149,1,8,223897,225046,228090,0.497578682846993,0.882978987141081,1.55406197710542,0.502421317153007,0.500957575398709
biokurs19-01,1,20,3,2,3,1,1.066,1,2,233175,234241,237765,0.496575929214103,0.885499166438759,1.5584975467838,0.503424070785897,0.502822696945067
biokurs19-01,1,21,4,5,5,1,1.015,0,4,242064,243079,245601,-0.501006380347774,0.883457603382952,1.55490435196819,0.501006380347774,0.502920415482957
biokurs19-01,1,22,7,1,1,2,1.052,1,7,250673,251725,254707,0.496991692507893,0.884332498604496,1.55644418634426,0.503008307492107,0.50191625841998
biokurs19-01,1,23,2,8,2,1,1.597,1,8,259814,261411,263460,0.496670921087416,0.884220637163343,1.55624730780589,0.503329078912584,0.501461678460768
biokurs19-01,1,24,4,6,4,2,1.771,0,6,267231,269002,270673,-0.503371515158786,0.884612558302548,1.55693709742641,0.503371515158786,0.501864177486953
biokurs19-01,1,25,3,2,2,2,1.087,1,3,275095,276182,278526,0.496172737346211,0.88681608555918,1.56081535271324,0.503827262653789,0.503921370068846
biokurs19-01,1,26,1,4,1,1,0.823,1,4,283699,284522,287311,0.496494351251592,0.886450205956145,1.56017139675557,0.503505648748408,0.503829878856192
biokurs19-01,1,27,1,5,5,2,1.274,1,1,292387,293661,296543,0.498538321539232,0.884803501661907,1.5572731618389,0.501461678460768,0.504002101341979
biokurs19-01,1,28,3,4,4,2,0.919,1,3,301436,302355,305420,0.495661926550728,0.887710357848706,1.56238929114504,0.504338073449272,0.504430437252845
biokurs19-01,1,29,5,2,5,1,1.599,1,2,310809,312408,314754,0.498037853948759,0.88553236172835,1.55855597120627,0.501962146051241,0.504324553881529
biokurs19-01,1,30,1,3,3,2,1.425,1,1,319631,321056,322868,0.495059576089754,0.888302794206185,1.56343199185528,0.504940423910246,0.504512012170552
biokurs19-01,1,31,8,5,5,2,1.281,1,8,327441,328722,331330,0.49753828383183,0.883897438834476,1.55567847180722,0.50246171616817,0.501966688011934
biokurs19-01,1,32,1,4,4,2,1.613,1,1,335641,337254,339299,0.495165560333393,0.888661421501381,1.56406318359543,0.504834439666607,0.505022845504045
biokurs19-01,1,33,3,1,1,2,1.268,1,3,344540,345808,348296,0.494465396145844,0.889633122021972,1.56577339737648,0.505534603854156,0.505434992422596
biokurs19-01,1,34,3,1,3,1,1.112,1,1,353187,354299,356804,0.494053217015876,0.890513996015316,1.5673237545193,0.505946782984124,0.506027395107636
biokurs19-01,2,35,16,11,11,1,1.235,0,16,8345,9580,12623,-0.5,0.880010736233473,1.54883779177236,0.5,0.5
biokurs19-01,2,36,9,10,10,2,1.084,1,9,17221,18305,21409,0.5,0.880010736233473,1.54883779177236,0.5,0.5
biokurs19-01,2,37,15,9,9,2,1.353,1,15,27384,28737,31267,0.499497261429181,0.880451565370258,1.54961366051879,0.500502738570819,0.5
biokurs19-01,2,38,12,13,13,1,1.357,0,12,36064,37421,39419,-0.5,0.880010736233473,1.54883779177236,0.5,0.5
biokurs19-01,2,39,11,10,10,2,1.647,1,11,44054,45701,47210,0.499497261429181,0.88085180313294,1.5503180875752,0.500502738570819,0.500454376385499
biokurs19-01,2,40,9,14,9,1,0.978,1,14,52107,53085,56397,0.498995426064497,0.88089160268227,1.55038813563662,0.501004573935503,0.5
biokurs19-01,2,41,12,11,12,1,1.439,1,11,60334,61773,64879,0.499545623614501,0.881252444910298,1.55102322570612,0.500454376385499,0.500957575398709
biokurs19-01,2,42,15,10,10,2,1.181,1,15,69776,70957,74114,0.498995426064497,0.881332431819055,1.55116400438305,0.501004573935503,0.500502738570819
biokurs19-01,2,43,13,16,13,1,1.571,1,16,79571,81142,83098,0.499545623614501,0.880811211758836,1.55024664588519,0.500454376385499,0.500454376385499
biokurs19-01,2,44,14,11,11,2,1.608,1,14,87319,88927,91599,0.498538321539232,0.881735061998373,1.55187264214411,0.501461678460768,0.500502738570819
biokurs19-01,2,45,14,10,10,2,1.335,1,14,95925,97260,99677,0.498494491468033,0.882213300418566,1.55271435203261,0.501505508531967,0.501006380347774
biokurs19-01,2,46,11,13,11,1,1.799,1,13,104858,106657,108097,0.498037853948759,0.882573733590698,1.55334872215495,0.501962146051241,0.500956654513928
biokurs19-01,2,47,9,16,9,1,0.917,1,16,112807,113724,116801,0.498494491468033,0.882172321234365,1.55264222778849,0.501505508531967,0.500957575398709
biokurs19-01,2,48,11,12,11,1,1.542,1,12,120913,122455,123956,0.49753828383183,0.883011784661901,1.55411970144631,0.50246171616817,0.500956654513928
biokurs19-01,2,49,12,14,12,1,0.906,1,14,128700,129606,132595,0.498539244109441,0.882618288392157,1.55342713956222,0.501460755890559,0.501510927768779
biokurs19-01,2,50,12,10,10,2,1.692,1,12,137493,139185,141151,0.497994455211227,0.883490836873649,1.55496284362542,0.502005544788773,0.501961225171142
biokurs19-01,2,51,10,13,13,1,1.022,0,10,155441,156463,159605,-0.501460755890559,0.883489672258275,1.55496079387735,0.501460755890559,0.502504685125177
biokurs19-01,2,52,13,11,11,2,1.588,1,13,165413,167001,168802,0.497039608771646,0.884292754100651,1.55637423516408,0.502960391228354,0.501916770689621
biokurs19-01,2,53,11,13,13,2,1.197,1,11,174385,175582,177824,0.497577758586673,0.88517246309717,1.55792254188748,0.502422241413327,0.503458173639346
biokurs19-01,2,54,14,9,9,2,1.057,1,14,182929,183986,186956,0.497994455211227,0.883537386533468,1.55504477202624,0.502005544788773,0.502016383281106
biokurs19-01,2,55,12,15,12,1,1.199,1,15,192342,193541,197058,0.497532869489558,0.883058318505928,1.55420160201099,0.502467130510442,0.501006380347774
biokurs19-01,2,56,11,16,11,1,1.104,1,16,201946,203050,205795,0.496033241379166,0.884774323511076,1.55722180766691,0.503966758620834,0.501461678460768
biokurs19-01,2,57,9,13,9,2,0.974,0,13,210255,211229,214207,-0.502504685125177,0.88477221168681,1.55721809081086,0.502504685125177,0.502921338048466
biokurs19-01,2,58,10,11,10,1,0.946,1,11,218737,219683,222929,0.4970432322975,0.886520198986142,1.56029458599128,0.5029567677025,0.504462732230358
biokurs19-01,2,59,13,10,13,1,1.637,1,10,227348,228985,230960,0.496627563743412,0.886004282369996,1.55938656166886,0.503372436256588,0.50345455827636
biokurs19-01,2,60,16,10,10,2,0.998,1,16,234738,235736,238372,0.496036864877345,0.885213965938995,1.55799558778026,0.503963135122655,0.501966688011934
biokurs19-01,2,61,11,9,9,2,1.432,1,11,242715,244147,246718,0.497038644681146,0.886971760630051,1.56108934418071,0.502961355318854,0.504973121128377
biokurs19-01,2,62,14,13,13,2,0.938,1,14,251752,252690,256250,0.496129816878594,0.885621854749241,1.55871348084467,0.503870183121406,0.502522749341425
biokurs19-01,2,63,9,11,9,1,1.709,1,11,261487,263196,266059,0.496540862487789,0.88785659024168,1.56264666329665,0.503459137512211,0.505484433443204
biokurs19-01,2,64,12,10,12,2,1.485,0,10,271129,272614,274772,-0.502965790961936,0.886524939931472,1.56030293015686,0.502965790961936,0.504459116894917
biokurs19-01,2,65,13,15,13,1,0.934,1,15,279489,280423,284064,0.495632960946277,0.885170305226028,1.55791874398793,0.504367039053723,0.501510927768779
biokurs19-01,2,66,14,12,12,2,0.974,1,14,288374,289348,291996,0.496576816183177,0.88567290523185,1.55880333079024,0.503423183816823,0.50303002841586
biokurs19-01,2,67,10,16,10,1,1.005,1,16,297181,298186,301219,0.495090889119536,0.886488877594245,1.560239459669,0.504909110880465,0.502472606501826
biokurs19-01,2,68,16,12,12,2,1.059,1,16,307333,308392,311220,0.496079513707215,0.886066423348667,1.55949593112564,0.503920486292785,0.502979436389477
biokurs19-01,2,69,13,14,13,1,0.99,1,14,316287,317277,320660,0.49513699355296,0.887382840056376,1.56181285279793,0.50486300644704,0.503538222980033
biokurs19-01,2,70,9,11,11,2,1.951,1,9,325946,327897,329412,0.49400332831076,0.888741451313026,1.56420403778237,0.50599667168924,0.503956029450278
biokurs19-01,2,71,9,10,9,1,1.775,1,10,334479,336254,338522,0.495534497480097,0.888670094644162,1.56407844851296,0.504465502519903,0.505403754245516
biokurs19-01,2,72,11,14,11,1,1.36,1,14,343532,344892,348248,0.493511017870509,0.889251376503149,1.56510151706633,0.506488982129491,0.504047335519113
biokurs19-01,2,73,10,12,12,2,1.172,1,10,352541,353713,356919,0.495583100570595,0.889077994343131,1.56479636074176,0.504416899429405,0.505915470222315
biokurs19-01,3,74,21,24,21,1,1.477,1,24,7664,9141,11827,0.5,0.880010736233473,1.54883779177236,0.5,0.5
biokurs19-01,3,75,23,20,20,2,1.104,1,23,16182,17286,19731,0.5,0.880010736233473,1.54883779177236,0.5,0.5
biokurs19-01,3,76,18,24,18,1,1.516,1,24,25048,26564,29623,0.5,0.880451565370258,1.54961366051879,0.5,0.500502738570819
biokurs19-01,3,77,24,17,17,1,1.104,0,24,34651,35755,39156,-0.5,0.880893186331818,1.55039092289383,0.5,0.501006380347774
biokurs19-01,3,78,18,22,18,1,0.941,1,22,44225,45166,47827,0.499497261429181,0.880451565370258,1.54961366051879,0.500502738570819,0.5
biokurs19-01,3,79,19,21,21,1,1.485,0,19,52568,54053,56236,-0.500502738570819,0.880451565370258,1.54961366051879,0.500502738570819,0.5
biokurs19-01,3,80,22,20,20,2,1.815,1,22,60149,61964,63184,0.499497261429181,0.880892394507044,1.55038952926523,0.500502738570819,0.500502738570819
biokurs19-01,3,81,19,17,17,1,1.644,0,19,68996,70640,72665,-0.500454376385499,0.880811211758836,1.55024664588519,0.500454376385499,0.500454376385499
biokurs19-01,3,82,18,19,18,1,0.835,1,19,86191,87026,90087,0.498995426064497,0.881691445965904,1.55179587699042,0.501004573935503,0.500908036083568
biokurs19-01,3,83,19,20,20,2,1.235,1,19,95156,96391,98506,0.498995426064497,0.882133082489641,1.55257316675523,0.501004573935503,0.501411694806674
biokurs19-01,3,84,19,24,19,1,1.911,1,24,103907,105818,107769,0.49808374158002,0.882976524957576,1.55405764360958,0.50191625841998,0.501459835005778
biokurs19-01,3,85,23,17,17,1,0.823,0,23,113127,113950,116357,-0.500909469458429,0.881252673137351,1.55102362739064,0.500909469458429,0.500502738570819
biokurs19-01,3,86,21,17,21,1,0.94,1,17,122471,123411,126526,0.499042424601291,0.882054818556081,1.55243542055164,0.500957575398709,0.501365280794183
biokurs19-01,3,87,18,23,18,1,1.286,1,23,130994,132280,135199,0.498494491468033,0.882171513205012,1.55264080563948,0.501505508531967,0.500956654513928
biokurs19-01,3,88,17,23,17,2,1.747,0,23,139501,141248,143415,-0.501869402891284,0.882938077874674,1.55398997591812,0.501869402891284,0.501460755890559
biokurs19-01,3,89,19,17,19,1,1.026,1,17,147956,148982,151941,0.497583735384484,0.884180278002139,1.55617627481556,0.502416264615516,0.502326396714459
biokurs19-01,3,90,21,22,21,1,1.032,1,22,156354,157386,160945,0.498541050521712,0.882174289805561,1.55264569251607,0.501458949478288,0.501006380347774
biokurs19-01,3,91,20,23,20,1,1.127,1,23,164721,165848,168338,0.498494491468033,0.883012334198566,1.55412066864264,0.501505508531967,0.501913493862495
biokurs19-01,3,92,19,18,18,2,1.248,1,19,173529,174777,176680,0.497994455211227,0.88432930001796,1.55643855676328,0.502005544788773,0.502915374183544
biokurs19-01,3,93,20,24,20,1,1.026,1,24,181718,182744,186408,0.497994455211227,0.88349400699459,1.55496842310634,0.502005544788773,0.501964841181404
biokurs19-01,3,94,17,22,17,1,1.61,1,22,191484,193094,194857,0.497168111958505,0.883826044248932,1.55555281580364,0.502831888041495,0.501510927768779
biokurs19-01,3,95,20,21,21,2,1.018,1,20,199744,200762,204020,0.498040576365297,0.883926932234058,1.55573038082378,0.501959423634703,0.502504685125177
biokurs19-01,3,96,21,17,17,2,0.812,1,21,208142,208954,211590,0.496669035176384,0.885096800637246,1.55778937433335,0.503330964823616,0.502459000294165
biokurs19-01,3,97,21,19,19,2,1.253,1,21,215887,217140,219329,0.496577364029781,0.88561791107146,1.5587065398871,0.503422635970219,0.50296579585638
biokurs19-01,3,98,18,17,18,1,0.983,1,17,224921,225904,229192,0.497495314874823,0.885571878561267,1.55862552168072,0.502504685125177,0.503829146682643
biokurs19-01,3,99,17,20,17,1,1.292,1,20,235148,236440,239496,0.495662665521348,0.886462253133681,1.56019260004671,0.504337334478652,0.503011915440816
biokurs19-01,3,100,24,19,19,2,1.166,1,24,244197,245363,248573,0.496080063279229,0.88561989314068,1.55871002837148,0.503919936720771,0.502470756286374
biokurs19-01,3,101,22,21,21,2,1.093,1,22,253471,254564,257501,0.496526494841507,0.884826389590627,1.55731344508491,0.503473505158493,0.502016383281106
biokurs19-01,3,102,17,20,20,1,1.261,0,17,262069,263330,266079,-0.503520061059108,0.887343069651775,1.56174285603186,0.503520061059108,0.504833707524932
biokurs19-01,3,103,24,21,21,2,0.903,1,24,270391,271294,274585,0.496029643219247,0.886106705535184,1.55956682863887,0.503970356780753,0.502977582779682
biokurs19-01,3,104,19,18,19,1,1.07,1,18,279827,280897,284554,0.495583651856718,0.886520004168581,1.56029424310819,0.504416348143282,0.503002931951177
biokurs19-01,3,105,18,20,20,1,1.305,0,18,290019,291324,293987,-0.503977661372396,0.886579076226556,1.56039821119865,0.503977661372396,0.503511053376434
biokurs19-01,3,106,23,18,18,2,1.68,1,23,299045,300725,302652,0.496037785762126,0.885611545575042,1.55869533647672,0.503962214237874,0.50241895974568
biokurs19-01,3,107,20,19,20,1,1.827,1,19,307759,309586,311640,0.495564016498079,0.888214722938716,1.56327698453342,0.504435983501921,0.504911872624201
biokurs19-01,3,108,17,18,18,2,1.145,1,17,316518,317663,320277,0.495541802304436,0.888562776040294,1.56388956546576,0.504458197695564,0.505282449275498
