block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
2	1	8_3	3	1	1241	0	3082	2509	hc	o.wav	8127	9368	12646
2	2	1_2	2	2	858	1	2548	1989	ab	i.wav	17219	18077	21229
2	3	7_1	1	1	1105	0	2872	1426	ga	a_uml.wav	26112	27217	29555
2	4	4_5	5	2	1138	1	3043	2258	de	a_low.wav	34621	35759	38902
2	5	3_2	2	2	1163	1	3569	1346	cb	i.wav	44498	45661	47857
2	6	1_6	1	1	1209	1	2685	2304	af	a_uml.wav	52557	53766	56904
2	7	4_3	4	1	1599	1	3788	1857	dc	u.wav	62709	64308	66608
2	8	7_2	2	2	924	1	3221	1933	gb	i.wav	71848	72772	75804
2	9	5_8	5	2	1042	0	2301	1211	eh	a_low.wav	80120	81162	83349
2	10	6_3	3	2	1432	1	2608	2016	fc	o.wav	87982	89414	92012
2	11	6_2	2	2	801	1	2760	2358	fb	i.wav	96792	97593	101172
2	12	3_5	3	2	1064	0	2274	2549	ce	o.wav	105462	106526	110039
2	13	1_8	1	1	1272	1	1892	1626	ah	a_uml.wav	113951	115223	117596
2	14	3_4	3	2	1600	0	2316	1510	cd	o.wav	121931	123531	125462
2	15	4_6	4	1	1200	1	2990	1968	df	u.wav	130480	131680	134471
2	16	4_2	2	2	870	1	2097	2140	db	i.wav	138583	139453	142750
2	17	5_4	4	2	1228	1	2698	2350	ed	u.wav	147468	148696	151831
2	18	2_5	5	2	1479	1	2192	1333	be	a_low.wav	156047	157526	159401
2	19	5_3	3	2	1445	1	2398	2260	ec	o.wav	163826	165271	168115
2	20	3_5	5	1	1505	0	3052	1869	ce	a_low.wav	173192	174697	177075
2	21	6_1	1	2	946	1	2720	1124	fa	a_uml.wav	181820	182766	184970
2	22	4_7	4	1	1320	1	3271	2482	dg	u.wav	190264	191584	194790
2	23	3_8	3	1	1406	1	2873	1733	ch	o.wav	199680	201086	203428
2	24	1_5	1	1	988	1	3440	1584	ae	a_uml.wav	208887	209875	212488
2	25	2_3	2	1	939	1	2874	2175	bc	i.wav	217387	218326	221577
2	26	5_2	5	1	1230	1	2443	998	eb	a_low.wav	226041	227271	229076
2	27	8_2	2	2	932	1	4089	2168	hb	i.wav	235189	236121	239383
2	28	3_1	1	2	939	1	2286	1823	ca	a_uml.wav	243698	244637	247536
2	29	6_5	5	2	1231	1	2863	1850	fe	a_low.wav	252417	253648	256310
2	30	1_3	1	1	1112	1	3282	2704	ac	a_uml.wav	261618	262730	266337
2	31	4_2	4	1	1183	1	3164	2675	db	u.wav	271527	272710	276229
2	32	5_7	5	1	1771	1	3057	2253	eg	a_low.wav	281304	283075	285584
2	33	6_4	4	1	1192	0	3050	1421	fd	u.wav	290649	291841	294104
2	34	2_8	2	1	928	1	3332	1642	bh	i.wav	299446	300374	303107
2	35	8_4	4	2	1485	1	2516	1588	hd	u.wav	307644	309129	311249
2	36	5_6	5	1	1170	1	3929	1600	ef	a_low.wav	317199	318369	320825
2	37	1_3	3	2	1082	1	3162	2011	ac	o.wav	326014	327096	330036
2	38	1_2	1	1	1273	1	3015	2563	ab	a_uml.wav	335076	336349	339655
2	39	3_6	3	1	1058	1	3374	1861	cf	o.wav	345053	346111	348944
2	40	2_4	4	2	1049	1	1752	1982	bd	u.wav	352711	353760	356728
