subjID	choice	RT
g00_p01	1	2.193
g00_p01	1	2.583
g00_p01	2	1.519
g00_p01	2	1.646
g00_p01	1	1.747
g00_p01	1	1.908
g00_p01	1	1.709
g00_p01	1	1.963
g00_p01	1	1.427
g00_p01	2	1.619
g00_p01	2	2.241
g00_p01	1	1.593
g00_p01	1	1.838
g00_p01	2	1.913
g00_p01	2	2.429
g00_p01	2	2.404
g00_p01	2	2.113
g00_p01	2	1.825
g00_p01	2	2.127
g00_p01	2	1.916
g00_p01	1	1.681
g00_p01	1	1.779
g00_p01	1	1.405
g00_p01	1	2.482
g00_p01	2	1.898
g00_p01	1	1.381
g00_p01	2	1.94
g00_p01	1	1.871
g00_p01	1	2.075
g00_p01	2	1.603
g00_p02	2	1.775
g00_p02	1	1.733
g00_p02	1	1.293
g00_p02	2	1.564
g00_p02	1	1.297
g00_p02	1	1.113
g00_p02	2	1.836
g00_p02	1	1.736
g00_p02	1	1.433
g00_p02	1	1.209
g00_p02	2	1.473
g00_p02	1	1.438
g00_p02	1	2.35
g00_p02	1	1.538
g00_p02	2	1.551
g00_p02	1	1.512
g00_p02	1	0.383
g00_p02	2	0.734
g00_p02	1	1.062
g00_p02	1	1.257
g00_p02	1	1.82
g00_p02	2	1.728
g00_p02	1	1.563
g00_p02	1	1.973
g00_p02	2	2.239
g00_p02	1	3.453
g00_p02	1	1.288
g00_p02	1	0.449
g00_p02	2	0.13
g00_p02	1	1.78
g11_p01	2	1.782
g11_p01	1	1.031
g11_p01	2	1.071
g11_p01	2	1.06
g11_p01	1	2.221
g11_p01	2	1.247
g11_p01	1	0.019
g11_p01	1	2.747
g11_p01	2	0.932
g11_p01	2	0.783
g11_p01	1	2.256
g11_p01	2	1.004
g11_p01	2	0.868
g11_p01	1	1.047
g11_p01	1	0.89
g11_p01	2	0.199
g11_p01	1	0.011
g11_p01	2	0.253
g11_p01	1	1.343
g11_p01	1	1.275
g11_p01	2	2.432
g11_p01	1	1.847
g11_p01	1	2.187
g11_p01	1	1.54
g11_p01	2	0.923
g11_p01	2	1.407
g11_p01	1	1.019
g11_p01	2	1.093
g11_p01	2	1.413
g11_p01	1	1.123
g12_p01	1	2.661
