subjID	trial	choice	RT
s001_LR	1	2	1.873
s001_LR	2	2	0.902
s001_LR	3	2	0.513
s001_LR	4	1	1.078
s001_LR	5	1	1.236
s001_LR	6	2	1.032
s001_LR	7	1	1.139
s001_LR	8	2	0.911
s001_LR	9	2	1.094
s001_LR	10	2	1.115
s001_LR	11	1	0.945
s001_LR	12	2	1.372
s001_LR	13	1	0.769
s001_LR	14	2	0.698
s001_LR	15	2	0.618
s001_LR	16	2	0.72
s001_LR	17	1	0.977
s001_LR	18	2	1.059
s001_LR	19	1	0.696
s001_LR	20	1	0.78
s001_LR	21	1	0.737
s001_LR	22	2	0.59
s001_LR	23	1	1.022
s001_LR	24	2	0.653
s001_LR	25	2	1.698
s001_LR	26	2	0.829
s001_LR	27	1	0.832
s001_LR	28	1	0.692
s001_LR	29	2	0.362
s001_LR	30	1	0.759
s001_LR	31	1	0.974
s001_LR	32	2	0.547
s001_LR	33	2	0.434
s001_LR	34	2	0.776
s001_LR	35	1	0.794
s001_LR	36	1	1.114
s001_LR	37	1	0.641
s001_LR	38	2	1.781
s001_LR	39	2	1.44
s001_LR	40	2	1.726
s001_LR	41	2	0.831
s001_LR	42	2	0.898
s001_LR	43	1	0.782
s001_LR	44	1	0.853
s001_LR	45	2	0.533
s001_LR	46	2	0.399
s001_LR	47	2	0.458
s001_LR	48	1	1.201
s001_LR	49	1	0.48
s001_LR	50	2	0.886
s001_LR	51	2	0.699
s001_LR	52	2	0.628
s001_LR	53	2	0.34
s001_LR	54	2	1.913
s001_LR	55	2	0.89
s001_LR	56	1	0.867
s001_LR	57	2	0.293
s001_LR	58	1	1.216
s001_LR	59	1	1.017
s001_LR	60	2	0.814
s001_LR	61	2	0.688
s001_LR	62	2	0.655
s001_LR	63	1	0.806
s001_LR	64	1	0.709
s001_LR	65	2	0.459
s001_LR	66	1	0.749
s001_LR	67	2	0.464
s001_LR	68	1	0.841
s001_LR	69	1	0.393
s001_LR	70	1	1.154
s001_LR	71	2	0.616
s001_LR	72	2	1.344
s001_LR	73	1	0.841
s001_LR	74	2	0.374
s001_LR	75	2	1.069
s001_LR	76	2	0.773
s001_LR	77	2	0.826
s001_LR	78	2	0.728
s001_LR	79	1	0.721
s001_LR	80	1	1.26
s001_LR	81	1	0.953
s001_LR	82	1	0.31
s001_LR	83	2	0.903
s001_LR	84	1	1.153
s001_LR	85	2	0.656
s001_LR	86	1	0.909
s001_LR	87	2	0.887
s001_LR	88	1	0.911
s001_LR	89	2	0.566
s001_LR	90	2	0.771
s001_LR	91	2	0.797
s001_LR	92	1	0.455
s001_LR	94	2	0.931
s001_LR	95	2	0.564
s001_LR	96	1	1.408
s001_LR	97	2	0.375
s001_LR	98	1	0.717
s001_LR	99	2	0.995
s001_LR	100	1	0.756
s001_LR	102	1	0.757
s001_LR	103	2	0.858
s001_LR	104	2	0.944
s001_LR	105	1	1.183
s001_LR	106	1	0.46
s001_LR	107	2	0.673
s001_LR	108	2	1.245
s001_LR	109	2	0.557
s001_LR	110	2	0.713
s001_LR	111	1	1.045
s001_LR	112	2	0.713
s001_LR	113	2	0.224
s001_LR	114	2	0.497
s001_LR	115	2	0.385
s001_LR	116	1	0.489
s001_LR	117	2	0.182
s001_LR	118	1	1.029
s001_LR	119	1	0.914
s001_LR	120	2	0.579
s001_LR	121	2	0.584
s001_LR	122	2	0.844
s001_LR	124	2	0.957
s001_LR	126	1	0.537
s001_LR	127	2	0.308
s001_LR	128	1	1.002
s001_LR	129	2	0.617
s001_LR	130	2	0.6
s001_LR	131	1	0.714
s001_LR	132	1	1.665
s001_LR	133	1	1.128
s001_LR	134	2	0.456
s001_LR	135	2	0.212
s001_LR	136	2	0.972
s001_LR	137	2	1.145
s001_LR	138	1	1.216
s001_LR	139	2	1.126
s001_LR	140	2	0.765
s001_LR	141	2	0.441
s001_LR	142	2	0.991
s001_LR	143	2	0.583
s001_LR	144	1	0.676
s001_LR	145	2	0.366
s001_LR	146	2	0.955
s001_LR	147	1	0.967
s001_LR	148	1	0.564
s001_LR	149	2	1.603
s001_LR	150	2	0.823
s001_LR	151	2	0.899
s001_LR	152	1	0.816
s001_LR	153	1	0.625
s001_LR	154	2	0.438
s001_LR	155	2	1.048
s001_LR	156	2	0.771
s001_LR	157	2	1.045
s001_LR	158	1	1.115
s001_LR	159	2	1.166
s001_LR	160	2	0.534
s001_LR	161	2	0.802
s001_LR	162	2	1.57
s001_LR	163	2	1.128
s001_LR	164	1	1.509
s001_LR	165	2	1.728
s001_LR	166	2	0.979
s001_LR	167	2	0.635
s001_LR	168	2	0.848
s001_LR	169	2	0.356
s001_LR	170	1	0.358
s001_LR	171	2	0.983
s001_LR	172	2	1.389
s001_LR	173	2	1.223
s001_LR	174	2	0.339
s001_LR	175	2	0.598
s001_LR	176	2	1.223
s001_LR	177	2	0.778
s001_LR	178	1	0.66
s001_LR	179	2	1.089
s001_LR	180	1	1.02
s001_LR	181	1	0.485
s001_LR	182	2	0.925
s001_LR	183	2	1.421
s001_LR	185	1	1.031
s001_LR	186	1	0.574
s001_LR	187	2	0.788
s001_LR	188	1	1.425
s001_LR	189	2	1.061
s001_LR	190	2	1.3
s001_LR	191	1	0.639
s001_LR	192	1	0.59
s001_LR	193	1	0.647
s001_LR	194	2	1.316
s001_LR	195	1	0.657
s001_LR	196	2	0.831
s001_LR	197	2	0.941
s001_LR	198	2	1.18
s001_LR	199	1	0.931
s001_LR	200	1	0.592
s002_RL	1	2	1.078
s002_RL	2	1	1.123
s002_RL	3	2	0.863
s002_RL	4	2	0.596
s002_RL	5	2	0.549
s002_RL	6	2	0.537
s002_RL	7	2	0.531
s002_RL	8	2	0.285
s002_RL	9	1	0.307
s002_RL	10	1	0.668
s002_RL	11	2	0.527
s002_RL	12	2	0.533
s002_RL	13	2	0.26
s002_RL	14	2	0.893
s002_RL	15	1	0.775
s002_RL	16	2	0.61
s002_RL	17	1	0.469
s002_RL	18	2	0.666
s002_RL	19	1	0.573
s002_RL	20	2	0.301
s002_RL	21	2	0.367
s002_RL	22	1	0.897
s002_RL	23	2	1.033
s002_RL	24	2	0.667
s002_RL	25	1	0.56
s002_RL	26	1	0.515
s002_RL	27	2	0.577
s002_RL	28	1	0.582
s002_RL	29	2	0.606
s002_RL	30	2	0.741
s002_RL	31	2	0.347
s002_RL	32	1	0.53
s002_RL	33	1	0.578
s002_RL	34	2	0.514
s002_RL	35	1	0.709
s002_RL	36	1	0.264
s002_RL	37	2	0.687
s002_RL	38	1	0.479
s002_RL	39	2	0.826
s002_RL	40	1	0.654
s002_RL	41	1	0.706
s002_RL	42	1	0.891
s002_RL	43	2	0.532
s002_RL	44	2	0.662
s002_RL	45	2	0.688
s002_RL	46	1	0.725
s002_RL	47	2	0.449
s002_RL	48	2	0.482
s002_RL	49	1	0.606
s002_RL	50	2	0.655
s002_RL	51	2	0.728
s002_RL	52	1	0.395
s002_RL	53	1	0.682
s002_RL	54	1	0.704
s002_RL	55	1	0.637
s002_RL	56	2	0.733
s002_RL	57	1	0.529
s002_RL	58	1	0.76
s002_RL	59	2	0.597
s002_RL	60	2	0.687
s002_RL	61	1	0.497
s002_RL	62	1	0.5
s002_RL	63	1	0.674
s002_RL	64	1	0.386
s002_RL	65	2	0.276
s002_RL	66	2	0.471
s002_RL	67	2	0.477
s002_RL	68	1	0.854
s002_RL	69	2	0.417
s002_RL	70	2	0.622
s002_RL	71	1	0.668
s002_RL	72	2	0.458
s002_RL	73	1	0.588
s002_RL	74	2	0.694
s002_RL	75	1	0.42
s002_RL	76	2	0.48
s002_RL	77	2	0.33
s002_RL	78	2	0.351
s002_RL	79	2	0.533
s002_RL	80	1	0.358
s002_RL	81	1	0.404
s002_RL	82	2	0.335
s002_RL	83	1	0.348
s002_RL	84	1	0.279
s002_RL	85	1	0.421
s002_RL	86	2	0.544
s002_RL	87	2	0.454
s002_RL	88	2	0.468
s002_RL	89	2	0.489
s002_RL	90	2	0.328
s002_RL	91	2	0.618
s002_RL	92	2	0.318
s002_RL	93	2	0.443
s002_RL	94	1	0.591
s002_RL	95	2	0.409
s002_RL	96	2	0.432
s002_RL	97	1	0.736
s002_RL	98	2	0.321
s002_RL	99	2	0.333
s002_RL	100	1	0.816
s002_RL	101	1	0.515
s002_RL	102	1	0.321
s002_RL	103	2	0.305
s002_RL	104	2	0.626
s002_RL	105	1	0.602
s002_RL	106	1	0.421
s002_RL	107	1	0.288
s002_RL	108	1	0.89
s002_RL	109	2	0.336
s002_RL	110	2	0.334
s002_RL	111	2	0.321
s002_RL	112	2	0.326
s002_RL	113	2	0.233
s002_RL	114	2	0.46
s002_RL	115	1	0.312
s002_RL	116	2	0.323
s002_RL	117	2	0.383
s002_RL	118	2	0.392
s002_RL	119	2	0.509
s002_RL	120	2	0.406
s002_RL	121	1	0.287
s002_RL	122	1	0.539
s002_RL	123	2	0.265
s002_RL	124	2	0.455
s002_RL	125	2	0.559
s002_RL	126	1	0.453
s002_RL	127	1	0.547
s002_RL	128	2	0.796
s002_RL	129	2	0.57
s002_RL	130	2	0.443
s002_RL	131	2	0.45
s002_RL	132	1	0.319
s002_RL	133	2	0.47
s002_RL	134	1	0.366
s002_RL	135	1	0.586
s002_RL	136	2	0.44
s002_RL	137	2	0.493
s002_RL	138	1	0.674
s002_RL	139	2	0.537
s002_RL	140	1	0.466
s002_RL	141	2	0.423
s002_RL	142	2	0.482
s002_RL	143	2	0.579
s002_RL	144	2	0.731
s002_RL	145	1	0.352
s002_RL	146	1	0.842
s002_RL	147	2	0.588
s002_RL	148	2	0.288
s002_RL	149	1	0.311
s002_RL	150	2	0.501
s002_RL	151	1	0.472
s002_RL	152	2	0.341
s002_RL	153	1	0.639
s002_RL	154	2	0.525
s002_RL	155	1	0.602
s002_RL	156	2	0.505
s002_RL	157	2	0.52
s002_RL	158	2	0.409
s002_RL	159	2	0.448
s002_RL	160	2	0.508
s002_RL	161	1	0.512
s002_RL	162	1	0.657
s002_RL	163	2	0.34
s002_RL	164	1	0.699
s002_RL	165	2	0.388
s002_RL	166	2	0.33
s002_RL	167	2	0.77
s002_RL	168	2	0.395
s002_RL	169	1	0.514
s002_RL	170	1	0.432
s002_RL	171	2	0.469
s002_RL	172	2	0.66
s002_RL	173	2	0.352
s002_RL	174	2	0.496
s002_RL	175	2	0.37
s002_RL	176	2	1.059
s002_RL	177	1	0.551
s002_RL	178	2	0.562
s002_RL	179	2	0.476
s002_RL	180	1	0.423
s002_RL	181	2	0.378
s002_RL	182	2	0.296
s002_RL	183	1	0.243
s002_RL	184	1	0.407
s002_RL	185	2	0.32
s002_RL	186	2	0.539
s002_RL	187	1	0.699
s002_RL	188	1	0.384
s002_RL	189	2	0.46
s002_RL	190	2	0.407
s002_RL	191	2	0.75
s002_RL	192	1	0.497
s002_RL	193	2	0.453
s002_RL	194	2	0.491
s002_RL	195	2	0.342
s002_RL	196	2	0.277
s002_RL	197	1	0.408
s002_RL	198	2	0.394
s002_RL	199	2	0.267
s002_RL	200	1	0.227
s003_LR	1	2	1.702
s003_LR	2	2	1.022
s003_LR	3	2	0.897
s003_LR	4	1	1.55
s003_LR	5	2	1.511
s003_LR	6	2	1.571
s003_LR	7	1	1.964
s003_LR	8	1	1.418
s003_LR	9	2	1.82
s003_LR	10	1	1.653
s003_LR	11	2	1.64
s003_LR	12	1	1.244
s003_LR	13	2	1.038
s003_LR	14	1	1.489
s003_LR	15	2	1.521
s003_LR	17	1	1.445
s003_LR	19	1	1.622
s003_LR	20	1	1.018
s003_LR	21	1	0.812
s003_LR	22	1	1.187
s003_LR	23	1	1.545
s003_LR	25	2	1.546
s003_LR	26	2	1.791
s003_LR	27	1	1.107
s003_LR	28	2	1.522
s003_LR	30	2	0.989
s003_LR	31	1	1.717
s003_LR	32	1	1.204
s003_LR	33	2	0.792
s003_LR	34	2	1.01
s003_LR	35	2	1.032
s003_LR	36	1	1.122
s003_LR	37	2	1.208
s003_LR	38	2	1.809
s003_LR	39	1	1.293
s003_LR	40	2	1.366
s003_LR	41	1	1.569
s003_LR	43	2	1.411
s003_LR	44	2	1.544
s003_LR	45	2	1.388
s003_LR	46	1	1.48
s003_LR	48	2	1.223
s003_LR	49	2	1.374
s003_LR	50	1	0.793
s003_LR	51	1	1.854
s003_LR	52	2	1.531
s003_LR	53	2	1.327
s003_LR	54	2	1.67
s003_LR	55	2	1.616
s003_LR	56	2	0.972
s003_LR	57	2	1.028
s003_LR	58	2	1.31
s003_LR	59	2	1.278
s003_LR	60	2	1.04
s003_LR	61	2	1.143
s003_LR	62	2	0.888
s003_LR	63	1	1.606
s003_LR	64	1	1.539
s003_LR	65	2	1.667
s003_LR	66	1	1.258
s003_LR	67	1	0.586
s003_LR	68	2	0.818
s003_LR	69	2	1.152
s003_LR	70	1	1.525
s003_LR	71	2	1.364
s003_LR	72	1	0.715
s003_LR	73	2	0.947
s003_LR	74	2	0.898
s003_LR	75	1	0.93
s003_LR	76	1	0.741
s003_LR	78	2	1.003
s003_LR	79	2	0.849
s003_LR	80	1	1.114
s003_LR	81	1	0.77
s003_LR	82	1	1.029
s003_LR	83	2	0.831
s003_LR	84	2	1.442
s003_LR	85	2	1.007
s003_LR	86	2	1.309
s003_LR	87	2	1.401
s003_LR	88	2	1.883
s003_LR	89	1	1.373
s003_LR	91	2	0.835
s003_LR	92	2	1.393
s003_LR	93	2	1.515
s003_LR	94	1	0.726
s003_LR	95	1	1.055
s003_LR	96	2	1.645
s003_LR	97	2	1.209
s003_LR	98	2	1.36
s003_LR	99	2	1.405
s003_LR	100	2	0.935
s003_LR	102	1	1.502
s003_LR	103	2	0.938
s003_LR	104	2	1.121
s003_LR	105	1	0.782
s003_LR	106	2	1.631
s003_LR	107	2	0.975
s003_LR	108	1	1.223
s003_LR	109	2	0.781
s003_LR	110	2	1.049
s003_LR	111	2	0.722
s003_LR	112	2	1.558
s003_LR	113	1	0.717
s003_LR	114	1	0.979
s003_LR	115	2	1.368
s003_LR	116	2	1.341
s003_LR	117	1	0.666
s003_LR	118	2	1.373
s003_LR	119	2	1.435
s003_LR	120	2	1.14
s003_LR	121	1	1.42
s003_LR	122	1	1.166
s003_LR	123	2	1.04
s003_LR	124	1	1.424
s003_LR	125	2	1.678
s003_LR	126	2	1.003
s003_LR	127	1	1.601
s003_LR	128	2	1.258
s003_LR	129	2	0.368
s003_LR	130	1	1.058
s003_LR	131	2	0.926
s003_LR	132	2	1.273
s003_LR	133	1	1.258
s003_LR	134	2	1.483
s003_LR	135	1	0.437
s003_LR	136	2	0.924
s003_LR	137	1	1.061
s003_LR	138	2	0.859
s003_LR	139	2	1.117
s003_LR	140	2	1.151
s003_LR	141	1	1.162
s003_LR	142	2	1.245
s003_LR	143	2	1.579
s003_LR	144	2	1.417
s003_LR	145	2	1.911
s003_LR	146	2	0.907
s003_LR	147	1	1.049
s003_LR	148	1	1.89
s003_LR	149	2	1.417
s003_LR	150	2	0.793
s003_LR	151	2	0.976
s003_LR	152	2	0.761
s003_LR	153	2	0.976
s003_LR	154	1	1.313
s003_LR	155	2	1.395
s003_LR	156	2	1.149
s003_LR	157	2	0.764
s003_LR	158	1	1.093
s003_LR	159	2	1.703
s003_LR	160	2	1.461
s003_LR	161	1	0.903
s003_LR	162	2	1.598
s003_LR	163	1	1.784
s003_LR	164	2	1.011
s003_LR	165	2	1.168
s003_LR	166	2	1.794
s003_LR	167	2	1.606
s003_LR	168	2	1.814
s003_LR	169	2	1.163
s003_LR	170	2	1.645
s003_LR	171	2	1.028
s003_LR	172	2	1.24
s003_LR	173	2	1.351
s003_LR	174	2	1.3
s003_LR	175	2	1.171
s003_LR	176	1	0.891
s003_LR	177	1	1.178
s003_LR	178	2	0.931
s003_LR	179	2	1.586
s003_LR	180	2	1.034
s003_LR	181	2	1.187
s003_LR	182	2	1.115
s003_LR	183	2	0.487
s003_LR	184	2	0.415
s003_LR	185	2	1.628
s003_LR	186	2	0.526
s003_LR	187	2	0.649
s003_LR	188	2	0.554
s003_LR	189	2	0.144
s003_LR	190	1	0.471
s003_LR	191	2	1.264
s003_LR	192	2	1.127
s003_LR	193	2	0.818
s003_LR	194	2	1.761
s003_LR	195	2	1.052
s003_LR	196	2	0.556
s003_LR	197	1	1.263
s003_LR	198	2	0.923
s003_LR	199	2	1.114
s004_RL	1	2	1.256
s004_RL	2	1	1.088
s004_RL	3	1	0.456
s004_RL	4	2	0.283
s004_RL	5	1	0.383
s004_RL	6	2	0.356
s004_RL	7	2	0.523
s004_RL	8	1	0.547
s004_RL	9	2	0.344
s004_RL	10	1	0.52
s004_RL	11	1	0.317
s004_RL	12	2	0.643
s004_RL	13	2	0.317
s004_RL	14	2	0.319
s004_RL	15	2	0.311
s004_RL	16	2	0.419
s004_RL	17	2	0.316
s004_RL	18	1	0.565
s004_RL	19	2	0.371
s004_RL	20	2	0.319
s004_RL	21	2	0.407
s004_RL	22	2	0.403
s004_RL	23	1	0.289
s004_RL	24	2	0.564
s004_RL	25	2	0.349
s004_RL	26	1	0.387
s004_RL	27	1	0.388
s004_RL	28	1	0.415
s004_RL	29	1	0.485
s004_RL	30	1	0.396
s004_RL	31	1	0.343
s004_RL	32	2	0.341
s004_RL	33	2	1.142
s004_RL	34	2	0.36
s004_RL	35	2	0.474
s004_RL	36	2	0.45
s004_RL	37	1	0.601
s004_RL	38	2	1.335
s004_RL	39	2	0.508
s004_RL	40	2	0.8
s004_RL	41	2	0.724
s004_RL	42	1	0.672
s004_RL	43	1	0.669
s004_RL	44	1	0.502
s004_RL	45	2	0.435
s004_RL	46	1	0.4
s004_RL	47	2	0.623
s004_RL	48	2	1.164
s004_RL	49	2	0.589
s004_RL	50	1	0.469
s004_RL	51	2	0.536
s004_RL	52	1	0.414
s004_RL	53	2	0.401
s004_RL	54	1	0.622
s004_RL	55	2	0.224
s004_RL	56	1	0.271
s004_RL	57	1	0.648
s004_RL	58	1	1.926
s004_RL	59	1	0.4
s004_RL	60	2	1.18
s004_RL	61	2	0.652
s004_RL	62	1	0.816
s004_RL	64	2	0.366
s004_RL	65	2	0.863
s004_RL	66	1	0.703
s004_RL	67	1	0.887
s004_RL	68	2	0.331
s004_RL	69	2	0.475
s004_RL	71	1	0.459
s004_RL	72	2	0.34
s004_RL	73	2	0.337
s004_RL	74	2	0.386
s004_RL	75	2	0.609
s004_RL	76	1	0.602
s004_RL	77	2	0.474
s004_RL	78	1	0.731
s004_RL	79	1	0.416
s004_RL	80	2	0.475
s004_RL	81	1	0.461
s004_RL	82	2	0.634
s004_RL	83	1	1.101
s004_RL	84	2	1.773
s004_RL	85	2	1.508
s004_RL	86	2	1.01
s004_RL	87	2	0.65
s004_RL	88	1	1.19
s004_RL	89	2	0.539
s004_RL	90	1	0.925
s004_RL	91	2	0.945
s004_RL	92	2	0.598
s004_RL	93	2	1.089
s004_RL	94	2	0.813
s004_RL	95	1	0.538
s004_RL	96	1	0.34
s004_RL	97	2	0.325
s004_RL	98	2	0.457
s004_RL	99	2	0.316
s004_RL	100	2	0.261
s004_RL	101	2	0.318
s004_RL	102	1	0.6
s004_RL	103	1	0.42
s004_RL	104	2	0.478
s004_RL	105	1	0.428
s004_RL	106	1	0.359
s004_RL	107	2	0.665
s004_RL	108	2	0.344
s004_RL	110	2	0.413
s004_RL	111	1	0.423
s004_RL	112	2	0.455
s004_RL	113	2	0.309
s004_RL	114	2	0.315
s004_RL	115	2	0.288
s004_RL	116	2	1.65
s004_RL	117	1	0.291
s004_RL	118	2	0.271
s004_RL	119	2	0.25
s004_RL	120	2	0.218
s004_RL	121	1	0.265
s004_RL	122	1	0.398
s004_RL	123	1	0.334
s004_RL	124	2	0.368
s004_RL	125	1	0.442
s004_RL	126	1	0.763
s004_RL	127	2	0.407
s004_RL	128	2	0.732
s004_RL	129	2	0.173
s004_RL	131	2	0.279
s004_RL	132	2	0.262
s004_RL	133	2	0.431
s004_RL	134	2	0.86
s004_RL	135	2	0.325
s004_RL	136	2	0.545
s004_RL	137	2	0.69
s004_RL	138	1	0.676
s004_RL	139	1	0.53
s004_RL	140	1	0.512
s004_RL	141	2	0.499
s004_RL	142	2	1.562
s004_RL	143	2	0.562
s004_RL	144	2	0.464
s004_RL	145	2	0.356
s004_RL	146	1	0.791
s004_RL	147	1	0.668
s004_RL	148	1	0.439
s004_RL	149	2	0.881
s004_RL	150	2	0.314
s004_RL	151	1	0.656
s004_RL	152	2	0.375
s004_RL	153	2	0.369
s004_RL	154	2	0.391
s004_RL	155	1	0.603
s004_RL	156	2	0.493
s004_RL	157	2	0.369
s004_RL	158	2	1.126
s004_RL	159	2	0.465
s004_RL	160	2	0.675
s004_RL	161	2	0.788
s004_RL	162	2	0.811
s004_RL	163	1	1.072
s004_RL	164	2	0.469
s004_RL	165	2	0.278
s004_RL	166	2	0.445
s004_RL	167	2	0.317
s004_RL	168	2	0.338
s004_RL	169	1	0.377
s004_RL	170	2	0.429
s004_RL	171	1	0.658
s004_RL	172	2	0.344
s004_RL	173	2	0.404
s004_RL	174	1	0.574
s004_RL	175	1	0.452
s004_RL	176	2	0.472
s004_RL	177	2	0.322
s004_RL	178	1	0.722
s004_RL	179	2	0.458
s004_RL	180	2	0.353
s004_RL	181	1	0.281
s004_RL	182	1	0.436
s004_RL	183	2	0.329
s004_RL	184	2	0.409
s004_RL	185	2	0.312
s004_RL	186	1	0.367
s004_RL	187	2	0.36
s004_RL	188	2	0.43
s004_RL	189	1	0.32
s004_RL	191	2	0.331
s004_RL	192	1	0.331
s004_RL	193	2	0.387
s004_RL	194	2	0.316
s004_RL	195	2	0.322
s004_RL	196	2	0.359
s004_RL	197	1	0.301
s004_RL	198	2	0.31
s004_RL	199	1	0.393
s004_RL	200	2	0.429
s006_RL	1	1	1.543
s006_RL	2	2	0.171
s006_RL	3	2	1.416
s006_RL	6	2	0.49
s006_RL	8	1	0.27
s006_RL	9	2	0.658
s006_RL	10	2	0.614
s006_RL	11	2	0.381
s006_RL	12	1	0.707
s006_RL	13	1	0.535
s006_RL	14	2	0.347
s006_RL	15	2	0.793
s006_RL	16	2	0.914
s006_RL	17	1	0.969
s006_RL	18	2	0.637
s006_RL	19	2	0.974
s006_RL	20	2	1.002
s006_RL	21	1	1.733
s006_RL	23	1	0.561
s006_RL	24	1	0.387
s006_RL	25	1	0.613
s006_RL	26	1	0.716
s006_RL	27	2	0.664
s006_RL	28	1	0.32
s006_RL	29	2	0.356
s006_RL	30	1	0.437
s006_RL	31	2	0.576
s006_RL	32	1	0.993
s006_RL	33	1	0.683
s006_RL	34	1	0.738
s006_RL	35	2	0.552
s006_RL	36	2	0.48
s006_RL	37	2	0.579
s006_RL	38	2	0.409
s006_RL	40	1	0.48
s006_RL	41	1	0.304
s006_RL	42	1	0.395
s006_RL	43	2	0.658
s006_RL	44	2	0.283
s006_RL	45	2	0.532
s006_RL	46	1	0.792
s006_RL	47	2	0.574
s006_RL	48	2	0.329
s006_RL	49	2	0.565
s006_RL	51	1	0.328
s006_RL	52	2	0.447
s006_RL	53	2	0.105
s006_RL	54	2	0.395
s006_RL	55	1	0.832
s006_RL	56	2	0.33
s006_RL	57	1	0.297
s006_RL	58	2	0.587
s006_RL	59	1	0.431
s006_RL	60	2	0.276
s006_RL	61	2	0.902
s006_RL	62	2	0.978
s006_RL	63	1	1.543
s006_RL	64	1	0.353
s006_RL	65	2	0.486
s006_RL	66	1	0.382
s006_RL	67	2	0.565
s006_RL	68	2	0.672
s006_RL	69	1	1.959
s006_RL	70	2	0.793
s006_RL	71	2	0.628
s006_RL	72	1	0.769
s006_RL	73	2	0.85
s006_RL	74	2	0.422
s006_RL	75	1	1.234
s006_RL	76	2	0.608
s006_RL	77	1	0.46
s006_RL	78	2	1.027
s006_RL	79	2	0.989
s006_RL	80	2	1.505
s006_RL	81	2	0.452
s006_RL	83	1	0.612
s006_RL	85	1	0.357
s006_RL	86	2	0.385
s006_RL	87	2	0.553
s006_RL	89	2	0.418
s006_RL	90	2	0.299
s006_RL	91	2	0.283
s006_RL	92	2	0.599
s006_RL	93	2	0.299
s006_RL	94	2	0.343
s006_RL	95	2	0.325
s006_RL	97	2	0.503
s006_RL	98	1	0.85
s006_RL	99	2	0.124
s006_RL	100	2	0.303
s006_RL	101	2	0.487
s006_RL	102	1	0.509
s006_RL	103	2	0.238
s006_RL	104	2	0.169
s006_RL	105	1	0.408
s006_RL	106	2	0.287
s006_RL	107	1	0.428
s006_RL	108	2	0.326
