block	trial	Vstim	Astim	match	resp	result	RT	fb	V-file	A-file
LR

1	1	1	1	1	2	1	1738	1	Ⴂ	DEU_p.wav
1	2	1	3	0	1	1	935	1	Ⴂ	DEU_f.wav
1	3	2	2	1	2	1	1493	1	Ⴁ	DEU_u_short_1.wav
1	4	2	1	0	2	0	1320	0	Ⴁ	DEU_p.wav
1	5	3	3	1	1	0	1398	0	Ⴜ	DEU_f.wav
1	6	3	2	0	2	0	1251	0	Ⴜ	DEU_u_short_1.wav
1	7	1	1	1	1	0	1154	0	Ⴂ	DEU_p.wav
1	8	1	3	0	1	1	1672	1	Ⴂ	DEU_f.wav
1	9	2	2	1	1	0	1210	0	Ⴁ	DEU_u_short_1.wav
1	10	2	1	0	0	0	0	0	Ⴁ	DEU_p.wav
1	11	3	3	1	2	1	1276	1	Ⴜ	DEU_f.wav
1	12	3	2	0	2	0	1329	0	Ⴜ	DEU_u_short_1.wav
1	13	1	1	1	2	1	1782	1	Ⴂ	DEU_p.wav
1	14	1	3	0	1	1	1932	1	Ⴂ	DEU_f.wav
1	15	2	2	1	2	1	1452	1	Ⴁ	DEU_u_short_1.wav
1	16	2	1	0	1	1	1634	1	Ⴁ	DEU_p.wav
1	17	3	3	1	2	1	1103	1	Ⴜ	DEU_f.wav
1	18	3	2	0	1	1	1121	1	Ⴜ	DEU_u_short_1.wav
1	19	1	1	1	2	1	1377	1	Ⴂ	DEU_p.wav
1	20	1	3	0	1	1	917	1	Ⴂ	DEU_f.wav
1	21	2	2	1	1	0	1165	0	Ⴁ	DEU_u_short_1.wav
1	22	2	1	0	1	1	1560	1	Ⴁ	DEU_p.wav
1	23	3	3	1	2	1	1778	1	Ⴜ	DEU_f.wav
1	24	3	2	0	2	0	1418	0	Ⴜ	DEU_u_short_1.wav
1	25	1	1	1	2	1	1428	1	Ⴂ	DEU_p.wav
1	26	1	3	0	1	1	768	1	Ⴂ	DEU_f.wav
1	27	2	2	1	2	1	1351	1	Ⴁ	DEU_u_short_1.wav
1	28	2	1	0	1	1	841	1	Ⴁ	DEU_p.wav
1	29	3	3	1	2	1	1496	1	Ⴜ	DEU_f.wav
1	30	3	2	0	1	1	1044	1	Ⴜ	DEU_u_short_1.wav
1	31	1	1	1	2	1	1017	1	Ⴂ	DEU_p.wav
1	32	1	3	0	1	1	1227	1	Ⴂ	DEU_f.wav
1	33	2	2	1	2	1	1187	1	Ⴁ	DEU_u_short_1.wav
1	34	2	1	0	0	0	0	0	Ⴁ	DEU_p.wav
1	35	3	3	1	2	1	1048	1	Ⴜ	DEU_f.wav
1	36	3	2	0	1	1	1199	1	Ⴜ	DEU_u_short_1.wav
1	37	1	1	1	2	1	1154	1	Ⴂ	DEU_p.wav
1	38	1	3	0	1	1	750	1	Ⴂ	DEU_f.wav
1	39	2	2	1	2	1	1229	1	Ⴁ	DEU_u_short_1.wav
1	40	2	1	0	2	0	1263	0	Ⴁ	DEU_p.wav
1	41	3	3	1	2	1	1766	1	Ⴜ	DEU_f.wav
1	42	3	2	0	2	0	1340	0	Ⴜ	DEU_u_short_1.wav
1	43	1	1	1	2	1	1462	1	Ⴂ	DEU_p.wav
1	44	1	3	0	1	1	819	1	Ⴂ	DEU_f.wav
1	45	2	2	1	2	1	1438	1	Ⴁ	DEU_u_short_1.wav
1	46	2	1	0	0	0	0	0	Ⴁ	DEU_p.wav
