block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block4	LR

4	1	2	2	1	1	851	1	3162	1654	ჰ	norm_ü.wav	8204	9055	11887
4	2	3	2	0	2	990	1	3788	940	ლ	norm_ü.wav	17719	18709	20702
4	3	2	2	1	1	794	1	2097	2009	ჰ	norm_ü.wav	24828	25622	28882
4	4	1	3	0	1	1329	0	2872	1143	ჟ	norm_m.wav	33817	35146	36994
4	5	1	3	0	2	909	1	2863	1262	ჟ	norm_m.wav	41897	42806	45202
4	6	1	3	0	2	1712	1	3440	2176	ჟ	norm_m.wav	50687	52399	54899
4	7	3	3	1	1	732	1	2301	1433	ლ	norm_m.wav	59237	59969	62707
4	8	1	1	1	2	1444	0	2398	1726	ჟ	norm_l.wav	67138	68582	70893
4	9	2	1	0	2	1006	1	2369	1412	ჰ	norm_l.wav	75305	76311	78757
4	10	1	1	1	1	767	1	3569	1353	ჟ	norm_l.wav	84363	85130	87747
4	11	1	1	0	1	770	1	3043	1388	ჟ	norm_l.wav	92833	93603	96262
4	12	3	3	1	1	1409	1	3164	1101	ლ	norm_m.wav	101469	102878	104615
4	13	3	3	0	1	705	1	2769	1483	ლ	norm_m.wav	109412	110117	112926
4	14	3	2	0	2	1043	1	2685	1490	ლ	norm_ü.wav	117648	118691	121182
4	15	1	3	0	2	1809	1	2760	1076	ჟ	norm_m.wav	125972	127781	129088
4	16	2	1	0	2	1061	1	2548	1931	ჰ	norm_l.wav	133671	134732	137641
4	17	3	3	1	1	1796	1	3374	775	ლ	norm_m.wav	143048	144844	145854
4	18	3	3	0	1	838	1	3929	871	ლ	norm_m.wav	151817	152655	154732
4	19	2	2	1	2	1268	0	4089	1205	ჰ	norm_ü.wav	160866	162134	164115
4	20	2	2	0	1	538	1	3282	2163	ჰ	norm_ü.wav	169428	169966	173624
4	21	2	1	0	2	902	1	3082	1696	ჰ	norm_l.wav	178739	179641	182473
4	22	2	1	0	2	969	1	2698	535	ჰ	norm_l.wav	187208	188177	189774
4	23	3	3	1	1	1044	1	2608	1435	ლ	norm_m.wav	194425	195469	197892
4	24	1	1	1	0	0	2	2873	1667	ჟ	norm_l.wav	202797	0	206498
4	25	1	1	0	1	660	1	3332	1896	ჟ	norm_l.wav	211860	212520	215793
4	26	1	3	0	2	1486	1	3052	834	ჟ	norm_m.wav	220878	222364	223745
4	27	2	2	1	1	1001	1	2990	2328	ჰ	norm_ü.wav	228763	229764	233132
4	28	1	1	1	1	1569	1	2720	1592	ჟ	norm_l.wav	237898	239467	241534
4	29	2	1	0	2	798	1	3057	1067	ჰ	norm_l.wav	246626	247424	249738
4	30	2	1	0	2	777	1	2286	1760	ჰ	norm_l.wav	254068	254845	257862
