block	trial	vStim	aStim	match	resp	rt	fb	iti	feedJitter	vFile	aFile	stimOnset	respOnset	feedbackOnset
Block2	LR

2	1	3	3	1	1	1304	1	3282	1592	Ⴐ	norm_au.wav	8326	9630	11951
2	2	4	4	1	1	1022	1	2760	1896	ծ	norm_g.wav	16746	17768	20682
2	3	3	3	1	2	1294	0	2720	1726	Ⴐ	norm_au.wav	25435	26729	29205
2	4	2	2	1	1	977	1	3332	1076	Ⴇ	norm_r.wav	34598	35575	37711
2	5	4	4	1	1	825	1	3269	1760	ծ	norm_g.wav	43015	43840	46804
2	6	3	4	0	2	1037	1	3043	1412	Ⴐ	norm_g.wav	51892	52929	55345
2	7	4	3	0	2	926	1	1752	1931	ծ	norm_au.wav	59134	60060	63100
2	8	3	4	0	1	845	0	2301	1388	Ⴐ	norm_g.wav	67434	68279	70859
2	9	4	3	0	2	881	1	3374	1483	ծ	norm_au.wav	76276	77157	79790
2	10	2	2	1	1	1079	1	2097	1205	Ⴇ	norm_r.wav	83924	85003	87174
2	11	3	4	0	2	986	1	2608	1262	Ⴐ	norm_g.wav	91812	92798	95107
2	12	2	2	1	1	1004	1	2698	535	Ⴇ	norm_r.wav	99849	100853	102415
2	13	1	2	0	2	1110	1	2398	2328	Ⴒ	norm_r.wav	106856	107966	111213
2	14	3	3	1	1	1275	1	2869	1667	Ⴐ	norm_au.wav	116127	117402	119832
2	15	2	1	0	2	1063	1	2863	834	Ⴇ	norm_i.wav	124726	125789	127603
2	16	1	1	1	1	1056	1	2990	775	Ⴒ	norm_i.wav	132622	133678	135438
2	17	4	4	1	1	882	1	2548	2163	ծ	norm_g.wav	140020	140902	144221
2	18	2	1	0	2	1449	1	2286	2009	Ⴇ	norm_i.wav	148540	149989	152583
2	19	1	2	0	2	1319	1	3164	940	Ⴒ	norm_r.wav	157791	159110	160776
2	20	2	2	1	1	1485	1	3052	1696	Ⴇ	norm_r.wav	165857	167342	169586
2	21	4	3	0	2	889	1	2685	1143	ծ	norm_au.wav	174308	175197	177495
2	22	1	2	0	2	1428	1	4089	1769	Ⴒ	norm_r.wav	183623	185051	187437
2	23	4	4	1	1	1460	1	2873	1369	ծ	norm_g.wav	192345	193805	195748
2	24	1	1	1	1	1431	1	3929	1067	Ⴒ	norm_i.wav	201721	203152	204833
2	25	4	3	0	2	1125	1	3057	1433	ծ	norm_au.wav	209934	211059	213412
2	26	1	1	1	1	834	1	3162	871	Ⴒ	norm_i.wav	218608	219442	221508
2	27	2	1	0	2	871	1	3082	1353	Ⴇ	norm_i.wav	226634	227505	230025
2	28	1	2	0	2	1033	1	3440	1490	Ⴒ	norm_r.wav	235508	236541	239034
2	29	3	3	1	1	1748	1	3221	1101	Ⴐ	norm_au.wav	244285	246033	247427
2	30	1	1	1	1	1021	1	3788	2176	Ⴒ	norm_i.wav	253243	254264	257462
2	31	3	4	0	2	1656	1	2872	1435	Ⴐ	norm_g.wav	262371	264027	265841
2	32	2	1	0	2	910	1	3569	1654	Ⴇ	norm_i.wav	271442	272352	275127
