subj_idx,block,trial,Vstim,Astim,match,response,result,rt,fb,V-file,A-file
1,1,2,2,1,0,1,1,0.923,1,<U+10A2>,DEU_p.wav
1,1,3,3,3,1,1,0,0.949,0,<U+10BC>,DEU_n.wav
1,1,4,1,1,1,1,0,1.284,0,<U+10A1>,DEU_p.wav
1,1,5,2,2,1,1,0,0.806,0,<U+10A2>,DEU_u_short_1.wav
1,1,6,1,3,0,2,0,1.661,0,<U+10A1>,DEU_n.wav
1,1,7,2,1,0,1,1,0.867,1,<U+10A2>,DEU_p.wav
1,1,8,3,2,0,1,1,0.966,1,<U+10BC>,DEU_u_short_1.wav
1,1,9,1,1,1,2,1,1.451,1,<U+10A1>,DEU_p.wav
1,1,10,3,3,1,1,0,0.979,0,<U+10BC>,DEU_n.wav
1,1,11,2,2,1,2,1,0.955,1,<U+10A2>,DEU_u_short_1.wav
1,1,12,1,1,1,2,1,1.265,1,<U+10A1>,DEU_p.wav
1,1,13,2,2,1,2,1,1.123,1,<U+10A2>,DEU_u_short_1.wav
1,1,14,3,3,1,1,0,1.614,0,<U+10BC>,DEU_n.wav
1,1,15,2,2,1,2,1,1.072,1,<U+10A2>,DEU_u_short_1.wav
1,1,16,3,2,0,1,1,0.64,1,<U+10BC>,DEU_u_short_1.wav
1,1,17,2,2,1,2,1,0.927,1,<U+10A2>,DEU_u_short_1.wav
1,1,18,3,3,1,2,1,0.952,1,<U+10BC>,DEU_n.wav
1,1,19,1,3,0,1,1,1.266,1,<U+10A1>,DEU_n.wav
1,1,20,2,1,0,1,1,0.879,1,<U+10A2>,DEU_p.wav
1,1,21,3,2,0,1,1,1.038,1,<U+10BC>,DEU_u_short_1.wav
1,1,22,1,1,1,2,1,1.104,1,<U+10A1>,DEU_p.wav
1,1,23,3,2,0,2,0,0.782,0,<U+10BC>,DEU_u_short_1.wav
1,1,24,2,1,0,1,1,0.821,1,<U+10A2>,DEU_p.wav
1,1,25,1,1,1,2,1,1.025,1,<U+10A1>,DEU_p.wav
1,1,26,3,3,1,1,0,1.406,0,<U+10BC>,DEU_n.wav
1,1,27,1,3,0,1,1,1.593,1,<U+10A1>,DEU_n.wav
1,1,28,3,2,0,1,1,0.915,1,<U+10BC>,DEU_u_short_1.wav
1,1,29,1,3,0,1,1,1.403,1,<U+10A1>,DEU_n.wav
1,1,30,2,1,0,1,1,0.862,1,<U+10A2>,DEU_p.wav
1,2,1,1,1,1,1,0,1.17,0,<U+10A3>,DEU_f.wav
1,2,2,2,1,0,1,1,0.783,1,<U+10C1>,DEU_f.wav
1,2,3,3,2,0,1,1,1.01,1,<U+10BF>,DEU_e_1.wav
1,2,4,1,3,0,1,1,0.964,1,<U+10A3>,DEU_i_1.wav
1,2,5,3,3,1,2,1,1.95,1,<U+10BF>,DEU_i_1.wav
1,2,6,2,1,0,1,1,0.66,1,<U+10C1>,DEU_f.wav
1,2,7,1,3,0,2,0,1.448,0,<U+10A3>,DEU_i_1.wav
1,2,8,3,2,0,1,1,1.194,1,<U+10BF>,DEU_e_1.wav
1,2,9,2,2,1,2,1,0.928,1,<U+10C1>,DEU_e_1.wav
1,2,10,3,3,1,2,1,0.88,1,<U+10BF>,DEU_i_1.wav
1,2,11,2,2,1,2,1,0.888,1,<U+10C1>,DEU_e_1.wav
1,2,12,1,1,1,2,1,1.188,1,<U+10A3>,DEU_f.wav
1,2,14,1,1,1,2,1,0.9,1,<U+10A3>,DEU_f.wav
1,2,15,3,2,0,1,1,0.682,1,<U+10BF>,DEU_e_1.wav
1,2,16,2,1,0,1,1,0.702,1,<U+10C1>,DEU_f.wav
1,2,17,3,3,1,2,1,1.211,1,<U+10BF>,DEU_i_1.wav
1,2,18,1,3,0,1,1,0.877,1,<U+10A3>,DEU_i_1.wav
1,2,19,2,2,1,2,1,0.793,1,<U+10C1>,DEU_e_1.wav
1,2,20,3,3,1,2,1,1.206,1,<U+10BF>,DEU_i_1.wav
1,2,21,2,1,0,1,1,1.448,1,<U+10C1>,DEU_f.wav
1,2,22,1,3,0,1,1,1.045,1,<U+10A3>,DEU_i_1.wav
1,2,23,3,3,1,2,1,0.949,1,<U+10BF>,DEU_i_1.wav
1,2,24,2,2,1,2,1,1.065,1,<U+10C1>,DEU_e_1.wav
1,2,25,3,2,0,1,1,0.952,1,<U+10BF>,DEU_e_1.wav
1,2,26,1,3,0,1,1,0.881,1,<U+10A3>,DEU_i_1.wav
1,2,27,2,2,1,2,1,0.859,1,<U+10C1>,DEU_e_1.wav
1,2,28,1,1,1,2,1,0.94,1,<U+10A3>,DEU_f.wav
1,2,29,2,1,0,1,1,1.123,1,<U+10C1>,DEU_f.wav
1,2,30,1,1,1,2,1,0.93,1,<U+10A3>,DEU_f.wav
1,3,2,2,1,0,1,1,0.901,1,<U+10C2>,DEU_g.wav
1,3,3,1,1,1,2,1,1.032,1,<U+10A7>,DEU_g.wav
1,3,4,2,1,0,1,1,0.98,1,<U+10C2>,DEU_g.wav
1,3,5,3,3,1,1,0,1.711,0,<U+10AA>,DEU_l_1.wav
1,3,6,1,1,1,2,1,1.063,1,<U+10A7>,DEU_g.wav
1,3,8,2,1,0,1,1,0.852,1,<U+10C2>,DEU_g.wav
1,3,9,3,3,1,1,0,0.879,0,<U+10AA>,DEU_l_1.wav
1,3,10,2,1,0,1,1,0.726,1,<U+10C2>,DEU_g.wav
1,3,11,3,2,0,1,1,1.25,1,<U+10AA>,DEU_r_1.wav
1,3,12,1,3,0,1,1,1.121,1,<U+10A7>,DEU_l_1.wav
1,3,13,2,2,1,2,1,1.003,1,<U+10C2>,DEU_r_1.wav
1,3,14,3,3,1,2,1,1.153,1,<U+10AA>,DEU_l_1.wav
1,3,15,2,2,1,2,1,1.155,1,<U+10C2>,DEU_r_1.wav
1,3,16,3,3,1,2,1,1.185,1,<U+10AA>,DEU_l_1.wav
1,3,17,1,3,0,2,0,1.066,0,<U+10A7>,DEU_l_1.wav
1,3,18,3,2,0,1,1,1.113,1,<U+10AA>,DEU_r_1.wav
1,3,19,1,3,0,1,1,0.987,1,<U+10A7>,DEU_l_1.wav
1,3,20,3,2,0,1,1,0.892,1,<U+10AA>,DEU_r_1.wav
1,3,21,1,3,0,1,1,0.796,1,<U+10A7>,DEU_l_1.wav
1,3,22,2,1,0,1,1,0.795,1,<U+10C2>,DEU_g.wav
1,3,23,1,1,1,2,1,0.803,1,<U+10A7>,DEU_g.wav
1,3,24,3,2,0,1,1,1.023,1,<U+10AA>,DEU_r_1.wav
1,3,25,2,2,1,2,1,0.942,1,<U+10C2>,DEU_r_1.wav
1,3,26,1,3,0,1,1,0.77,1,<U+10A7>,DEU_l_1.wav
1,3,27,2,2,1,2,1,1.469,1,<U+10C2>,DEU_r_1.wav
1,3,28,1,1,1,2,1,1.727,1,<U+10A7>,DEU_g.wav
1,3,29,2,2,1,2,1,0.927,1,<U+10C2>,DEU_r_1.wav
1,3,30,1,1,1,2,1,1.154,1,<U+10A7>,DEU_g.wav
1,4,1,2,2,1,1,0,1.226,0,<U+10AB>,DEU_h.wav
1,4,2,3,2,0,1,1,0.919,1,<U+10BE>,DEU_h.wav
1,4,3,2,2,1,2,1,1.176,1,<U+10AB>,DEU_h.wav
1,4,4,1,3,0,1,1,1.134,1,<U+10C5>,DEU_s_1.wav
1,4,5,3,3,1,2,1,0.852,1,<U+10BE>,DEU_s_1.wav
1,4,6,2,2,1,2,1,0.766,1,<U+10AB>,DEU_h.wav
1,4,7,1,3,0,1,1,0.864,1,<U+10C5>,DEU_s_1.wav
1,4,8,2,1,0,1,1,1.154,1,<U+10AB>,DEU_a_short.wav
1,4,9,3,2,0,1,1,0.793,1,<U+10BE>,DEU_h.wav
1,4,10,1,1,1,2,1,0.739,1,<U+10C5>,DEU_a_short.wav
1,4,11,3,3,1,2,1,1.286,1,<U+10BE>,DEU_s_1.wav
1,4,12,1,3,0,1,1,0.733,1,<U+10C5>,DEU_s_1.wav
1,4,13,2,1,0,1,1,1.263,1,<U+10AB>,DEU_a_short.wav
1,4,14,1,3,0,1,1,0.579,1,<U+10C5>,DEU_s_1.wav
1,4,15,3,2,0,1,1,0.897,1,<U+10BE>,DEU_h.wav
1,4,16,1,1,1,2,1,0.868,1,<U+10C5>,DEU_a_short.wav
1,4,17,3,3,1,2,1,0.904,1,<U+10BE>,DEU_s_1.wav
1,4,18,2,2,1,2,1,0.915,1,<U+10AB>,DEU_h.wav
1,4,19,1,1,1,2,1,0.873,1,<U+10C5>,DEU_a_short.wav
1,4,20,2,1,0,1,1,1.139,1,<U+10AB>,DEU_a_short.wav
1,4,21,3,2,0,1,1,1.209,1,<U+10BE>,DEU_h.wav
1,4,22,2,2,1,2,1,0.98,1,<U+10AB>,DEU_h.wav
1,4,23,3,2,0,1,1,0.808,1,<U+10BE>,DEU_h.wav
1,4,24,1,1,1,2,1,0.933,1,<U+10C5>,DEU_a_short.wav
1,4,25,3,3,1,2,1,0.835,1,<U+10BE>,DEU_s_1.wav
1,4,26,2,1,0,1,1,0.95,1,<U+10AB>,DEU_a_short.wav
1,4,27,1,3,0,1,1,0.936,1,<U+10C5>,DEU_s_1.wav
1,4,28,3,3,1,2,1,1.477,1,<U+10BE>,DEU_s_1.wav
1,4,29,1,1,1,2,1,0.761,1,<U+10C5>,DEU_a_short.wav
1,4,30,2,1,0,1,1,0.983,1,<U+10AB>,DEU_a_short.wav
2,1,1,2,1,0,2,0,0.929,0,<U+10A2>,DEU_u_short_1.wav
