subjID,block,trial,vStim,aStim,match,choice,rt,fb,iti,feedJitter,vFile,aFile,stimOnset,choice,feedbackOnset
5,2,1,2,2,1,2,899,1,3269,1726,<U+056E>,norm_r.wav,8309,9208,12063
5,2,2,3,4,0,1,1078,1,2872,1101,<U+10A7>,norm_au.wav,16978,18056,20114
5,2,3,2,1,0,1,887,1,4089,1592,<U+056E>,norm_g.wav,26231,27118,29867
5,2,4,4,3,0,1,1112,1,2097,1483,<U+10B0>,norm_i.wav,33999,35111,37527
5,2,5,3,3,1,2,1033,1,2698,940,<U+10A7>,norm_i.wav,42262,43295,45233
5,2,6,4,4,1,2,1270,1,3052,834,<U+10B0>,norm_au.wav,50314,51584,53181
5,2,7,2,2,1,2,853,1,2548,1760,<U+056E>,norm_r.wav,57757,58610,61556
5,2,8,3,3,1,1,1224,0,2608,1205,<U+10A7>,norm_i.wav,66208,67432,69445
5,2,9,1,1,1,2,1239,1,2286,871,<U+10B2>,norm_g.wav,73762,75001,76667
5,2,10,3,4,0,1,1292,1,3282,1769,<U+10A7>,norm_au.wav,81993,83285,85796
5,2,11,1,2,0,1,1397,1,2720,1353,<U+10B2>,norm_r.wav,90551,91948,93949
5,2,12,2,2,1,2,810,1,3440,1388,<U+056E>,norm_r.wav,99431,100241,102855
5,2,13,3,4,0,1,1254,1,1752,1412,<U+10A7>,norm_au.wav,106650,107904,110097
5,2,14,1,1,1,2,1118,1,2873,1490,<U+10B2>,norm_g.wav,115007,116125,118531
5,2,15,4,4,1,2,1566,1,2685,2009,<U+10B0>,norm_au.wav,123246,124812,127299
5,2,16,2,1,0,1,906,1,3043,535,<U+056E>,norm_g.wav,132386,133292,134962
5,2,17,4,3,0,1,1369,1,3788,1067,<U+10B0>,norm_i.wav,140793,142162,143903
5,2,18,1,1,1,2,914,1,2869,2163,<U+10B2>,norm_g.wav,148817,149731,153017
5,2,19,2,1,0,1,870,1,2760,1262,<U+056E>,norm_g.wav,157810,158680,161112
5,2,20,4,4,1,2,1268,1,3057,1931,<U+10B0>,norm_au.wav,166214,167482,170190
5,2,21,3,4,0,1,1152,1,3929,1143,<U+10A7>,norm_au.wav,176152,177304,179340
5,2,22,2,2,1,2,926,1,2301,1654,<U+056E>,norm_r.wav,183680,184606,187371
5,2,23,4,3,0,1,1275,1,2990,1435,<U+10B0>,norm_i.wav,192405,193680,195881
5,2,24,1,2,0,1,1148,1,3332,2176,<U+10B2>,norm_r.wav,201244,202392,205457
5,2,25,3,3,1,2,1251,1,2863,1667,<U+10A7>,norm_i.wav,210358,211609,214068
5,2,26,1,2,0,1,1106,1,3569,2328,<U+10B2>,norm_r.wav,219668,220774,224027
5,2,27,4,3,0,1,1314,1,3164,1433,<U+10B0>,norm_i.wav,229237,230551,232715
5,2,28,2,1,0,1,1551,1,3162,1696,<U+056E>,norm_g.wav,237910,239461,241635
5,2,29,1,2,0,1,1082,1,3221,775,<U+10B2>,norm_r.wav,246894,247976,249710
5,2,30,4,4,1,2,1062,1,3082,1896,<U+10B0>,norm_au.wav,254826,255888,258760
5,2,31,3,3,1,2,1370,1,2398,1076,<U+10A7>,norm_i.wav,263191,264561,266296
5,2,32,1,1,1,2,966,1,3374,1369,<U+10B2>,norm_g.wav,271705,272671,275104
5,3,1,1,1,1,2,1238,1,3788,1412,<U+1209>,norm_m.wav,8832,10070,12288
5,3,2,3,4,0,2,1489,0,3332,1435,<U+1206>,norm_äu.wav,17657,19146,21129
5,3,3,1,1,1,2,908,1,2760,2163,<U+1209>,norm_m.wav,25920,26828,30123
5,3,4,2,1,0,1,916,1,3569,871,<U+0583>,norm_m.wav,35725,36641,38627
