subjID	choice	RT
1	1	1.549
1	1	1.068
1	1	1.117
1	2	0.946
1	1	1.039
1	1	1.063
1	1	1.176
1	1	1.758
1	2	1.344
1	1	1.014
1	1	1.127
1	1	0.779
1	2	1.102
1	1	0.855
1	2	0.833
1	1	1.278
1	1	1.258
1	1	1.13
1	2	1.144
1	2	0.907
1	1	1.096
1	1	0.939
1	1	0.923
1	1	1.227
1	1	1.174
1	2	0.78
1	1	1.115
1	2	1.375
1	2	1.264
1	1	1.249
1	2	0.73
1	1	1.367
1	1	1.489
1	1	1.063
1	1	1.595
1	1	1.521
1	2	0.947
1	1	1.402
1	2	1.833
1	1	0.816
1	1	1.784
1	1	1.94
1	2	0.768
1	1	1.552
1	1	1.196
1	1	0.969
1	1	1.153
1	1	1.037
1	2	1.185
1	1	1.528
1	1	1.625
1	1	1.013
1	1	0.89
1	1	0.743
1	1	0.718
1	1	1.068
1	2	1.726
1	2	1.442
1	2	1.182
1	2	1.087
1	2	1.08
1	2	1.516
1	2	1.324
1	1	0.739
1	2	1.523
1	1	1.105
1	1	0.663
1	1	0.621
1	1	0.667
1	2	0.933
1	1	0.861
1	1	1.012
1	1	1.418
1	2	1.113
1	2	1.334
1	1	0.733
1	2	0.89
1	2	0.85
1	2	1.004
1	2	0.859
1	1	1.924
1	1	1.263
1	2	1.441
1	2	0.841
1	1	1.601
1	1	1.393
1	1	0.755
1	2	1.308
1	2	0.925
1	1	0.794
1	1	0.737
1	1	1.062
1	1	1.381
1	1	1.061
1	1	0.95
1	1	1.064
1	1	1.046
1	2	0.935
1	1	0.975
1	2	1.111
1	2	1.396
1	1	0.816
1	1	0.857
1	2	1.297
1	2	1.17
1	1	0.731
1	1	0.732
1	1	1.372
1	1	0.765
1	1	0.647
1	1	1.222
1	2	0.723
1	2	1.075
1	1	0.759
1	1	0.699
1	2	0.89
1	2	1.045
1	1	1.386
1	1	0.808
1	1	1.13
1	1	1.155
1	2	0.959
1	1	0.779
1	2	1.218
1	2	0.983
1	1	1.361
1	2	0.862
1	2	1.211
1	2	1.061
1	2	1.121
1	1	1.146
1	2	0.97
1	1	1.647
1	2	0.876
1	2	1.034
1	2	1.335
1	1	0.823
1	2	0.958
1	2	1.183
1	2	1.029
2	1	1.162
2	1	0.964
2	1	0.928
2	1	1.96
2	1	1.064
2	1	1.132
2	2	1.12
2	1	0.75
2	1	0.98
2	1	2.003
2	2	1.2
2	1	1.126
2	2	1.042
2	1	0.732
2	2	1.932
2	1	0.737
2	2	0.896
2	1	1.14
2	2	0.831
2	1	1.467
2	2	1.47
2	1	0.984
2	2	1.35
2	1	0.871
2	2	0.781
2	1	1.721
2	2	1.45
2	1	0.826
2	2	0.965
2	1	0.726
2	2	1.487
2	1	0.867
2	2	1.03
2	1	0.969
2	2	1.023
2	1	0.735
2	2	0.828
2	1	1.092
2	2	0.798
2	1	0.787
2	2	1.177
2	1	0.901
2	2	0.788
2	1	0.682
2	2	0.991
2	1	0.926
2	2	1.185
2	1	0.735
2	1	1.184
2	2	1.047
2	1	1.88
2	2	0.927
2	1	1.401
2	2	1.673
2	2	1.936
2	1	1.049
2	1	1.239
2	2	0.794
2	2	1.225
2	2	0.973
2	2	1.476
2	2	1.115
2	1	0.885
2	1	0.833
2	1	0.911
2	2	0.836
2	1	1.216
2	2	1.021
2	1	1.407
2	1	0.747
2	1	0.867
2	1	0.926
2	2	0.865
2	1	0.906
2	2	0.79
2	1	0.841
2	2	1.203
2	1	0.954
2	2	0.906
2	2	0.772
2	1	0.695
2	1	1.087
2	2	0.872
2	2	0.903
2	2	0.929
2	1	1.031
2	2	0.74
2	2	1.113
2	1	0.759
2	2	0.75
2	1	0.991
2	2	0.927
2	1	0.893
2	1	0.972
2	1	0.955
2	1	0.604
2	1	0.758
2	2	0.833
2	2	0.957
2	1	0.723
2	1	0.674
2	2	1.041
2	1	0.872
2	2	0.91
2	2	0.893
2	2	0.731
2	1	1.008
