block	trial	Vstim	Astim	match	resp	result	rt	fb	V-file	A-file
LR

1	1	1	1	1	1	0	1162	0	Ⴂ	DEU_u_short_1.wav
1	2	1	3	0	1	1	964	1	Ⴂ	DEU_f.wav
1	3	2	2	1	1	0	928	0	Ⴁ	DEU_p.wav
1	4	2	1	0	1	1	1960	1	Ⴁ	DEU_u_short_1.wav
1	5	3	3	1	1	0	1064	0	Ⴜ	DEU_f.wav
1	6	3	2	0	1	1	1132	1	Ⴜ	DEU_p.wav
1	7	1	1	1	2	1	1120	1	Ⴂ	DEU_u_short_1.wav
1	8	1	3	0	1	1	750	1	Ⴂ	DEU_f.wav
1	9	2	2	1	1	0	980	0	Ⴁ	DEU_p.wav
1	10	2	1	0	1	1	2003	1	Ⴁ	DEU_u_short_1.wav
1	11	3	3	1	2	1	1200	1	Ⴜ	DEU_f.wav
1	12	3	2	0	1	1	1126	1	Ⴜ	DEU_p.wav
1	13	1	1	1	2	1	1042	1	Ⴂ	DEU_u_short_1.wav
1	14	1	3	0	1	1	732	1	Ⴂ	DEU_f.wav
1	15	2	2	1	2	1	1932	1	Ⴁ	DEU_p.wav
1	16	2	1	0	1	1	737	1	Ⴁ	DEU_u_short_1.wav
1	17	3	3	1	2	1	896	1	Ⴜ	DEU_f.wav
1	18	3	2	0	1	1	1140	1	Ⴜ	DEU_p.wav
1	19	1	1	1	2	1	831	1	Ⴂ	DEU_u_short_1.wav
1	20	1	3	0	1	1	1467	1	Ⴂ	DEU_f.wav
1	21	2	2	1	2	1	1470	1	Ⴁ	DEU_p.wav
1	22	2	1	0	1	1	984	1	Ⴁ	DEU_u_short_1.wav
1	23	3	3	1	2	1	1350	1	Ⴜ	DEU_f.wav
1	24	3	2	0	1	1	871	1	Ⴜ	DEU_p.wav
1	25	1	1	1	2	1	781	1	Ⴂ	DEU_u_short_1.wav
1	26	1	3	0	1	1	1721	1	Ⴂ	DEU_f.wav
1	27	2	2	1	2	1	1450	1	Ⴁ	DEU_p.wav
1	28	2	1	0	1	1	826	1	Ⴁ	DEU_u_short_1.wav
1	29	3	3	1	2	1	965	1	Ⴜ	DEU_f.wav
1	30	3	2	0	1	1	726	1	Ⴜ	DEU_p.wav
1	31	1	1	1	2	1	1487	1	Ⴂ	DEU_u_short_1.wav
1	32	1	3	0	1	1	867	1	Ⴂ	DEU_f.wav
1	33	2	2	1	2	1	1030	1	Ⴁ	DEU_p.wav
1	34	2	1	0	1	1	969	1	Ⴁ	DEU_u_short_1.wav
1	35	3	3	1	2	1	1023	1	Ⴜ	DEU_f.wav
1	36	3	2	0	1	1	735	1	Ⴜ	DEU_p.wav
1	37	1	1	1	2	1	828	1	Ⴂ	DEU_u_short_1.wav
1	38	1	3	0	1	1	1092	1	Ⴂ	DEU_f.wav
1	39	2	2	1	2	1	798	1	Ⴁ	DEU_p.wav
1	40	2	1	0	1	1	787	1	Ⴁ	DEU_u_short_1.wav
1	41	3	3	1	2	1	1177	1	Ⴜ	DEU_f.wav
1	42	3	2	0	1	1	901	1	Ⴜ	DEU_p.wav
1	43	1	1	1	2	1	788	1	Ⴂ	DEU_u_short_1.wav
1	44	1	3	0	1	1	682	1	Ⴂ	DEU_f.wav
1	45	2	2	1	2	1	991	1	Ⴁ	DEU_p.wav
1	46	2	1	0	1	1	926	1	Ⴁ	DEU_u_short_1.wav
